Region,Region Code,Province,Province Code,Municipality_City,Municipality_City Code,Housing Units,Strong Roof/Strong Wall,Strong Roof/Light Wall,Strong Roof/Salvage Wall,Light Roof/Strong Wall,Light Roof/Light Wall,Light Roof/Salvage Wall,Salvaged Roof/Strong Wall,Salvaged Roof/Light Wall,Salvaged Roof/Salvage Wall,sum_types_of_material,diff_housing_unit,percentage_,absolute_from_vulnerable_houses
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Pandi,PH031415000,20193,18431,1423,34,33,172,0,3,13,28,20137,56,0.010577544,213
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Paombong,PH031416000,11489,10040,710,24,207,402,11,5,30,19,11448,41,0.040356394,462
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Plaridel,PH031417000,24206,22885,1076,17,16,160,4,3,8,14,24183,23,0.007691353,186
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Pulilan,PH031418000,22279,20651,1000,53,81,313,12,8,17,57,22192,87,0.017979452,399
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,San Ildefonso,PH031419000,23932,20684,2305,53,62,663,5,3,45,25,23845,87,0.030949885,738
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,San Miguel,PH031421000,33729,27726,3652,243,130,1251,18,72,99,175,33366,363,0.04624468,1543
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,San Rafael,PH031422000,22051,20188,1232,15,63,376,9,8,13,72,21976,75,0.021386968,470
Region III (Central Luzon),PH030000000,Bulacan,PH031400000,Santa Maria,PH031423000,57575,52319,3792,196,163,705,15,20,47,92,57349,226,0.014978465,859
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Aliaga,PH034901000,13940,11877,1127,26,58,770,5,2,17,21,13903,37,0.058476588,813
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Bongabon,PH034902000,14819,11991,1709,28,129,887,4,2,5,7,14762,57,0.061170573,903
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,City of Cabanatuan,PH034903000,66994,57534,7063,126,141,1607,17,20,110,206,66824,170,0.029031486,1940
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Cabiao,PH034904000,16511,14965,809,43,48,526,14,6,17,20,16448,63,0.035080253,577
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Carranglan,PH034905000,9588,5553,2021,1,87,1885,3,0,7,2,9559,29,0.198451721,1897
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,City of Gapan,PH034908000,24586,20536,2636,131,121,855,14,4,27,185,24509,77,0.044106247,1081
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Cuyapo,PH034906000,15003,10669,2059,8,132,2064,4,1,1,4,14942,61,0.138736448,2073
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Gabaldon (Bitulok & Sabani),PH034907000,8484,5734,743,2,205,1741,3,0,3,0,8431,53,0.207211481,1747
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,General Mamerto Natividad,PH034909000,9320,6934,1488,42,27,622,6,2,23,32,9176,144,0.074433304,683
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,General Tinio (Papaya),PH034910000,10305,8472,1341,11,13,409,1,0,4,14,10265,40,0.04169508,428
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Guimba,PH034911000,28325,22269,3772,24,121,2013,2,4,26,25,28256,69,0.073117214,2066
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Jaen,PH034912000,17602,14818,1712,24,61,884,5,5,21,25,17555,47,0.053261179,935
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Laur,PH034913000,8522,5662,1083,2,112,1594,2,0,6,7,8468,54,0.190009447,1609
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Licab,PH034914000,6374,4569,1060,7,84,610,0,0,4,4,6338,36,0.0975071,618
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Llanera,PH034915000,9552,7345,1227,15,66,751,7,2,25,17,9455,97,0.084611317,800
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Lupao,PH034916000,9987,7458,1210,10,118,1105,10,6,10,6,9933,54,0.113862881,1131
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Nampicuan,PH034918000,3018,2326,327,1,35,324,0,0,0,1,3014,4,0.107830126,325
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,City of Palayan (Capital),PH034919000,9280,6911,961,8,114,1237,2,0,7,10,9250,30,0.135783784,1256
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Pantabangan,PH034920000,6107,4092,1260,1,54,681,1,0,2,0,6091,16,0.112296831,684
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Peñaranda,PH034921000,6819,5672,765,26,8,193,18,1,48,20,6751,68,0.041327211,279
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Quezon,PH034922000,9443,7422,1133,37,74,637,11,5,13,51,9383,60,0.075881914,712
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Rizal,PH034923000,14751,11272,1370,19,198,1771,24,4,9,20,14687,64,0.124191462,1824
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,San Antonio,PH034924000,17419,14842,1783,59,48,491,7,6,42,52,17330,89,0.034160415,592
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,San Isidro,PH034925000,11312,9785,1056,67,32,239,2,5,15,46,11247,65,0.026851605,302
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,San Jose City,PH034926000,32328,25741,4726,69,112,1394,10,4,55,36,32147,181,0.046505117,1495
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,San Leonardo,PH034927000,14690,12161,1798,50,59,397,14,10,36,52,14577,113,0.034232009,499
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Santa Rosa,PH034928000,15659,13298,1614,77,35,488,12,8,29,46,15607,52,0.036842442,575
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Santo Domingo,PH034929000,14071,10887,1971,22,70,1010,7,1,13,35,14016,55,0.075984589,1065
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Science City of Muñoz,PH034917000,18907,15215,2193,52,61,1185,6,13,19,34,18778,129,0.066247737,1244
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Talavera,PH034930000,27987,24288,2560,32,165,693,5,5,21,31,27800,187,0.026978417,750
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Talugtug,PH034931000,5776,3248,1040,2,61,1403,1,1,4,2,5762,14,0.244706699,1410
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Zaragoza,PH034932000,10982,8785,1312,10,58,775,6,1,5,11,10963,19,0.072699079,797
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,City of Angeles,PH035401000,94666,89960,3404,20,105,781,6,17,50,184,94527,139,0.010801147,1021
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Apalit,PH035402000,22801,21770,672,8,64,248,3,4,3,6,22778,23,0.011414523,260
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Arayat,PH035403000,27433,24303,1548,25,382,1009,4,18,73,43,27405,28,0.041196862,1129
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Bacolor,PH035404000,9375,8604,462,7,28,210,0,2,6,31,9350,25,0.026417112,247
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Candaba,PH035405000,22428,19938,1468,78,80,649,5,7,24,89,22338,90,0.034336109,767
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,City of San Fernando (Capital),PH035416000,66370,62847,2123,52,327,573,4,37,22,148,66133,237,0.01129542,747
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Floridablanca,PH035406000,28196,24364,851,12,331,2549,4,6,4,24,28145,51,0.091703677,2581
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Guagua,PH035407000,24964,23004,1546,8,41,290,0,4,6,38,24937,27,0.013393752,334
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Lubao,PH035408000,33868,30243,2075,61,301,1015,8,10,14,81,33808,60,0.033069096,1118
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Mabalacat City,PH035409000,55991,53197,1821,26,65,754,7,5,9,34,55918,73,0.014378197,804
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Macabebe,PH035410000,15856,13493,1967,9,76,270,2,10,9,3,15839,17,0.017930425,284
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Magalang,PH035411000,23821,22177,751,6,128,701,1,1,5,9,23779,42,0.030110602,716
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Masantol,PH035412000,11665,8838,2244,22,49,459,2,3,14,4,11635,30,0.041168887,479
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Mexico,PH035413000,31281,29560,917,7,143,617,1,2,3,6,31256,25,0.020060148,627
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Minalin,PH035414000,9527,8273,924,6,26,245,0,1,25,5,9505,22,0.028932141,275
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Porac,PH035415000,27156,24930,798,52,113,1149,14,8,12,45,27121,35,0.044983592,1220
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,San Luis,PH035417000,10865,9629,1070,2,23,129,0,1,7,0,10861,4,0.012521867,136
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,San Simon,PH035418000,11226,10248,737,2,32,177,0,1,1,0,11198,28,0.015895696,178
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Santa Ana,PH035419000,10636,10043,335,3,32,211,0,0,1,2,10627,9,0.020137386,214
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Santa Rita,PH035420000,8830,8000,548,16,39,174,3,0,3,8,8791,39,0.021385508,188
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Santo Tomas,PH035421000,8675,7597,987,1,6,73,0,0,0,0,8664,11,0.008425669,73
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Sasmuan (Sexmoan),PH035422000,5584,4684,415,74,21,134,1,4,5,207,5545,39,0.0625789,347
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,Anao,PH036901000,2685,2237,346,1,2,82,0,0,1,0,2669,16,0.031097789,83
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,Bamban,PH036902000,14739,13398,544,21,85,622,9,7,13,28,14727,12,0.045630475,672
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,Camiling,PH036903000,19262,14903,3737,20,36,458,2,2,6,5,19169,93,0.024570922,471
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,Capas,PH036904000,30762,25949,1826,47,165,2610,17,4,3,27,30648,114,0.086694075,2657
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,City of Tarlac (Capital),PH036916000,74429,67288,4376,233,252,1801,27,10,39,207,74233,196,0.027939057,2074
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,Concepcion,PH036905000,32539,29975,1623,26,144,654,8,9,23,34,32496,43,0.0221258,719
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,Gerona,PH036906000,21157,17579,2231,40,100,970,10,12,12,109,21063,94,0.052271756,1101
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,La Paz,PH036907000,13885,11730,1252,56,81,562,4,7,28,30,13750,135,0.045381818,624
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,Mayantoc,PH036908000,7456,5701,1134,14,47,539,0,0,2,6,7443,13,0.073491872,547
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,Moncada,PH036909000,13314,10528,2063,37,37,497,8,2,6,10,13188,126,0.039505611,521
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,Paniqui,PH036910000,22013,18376,2573,16,83,842,4,2,4,9,21909,104,0.039207632,859
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,Pura,PH036911000,5585,4788,458,4,64,224,0,1,11,7,5557,28,0.043548677,242
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,Ramos,PH036912000,4710,3944,287,0,71,388,5,1,3,1,4700,10,0.084468085,397
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,San Clemente,PH036913000,3017,2275,592,0,3,123,0,0,0,1,2994,23,0.041416166,124
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,San Jose,PH036918000,8357,5349,1957,9,44,948,2,0,1,6,8316,41,0.115079365,957
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,San Manuel,PH036914000,5645,4718,528,11,35,318,5,1,1,2,5619,26,0.058017441,326
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,Santa Ignacia,PH036915000,11454,8832,1939,12,33,584,1,1,4,10,11416,38,0.052470217,599
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,Victoria,PH036917000,15035,12685,1414,47,69,718,14,5,16,17,14985,50,0.051051051,765
Region III (Central Luzon),PH030000000,Zambales,PH037100000,Botolan,PH037101000,13627,9904,888,37,108,2570,48,6,3,31,13595,32,0.195071718,2652
Region III (Central Luzon),PH030000000,Zambales,PH037100000,Cabangan,PH037102000,5966,4569,376,9,116,811,9,4,8,37,5939,27,0.145647415,865
Region III (Central Luzon),PH030000000,Zambales,PH037100000,Candelaria,PH037103000,6034,4524,973,2,20,484,1,0,0,1,6005,29,0.080932556,486
Region III (Central Luzon),PH030000000,Zambales,PH037100000,Castillejos,PH037104000,16636,14726,936,19,116,723,10,2,4,43,16579,57,0.04704747,780
Region III (Central Luzon),PH030000000,Zambales,PH037100000,Iba (Capital),PH037105000,11450,9655,735,21,73,892,2,1,2,35,11416,34,0.081552207,931
Region III (Central Luzon),PH030000000,Zambales,PH037100000,Masinloc,PH037106000,10620,7562,1647,44,68,1175,4,3,28,12,10543,77,0.11562174,1219
Region III (Central Luzon),PH030000000,Zambales,PH037100000,City of Olongapo,PH037107000,55265,51164,2875,114,77,578,18,25,98,187,55136,129,0.015978671,881
Region III (Central Luzon),PH030000000,Zambales,PH037100000,Palauig,PH037108000,7857,5757,657,24,140,1221,12,2,3,7,7823,34,0.158890451,1243
Region III (Central Luzon),PH030000000,Zambales,PH037100000,San Antonio,PH037109000,8572,7143,767,21,61,515,3,0,8,21,8539,33,0.064059023,547
Region III (Central Luzon),PH030000000,Zambales,PH037100000,San Felipe,PH037110000,5585,4437,364,7,96,651,3,0,2,9,5569,16,0.119411025,665
Region III (Central Luzon),PH030000000,Zambales,PH037100000,San Marcelino,PH037111000,8019,6552,570,17,73,716,9,11,7,14,7969,50,0.093612749,746
