source,Area,Date,Certainty,Impact,People Affected,Deaths,flood
http://www.monitor.co.ug/OpEd/Commentary/Uganda-s-geothermal-energy-requires-investment-boost/-/689364/2024126/-/10qcaic/-/index.html,Kabale,10/09/2013,4,L,,,1
Kabale DLG,KABALE,20/01/2014,6,L,,,1
DISTRICT,KABALE,01/09/2014,6,L,,3,1
http://www.monitor.co.ug/News/National/Locals-to-protest-as-Museveni-visits/-/688334/2588266/-/qm5flqz/-/index.html,Kabale,14/01/2015,6,L,,,1
http://www.monitor.co.ug/News/National/Drought-manifests-God-s-anger--says-Water-minister/-/688334/2662394/-/qu0kdfz/-/index.html,Kabale,23/03/2015,6,L,,,1
Kabale DLG,KABALE,23/04/2015,8,L,,,1
CAO-KABALE,KABALE,01/05/2015,8,L,,,1
CAO Kabale,KABALE,04/05/2015,8,L,,,1
CAO Kabale,KABALE,07/05/2015,8,L,,,1
http://www.newvision.co.ug/news/668177-kabale-bans-sand-stone-quarrying.html,Kabale,05/11/2015,4,L,,,1
OPM,KABALE,01/12/2016,6,L,,,1
District Files,KABALE,29/09/2017,6,L,,,1
New Vision,KAMPALA,18/03/1991,4,L,,1,1
New Vision,KAMPALA,21/04/1992,4,L,,,1
NewVision,KAMPALA,18/03/1993,4,L,,,1
New Vision,KAMPALA,11/03/1995,4,L,,,1
New Vision,KAMPALA,13/03/1995,4,L,,,1
New Vision,KAMPALA,10/04/1995,4,L,,,1
New Vision,KAMPALA,24/03/1996,4,L,,,1
New Vision,KAMPALA,06/04/1997,4,L,,,1
New Vision,KAMPALA,13/04/1997,4,L,,,1
New Vision,KAMPALA,25/03/1998,4,L,,,1
New Vision,KAMPALA,09/05/1998,4,L,,,1
New Vision,KAMPALA,14/10/1998,4,L,,,1
New Vision,KAMPALA,29/10/1998,4,L,,,1
NewVision,KAMPALA,12/08/1999,4,L,,,1
New Vision,KAMPALA,02/09/2000,4,L,,,1
http://www.newvision.co.ug/news/346488-kcc-control-dumping.html,Kampala,24/05/2001,4,L,,,1
http://www.newvision.co.ug/news/339475-wakiso-to-clear-lubigi-channel.html,Kampala,30/08/2001,4,L,,,1
https://www.newvision.co.ug/new_vision/news/1085491/floods-stop-city-business,Kampala,06/03/2002,4,L,,,1
