County;sub_county;ward;people_dead;people_injured;house_destroyed;house_damaged;household_displaced;people_displaced;magnitude_impact;date_recorded
Trans Nzoi;NA;NA;0;0;128;0;0;0;1;2010/09/03
Trans Nzoi;NA;NA;0;0;50;0;0;0;1;2010/09/03
Trans Nzoi;NA;NA;0;0;300;0;0;0;1;2010/09/03
Trans Nzoi;NA;NA;0;0;150;0;0;0;1;2010/09/03
Trans Nzoi;NA;NA;0;0;20;0;0;0;1;2010/09/03
Siaya;NA;NA;5;0;3;0;0;0;1;2010/12/27
West Pokot;NA;NA;1;0;0;0;0;0;1;2010/12/27
West Pokot;NA;NA;0;0;60;0;0;0;1;2010/12/27
Nakuru;NA;NA;1;0;0;0;0;0;1;2011/02/17
Mombasa;NA;NA;1;4;0;0;0;0;1;2011/02/18
Kakamega;NA;NA;1;0;0;0;0;0;1;2011/02/21
Turkana;NA;NA;0;1;0;0;0;0;1;2011/02/24
Nakuru;NA;NA;1;0;0;0;0;0;1;2011/03/20
Busia;NA;NA;2;6;0;0;0;0;1;2011/03/26
Kilifi;NA;NA;3;6;0;0;0;0;1;2011/10/13
Kilifi;NA;NA;1;0;0;0;0;0;1;2011/10/15
Kirinyaga;NA;NA;1;0;0;0;0;0;1;2011/11/15
Meru;NA;NA;1;0;0;0;0;0;1;2011/12/02
Kisumu;NA;NA;1;0;0;0;0;0;1;2012/01/21
Kisumu;NA;NA;0;6;0;0;0;0;1;2012/05/22
Nakuru;NA;NA;0;0;200;0;0;0;1;2012/01/23
Kisumu;NA;NA;2;0;0;0;0;0;1;2014/06/25
Homa Bay;NA;NA;2;0;0;0;0;0;1;2012/04/18
Homa Bay;NA;NA;1;0;0;0;0;0;1;2012/04/19
Kisumu;NA;NA;0;0;20;0;0;0;1;2015/10/15
Nakuru;NA;NA;2;0;0;0;0;0;1;2012/04/28
Kajiado;NA;NA;3;0;0;0;0;0;1;2012/05/04
Kajiado;NA;NA;2;0;0;0;0;0;1;2012/05/07
Nairobi;NA;NA;1;0;0;0;0;0;1;2012/05/13
Nakuru;NA;NA;1;0;0;0;0;0;1;2012/05/13
Murang'a;NA;NA;0;0;193;0;0;0;1;2012/05/30
Murang'a;NA;NA;0;0;54;0;0;0;1;2012/05/30
Murang'a;NA;NA;0;0;35;0;0;0;1;2012/05/30
Murang'a;NA;NA;0;0;147;0;0;0;1;2012/05/30
Murang'a;NA;NA;0;0;180;0;0;0;1;2012/05/30
Murang'a;NA;NA;0;0;165;0;0;0;1;2012/05/30
Murang'a;NA;NA;0;0;176;0;0;0;1;2012/05/30
Murang'a;NA;NA;0;0;41;0;0;0;1;2012/05/30
Murang'a;NA;NA;0;0;91;0;0;0;1;2012/05/30
Murang'a;NA;NA;0;0;30;0;0;0;1;2012/05/30
Murang'a;NA;NA;0;0;70;0;0;0;1;2012/05/30
Murang'a;NA;NA;0;0;112;0;0;0;1;2012/05/30
Murang'a;NA;NA;0;0;98;0;0;0;1;2012/05/30
Murang'a;NA;NA;0;0;48;0;0;0;1;2012/05/30
Murang'a;NA;NA;0;0;86;0;0;0;1;2012/05/30
Murang'a;NA;NA;0;0;160;0;0;0;1;2012/05/30
Murang'a;NA;NA;0;0;110;0;0;0;1;2012/05/30
Murang'a;NA;NA;0;0;48;0;0;0;1;2012/05/30
Murang'a;NA;NA;0;0;79;0;0;0;1;2012/05/30
Murang'a;NA;NA;0;0;150;0;0;0;1;2012/05/30
Murang'a;NA;NA;0;0;125;0;0;0;1;2012/05/30
Murang'a;NA;NA;0;0;142;0;0;0;1;2012/05/30
Meru;NA;NA;1;0;0;0;0;0;1;2012/06/25
Homa Bay;NA;NA;1;0;0;0;0;0;1;2012/06/28
Kiambu;NA;NA;1;0;0;0;0;0;1;2012/07/11
Narok;NA;NA;1;0;0;0;0;0;1;2013/02/23
Narok;NA;NA;1;1;0;0;0;0;1;2013/03/04
Nairobi;NA;NA;1;0;0;0;0;0;1;2013/03/13
Nairobi;NA;NA;0;2;0;0;0;0;1;2013/03/13
Murang'a;NA;NA;3;0;1;0;0;0;1;2013/03/20
Kajiado;NA;NA;1;0;0;0;0;0;1;2013/03/29
Nairobi;NA;NA;4;0;0;0;0;0;1;2013/03/29
Nairobi;NA;NA;1;0;0;0;0;0;1;2013/03/29
Nairobi;NA;NA;0;2;0;0;0;0;1;2013/03/29
Marsabit;NA;NA;3;0;0;0;0;0;1;2013/03/30
Kajiado;NA;NA;1;0;0;0;0;0;1;2013/04/01
Elgeyo-Mar;NA;NA;1;0;0;0;0;0;1;2013/04/03
Kisumu;NA;NA;1;0;0;0;0;0;1;2015/11/26
Narok;NA;NA;1;1;0;0;0;0;1;2013/04/03
Narok;NA;NA;1;0;0;0;0;0;1;2013/04/04
Kisumu;NA;NA;4;1;0;0;2179;0;1;2018/06/11
Narok;NA;NA;1;0;0;0;0;0;1;2013/04/07
Uasin Gish;NA;NA;2;0;0;0;0;0;1;2013/04/07
Uasin Gish;NA;NA;1;0;0;0;0;0;1;2013/04/08
Nakuru;NA;NA;1;0;0;0;0;0;1;2013/04/10
Machakos;NA;NA;1;0;0;0;0;0;1;2013/04/11
Makueni;NA;NA;1;0;0;0;0;0;1;2013/04/11
Makueni;NA;NA;1;0;0;0;0;0;1;2013/04/12
Kajiado;NA;NA;1;0;0;0;0;0;1;2013/04/13
Machakos;NA;NA;1;0;0;0;0;0;1;2013/04/13
Machakos;NA;NA;1;0;0;0;0;0;1;2013/04/13
Narok;NA;NA;1;0;0;0;0;0;1;2013/04/13
Uasin Gish;NA;NA;2;0;0;0;0;0;1;2013/04/13
Vihiga;NA;NA;1;0;0;0;0;0;1;2013/04/13
Elgeyo-Mar;NA;NA;1;0;0;0;0;0;1;2013/04/14
Machakos;NA;NA;3;0;0;0;0;0;1;2013/04/14
Baringo;NA;NA;1;0;0;0;0;0;1;2013/04/15
Mandera;NA;NA;2;0;0;0;0;0;1;2013/04/15
Nyandarua;NA;NA;1;0;0;0;0;0;1;2013/04/15
Kilifi;NA;NA;1;0;0;0;0;0;1;2013/04/16
Kilifi;NA;NA;1;0;0;0;0;0;1;2013/04/16
Kitui;NA;NA;1;0;1;0;0;0;1;2013/04/16
Nairobi;NA;NA;2;1;1;0;0;0;1;2013/04/16
Narok;NA;NA;2;0;0;0;0;0;1;2013/04/16
Nyandarua;NA;NA;1;0;0;0;0;0;1;2013/04/16
Nyandarua;NA;NA;1;0;0;0;0;0;1;2013/04/16
Garissa;NA;NA;18;0;0;0;0;0;1;2013/04/18
Kisii;NA;NA;3;0;0;0;0;0;1;2013/04/18
Kisii;NA;NA;3;0;0;0;0;0;1;2013/04/18
Kiambu;NA;NA;1;0;0;0;0;0;1;2013/04/20
Machakos;NA;NA;1;0;0;0;0;0;1;2013/04/20
Baringo;NA;NA;3;0;0;0;0;0;1;2013/04/22
Baringo;NA;NA;3;0;0;0;0;0;1;2013/04/22
Kiambu;NA;NA;2;2;0;0;96;0;1;2013/04/22
Nyandarua;NA;NA;1;0;0;0;0;0;1;2013/04/22
Meru;NA;NA;1;0;0;0;0;0;1;2013/04/23
Narok;NA;NA;1;0;0;0;0;0;1;2013/04/23
Narok;NA;NA;1;0;0;0;0;0;1;2013/04/23
Narok;NA;NA;1;0;0;0;0;0;1;2013/04/23
Bungoma;NA;NA;3;0;0;0;0;0;1;2013/04/26
Kisii;NA;NA;3;0;0;0;0;0;1;2013/04/26
Bungoma;NA;NA;1;0;0;0;0;0;1;2013/04/27
Laikipia;NA;NA;1;0;0;0;0;0;1;2013/04/28
Turkana;NA;NA;1;0;0;0;0;0;1;2013/04/28
Bomet;NA;NA;1;0;0;0;0;0;1;2013/04/29
Elgeyo-Mar;NA;NA;2;0;0;0;0;0;1;2013/05/15
Machakos;NA;NA;2;0;0;0;0;0;1;2014/02/05
Machakos;NA;NA;2;0;0;0;0;0;1;2014/04/20
Nakuru;NA;NA;2;0;0;0;0;0;1;2014/05/23
Busia;NA;NA;2;0;0;0;0;0;1;2014/06/17
Embu;NA;NA;2;0;0;0;0;0;1;2014/07/14
Homa Bay;NA;NA;4;0;0;0;0;0;1;2015/01/12
Nairobi;NA;NA;0;0;200;0;0;0;1;2015/03/24
Makueni;NA;NA;0;0;5;0;0;0;1;2015/04/20
Mandera;NA;NA;1;0;0;0;0;0;1;2015/10/15
Kiambu;NA;NA;1;0;0;0;0;0;1;2015/10/27
Kajiado;Kajiado North;NA;1;0;0;0;0;0;1;2015/11/10
Homa Bay;NA;NA;2;0;46;0;0;0;1;2015/11/12
Kilifi;NA;NA;0;0;12;0;0;0;1;2015/11/12
Kirinyaga;NA;NA;0;0;35;0;0;0;1;2015/11/12
Nandi;NA;NA;0;0;3;0;0;0;1;2015/11/12
Narok;NA;NA;6;0;0;0;0;0;1;2015/11/13
Nairobi;NA;NA;1;0;0;0;0;0;1;2015/11/14
Baringo;NA;NA;1;0;0;0;0;0;1;2015/11/15
Garissa;NA;NA;4;0;0;0;0;0;1;2015/11/16
Murang'a;NA;NA;0;0;53;0;0;0;1;2015/11/16
Trans Nzoi;NA;NA;0;0;139;0;0;0;1;2015/11/16
Meru;NA;NA;0;0;2;0;0;0;1;2015/11/17
Mombasa;NA;NA;1;2;1;0;0;0;1;2015/11/18
Taita Tave;NA;NA;1;0;0;0;0;0;1;2015/11/18
Homa Bay;NA;NA;8;6;0;0;0;0;1;2015/11/19
Kakamega;NA;NA;1;0;1;0;0;0;1;2015/11/19
Narok;NA;NA;1;2;0;0;0;0;1;2015/11/19
Makueni;NA;NA;0;0;2;0;0;0;1;2015/11/20
Kitui;NA;NA;1;0;0;0;0;0;1;2015/11/21
Narok;NA;NA;1;0;0;0;0;0;1;2015/11/23
Makueni;NA;NA;1;0;0;2;0;0;1;2015/11/24
Homa Bay;NA;NA;5;30;0;0;0;0;1;2015/11/26
Bungoma;NA;NA;1;0;0;0;0;0;1;2015/11/27
Meru;NA;NA;1;0;0;0;0;0;1;2015/12/02
Nairobi;NA;NA;1;0;0;0;0;0;1;2015/12/13
Nairobi;NA;NA;1;0;0;0;0;0;1;2015/12/13
Kericho;NA;NA;1;0;0;0;0;0;1;2015/12/14
Machakos;NA;NA;1;0;0;0;0;0;1;2015/12/14
Meru;NA;NA;1;0;0;0;0;0;1;2015/12/14
Narok;NA;NA;1;0;0;0;0;0;1;2015/12/14
Nyandarua;NA;NA;1;0;0;0;0;0;1;2015/12/14
Meru;NA;NA;1;0;0;0;0;0;1;2016/03/01
Elgeyo-Mar;NA;NA;0;0;6;0;0;0;1;2016/03/17
Narok;NA;NA;5;0;0;0;0;0;1;2016/03/22
Nairobi;NA;NA;2;0;0;0;0;0;1;2016/06/17
Taita Tave;NA;NA;2;0;0;0;0;0;1;2018/01/03
Narok;NA;NA;0;2;0;0;0;0;1;2018/03/13
Murang'a;NA;NA;0;0;0;0;0;0;1;2018/03/17
Baringo;NA;NA;1;0;0;0;0;0;1;2018/04/08
Narok;NA;NA;2;0;0;0;0;0;1;2018/04/13
Turkana;NA;NA;0;1;0;0;0;0;1;2018/04/20
Murang'a;NA;NA;1;0;0;0;0;0;1;2018/04/21
Baringo;NA;NA;6;3;0;0;1305;0;1;2018/06/11
Bungoma;NA;NA;0;1;0;0;0;0;1;2018/06/11
Busia;NA;NA;1;0;0;0;1219;0;1;2018/06/11
Elgeyo-Mar;NA;NA;0;0;0;0;228;0;1;2018/06/11
Embu;NA;NA;3;3;0;0;65;0;1;2018/06/11
Garissa;NA;NA;3;0;0;0;1313;0;1;2018/06/11
Homa Bay;NA;NA;7;0;0;0;571;0;1;2018/06/11
Kajiado;NA;NA;10;0;0;0;490;0;1;2018/06/11
Kakamega;NA;NA;3;0;0;0;60;0;1;2018/06/11
Kilifi;NA;NA;4;0;0;0;4530;0;1;2018/06/11
Kirinyaga;NA;NA;1;0;0;0;407;0;1;2018/06/11
Kitui;NA;NA;8;0;0;0;754;0;1;2018/06/11
Kwale;NA;NA;1;1;0;0;0;0;1;2018/06/11
Machakos;NA;NA;5;0;0;0;181;0;1;2018/06/11
Makueni;NA;NA;9;14;0;0;683;0;1;2018/06/11
Mandera;NA;NA;0;0;0;0;7182;0;1;2018/06/11
Marsabit;NA;NA;4;0;0;0;232;0;1;2018/06/11
Nairobi;NA;NA;2;7;0;0;0;0;1;2018/06/11
Nakuru;NA;NA;46;43;0;0;500;0;1;2018/06/11
Narok;NA;NA;6;0;0;0;110;0;1;2018/06/11
Nyandarua;NA;NA;7;0;0;0;0;0;1;2018/06/11
Nyeri;NA;NA;1;0;0;0;48;0;1;2018/06/11
Samburu;NA;NA;11;0;0;0;15;0;1;2018/06/11
Siaya;NA;NA;1;4;0;0;1693;0;1;2018/06/11
Taita Tave;NA;NA;2;0;0;0;1193;0;1;2018/06/11
Tana River;NA;NA;6;0;0;0;12809;0;1;2018/06/11
Tharaka-Ni;NA;NA;3;2;0;0;56;0;1;2018/06/11
Turkana;NA;NA;1;4;0;0;5945;0;1;2018/06/11
Uasin Gish;NA;NA;0;2;0;0;39;0;1;2018/06/11
Uasin Gish;NA;NA;7;10;0;0;1656;0;1;2018/06/11
Wajir;NA;NA;5;0;0;0;2521;0;1;2018/06/11
West Pokot;NA;NA;1;0;0;0;49;0;1;2018/06/11
Migori;NA;NA;1;0;0;0;0;0;1;2002/05/14
Migori;NA;NA;4;0;0;0;0;0;1;2006/04/26
Migori;NA;NA;0;0;177;0;0;0;1;2009/05/01
Migori;NA;NA;2;0;0;0;0;0;1;2012/03/04
Migori;NA;NA;1;0;0;0;0;0;1;2013/04/03
Migori;NA;NA;0;0;195;0;0;0;1;2013/04/09
Migori;NA;NA;3;0;0;0;0;0;1;2015/01/05
Migori;NA;NA;1;0;0;0;0;0;1;2016/05/18
Migori;NA;NA;13;0;0;0;70;0;1;2018/06/11
Nyandarua;NA;NA;2;0;0;0;0;0;1;2013/12/16
Migori;NA;NA;4;0;0;0;0;0;1;2015/12/01
Homa Bay;NA;NA;5;21;0;0;0;0;1;2015/11/27
Baringo;East Pokot;NA;0;1;0;0;0;0;1;2014/11/26
Garissa;NA;NA;1;0;0;0;0;0;1;2018/04/13
Nandi;NA;NA;2;1;0;0;0;0;1;2010/03/05
Mandera;NA;NA;2;0;0;0;0;0;1;2017/04/18
Machakos;Mavoko;Athi River;4;38;0;0;0;0;1;2012/06/11
Machakos;Mavoko;Athi River;1;0;0;0;0;0;1;2013/03/20
Machakos;Mavoko;Athi River;3;0;0;0;0;0;1;2015/06/04
Nairobi;NA;NA;1;0;0;0;0;0;1;2017/05/02
Baringo;NA;NA;3;0;0;0;0;0;1;2012/06/11
Baringo;NA;NA;1;0;0;0;0;0;1;2018/04/25
Baringo;NA;NA;0;0;355;0;0;0;1;2003/06/27
Kwale;NA;NA;1;0;0;0;0;0;1;2017/11/05
Tana River;NA;NA;1;0;0;0;0;0;1;2018/04/21
Tana River;NA;NA;0;0;0;0;0;0;1;2018/03/17
Siaya;Bondo;NA;3;2;0;0;0;0;1;2015/04/04
Busia;NA;NA;0;0;0;0;0;0;1;2006/05/18
Busia;NA;NA;2;0;0;0;0;0;1;2002/05/13
Busia;Budalangi;NA;13;0;0;0;0;0;1;2007/08/15
Busia;Budalangi;NA;17;0;0;0;0;0;1;2008/11/10
Busia;Budalangi;NA;0;0;0;0;1800;0;1;2012/12/20
Busia;Budalangi;NA;3;0;0;0;0;0;1;2016/05/13
Bungoma;Kanduyi;Bukembe East; Bukembe West;0;1;0;0;0;0;1;2016/04/13
Busia;NA;NA;20;0;0;0;0;0;1;2005/06/17
Garissa;NA;NA;2;0;0;0;0;0;1;2015/04/19
Bungoma;Bumula;Bumula;0;0;7;0;0;0;1;2016/05/08
Busia;NA;NA;6;0;0;0;0;2000;1;2006/11/14
Meru;Buuri;NA;1;1;0;0;0;0;1;2015/12/08
Kilifi;NA;NA;1;0;0;0;0;0;1;2013/12/02
Marsabit;NA;NA;0;0;0;0;0;0;1;2015/11/02
Tana River;NA;NA;0;0;12;0;0;0;1;2008/11/25
Kisumu;Muhoroni;Chemelil;1;0;0;0;0;0;1;2015/04/18
Elgeyo-Mar;Keiyo South;Chepkorio;8;0;0;12;72;0;1;2014/03/07
Elgeyo-Mar;Marakwet East;NA;0;0;6;0;0;0;1;2018/04/20
Kisumu;NA;NA;0;1;0;0;0;0;1;2018/05/22
Laikipia;NA;NA;0;0;0;0;0;0;1;2015/11/11
Kilifi;Malindi; Magarini;NA;1;0;0;0;0;0;1;2015/12/15
Makueni;NA;NA;0;0;0;0;0;0;1;2015/05/16
Garissa;Dadaab;Dadaab;1;0;0;0;0;25000;1;2005/05/31
Kilifi;NA;NA;0;0;0;0;0;2000;1;2006/05/17
Kilifi;NA;NA;0;0;0;0;0;2000;1;2006/04/09
Laikipia;NA;NA;2;0;0;0;0;0;1;2015/11/20
Taita Tave;NA;NA;0;0;0;0;77;0;1;2015/11/27
Uasin Gish;NA;NA;0;0;2;0;7;0;1;2016/05/20
Turkana;NA;NA;1;0;0;0;0;0;1;2018/04/18
Mandera;Mandera South;NA;1;0;0;0;0;0;1;2015/10/22
Nairobi;NA;NA;3;0;0;0;0;0;1;2017/05/02
Marsabit;NA;NA;2;0;0;120;0;0;1;2010/05/14
Mandera;NA;NA;10;0;0;0;0;0;1;2015/04/17
Isiolo;NA;NA;0;0;0;0;0;0;1;2013/11/09
Tana River;NA;NA;0;0;0;0;0;800;1;2002/05/13
Kwale;NA;NA;2;0;0;0;0;0;1;2013/12/10
Kilifi;Ganze;Ganze; Sokoke;4;0;0;0;0;0;1;2012/12/20
Kirinyaga;NA;NA;1;0;0;0;0;0;1;2018/04/18
Garissa;Garissa Township;NA;4;0;120;0;0;17000;1;2006/11/12
Murang'a;NA;NA;0;0;0;0;8;0;1;2002/05/13
Murang'a;NA;NA;8;0;0;0;0;0;1;2002/05/13
Tharaka-Ni;Tharaka;Gatunga;0;0;0;0;0;0;1;2015/11/11
Murang'a;NA;NA;0;0;18;0;0;0;1;2012/04/19
Meru;NA;NA;9;0;0;0;0;0;1;2002/05/13
Marsabit;Moyale;Golbo;1;0;0;0;0;0;1;2015/05/08
Marsabit;North Horr;NA;0;0;0;0;0;0;1;2017/05/30
Wajir;Wajir North;Gurar;0;0;0;0;0;0;1;2017/04/18
