Region,PCODE_REG,Province,PCODE_PROV,City_Municipality,PCODE_MUN_CTY,Total # of Active HHs,housing_unit,
Region VII (Central Visayas),PH070000000,NEGROS ORIENTAL,PH074600000,ZAMBOANGUITA,PH074625000,"1,134",6600,0.171818182
Region VII (Central Visayas),PH070000000,SIQUIJOR,PH076100000,ENRIQUE VILLANUEVA,PH076101000,241,1469,0.164057182
Region VII (Central Visayas),PH070000000,SIQUIJOR,PH076100000,LARENA,PH076102000,221,3078,0.07179987
Region VII (Central Visayas),PH070000000,SIQUIJOR,PH076100000,LAZI,PH076103000,"1,231",5001,0.24615077
Region VII (Central Visayas),PH070000000,SIQUIJOR,PH076100000,MARIA,PH076104000,686,3152,0.217639594
Region VII (Central Visayas),PH070000000,SIQUIJOR,PH076100000,SAN JUAN,PH076105000,680,3572,0.190369541
Region VII (Central Visayas),PH070000000,SIQUIJOR,PH076100000,SIQUIJOR (Capital),PH076106000,740,6362,0.116315624
Region VIII (Eastern Visayas),PH080000000,EASTERN SAMAR,PH082600000,ARTECHE,PH082601000,"1,353",3494,0.38723526
Region VIII (Eastern Visayas),PH080000000,EASTERN SAMAR,PH082600000,BALANGIGA,PH082602000,897,3276,0.273809524
Region VIII (Eastern Visayas),PH080000000,EASTERN SAMAR,PH082600000,BALANGKAYAN,PH082603000,721,2374,0.303706824
Region VIII (Eastern Visayas),PH080000000,EASTERN SAMAR,PH082600000,CITY OF BORONGAN (Capital),PH082604000,"2,798",15052,0.185888918
Region VIII (Eastern Visayas),PH080000000,EASTERN SAMAR,PH082600000,CAN-AVID,PH082605000,"1,417",4497,0.315098955
Region VIII (Eastern Visayas),PH080000000,EASTERN SAMAR,PH082600000,DOLORES,PH082606000,"2,957",9416,0.314039932
Region VIII (Eastern Visayas),PH080000000,EASTERN SAMAR,PH082600000,GENERAL MACARTHUR,PH082607000,"1,048",2965,0.353456998
Region VIII (Eastern Visayas),PH080000000,EASTERN SAMAR,PH082600000,GIPORLOS,PH082608000,"1,051",3209,0.32751636
Region VIII (Eastern Visayas),PH080000000,EASTERN SAMAR,PH082600000,GUIUAN,PH082609000,"3,074",12394,0.248023237
Region VIII (Eastern Visayas),PH080000000,EASTERN SAMAR,PH082600000,HERNANI,PH082610000,677,2052,0.329922027
Region VIII (Eastern Visayas),PH080000000,EASTERN SAMAR,PH082600000,JIPAPAD,PH082611000,774,1721,0.449738524
Region VIII (Eastern Visayas),PH080000000,EASTERN SAMAR,PH082600000,LAWAAN,PH082612000,740,3007,0.246092451
Region VIII (Eastern Visayas),PH080000000,EASTERN SAMAR,PH082600000,LLORENTE,PH082613000,"1,366",4698,0.290762026
Region VIII (Eastern Visayas),PH080000000,EASTERN SAMAR,PH082600000,MASLOG,PH082614000,494,1062,0.465160075
Region VIII (Eastern Visayas),PH080000000,EASTERN SAMAR,PH082600000,MAYDOLONG,PH082615000,733,3224,0.22735732
Region VIII (Eastern Visayas),PH080000000,EASTERN SAMAR,PH082600000,MERCEDES,PH082616000,348,1527,0.227897839
Region VIII (Eastern Visayas),PH080000000,EASTERN SAMAR,PH082600000,ORAS,PH082617000,"2,522",8455,0.298285038
Region VIII (Eastern Visayas),PH080000000,EASTERN SAMAR,PH082600000,QUINAPONDAN,PH082618000,"1,028",3377,0.3044122
Region VIII (Eastern Visayas),PH080000000,EASTERN SAMAR,PH082600000,SALCEDO,PH082619000,"1,361",5201,0.261680446
Region VIII (Eastern Visayas),PH080000000,EASTERN SAMAR,PH082600000,SAN JULIAN,PH082620000,798,3363,0.237288136
Region VIII (Eastern Visayas),PH080000000,EASTERN SAMAR,PH082600000,SAN POLICARPO,PH082621000,"1,119",3263,0.342935949
Region VIII (Eastern Visayas),PH080000000,EASTERN SAMAR,PH082600000,SULAT,PH082622000,879,3650,0.240821918
Region VIII (Eastern Visayas),PH080000000,EASTERN SAMAR,PH082600000,TAFT,PH082623000,"1,176",4376,0.268738574
Region VIII (Eastern Visayas),PH080000000,LEYTE,PH083700000,ABUYOG,PH083701000,"3,455",13294,0.25989168
Region VIII (Eastern Visayas),PH080000000,LEYTE,PH083700000,ALANGALANG,PH083702000,"6,646",12709,0.522936502
Region VIII (Eastern Visayas),PH080000000,LEYTE,PH083700000,ALBUERA,PH083703000,"2,399",11009,0.217912617
Region VIII (Eastern Visayas),PH080000000,LEYTE,PH083700000,BABATNGON,PH083705000,"1,915",6047,0.31668596
Region VIII (Eastern Visayas),PH080000000,LEYTE,PH083700000,BARUGO,PH083706000,"1,978",6869,0.287960402
Region VIII (Eastern Visayas),PH080000000,LEYTE,PH083700000,BATO,PH083707000,"2,475",8517,0.29059528
Region VIII (Eastern Visayas),PH080000000,LEYTE,PH083700000,CITY OF BAYBAY,PH083708000,"3,937",25848,0.152313525
Region VIII (Eastern Visayas),PH080000000,LEYTE,PH083700000,BURAUEN,PH083710000,"2,663",12521,0.212682693
Region VIII (Eastern Visayas),PH080000000,LEYTE,PH083700000,CALUBIAN,PH083713000,"2,394",7796,0.307080554
Region VIII (Eastern Visayas),PH080000000,LEYTE,PH083700000,CAPOOCAN,PH083714000,"2,407",7292,0.330087767
Region VIII (Eastern Visayas),PH080000000,LEYTE,PH083700000,CARIGARA,PH083715000,"3,172",11230,0.282457703
Region VIII (Eastern Visayas),PH080000000,LEYTE,PH083700000,DAGAMI,PH083717000,"2,302",8374,0.274898495
Region VIII (Eastern Visayas),PH080000000,LEYTE,PH083700000,DULAG,PH083718000,"4,809",11776,0.408372962
Region VIII (Eastern Visayas),PH080000000,LEYTE,PH083700000,HILONGOS,PH083719000,"3,326",14365,0.231534981
Region VIII (Eastern Visayas),PH080000000,LEYTE,PH083700000,HINDANG,PH083720000,"1,049",4989,0.210262578
Region VIII (Eastern Visayas),PH080000000,LEYTE,PH083700000,INOPACAN,PH083721000,945,4900,0.192857143
Region VIII (Eastern Visayas),PH080000000,LEYTE,PH083700000,ISABEL,PH083722000,"1,398",11137,0.125527521
Region VIII (Eastern Visayas),PH080000000,LEYTE,PH083700000,JARO,PH083723000,"2,734",9654,0.283198674
Region VIII (Eastern Visayas),PH080000000,LEYTE,PH083700000,JAVIER (BUGHO),PH083724000,"1,628",5986,0.271967925
Region VIII (Eastern Visayas),PH080000000,LEYTE,PH083700000,JULITA,PH083725000,"1,174",3806,0.308460326
Region VIII (Eastern Visayas),PH080000000,LEYTE,PH083700000,KANANGA,PH083726000,"3,050",12784,0.238579474
Region VIII (Eastern Visayas),PH080000000,LEYTE,PH083700000,LA PAZ,PH083728000,"1,408",4957,0.284042768
Region VIII (Eastern Visayas),PH080000000,LEYTE,PH083700000,LEYTE,PH083729000,"3,057",9011,0.339252025
Region VIII (Eastern Visayas),PH080000000,LEYTE,PH083700000,MACARTHUR,PH083730000,"1,382",5077,0.272207997
Region VIII (Eastern Visayas),PH080000000,LEYTE,PH083700000,MAHAPLAG,PH083731000,"1,960",6184,0.31694696
Region VIII (Eastern Visayas),PH080000000,LEYTE,PH083700000,MATAG-OB,PH083733000,"1,108",4526,0.244807777
Region VIII (Eastern Visayas),PH080000000,LEYTE,PH083700000,MATALOM,PH083734000,"2,049",7496,0.273345784
Region VIII (Eastern Visayas),PH080000000,LEYTE,PH083700000,MAYORGA,PH083735000,"1,425",4224,0.337357955
Region VIII (Eastern Visayas),PH080000000,LEYTE,PH083700000,MERIDA,PH083736000,"1,366",7802,0.175083312
Region VIII (Eastern Visayas),PH080000000,LEYTE,PH083700000,ORMOC CITY,PH083738000,"9,189",49332,0.186268548
Region VIII (Eastern Visayas),PH080000000,LEYTE,PH083700000,PALO,PH083739000,"4,821",15584,0.309355749
Region VIII (Eastern Visayas),PH080000000,LEYTE,PH083700000,PALOMPON,PH083740000,"2,096",14431,0.14524288
Region VIII (Eastern Visayas),PH080000000,LEYTE,PH083700000,PASTRANA,PH083741000,"1,458",4325,0.337109827
Region VIII (Eastern Visayas),PH080000000,LEYTE,PH083700000,SAN ISIDRO,PH083742000,"2,438",7861,0.310138659
Region VIII (Eastern Visayas),PH080000000,LEYTE,PH083700000,SAN MIGUEL,PH083743000,"1,536",4281,0.358794674
Region VIII (Eastern Visayas),PH080000000,LEYTE,PH083700000,SANTA FE,PH083744000,"1,541",4720,0.326483051
Region VIII (Eastern Visayas),PH080000000,LEYTE,PH083700000,TABANGO,PH083745000,"2,511",8183,0.306855676
Region VIII (Eastern Visayas),PH080000000,LEYTE,PH083700000,TABONTABON,PH083746000,785,2774,0.282984859
Region VIII (Eastern Visayas),PH080000000,LEYTE,PH083700000,CITY OF TACLOBAN (Capital),PH083747000,"13,731",49541,0.277164369
Region VIII (Eastern Visayas),PH080000000,LEYTE,PH083700000,TANAUAN,PH083748000,"5,213",13370,0.389902767
Region VIII (Eastern Visayas),PH080000000,LEYTE,PH083700000,TOLOSA,PH083749000,"2,164",5032,0.430047695
Region VIII (Eastern Visayas),PH080000000,LEYTE,PH083700000,TUNGA,PH083750000,363,1590,0.228301887
Region VIII (Eastern Visayas),PH080000000,LEYTE,PH083700000,VILLABA,PH083751000,"2,676",10463,0.255758387
Region VIII (Eastern Visayas),PH080000000,NORTHERN SAMAR,PH084800000,ALLEN,PH084801000,"1,389",5513,0.251949937
Region VIII (Eastern Visayas),PH080000000,NORTHERN SAMAR,PH084800000,BIRI,PH084802000,950,2262,0.419982317
Region VIII (Eastern Visayas),PH080000000,NORTHERN SAMAR,PH084800000,BOBON,PH084803000,"1,960",4817,0.406892257
Region VIII (Eastern Visayas),PH080000000,NORTHERN SAMAR,PH084800000,CAPUL,PH084804000,951,2486,0.382542237
Region VIII (Eastern Visayas),PH080000000,NORTHERN SAMAR,PH084800000,CATARMAN (Capital),PH084805000,"6,229",18490,0.336884803
Region VIII (Eastern Visayas),PH080000000,NORTHERN SAMAR,PH084800000,CATUBIG,PH084806000,"1,853",6442,0.287643589
Region VIII (Eastern Visayas),PH080000000,NORTHERN SAMAR,PH084800000,GAMAY,PH084807000,"1,995",5148,0.387529138
Region VIII (Eastern Visayas),PH080000000,NORTHERN SAMAR,PH084800000,LAOANG,PH084808000,"5,092",12186,0.417856557
Region VIII (Eastern Visayas),PH080000000,NORTHERN SAMAR,PH084800000,LAPINIG,PH084809000,675,2468,0.27350081
Region VIII (Eastern Visayas),PH080000000,NORTHERN SAMAR,PH084800000,LAS NAVAS,PH084810000,"2,683",7118,0.376931722
Region VIII (Eastern Visayas),PH080000000,NORTHERN SAMAR,PH084800000,LAVEZARES,PH084811000,"2,224",6074,0.366150807
Region VIII (Eastern Visayas),PH080000000,NORTHERN SAMAR,PH084800000,MAPANAS,PH084812000,931,2781,0.334771665
Region VIII (Eastern Visayas),PH080000000,NORTHERN SAMAR,PH084800000,MONDRAGON,PH084813000,"2,591",7567,0.342407823
Region VIII (Eastern Visayas),PH080000000,NORTHERN SAMAR,PH084800000,PALAPAG,PH084814000,"2,253",6900,0.326521739
Region VIII (Eastern Visayas),PH080000000,NORTHERN SAMAR,PH084800000,PAMBUJAN,PH084815000,"1,473",5965,0.246940486
Region VIII (Eastern Visayas),PH080000000,NORTHERN SAMAR,PH084800000,ROSARIO,PH084816000,850,2038,0.417075564
Region VIII (Eastern Visayas),PH080000000,NORTHERN SAMAR,PH084800000,SAN ANTONIO,PH084817000,591,1873,0.315536572
Region VIII (Eastern Visayas),PH080000000,NORTHERN SAMAR,PH084800000,SAN ISIDRO,PH084818000,"1,976",5545,0.356357078
Region VIII (Eastern Visayas),PH080000000,NORTHERN SAMAR,PH084800000,SAN JOSE,PH084819000,"1,373",3804,0.360935857
Region VIII (Eastern Visayas),PH080000000,NORTHERN SAMAR,PH084800000,SAN ROQUE,PH084820000,"1,544",5048,0.305863708
Region VIII (Eastern Visayas),PH080000000,NORTHERN SAMAR,PH084800000,SAN VICENTE,PH084821000,610,1641,0.371724558
Region VIII (Eastern Visayas),PH080000000,NORTHERN SAMAR,PH084800000,SILVINO LOBOS,PH084822000,"1,078",2725,0.39559633
Region VIII (Eastern Visayas),PH080000000,NORTHERN SAMAR,PH084800000,VICTORIA,PH084823000,"1,005",3210,0.313084112
Region VIII (Eastern Visayas),PH080000000,NORTHERN SAMAR,PH084800000,LOPE DE VEGA,PH084824000,848,2808,0.301994302
Region VIII (Eastern Visayas),PH080000000,SAMAR (WESTERN SAMAR),PH086000000,ALMAGRO,PH086001000,758,2093,0.36215958
Region VIII (Eastern Visayas),PH080000000,SAMAR (WESTERN SAMAR),PH086000000,BASEY,PH086002000,"4,040",12623,0.320050701
Region VIII (Eastern Visayas),PH080000000,SAMAR (WESTERN SAMAR),PH086000000,CITY OF CALBAYOG,PH086003000,"11,063",37807,0.292617769
Region VIII (Eastern Visayas),PH080000000,SAMAR (WESTERN SAMAR),PH086000000,CALBIGA,PH086004000,"1,657",5092,0.325412412
Region VIII (Eastern Visayas),PH080000000,SAMAR (WESTERN SAMAR),PH086000000,CITY OF CATBALOGAN (Capital),PH086005000,"4,834",20602,0.234637414
Region VIII (Eastern Visayas),PH080000000,SAMAR (WESTERN SAMAR),PH086000000,DARAM,PH086006000,"3,848",8656,0.444547135
Region VIII (Eastern Visayas),PH080000000,SAMAR (WESTERN SAMAR),PH086000000,GANDARA,PH086007000,"2,762",7107,0.388630927
Region VIII (Eastern Visayas),PH080000000,SAMAR (WESTERN SAMAR),PH086000000,HINABANGAN,PH086008000,992,2781,0.356706221
Region VIII (Eastern Visayas),PH080000000,SAMAR (WESTERN SAMAR),PH086000000,JIABONG,PH086009000,"1,216",3883,0.313159928
Region VIII (Eastern Visayas),PH080000000,SAMAR (WESTERN SAMAR),PH086000000,MARABUT,PH086010000,"1,364",3973,0.343317392
Region VIII (Eastern Visayas),PH080000000,SAMAR (WESTERN SAMAR),PH086000000,MATUGUINAO,PH086011000,803,1441,0.557251908
Region VIII (Eastern Visayas),PH080000000,SAMAR (WESTERN SAMAR),PH086000000,MOTIONG,PH086012000,"1,285",3040,0.422697368
Region VIII (Eastern Visayas),PH080000000,SAMAR (WESTERN SAMAR),PH086000000,PINABACDAO,PH086013000,"1,464",3668,0.39912759
Region VIII (Eastern Visayas),PH080000000,SAMAR (WESTERN SAMAR),PH086000000,SAN JOSE DE BUAN,PH086014000,724,1648,0.439320388
Region VIII (Eastern Visayas),PH080000000,SAMAR (WESTERN SAMAR),PH086000000,SAN SEBASTIAN,PH086015000,650,1672,0.388755981
Region VIII (Eastern Visayas),PH080000000,SAMAR (WESTERN SAMAR),PH086000000,SANTA MARGARITA,PH086016000,"1,928",5611,0.343610765
Region VIII (Eastern Visayas),PH080000000,SAMAR (WESTERN SAMAR),PH086000000,SANTA RITA,PH086017000,"3,058",8828,0.346397825
Region VIII (Eastern Visayas),PH080000000,SAMAR (WESTERN SAMAR),PH086000000,SANTO NIÑO,PH086018000,"1,161",2720,0.426838235
Region VIII (Eastern Visayas),PH080000000,SAMAR (WESTERN SAMAR),PH086000000,TALALORA,PH086019000,699,1669,0.418813661
Region VIII (Eastern Visayas),PH080000000,SAMAR (WESTERN SAMAR),PH086000000,TARANGNAN,PH086020000,"2,146",5347,0.401346549
Region VIII (Eastern Visayas),PH080000000,SAMAR (WESTERN SAMAR),PH086000000,VILLAREAL,PH086021000,"2,416",5943,0.406528689
Region VIII (Eastern Visayas),PH080000000,SAMAR (WESTERN SAMAR),PH086000000,PARANAS (WRIGHT),PH086022000,"2,022",6294,0.321258341
Region VIII (Eastern Visayas),PH080000000,SAMAR (WESTERN SAMAR),PH086000000,ZUMARRAGA,PH086023000,"1,477",3251,0.454321747
Region VIII (Eastern Visayas),PH080000000,SAMAR (WESTERN SAMAR),PH086000000,TAGAPUL-AN,PH086024000,650,1873,0.347036839
Region VIII (Eastern Visayas),PH080000000,SAMAR (WESTERN SAMAR),PH086000000,SAN JORGE,PH086025000,"1,402",3450,0.406376812
Region VIII (Eastern Visayas),PH080000000,SAMAR (WESTERN SAMAR),PH086000000,PAGSANGHAN,PH086026000,661,1814,0.364388093
Region VIII (Eastern Visayas),PH080000000,SOUTHERN LEYTE,PH086400000,ANAHAWAN,PH086401000,302,1764,0.171201814
Region VIII (Eastern Visayas),PH080000000,SOUTHERN LEYTE,PH086400000,BONTOC,PH086402000,"1,757",6582,0.26694014
Region VIII (Eastern Visayas),PH080000000,SOUTHERN LEYTE,PH086400000,HINUNANGAN,PH086403000,"1,450",6925,0.209386282
Region VIII (Eastern Visayas),PH080000000,SOUTHERN LEYTE,PH086400000,HINUNDAYAN,PH086404000,451,3037,0.148501811
Region VIII (Eastern Visayas),PH080000000,SOUTHERN LEYTE,PH086400000,LIBAGON,PH086405000,794,3162,0.251106894
Region VIII (Eastern Visayas),PH080000000,SOUTHERN LEYTE,PH086400000,LILOAN,PH086406000,"1,097",5073,0.216242854
Region VIII (Eastern Visayas),PH080000000,SOUTHERN LEYTE,PH086400000,CITY OF MAASIN (Capital),PH086407000,"2,502",18532,0.135009713
Region VIII (Eastern Visayas),PH080000000,SOUTHERN LEYTE,PH086400000,MACROHON,PH086408000,"1,031",6031,0.170950091
Region VIII (Eastern Visayas),PH080000000,SOUTHERN LEYTE,PH086400000,MALITBOG,PH086409000,970,4312,0.224953618
Region VIII (Eastern Visayas),PH080000000,SOUTHERN LEYTE,PH086400000,PADRE BURGOS,PH086410000,348,2386,0.145850796
Region VIII (Eastern Visayas),PH080000000,SOUTHERN LEYTE,PH086400000,PINTUYAN,PH086411000,510,2214,0.230352304
Region VIII (Eastern Visayas),PH080000000,SOUTHERN LEYTE,PH086400000,SAINT BERNARD,PH086412000,"1,260",5899,0.213595525
Region VIII (Eastern Visayas),PH080000000,SOUTHERN LEYTE,PH086400000,SAN FRANCISCO,PH086413000,626,2960,0.211486486
Region VIII (Eastern Visayas),PH080000000,SOUTHERN LEYTE,PH086400000,SAN JUAN (CABALIAN),PH086414000,600,3327,0.180342651
Region VIII (Eastern Visayas),PH080000000,SOUTHERN LEYTE,PH086400000,SAN RICARDO,PH086415000,558,2196,0.254098361
Region VIII (Eastern Visayas),PH080000000,SOUTHERN LEYTE,PH086400000,SILAGO,PH086416000,555,3096,0.179263566
Region VIII (Eastern Visayas),PH080000000,SOUTHERN LEYTE,PH086400000,SOGOD,PH086417000,"1,995",9899,0.201535509
Region VIII (Eastern Visayas),PH080000000,SOUTHERN LEYTE,PH086400000,TOMAS OPPUS,PH086418000,896,3646,0.245748766
Region VIII (Eastern Visayas),PH080000000,SOUTHERN LEYTE,PH086400000,LIMASAWA,PH086419000,365,1364,0.267595308
Region VIII (Eastern Visayas),PH080000000,BILIRAN,PH087800000,ALMERIA,PH087801000,496,4036,0.122893954
Region VIII (Eastern Visayas),PH080000000,BILIRAN,PH087800000,BILIRAN,PH087802000,585,3825,0.152941176
Region VIII (Eastern Visayas),PH080000000,BILIRAN,PH087800000,CABUCGAYAN,PH087803000,959,4715,0.203393425
Region VIII (Eastern Visayas),PH080000000,BILIRAN,PH087800000,CAIBIRAN,PH087804000,"1,200",4767,0.251730648
Region VIII (Eastern Visayas),PH080000000,BILIRAN,PH087800000,CULABA,PH087805000,642,2716,0.236377025
Region VIII (Eastern Visayas),PH080000000,BILIRAN,PH087800000,KAWAYAN,PH087806000,914,4607,0.198393749
Region VIII (Eastern Visayas),PH080000000,BILIRAN,PH087800000,MARIPIPI,PH087807000,275,1661,0.165562914
Region VIII (Eastern Visayas),PH080000000,BILIRAN,PH087800000,NAVAL (Capital),PH087808000,"1,871",11778,0.158855493
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL NORTE,PH097200000,CITY OF DAPITAN,PH097201000,"6,173",17953,0.343842255
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL NORTE,PH097200000,CITY OF DIPOLOG (Capital),PH097202000,"6,920",29503,0.234552418
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL NORTE,PH097200000,KATIPUNAN,PH097203000,"5,002",9718,0.514714962
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL NORTE,PH097200000,LA LIBERTAD,PH097204000,723,1868,0.387044968
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL NORTE,PH097200000,LABASON,PH097205000,"4,890",9050,0.540331492
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL NORTE,PH097200000,LILOY,PH097206000,"4,047",9344,0.433112158
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL NORTE,PH097200000,MANUKAN,PH097207000,"4,628",7771,0.595547549
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL NORTE,PH097200000,MUTIA,PH097208000,"1,059",2683,0.394707417
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL NORTE,PH097200000,PIÑAN (NEW PIÑAN),PH097209000,"2,232",4609,0.484269907
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL NORTE,PH097200000,POLANCO,PH097210000,"3,444",9109,0.378087606
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL NORTE,PH097200000,PRES. MANUEL A. ROXAS,PH097211000,"4,142",8319,0.497896382
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL NORTE,PH097200000,RIZAL,PH097212000,"1,282",3501,0.366181091
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL NORTE,PH097200000,SALUG,PH097213000,"3,462",7225,0.47916955
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL NORTE,PH097200000,SERGIO OSMEÑA SR.,PH097214000,"3,544",6513,0.544142484
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL NORTE,PH097200000,SIAYAN,PH097215000,"4,628",7253,0.638080794
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL NORTE,PH097200000,SIBUCO,PH097216000,"5,056",7222,0.700083079
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL NORTE,PH097200000,SIBUTAD,PH097217000,"1,633",4308,0.37906221
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL NORTE,PH097200000,SINDANGAN,PH097218000,"9,998",22155,0.451275107
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL NORTE,PH097200000,SIOCON,PH097219000,"3,992",10608,0.376319759
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL NORTE,PH097200000,SIRAWAI,PH097220000,"3,885",5854,0.663648787
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL NORTE,PH097200000,TAMPILISAN,PH097221000,"2,851",5654,0.504244782
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL NORTE,PH097200000,JOSE DALMAN (PONOT),PH097222000,"3,209",6103,0.52580698
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL NORTE,PH097200000,GUTALAC,PH097223000,"4,391",7562,0.58066649
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL NORTE,PH097200000,BALIGUIAN,PH097224000,"2,026",5172,0.391724671
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL NORTE,PH097200000,GODOD,PH097225000,"2,457",3791,0.648113954
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL NORTE,PH097200000,BACUNGAN (Leon T. Postigo),PH097226000,"3,054",5552,0.550072046
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL NORTE,PH097200000,KALAWIT,PH097227000,"3,119",4821,0.646961211
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL SUR,PH097300000,AURORA,PH097302000,"3,898",10980,0.355009107
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL SUR,PH097300000,BAYOG,PH097303000,"3,238",6908,0.468731905
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL SUR,PH097300000,DIMATALING,PH097305000,"3,126",6501,0.4808491
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL SUR,PH097300000,DINAS,PH097306000,"3,759",7679,0.489516864
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL SUR,PH097300000,DUMALINAO,PH097307000,"2,977",7064,0.421432616
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL SUR,PH097300000,DUMINGAG,PH097308000,"4,312",9817,0.439238056
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL SUR,PH097300000,KUMALARANG,PH097311000,"3,306",5923,0.558163093
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL SUR,PH097300000,LABANGAN,PH097312000,"4,109",8428,0.487541528
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL SUR,PH097300000,LAPUYAN,PH097313000,"3,631",5215,0.696260786
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL SUR,PH097300000,MAHAYAG,PH097315000,"3,790",9718,0.389997942
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL SUR,PH097300000,MARGOSATUBIG,PH097317000,"3,569",8794,0.405844894
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL SUR,PH097300000,MIDSALIP,PH097318000,"3,586",6774,0.52937703
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL SUR,PH097300000,MOLAVE,PH097319000,"3,486",11401,0.305762652
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL SUR,PH097300000,CITY OF PAGADIAN (Capital),PH097322000,"12,038",40665,0.296028526
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL SUR,PH097300000,RAMON MAGSAYSAY (LIARGO),PH097323000,"2,570",5968,0.430630027
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL SUR,PH097300000,SAN MIGUEL,PH097324000,"2,072",4205,0.49274673
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL SUR,PH097300000,SAN PABLO,PH097325000,"2,474",5792,0.427140884
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL SUR,PH097300000,TABINA,PH097327000,"2,515",5613,0.448066987
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL SUR,PH097300000,TAMBULIG,PH097328000,"3,169",7686,0.412308093
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL SUR,PH097300000,TUKURAN,PH097330000,"3,533",8465,0.417365623
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL SUR,PH097300000,CITY OF ZAMBOANGA,PH097332000,"50,626",185621,0.272738537
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL SUR,PH097300000,LAKEWOOD,PH097333000,"2,551",4094,0.623106986
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL SUR,PH097300000,JOSEFINA,PH097337000,"1,021",2499,0.408563425
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL SUR,PH097300000,PITOGO,PH097338000,"2,367",5853,0.404407996
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL SUR,PH097300000,SOMINOT (DON MARIANO MARCOS),PH097340000,"1,420",4144,0.342664093
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL SUR,PH097300000,VINCENZO A. SAGUN,PH097341000,"2,153",4898,0.43956717
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL SUR,PH097300000,GUIPOS,PH097343000,"1,704",4302,0.39609484
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA DEL SUR,PH097300000,TIGBAO,PH097344000,"2,501",4591,0.54476149
Region IX (Zamboanga Peninsula),PH090000000,ZAMBOANGA SIBUGAY,PH098300000,ALICIA,PH098301000,"4,503",7630,0.59017038
