Region,PCODE_REG,Province,PCODE_PROV,City_Municipality,PCODE_MUN_CTY,Total # of Active HHs,housing_unit,
Region III (Central Luzon),PH030000000,NUEVA ECIJA,PH034900000,CITY OF GAPAN,PH034908000,"1,993",24586,0.081062393
Region III (Central Luzon),PH030000000,NUEVA ECIJA,PH034900000,GENERAL MAMERTO NATIVIDAD,PH034909000,"1,735",9320,0.186158798
Region III (Central Luzon),PH030000000,NUEVA ECIJA,PH034900000,GENERAL TINIO (PAPAYA),PH034910000,"1,516",10305,0.147113052
Region III (Central Luzon),PH030000000,NUEVA ECIJA,PH034900000,GUIMBA,PH034911000,"5,675",28325,0.200353045
Region III (Central Luzon),PH030000000,NUEVA ECIJA,PH034900000,JAEN,PH034912000,"3,908",17602,0.222020225
Region III (Central Luzon),PH030000000,NUEVA ECIJA,PH034900000,LAUR,PH034913000,"2,112",8522,0.247829148
Region III (Central Luzon),PH030000000,NUEVA ECIJA,PH034900000,LICAB,PH034914000,"1,682",6374,0.263884531
Region III (Central Luzon),PH030000000,NUEVA ECIJA,PH034900000,LLANERA,PH034915000,"1,611",9552,0.168655779
Region III (Central Luzon),PH030000000,NUEVA ECIJA,PH034900000,LUPAO,PH034916000,"2,378",9987,0.238109542
Region III (Central Luzon),PH030000000,NUEVA ECIJA,PH034900000,SCIENCE CITY OF MUÑOZ,PH034917000,"3,730",18907,0.19728143
Region III (Central Luzon),PH030000000,NUEVA ECIJA,PH034900000,NAMPICUAN,PH034918000,783,3018,0.25944334
Region III (Central Luzon),PH030000000,NUEVA ECIJA,PH034900000,CITY OF PALAYAN (Capital),PH034919000,"1,339",9280,0.144288793
Region III (Central Luzon),PH030000000,NUEVA ECIJA,PH034900000,PANTABANGAN,PH034920000,"1,387",6107,0.227116424
Region III (Central Luzon),PH030000000,NUEVA ECIJA,PH034900000,PEÑARANDA,PH034921000,625,6819,0.091655668
Region III (Central Luzon),PH030000000,NUEVA ECIJA,PH034900000,QUEZON,PH034922000,"2,669",9443,0.282643228
Region III (Central Luzon),PH030000000,NUEVA ECIJA,PH034900000,RIZAL,PH034923000,"2,148",14751,0.145617246
Region III (Central Luzon),PH030000000,NUEVA ECIJA,PH034900000,SAN ANTONIO,PH034924000,"2,959",17419,0.169871979
Region III (Central Luzon),PH030000000,NUEVA ECIJA,PH034900000,SAN ISIDRO,PH034925000,"1,395",11312,0.123320368
Region III (Central Luzon),PH030000000,NUEVA ECIJA,PH034900000,SAN JOSE CITY,PH034926000,"4,187",32328,0.129516209
Region III (Central Luzon),PH030000000,NUEVA ECIJA,PH034900000,SAN LEONARDO,PH034927000,"1,810",14690,0.12321307
Region III (Central Luzon),PH030000000,NUEVA ECIJA,PH034900000,SANTA ROSA,PH034928000,"1,620",15659,0.103454882
Region III (Central Luzon),PH030000000,NUEVA ECIJA,PH034900000,SANTO DOMINGO,PH034929000,"2,312",14071,0.164309573
Region III (Central Luzon),PH030000000,NUEVA ECIJA,PH034900000,TALAVERA,PH034930000,"5,674",27987,0.202736985
Region III (Central Luzon),PH030000000,NUEVA ECIJA,PH034900000,TALUGTUG,PH034931000,"1,514",5776,0.262119114
Region III (Central Luzon),PH030000000,NUEVA ECIJA,PH034900000,ZARAGOZA,PH034932000,"2,021",10982,0.18402841
Region III (Central Luzon),PH030000000,PAMPANGA,PH035400000,CITY OF ANGELES,PH035401000,"3,269",94666,0.034531933
Region III (Central Luzon),PH030000000,PAMPANGA,PH035400000,APALIT,PH035402000,"2,909",22801,0.127582124
Region III (Central Luzon),PH030000000,PAMPANGA,PH035400000,ARAYAT,PH035403000,"3,473",27433,0.126599351
Region III (Central Luzon),PH030000000,PAMPANGA,PH035400000,BACOLOR,PH035404000,782,9375,0.083413333
Region III (Central Luzon),PH030000000,PAMPANGA,PH035400000,CANDABA,PH035405000,"4,943",22428,0.22039415
Region III (Central Luzon),PH030000000,PAMPANGA,PH035400000,FLORIDABLANCA,PH035406000,"2,196",28196,0.077883388
Region III (Central Luzon),PH030000000,PAMPANGA,PH035400000,GUAGUA,PH035407000,"2,190",24964,0.087726326
Region III (Central Luzon),PH030000000,PAMPANGA,PH035400000,LUBAO,PH035408000,"3,490",33868,0.103047124
Region III (Central Luzon),PH030000000,PAMPANGA,PH035400000,MABALACAT CITY,PH035409000,"2,249",55991,0.04016717
Region III (Central Luzon),PH030000000,PAMPANGA,PH035400000,MACABEBE,PH035410000,"2,520",15856,0.158930373
Region III (Central Luzon),PH030000000,PAMPANGA,PH035400000,MAGALANG,PH035411000,"1,880",23821,0.07892196
Region III (Central Luzon),PH030000000,PAMPANGA,PH035400000,MASANTOL,PH035412000,"2,061",11665,0.176682383
Region III (Central Luzon),PH030000000,PAMPANGA,PH035400000,MEXICO,PH035413000,"2,823",31281,0.090246475
Region III (Central Luzon),PH030000000,PAMPANGA,PH035400000,MINALIN,PH035414000,"1,162",9527,0.12196914
Region III (Central Luzon),PH030000000,PAMPANGA,PH035400000,PORAC,PH035415000,"3,376",27156,0.124318751
Region III (Central Luzon),PH030000000,PAMPANGA,PH035400000,CITY OF SAN FERNANDO (Capital),PH035416000,"2,816",66370,0.042428808
Region III (Central Luzon),PH030000000,PAMPANGA,PH035400000,SAN LUIS,PH035417000,"1,951",10865,0.179567418
Region III (Central Luzon),PH030000000,PAMPANGA,PH035400000,SAN SIMON,PH035418000,"1,262",11226,0.112417602
Region III (Central Luzon),PH030000000,PAMPANGA,PH035400000,SANTA ANA,PH035419000,"1,351",10636,0.127021437
Region III (Central Luzon),PH030000000,PAMPANGA,PH035400000,SANTA RITA,PH035420000,843,8830,0.095469989
Region III (Central Luzon),PH030000000,PAMPANGA,PH035400000,SANTO TOMAS,PH035421000,902,8675,0.103976945
Region III (Central Luzon),PH030000000,PAMPANGA,PH035400000,SASMUAN (Sexmoan),PH035422000,"1,054",5584,0.188753582
Region III (Central Luzon),PH030000000,TARLAC,PH036900000,ANAO,PH036901000,362,2685,0.134823091
Region III (Central Luzon),PH030000000,TARLAC,PH036900000,BAMBAN,PH036902000,"1,351",14739,0.091661578
Region III (Central Luzon),PH030000000,TARLAC,PH036900000,CAMILING,PH036903000,"1,572",19262,0.081611463
Region III (Central Luzon),PH030000000,TARLAC,PH036900000,CAPAS,PH036904000,"3,992",30762,0.129770496
Region III (Central Luzon),PH030000000,TARLAC,PH036900000,CONCEPCION,PH036905000,"4,223",32539,0.129782722
Region III (Central Luzon),PH030000000,TARLAC,PH036900000,GERONA,PH036906000,"2,819",21157,0.133241953
Region III (Central Luzon),PH030000000,TARLAC,PH036900000,LA PAZ,PH036907000,"2,175",13885,0.15664386
Region III (Central Luzon),PH030000000,TARLAC,PH036900000,MAYANTOC,PH036908000,"1,522",7456,0.204130901
Region III (Central Luzon),PH030000000,TARLAC,PH036900000,MONCADA,PH036909000,"1,940",13314,0.145711281
Region III (Central Luzon),PH030000000,TARLAC,PH036900000,PANIQUI,PH036910000,"2,185",22013,0.099259528
Region III (Central Luzon),PH030000000,TARLAC,PH036900000,PURA,PH036911000,607,5585,0.108683975
Region III (Central Luzon),PH030000000,TARLAC,PH036900000,RAMOS,PH036912000,918,4710,0.194904459
Region III (Central Luzon),PH030000000,TARLAC,PH036900000,SAN CLEMENTE,PH036913000,513,3017,0.17003646
Region III (Central Luzon),PH030000000,TARLAC,PH036900000,SAN MANUEL,PH036914000,944,5645,0.167227635
Region III (Central Luzon),PH030000000,TARLAC,PH036900000,SANTA IGNACIA,PH036915000,"1,226",11454,0.107036843
Region III (Central Luzon),PH030000000,TARLAC,PH036900000,CITY OF TARLAC (Capital),PH036916000,"7,462",74429,0.10025662
Region III (Central Luzon),PH030000000,TARLAC,PH036900000,VICTORIA,PH036917000,"1,908",15035,0.126903891
Region III (Central Luzon),PH030000000,TARLAC,PH036900000,SAN JOSE,PH036918000,"2,793",8357,0.334210841
Region III (Central Luzon),PH030000000,ZAMBALES,PH037100000,BOTOLAN,PH037101000,"1,950",13627,0.143098261
Region III (Central Luzon),PH030000000,ZAMBALES,PH037100000,CABANGAN,PH037102000,"1,163",5966,0.194937982
Region III (Central Luzon),PH030000000,ZAMBALES,PH037100000,CANDELARIA,PH037103000,913,6034,0.151309248
Region III (Central Luzon),PH030000000,ZAMBALES,PH037100000,CASTILLEJOS,PH037104000,995,16636,0.05981005
Region III (Central Luzon),PH030000000,ZAMBALES,PH037100000,IBA (Capital),PH037105000,"1,188",11450,0.103755459
Region III (Central Luzon),PH030000000,ZAMBALES,PH037100000,MASINLOC,PH037106000,"1,298",10620,0.122222222
Region III (Central Luzon),PH030000000,ZAMBALES,PH037100000,CITY OF OLONGAPO,PH037107000,"2,057",55265,0.037220664
Region III (Central Luzon),PH030000000,ZAMBALES,PH037100000,PALAUIG,PH037108000,"1,589",7857,0.202240041
Region III (Central Luzon),PH030000000,ZAMBALES,PH037100000,SAN ANTONIO,PH037109000,662,8572,0.077228185
Region III (Central Luzon),PH030000000,ZAMBALES,PH037100000,SAN FELIPE,PH037110000,705,5585,0.126230976
Region III (Central Luzon),PH030000000,ZAMBALES,PH037100000,SAN MARCELINO,PH037111000,"1,268",8019,0.158124454
Region III (Central Luzon),PH030000000,ZAMBALES,PH037100000,SAN NARCISO,PH037112000,716,7038,0.101733447
Region III (Central Luzon),PH030000000,ZAMBALES,PH037100000,SANTA CRUZ,PH037113000,"2,170",13680,0.158625731
Region III (Central Luzon),PH030000000,ZAMBALES,PH037100000,SUBIC,PH037114000,"2,355",24760,0.095113086
Region III (Central Luzon),PH030000000,AURORA,PH037700000,BALER (Capital),PH037701000,"1,002",8760,0.114383562
Region III (Central Luzon),PH030000000,AURORA,PH037700000,CASIGURAN,PH037702000,"1,301",5684,0.228888107
Region III (Central Luzon),PH030000000,AURORA,PH037700000,DILASAG,PH037703000,945,3860,0.244818653
Region III (Central Luzon),PH030000000,AURORA,PH037700000,DINALUNGAN,PH037704000,647,2658,0.243416102
Region III (Central Luzon),PH030000000,AURORA,PH037700000,DINGALAN,PH037705000,878,5706,0.153873116
Region III (Central Luzon),PH030000000,AURORA,PH037700000,DIPACULAO,PH037706000,"1,224",7024,0.174259681
Region III (Central Luzon),PH030000000,AURORA,PH037700000,MARIA AURORA,PH037707000,"1,620",9347,0.173317642
Region III (Central Luzon),PH030000000,AURORA,PH037700000,SAN LUIS,PH037708000,"1,149",6027,0.190642111
Region IV-A (CALABARZON),PH040000000,BATANGAS,PH041000000,AGONCILLO,PH041001000,"1,463",7806,0.187419933
Region IV-A (CALABARZON),PH040000000,BATANGAS,PH041000000,ALITAGTAG,PH041002000,953,5089,0.187266654
