"adminLevel","placeCode","indicator","value"
"3","060308603","population",18026
"3","060308601","population",4155
"3","060408510","population",5726
"3","060103906","population",4885
"3","060408517","population",18136
"3","060408516","population",8725
"3","060408515","population",5233
"3","060408514","population",8780
"3","060408513","population",19213
"3","060408511","population",9844
"3","060408512","population",10063
"3","010100209","population",29388
"3","010100318","population",13813
"3","010100322","population",25276
"3","010100321","population",11619
"3","010100320","population",12944
"3","010100319","population",22870
"3","010100314","population",13226
"3","010100212","population",10154
"3","010100211","population",13512
"3","010100210","population",12018
"3","010100207","population",20007
"3","010100208","population",104090
"3","010100313","population",6228
"3","010100317","population",7974
"3","010100316","population",7870
"3","010100315","population",17093
"3","050407923","population",168134
"3","050407922","population",90953
"3","010100104","population",29902
"3","010100106","population",19619
"3","010100105","population",22706
"3","010100103","population",17766
"3","010100102","population",12237
"3","010100101","population",18292
"3","020902812","population",23511
"3","020902624","population",17279
"3","020902709","population",2313
"3","020902708","population",2098
"3","020902707","population",2511
"3","020902706","population",1597
"3","020902705","population",1991
"3","020902710","population",2878
"3","020902704","population",7168
"3","020902703","population",9737
"3","020902813","population",5613
"3","020902814","population",6597
"3","020902815","population",2918
"3","020902816","population",4940
"3","020902820","population",9208
"3","020902621","population",2278
"3","020902622","population",3459
"3","020902628","population",5219
"3","020902817","population",3860
"3","020902702","population",14055
"3","020902701","population",6622
"3","020902819","population",6518
"3","020902627","population",2676
"3","020902626","population",4366
"3","020902818","population",3170
"3","021003316","population",39275
"3","021003401","population",84990
"3","021003627","population",49455
"3","021003524","population",11406
"3","021003607","population",2109
"3","021003608","population",20258
"3","021003606","population",23287
"3","021003609","population",10846
"3","021003610","population",23206
"3","021003404","population",3131
"3","021003405","population",7021
"3","021003403","population",7613
"3","021003402","population",7574
"3","021003518","population",10045
"3","021003317","population",4118
"3","021003519","population",5077
"3","021003523","population",4455
"3","021003522","population",7300
"3","021003520","population",4582
"3","021003521","population",5723
"3","021003525","population",5018
"3","021003311","population",24009
"3","021003315","population",31732
"3","021003312","population",47332
"3","021003314","population",10822
"3","021003313","population",66292
"3","021003626","population",22864
"3","021003628","population",6096
"3","020702907","population",8318
"3","020703114","population",5271
"3","020502527","population",3839
"3","020502519","population",7582
"3","020702901","population",14007
"3","020702902","population",14642
"3","020702903","population",16439
"3","020702904","population",10062
"3","020702906","population",1831
"3","020702905","population",8847
"3","020703108","population",8615
"3","020703109","population",6471
"3","020703110","population",4357
"3","020703111","population",5516
"3","020703112","population",8185
"3","020703117","population",3508
"3","020703116","population",2054
"3","020703115","population",3896
"3","020703113","population",6801
"3","020803208","population",15748
