index,countryCodeISO3,adminLevel,placeCode,indicator,value
234,ETH,3,ET030102,populationTotal,125416
235,ETH,3,ET030103,populationTotal,176925
236,ETH,3,ET030104,populationTotal,170869
237,ETH,3,ET030105,populationTotal,181394
238,ETH,3,ET030106,populationTotal,16477
239,ETH,3,ET030119,populationTotal,89102
240,ETH,3,ET030198,populationTotal,27908
241,ETH,3,ET030201,populationTotal,227428
242,ETH,3,ET030202,populationTotal,257065
243,ETH,3,ET030203,populationTotal,305058
244,ETH,3,ET030204,populationTotal,204232
245,ETH,3,ET030205,populationTotal,264177
246,ETH,3,ET030206,populationTotal,148446
247,ETH,3,ET030207,populationTotal,171552
248,ETH,3,ET030208,populationTotal,201784
249,ETH,3,ET030209,populationTotal,336653
250,ETH,3,ET030210,populationTotal,121685
251,ETH,3,ET030211,populationTotal,265626
252,ETH,3,ET030212,populationTotal,96991
253,ETH,3,ET030213,populationTotal,68827
254,ETH,3,ET030214,populationTotal,152271
255,ETH,3,ET030215,populationTotal,27191
256,ETH,3,ET030216,populationTotal,7365
257,ETH,3,ET030217,populationTotal,6179
258,ETH,3,ET030218,populationTotal,9826
259,ETH,3,ET030293,populationTotal,25657
260,ETH,3,ET030298,populationTotal,7464
261,ETH,3,ET030299,populationTotal,21992
262,ETH,3,ET030301,populationTotal,119768
263,ETH,3,ET030302,populationTotal,270386
264,ETH,3,ET030303,populationTotal,205043
265,ETH,3,ET030304,populationTotal,200533
266,ETH,3,ET030305,populationTotal,177864
267,ETH,3,ET030306,populationTotal,11475
268,ETH,3,ET030307,populationTotal,135408
269,ETH,3,ET030308,populationTotal,253961
270,ETH,3,ET030309,populationTotal,106351
271,ETH,3,ET030310,populationTotal,155146
272,ETH,3,ET030311,populationTotal,94356
273,ETH,3,ET030312,populationTotal,13000
274,ETH,3,ET030313,populationTotal,98326
275,ETH,3,ET030314,populationTotal,20653
276,ETH,3,ET030315,populationTotal,13037
277,ETH,3,ET030397,populationTotal,21424
278,ETH,3,ET030398,populationTotal,23670
279,ETH,3,ET030399,populationTotal,49660
280,ETH,3,ET030401,populationTotal,52075
281,ETH,3,ET030402,populationTotal,233463
282,ETH,3,ET030403,populationTotal,126518
283,ETH,3,ET030404,populationTotal,174993
284,ETH,3,ET030405,populationTotal,144507
285,ETH,3,ET030406,populationTotal,170871
286,ETH,3,ET030407,populationTotal,179555
287,ETH,3,ET030408,populationTotal,109086
288,ETH,3,ET030409,populationTotal,122495
289,ETH,3,ET030410,populationTotal,214996
290,ETH,3,ET030411,populationTotal,207102
291,ETH,3,ET030412,populationTotal,229916
