id,placeCode,value,countryCodeISO3,indicator,adminLevel
227,ET020106,557,ETH,total_idps,3
228,ET010201,0,ETH,total_idps,3
229,ET031106,812,ETH,total_idps,3
230,ET031112,0,ETH,total_idps,3
231,ET041015,16980,ETH,total_idps,3
232,ET160014,0,ETH,total_idps,3
233,ET040905,0,ETH,total_idps,3
234,ET040913,58,ETH,total_idps,3
235,ET160027,0,ETH,total_idps,3
236,ET040809,0,ETH,total_idps,3
237,ET041911,0,ETH,total_idps,3
238,ET041603,0,ETH,total_idps,3
239,ET040415,0,ETH,total_idps,3
240,ET160035,0,ETH,total_idps,3
241,ET070510,0,ETH,total_idps,3
242,ET041623,0,ETH,total_idps,3
243,ET040592,0,ETH,total_idps,3
244,ET030105,0,ETH,total_idps,3
245,ET030106,0,ETH,total_idps,3
246,ET041605,0,ETH,total_idps,3
247,ET160034,0,ETH,total_idps,3
248,ET160004,0,ETH,total_idps,3
249,ET041808,0,ETH,total_idps,3
250,ET041803,0,ETH,total_idps,3
251,ET020504,916,ETH,total_idps,3
252,ET072005,677,ETH,total_idps,3
253,ET020206,2112,ETH,total_idps,3
254,ET041408,0,ETH,total_idps,3
255,ET070307,0,ETH,total_idps,3
256,ET070602,0,ETH,total_idps,3
257,ET070611,0,ETH,total_idps,3
258,ET070609,779,ETH,total_idps,3
259,ET070603,259,ETH,total_idps,3
260,ET050603,5327,ETH,total_idps,3
261,ET030901,0,ETH,total_idps,3
262,ET030998,0,ETH,total_idps,3
263,ET060201,0,ETH,total_idps,3
264,ET040507,0,ETH,total_idps,3
265,ET050701,9648,ETH,total_idps,3
266,ET010506,0,ETH,total_idps,3
267,ET160006,0,ETH,total_idps,3
268,ET160025,0,ETH,total_idps,3
269,ET071009,0,ETH,total_idps,3
270,ET160033,0,ETH,total_idps,3
271,ET050788,2954,ETH,total_idps,3
272,ET040301,0,ETH,total_idps,3
273,ET040909,3185,ETH,total_idps,3
274,ET050392,3185,ETH,total_idps,3
275,ET070706,65571,ETH,total_idps,3
276,ET020503,1170,ETH,total_idps,3
277,ET042106,3802,ETH,total_idps,3
278,ET041304,0,ETH,total_idps,3
279,ET030311,0,ETH,total_idps,3
280,ET160030,0,ETH,total_idps,3
281,ET030104,0,ETH,total_idps,3
282,ET030198,0,ETH,total_idps,3
283,ET060205,0,ETH,total_idps,3
284,ET030607,0,ETH,total_idps,3
285,ET050504,2934,ETH,total_idps,3
286,ET030520,58,ETH,total_idps,3
287,ET030608,0,ETH,total_idps,3
288,ET040607,0,ETH,total_idps,3
289,ET030615,199,ETH,total_idps,3
290,ET030210,1053,ETH,total_idps,3
291,ET030713,0,ETH,total_idps,3
292,ET071103,5686,ETH,total_idps,3
293,ET030715,0,ETH,total_idps,3
294,ET070119,0,ETH,total_idps,3
295,ET070908,0,ETH,total_idps,3
296,ET150111,0,ETH,total_idps,3
297,ET041011,6952,ETH,total_idps,3
298,ET041097,0,ETH,total_idps,3
299,ET041608,9770,ETH,total_idps,3
300,ET040410,0,ETH,total_idps,3
301,ET041604,0,ETH,total_idps,3
