adminLevel,placeCode,indicator,value,countryCodeISO3
4,UG30670102,cattle,23543,UGA
4,UG30640101,cattle,6203,UGA
4,UG30640102,cattle,10449,UGA
4,UG30910101,cattle,9266,UGA
4,UG30960102,cattle,15158,UGA
4,UG30790101,cattle,51907,UGA
4,UG30810101,cattle,41732,UGA
4,UG30780101,cattle,38700,UGA
4,UG30960103,cattle,34851,UGA
4,UG30970101,cattle,24509,UGA
4,UG20460101,cattle,66416,UGA
4,UG30730101,cattle,15112,UGA
4,UG30830101,cattle,47205,UGA
4,UG30660101,cattle,35986,UGA
4,UG30650101,cattle,52525,UGA
4,UG30730102,cattle,28560,UGA
4,UG30650102,cattle,38721,UGA
4,UG30810102,cattle,30124,UGA
4,UG30810103,cattle,10249,UGA
4,UG30720201,cattle,35937,UGA
4,UG30950101,cattle,11297,UGA
4,UG30830201,cattle,47911,UGA
4,UG30660102,cattle,6173,UGA
4,UG30830102,cattle,18252,UGA
4,UG30680101,cattle,11197,UGA
4,UG30820101,cattle,29004,UGA
4,UG20590201,cattle,23323,UGA
4,UG30710101,cattle,17026,UGA
4,UG30730103,cattle,19467,UGA
4,UG30830103,cattle,35373,UGA
4,UG30680102,cattle,11400,UGA
4,UG30720301,cattle,42998,UGA
4,UG30720401,cattle,32174,UGA
4,UG31000102,cattle,12281,UGA
4,UG30790102,cattle,30013,UGA
4,UG30710102,cattle,9230,UGA
4,UG20270102,cattle,26782,UGA
4,UG20590202,cattle,15735,UGA
4,UG30710201,cattle,40702,UGA
4,UG20460102,cattle,27846,UGA
4,UG30670103,cattle,23601,UGA
4,UG30680103,cattle,6703,UGA
4,UG30910201,cattle,22596,UGA
4,UG31000103,cattle,33495,UGA
4,UG30950102,cattle,17925,UGA
4,UG30670104,cattle,17035,UGA
4,UG30960104,cattle,28924,UGA
4,UG30640103,cattle,6252,UGA
4,UG30920101,cattle,9622,UGA
4,UG30930101,cattle,61108,UGA
4,UG30790103,cattle,39133,UGA
4,UG30670105,cattle,35028,UGA
4,UG20410101,cattle,28927,UGA
4,UG30980101,cattle,39070,UGA
4,UG30830104,cattle,44309,UGA
4,UG30680104,cattle,10941,UGA
4,UG30690101,cattle,38662,UGA
4,UG30690102,cattle,13214,UGA
4,UG30670106,cattle,31982,UGA
4,UG20450201,cattle,6508,UGA
4,UG20270103,cattle,13681,UGA
4,UG30700101,cattle,26199,UGA
4,UG30700102,cattle,14368,UGA
4,UG30730104,cattle,11472,UGA
4,UG30920102,cattle,7763,UGA
4,UG30920103,cattle,10664,UGA
4,UG30970102,cattle,30879,UGA
4,UG20420101,cattle,25256,UGA
4,UG30840101,cattle,6789,UGA
4,UG30710202,cattle,27136,UGA
4,UG30670107,cattle,23413,UGA
4,UG20420102,cattle,12741,UGA
4,UG20270104,cattle,25606,UGA
4,UG20410102,cattle,11327,UGA
4,UG30990101,cattle,70219,UGA
4,UG20590203,cattle,28914,UGA
4,UG30680105,cattle,17305,UGA
4,UG20620101,cattle,53120,UGA
4,UG30650103,cattle,9964,UGA
4,UG30720402,cattle,26583,UGA
4,UG30990102,cattle,35643,UGA
4,UG30710103,cattle,8904,UGA
4,UG30720202,cattle,28665,UGA
4,UG30830105,cattle,36643,UGA
4,UG30720101,cattle,21502,UGA
4,UG30660103,cattle,39518,UGA
4,UG30680106,cattle,17788,UGA
4,UG20270105,cattle,41433,UGA
4,UG20620102,cattle,49960,UGA
4,UG30970103,cattle,10627,UGA
4,UG30910202,cattle,11930,UGA
4,UG31000104,cattle,19240,UGA
4,UG20600201,cattle,26288,UGA
4,UG30710104,cattle,7670,UGA
4,UG30700103,cattle,39405,UGA
4,UG20490101,cattle,27877,UGA
4,UG31000105,cattle,20779,UGA
4,UG30640104,cattle,6098,UGA
4,UG30740101,cattle,18757,UGA
4,UG30670108,cattle,34935,UGA
4,UG30680107,cattle,9020,UGA
4,UG30970104,cattle,37215,UGA
4,UG30790104,cattle,42999,UGA
4,UG30720203,cattle,27683,UGA
4,UG10200201,cattle,6488,UGA
4,UG20530101,cattle,57898,UGA
4,UG30790105,cattle,48318,UGA
4,UG20440101,cattle,28193,UGA
4,UG10140101,cattle,35397,UGA
4,UG10120110,cattle,31010,UGA
4,UG10120111,cattle,5424,UGA
4,UG20550101,cattle,64520,UGA
4,UG30740201,cattle,62053,UGA
4,UG30830106,cattle,42765,UGA
4,UG30730105,cattle,20441,UGA
4,UG10100101,cattle,13843,UGA
4,UG10180101,cattle,14686,UGA
4,UG20500101,cattle,15533,UGA
4,UG10020101,cattle,43254,UGA
4,UG41130101,cattle,23323,UGA
4,UG41010101,cattle,14807,UGA
4,UG41130102,cattle,23832,UGA
4,UG41260101,cattle,26369,UGA
4,UG41020101,cattle,9207,UGA
4,UG30720302,cattle,21806,UGA
4,UG20500102,cattle,7038,UGA
4,UG20500103,cattle,4976,UGA
4,UG41120101,cattle,18884,UGA
