placeCode,value,indicator,countryCodeISO3,adminLevel
SS020501,32980,populationTotal,SSD,3
SS020502,38305,populationTotal,SSD,3
SS020503,38627,populationTotal,SSD,3
SS020504,32765,populationTotal,SSD,3
SS020505,228315,populationTotal,SSD,3
SS020601,54713,populationTotal,SSD,3
SS020602,247194,populationTotal,SSD,3
SS020603,28854,populationTotal,SSD,3
SS020604,19774,populationTotal,SSD,3
SS020605,42193,populationTotal,SSD,3
SS020606,22658,populationTotal,SSD,3
SS020607,39053,populationTotal,SSD,3
SS020608,41155,populationTotal,SSD,3
SS020701,62664,populationTotal,SSD,3
SS020702,176598,populationTotal,SSD,3
SS020703,37101,populationTotal,SSD,3
SS020704,53223,populationTotal,SSD,3
SS020705,333402,populationTotal,SSD,3
SS020706,128759,populationTotal,SSD,3
SS020801,74458,populationTotal,SSD,3
SS020802,69307,populationTotal,SSD,3
SS020803,104835,populationTotal,SSD,3
SS020804,80830,populationTotal,SSD,3
SS020805,58998,populationTotal,SSD,3
SS020806,70182,populationTotal,SSD,3
SS020807,7012,populationTotal,SSD,3
SS030101,9397,populationTotal,SSD,3
SS030102,11489,populationTotal,SSD,3
SS030103,20101,populationTotal,SSD,3
SS030104,6489,populationTotal,SSD,3
SS030105,14657,populationTotal,SSD,3
SS030106,43479,populationTotal,SSD,3
SS030107,33131,populationTotal,SSD,3
SS030108,3284,populationTotal,SSD,3
SS030201,18989,populationTotal,SSD,3
SS030202,4015,populationTotal,SSD,3
SS030203,28929,populationTotal,SSD,3
SS030204,22543,populationTotal,SSD,3
SS030205,9407,populationTotal,SSD,3
SS030206,36499,populationTotal,SSD,3
SS030207,25544,populationTotal,SSD,3
SS030301,34639,populationTotal,SSD,3
SS030302,61863,populationTotal,SSD,3
SS030303,8793,populationTotal,SSD,3
SS030304,27202,populationTotal,SSD,3
SS030305,56241,populationTotal,SSD,3
SS030306,41824,populationTotal,SSD,3
SS030401,15868,populationTotal,SSD,3
SS030402,26156,populationTotal,SSD,3
SS030403,815,populationTotal,SSD,3
SS030404,4126,populationTotal,SSD,3
SS030405,12083,populationTotal,SSD,3
SS030406,21206,populationTotal,SSD,3
SS030407,3170,populationTotal,SSD,3
SS030408,19600,populationTotal,SSD,3
SS030501,7780,populationTotal,SSD,3
SS030502,27486,populationTotal,SSD,3
SS030503,7021,populationTotal,SSD,3
SS030504,8804,populationTotal,SSD,3
SS030505,10830,populationTotal,SSD,3
SS030506,6650,populationTotal,SSD,3
SS030601,22149,populationTotal,SSD,3
SS030602,26709,populationTotal,SSD,3
SS030603,20258,populationTotal,SSD,3
SS030604,42786,populationTotal,SSD,3
SS030605,871,populationTotal,SSD,3
SS030701,20324,populationTotal,SSD,3
SS030702,14142,populationTotal,SSD,3
SS030703,10830,populationTotal,SSD,3
SS030704,21119,populationTotal,SSD,3
SS030705,37089,populationTotal,SSD,3
SS030706,9820,populationTotal,SSD,3
SS030801,15480,populationTotal,SSD,3
SS030802,17488,populationTotal,SSD,3
SS030803,37066,populationTotal,SSD,3
SS030804,12139,populationTotal,SSD,3
SS030805,9193,populationTotal,SSD,3
SS030806,17796,populationTotal,SSD,3
SS030807,16931,populationTotal,SSD,3
SS030808,28737,populationTotal,SSD,3
SS030901,21460,populationTotal,SSD,3
SS030902,4966,populationTotal,SSD,3
SS030903,8635,populationTotal,SSD,3
SS030904,7392,populationTotal,SSD,3
SS030905,26029,populationTotal,SSD,3
SS031001,23863,populationTotal,SSD,3
SS031002,8953,populationTotal,SSD,3
SS031003,12715,populationTotal,SSD,3
SS031004,20401,populationTotal,SSD,3
SS031005,23112,populationTotal,SSD,3
SS031101,15520,populationTotal,SSD,3
SS031102,7863,populationTotal,SSD,3
SS031103,23419,populationTotal,SSD,3
SS031104,40227,populationTotal,SSD,3
SS031105,60174,populationTotal,SSD,3
SS031106,4329,populationTotal,SSD,3
SS031107,25650,populationTotal,SSD,3
SS031108,9020,populationTotal,SSD,3
SS040101,5686,populationTotal,SSD,3
SS040102,5022,populationTotal,SSD,3
SS040103,1025,populationTotal,SSD,3
SS040104,6281,populationTotal,SSD,3
SS040105,4380,populationTotal,SSD,3
SS040106,2702,populationTotal,SSD,3
SS040107,8451,populationTotal,SSD,3
SS040108,7885,populationTotal,SSD,3
SS040201,13186,populationTotal,SSD,3
SS040202,18225,populationTotal,SSD,3
SS040203,10152,populationTotal,SSD,3
SS040204,39344,populationTotal,SSD,3
SS040205,6361,populationTotal,SSD,3
SS040206,2849,populationTotal,SSD,3
SS040207,13580,populationTotal,SSD,3
SS040301,34073,populationTotal,SSD,3
SS040302,9429,populationTotal,SSD,3
SS040303,13495,populationTotal,SSD,3
SS040304,47894,populationTotal,SSD,3
SS040305,30329,populationTotal,SSD,3
SS040401,13366,populationTotal,SSD,3
SS040402,7068,populationTotal,SSD,3
SS040403,10686,populationTotal,SSD,3
SS040404,16374,populationTotal,SSD,3
SS040405,5724,populationTotal,SSD,3
SS040406,10791,populationTotal,SSD,3
SS040407,44159,populationTotal,SSD,3
SS040501,600,populationTotal,SSD,3
SS040502,3048,populationTotal,SSD,3
SS040503,10557,populationTotal,SSD,3
SS040504,389,populationTotal,SSD,3
SS040505,22805,populationTotal,SSD,3
SS040506,829,populationTotal,SSD,3
SS040601,14048,populationTotal,SSD,3
SS040602,15882,populationTotal,SSD,3
SS040603,855,populationTotal,SSD,3
SS040604,4925,populationTotal,SSD,3
SS040701,15668,populationTotal,SSD,3
SS040702,3625,populationTotal,SSD,3
SS040703,21501,populationTotal,SSD,3
SS040704,8636,populationTotal,SSD,3
SS040705,7535,populationTotal,SSD,3
SS040706,2370,populationTotal,SSD,3
SS040801,8160,populationTotal,SSD,3
SS040802,4099,populationTotal,SSD,3
SS040803,16446,populationTotal,SSD,3
SS040804,29871,populationTotal,SSD,3
SS040805,12281,populationTotal,SSD,3
SS040806,3774,populationTotal,SSD,3
SS040807,16240,populationTotal,SSD,3
SS050101,4982,populationTotal,SSD,3
SS050102,3968,populationTotal,SSD,3
SS050103,3919,populationTotal,SSD,3
SS050104,863,populationTotal,SSD,3
SS050105,4449,populationTotal,SSD,3
SS050106,3828,populationTotal,SSD,3
SS050107,5694,populationTotal,SSD,3
SS050201,42876,populationTotal,SSD,3
SS050202,36588,populationTotal,SSD,3
SS050203,57041,populationTotal,SSD,3
SS050204,12902,populationTotal,SSD,3
SS050205,11579,populationTotal,SSD,3
SS050206,11433,populationTotal,SSD,3
SS050207,17909,populationTotal,SSD,3
SS050208,14927,populationTotal,SSD,3
SS050301,6889,populationTotal,SSD,3
SS050302,12391,populationTotal,SSD,3
SS050303,17084,populationTotal,SSD,3
SS050304,16379,populationTotal,SSD,3
SS050305,32774,populationTotal,SSD,3
SS050401,2183,populationTotal,SSD,3
SS050402,5496,populationTotal,SSD,3
SS050403,3045,populationTotal,SSD,3
SS050404,5057,populationTotal,SSD,3
SS050405,4389,populationTotal,SSD,3
SS050406,4133,populationTotal,SSD,3
SS050407,8521,populationTotal,SSD,3
SS050408,9280,populationTotal,SSD,3
SS050409,6777,populationTotal,SSD,3
SS050501,19668,populationTotal,SSD,3
SS050502,1087,populationTotal,SSD,3
SS050503,8840,populationTotal,SSD,3
SS050504,7299,populationTotal,SSD,3
SS050505,10401,populationTotal,SSD,3
SS050506,11739,populationTotal,SSD,3
SS050507,9785,populationTotal,SSD,3
SS050508,9452,populationTotal,SSD,3
SS050509,11506,populationTotal,SSD,3
SS050510,20300,populationTotal,SSD,3
SS060101,6879,populationTotal,SSD,3
SS060102,4592,populationTotal,SSD,3
SS060103,4265,populationTotal,SSD,3
SS060104,3164,populationTotal,SSD,3
SS060201,2007,populationTotal,SSD,3
SS060202,8250,populationTotal,SSD,3
SS060203,9669,populationTotal,SSD,3
SS060204,3449,populationTotal,SSD,3
SS060205,6694,populationTotal,SSD,3
SS060206,2873,populationTotal,SSD,3
SS060207,4569,populationTotal,SSD,3
SS060301,11254,populationTotal,SSD,3
SS060302,8395,populationTotal,SSD,3
SS060303,26221,populationTotal,SSD,3
SS060304,2407,populationTotal,SSD,3
SS060305,12596,populationTotal,SSD,3
SS060306,10221,populationTotal,SSD,3
SS060307,13231,populationTotal,SSD,3
SS060401,10111,populationTotal,SSD,3
SS060402,1868,populationTotal,SSD,3
SS060403,2187,populationTotal,SSD,3
SS060404,1627,populationTotal,SSD,3
SS060405,3974,populationTotal,SSD,3
SS060406,8370,populationTotal,SSD,3
SS060407,12662,populationTotal,SSD,3
SS060408,18317,populationTotal,SSD,3
SS060501,7592,populationTotal,SSD,3
SS060502,5803,populationTotal,SSD,3
SS060503,4230,populationTotal,SSD,3
SS060504,7165,populationTotal,SSD,3
SS060505,19192,populationTotal,SSD,3
SS060506,2582,populationTotal,SSD,3
SS060507,2466,populationTotal,SSD,3
SS060508,10702,populationTotal,SSD,3
SS060509,1016,populationTotal,SSD,3
SS060601,3701,populationTotal,SSD,3
SS060602,26272,populationTotal,SSD,3
SS060603,6627,populationTotal,SSD,3
SS060604,6255,populationTotal,SSD,3
SS060605,5508,populationTotal,SSD,3
SS060606,22680,populationTotal,SSD,3
SS060607,21123,populationTotal,SSD,3
SS060608,3113,populationTotal,SSD,3
SS060609,634,populationTotal,SSD,3
SS060610,1367,populationTotal,SSD,3
SS060611,12400,populationTotal,SSD,3
SS060612,26718,populationTotal,SSD,3
SS060701,1420,populationTotal,SSD,3
SS060702,8504,populationTotal,SSD,3
SS060703,6706,populationTotal,SSD,3
SS060704,16447,populationTotal,SSD,3
SS060705,3077,populationTotal,SSD,3
SS060706,5397,populationTotal,SSD,3
SS060707,4029,populationTotal,SSD,3
SS060708,5282,populationTotal,SSD,3
SS060709,2493,populationTotal,SSD,3
SS060710,4040,populationTotal,SSD,3
SS060801,23050,populationTotal,SSD,3
SS060802,14031,populationTotal,SSD,3
SS060803,19247,populationTotal,SSD,3
SS060804,15992,populationTotal,SSD,3
SS060805,496,populationTotal,SSD,3
SS060806,12609,populationTotal,SSD,3
SS060807,6656,populationTotal,SSD,3
SS060901,3809,populationTotal,SSD,3
SS060902,41821,populationTotal,SSD,3
SS060903,11046,populationTotal,SSD,3
SS060904,3799,populationTotal,SSD,3
SS060905,2593,populationTotal,SSD,3
SS060906,13043,populationTotal,SSD,3
SS060907,10835,populationTotal,SSD,3
SS060908,25884,populationTotal,SSD,3
SS060909,429,populationTotal,SSD,3
SS070101,4321,populationTotal,SSD,3
SS070102,2412,populationTotal,SSD,3
SS070103,6168,populationTotal,SSD,3
SS070104,26820,populationTotal,SSD,3
SS070105,3005,populationTotal,SSD,3
SS070106,603,populationTotal,SSD,3
SS070107,5701,populationTotal,SSD,3
SS070108,1217,populationTotal,SSD,3
SS070109,1061,populationTotal,SSD,3
SS070201,4004,populationTotal,SSD,3
SS070202,16357,populationTotal,SSD,3
SS070203,234,populationTotal,SSD,3
SS070204,18414,populationTotal,SSD,3
SS070301,14015,populationTotal,SSD,3
SS070302,29875,populationTotal,SSD,3
SS070303,4247,populationTotal,SSD,3
SS070304,1381,populationTotal,SSD,3
SS070305,15718,populationTotal,SSD,3
SS070306,2183,populationTotal,SSD,3
SS070401,12936,populationTotal,SSD,3
SS070402,22844,populationTotal,SSD,3
SS070403,66707,populationTotal,SSD,3
SS070404,15953,populationTotal,SSD,3
SS070405,50561,populationTotal,SSD,3
SS070406,37094,populationTotal,SSD,3
SS070407,7874,populationTotal,SSD,3
SS070408,8948,populationTotal,SSD,3
SS070501,7923,populationTotal,SSD,3
SS070502,10206,populationTotal,SSD,3
SS070503,6780,populationTotal,SSD,3
SS070504,19213,populationTotal,SSD,3
SS070505,4168,populationTotal,SSD,3
SS070601,12314,populationTotal,SSD,3
SS070602,21169,populationTotal,SSD,3
SS070603,20526,populationTotal,SSD,3
SS070604,9535,populationTotal,SSD,3
SS070605,18782,populationTotal,SSD,3
SS070701,540,populationTotal,SSD,3
SS070702,729,populationTotal,SSD,3
SS070703,84875,populationTotal,SSD,3
SS070704,1792,populationTotal,SSD,3
SS070705,44060,populationTotal,SSD,3
SS070706,3112,populationTotal,SSD,3
SS070801,8503,populationTotal,SSD,3
SS070802,9368,populationTotal,SSD,3
SS070803,3070,populationTotal,SSD,3
SS070804,19578,populationTotal,SSD,3
SS070901,9729,populationTotal,SSD,3
SS070902,8249,populationTotal,SSD,3
SS070903,5252,populationTotal,SSD,3
SS070904,3300,populationTotal,SSD,3
SS070905,12818,populationTotal,SSD,3
SS071001,5843,populationTotal,SSD,3
SS071002,7680,populationTotal,SSD,3
SS071003,9173,populationTotal,SSD,3
SS071004,5198,populationTotal,SSD,3
SS071005,2077,populationTotal,SSD,3
SS071006,7910,populationTotal,SSD,3
SS071007,12903,populationTotal,SSD,3
SS071101,26776,populationTotal,SSD,3
SS071102,35633,populationTotal,SSD,3
SS071103,72934,populationTotal,SSD,3
SS071104,18690,populationTotal,SSD,3
SS071105,2284,populationTotal,SSD,3
SS071201,21879,populationTotal,SSD,3
SS071202,37459,populationTotal,SSD,3
SS071203,22270,populationTotal,SSD,3
SS071204,9137,populationTotal,SSD,3
SS080101,1374,populationTotal,SSD,3
SS080102,11328,populationTotal,SSD,3
SS080103,14109,populationTotal,SSD,3
SS080104,34372,populationTotal,SSD,3
SS080105,10677,populationTotal,SSD,3
SS080106,10866,populationTotal,SSD,3
SS080201,8308,populationTotal,SSD,3
SS080202,13902,populationTotal,SSD,3
SS080203,28229,populationTotal,SSD,3
SS080204,22715,populationTotal,SSD,3
SS080205,11707,populationTotal,SSD,3
SS080206,25315,populationTotal,SSD,3
SS080207,42653,populationTotal,SSD,3
SS080208,23080,populationTotal,SSD,3
SS080209,19460,populationTotal,SSD,3
SS080301,14344,populationTotal,SSD,3
SS080302,11286,populationTotal,SSD,3
SS080303,9418,populationTotal,SSD,3
SS080304,5767,populationTotal,SSD,3
SS080305,6379,populationTotal,SSD,3
SS080306,6683,populationTotal,SSD,3
SS080307,18068,populationTotal,SSD,3
SS080308,2612,populationTotal,SSD,3
SS080309,4797,populationTotal,SSD,3
SS080310,4785,populationTotal,SSD,3
SS080311,8869,populationTotal,SSD,3
SS080401,15156,populationTotal,SSD,3
SS080402,15251,populationTotal,SSD,3
SS080403,19265,populationTotal,SSD,3
SS080404,12365,populationTotal,SSD,3
SS080405,8479,populationTotal,SSD,3
SS080406,14578,populationTotal,SSD,3
SS080407,12460,populationTotal,SSD,3
SS080408,14540,populationTotal,SSD,3
SS080409,14683,populationTotal,SSD,3
SS080410,5560,populationTotal,SSD,3
SS080501,4311,populationTotal,SSD,3
SS080502,13069,populationTotal,SSD,3
SS080503,6846,populationTotal,SSD,3
SS080504,33789,populationTotal,SSD,3
SS080505,11340,populationTotal,SSD,3
SS080601,16857,populationTotal,SSD,3
SS080602,14756,populationTotal,SSD,3
SS080603,29051,populationTotal,SSD,3
SS080604,30407,populationTotal,SSD,3
SS080605,35256,populationTotal,SSD,3
SS080606,37737,populationTotal,SSD,3
SS080701,308,populationTotal,SSD,3
SS090101,18029,populationTotal,SSD,3
SS090102,46224,populationTotal,SSD,3
SS090103,9884,populationTotal,SSD,3
SS090104,22161,populationTotal,SSD,3
SS090105,17316,populationTotal,SSD,3
SS090106,7527,populationTotal,SSD,3
SS090201,22526,populationTotal,SSD,3
SS090202,6699,populationTotal,SSD,3
SS090203,9195,populationTotal,SSD,3
SS090204,12442,populationTotal,SSD,3
SS090301,66527,populationTotal,SSD,3
SS090302,38573,populationTotal,SSD,3
SS090303,35700,populationTotal,SSD,3
SS090304,854,populationTotal,SSD,3
SS090305,1812,populationTotal,SSD,3
SS100101,4085,populationTotal,SSD,3
SS100102,16785,populationTotal,SSD,3
SS100103,8089,populationTotal,SSD,3
SS100104,7771,populationTotal,SSD,3
SS100105,12133,populationTotal,SSD,3
SS100106,34693,populationTotal,SSD,3
SS100201,6282,populationTotal,SSD,3
SS100202,6955,populationTotal,SSD,3
SS100203,15108,populationTotal,SSD,3
SS100204,9168,populationTotal,SSD,3
SS100205,6280,populationTotal,SSD,3
SS100301,20203,populationTotal,SSD,3
SS100302,11517,populationTotal,SSD,3
SS100303,36934,populationTotal,SSD,3
SS100304,7325,populationTotal,SSD,3
SS100305,10657,populationTotal,SSD,3
SS100401,12515,populationTotal,SSD,3
SS100402,4359,populationTotal,SSD,3
SS100403,10397,populationTotal,SSD,3
SS100404,6127,populationTotal,SSD,3
SS100405,17470,populationTotal,SSD,3
SS100501,6188,populationTotal,SSD,3
SS100502,5284,populationTotal,SSD,3
SS100503,15066,populationTotal,SSD,3
SS100504,9232,populationTotal,SSD,3
SS100601,12899,populationTotal,SSD,3
SS100602,6754,populationTotal,SSD,3
SS100603,3932,populationTotal,SSD,3
SS100604,5261,populationTotal,SSD,3
SS100605,4325,populationTotal,SSD,3
SS100606,7667,populationTotal,SSD,3
SS100607,9837,populationTotal,SSD,3
SS100701,10609,populationTotal,SSD,3
SS100801,9978,populationTotal,SSD,3
SS100802,11405,populationTotal,SSD,3
SS100803,28276,populationTotal,SSD,3
SS100804,9946,populationTotal,SSD,3
SS100805,8244,populationTotal,SSD,3
SS100901,11276,populationTotal,SSD,3
SS100902,26339,populationTotal,SSD,3
SS100903,5913,populationTotal,SSD,3
SS100904,14160,populationTotal,SSD,3
SS101001,47583,populationTotal,SSD,3
SS101002,19333,populationTotal,SSD,3
SS101003,39078,populationTotal,SSD,3
SS101004,27687,populationTotal,SSD,3
SS101005,25056,populationTotal,SSD,3
SS0101,428341,populationTotal,SSD,2
SS0102,225037,populationTotal,SSD,2
SS0103,103837,populationTotal,SSD,2
SS0104,116017,populationTotal,SSD,2
SS0105,167848,populationTotal,SSD,2
SS0106,233391,populationTotal,SSD,2
SS0201,463256,populationTotal,SSD,2
SS0202,395169,populationTotal,SSD,2
SS0203,755790,populationTotal,SSD,2
SS0204,481230,populationTotal,SSD,2
SS0205,370992,populationTotal,SSD,2
SS0206,495594,populationTotal,SSD,2
SS0207,791747,populationTotal,SSD,2
SS0208,465622,populationTotal,SSD,2
SS0301,142027,populationTotal,SSD,2
SS0302,145926,populationTotal,SSD,2
SS0303,230562,populationTotal,SSD,2
SS0304,103024,populationTotal,SSD,2
SS0305,68571,populationTotal,SSD,2
SS0306,112773,populationTotal,SSD,2
SS0307,113324,populationTotal,SSD,2
SS0308,154830,populationTotal,SSD,2
SS0309,68482,populationTotal,SSD,2
SS0310,89044,populationTotal,SSD,2
SS0311,186202,populationTotal,SSD,2
SS0401,41432,populationTotal,SSD,2
SS0402,103697,populationTotal,SSD,2
SS0403,135220,populationTotal,SSD,2
SS0404,108168,populationTotal,SSD,2
SS0405,38228,populationTotal,SSD,2
SS0406,35710,populationTotal,SSD,2
SS0407,59335,populationTotal,SSD,2
SS0408,90871,populationTotal,SSD,2
SS0501,27703,populationTotal,SSD,2
SS0502,205255,populationTotal,SSD,2
SS0503,85517,populationTotal,SSD,2
SS0504,48881,populationTotal,SSD,2
SS0505,110077,populationTotal,SSD,2
SS0601,18900,populationTotal,SSD,2
SS0602,37511,populationTotal,SSD,2
SS0603,84325,populationTotal,SSD,2
SS0604,59116,populationTotal,SSD,2
SS0605,60748,populationTotal,SSD,2
SS0606,136398,populationTotal,SSD,2
SS0607,57395,populationTotal,SSD,2
SS0608,92081,populationTotal,SSD,2
SS0609,113259,populationTotal,SSD,2
SS0701,51308,populationTotal,SSD,2
SS0702,39009,populationTotal,SSD,2
SS0703,67419,populationTotal,SSD,2
SS0704,222917,populationTotal,SSD,2
SS0705,48290,populationTotal,SSD,2
SS0706,82326,populationTotal,SSD,2
SS0707,135108,populationTotal,SSD,2
SS0708,40519,populationTotal,SSD,2
SS0709,39348,populationTotal,SSD,2
SS0710,50784,populationTotal,SSD,2
SS0711,156317,populationTotal,SSD,2
SS0712,90745,populationTotal,SSD,2
SS0801,82726,populationTotal,SSD,2
SS0802,195369,populationTotal,SSD,2
SS0803,93008,populationTotal,SSD,2
SS0804,132337,populationTotal,SSD,2
SS0805,69355,populationTotal,SSD,2
SS0806,164064,populationTotal,SSD,2
SS0807,308,populationTotal,SSD,2
SS0901,121141,populationTotal,SSD,2
SS0902,50862,populationTotal,SSD,2
SS0903,143466,populationTotal,SSD,2
SS1001,83556,populationTotal,SSD,2
SS1002,43793,populationTotal,SSD,2
SS1003,86636,populationTotal,SSD,2
SS1004,50868,populationTotal,SSD,2
SS1005,35770,populationTotal,SSD,2
SS1006,50675,populationTotal,SSD,2
SS1007,10609,populationTotal,SSD,2
SS1008,67849,populationTotal,SSD,2
SS1009,57688,populationTotal,SSD,2
SS1010,158737,populationTotal,SSD,2
SS01,1274471,populationTotal,SSD,1
SS02,4219400,populationTotal,SSD,1
SS03,1414765,populationTotal,SSD,1
SS04,612661,populationTotal,SSD,1
SS05,477433,populationTotal,SSD,1
SS06,659733,populationTotal,SSD,1
SS07,1024090,populationTotal,SSD,1
SS08,737167,populationTotal,SSD,1
SS09,315469,populationTotal,SSD,1
SS10,646181,populationTotal,SSD,1
