id,adminLevel,placeCode,value,countryCodeISO3,indicator
156,3,ET030303,2,ETH,Hotspot_Nutrition
157,3,ET030304,3,ETH,Hotspot_Nutrition
158,3,ET030305,2,ETH,Hotspot_Nutrition
159,3,ET030307,2,ETH,Hotspot_Nutrition
160,3,ET030308,2,ETH,Hotspot_Nutrition
161,3,ET030309,0.1,ETH,Hotspot_Nutrition
162,3,ET030310,2,ETH,Hotspot_Nutrition
163,3,ET030311,2,ETH,Hotspot_Nutrition
164,3,ET030312,2,ETH,Hotspot_Nutrition
165,3,ET030313,2,ETH,Hotspot_Nutrition
166,3,ET030397,0.1,ETH,Hotspot_Nutrition
167,3,ET030398,0.1,ETH,Hotspot_Nutrition
168,3,ET030399,0.1,ETH,Hotspot_Nutrition
169,3,ET030401,0.1,ETH,Hotspot_Nutrition
170,3,ET030402,0.1,ETH,Hotspot_Nutrition
171,3,ET030403,0.1,ETH,Hotspot_Nutrition
172,3,ET030404,0.1,ETH,Hotspot_Nutrition
173,3,ET030405,0.1,ETH,Hotspot_Nutrition
174,3,ET030406,0.1,ETH,Hotspot_Nutrition
175,3,ET030407,0.1,ETH,Hotspot_Nutrition
176,3,ET030408,0.1,ETH,Hotspot_Nutrition
177,3,ET030409,0.1,ETH,Hotspot_Nutrition
178,3,ET030410,0.1,ETH,Hotspot_Nutrition
179,3,ET030411,0.1,ETH,Hotspot_Nutrition
180,3,ET030412,0.1,ETH,Hotspot_Nutrition
181,3,ET030413,0.1,ETH,Hotspot_Nutrition
182,3,ET030414,0.1,ETH,Hotspot_Nutrition
183,3,ET030415,0.1,ETH,Hotspot_Nutrition
184,3,ET030416,0.1,ETH,Hotspot_Nutrition
185,3,ET030417,0.1,ETH,Hotspot_Nutrition
186,3,ET030418,0.1,ETH,Hotspot_Nutrition
187,3,ET030419,0.1,ETH,Hotspot_Nutrition
188,3,ET030420,0.1,ETH,Hotspot_Nutrition
189,3,ET030421,0.1,ETH,Hotspot_Nutrition
190,3,ET030422,0.1,ETH,Hotspot_Nutrition
191,3,ET030423,0.1,ETH,Hotspot_Nutrition
192,3,ET030498,0.1,ETH,Hotspot_Nutrition
193,3,ET030499,0.1,ETH,Hotspot_Nutrition
194,3,ET030401,3,ETH,Hotspot_Nutrition
195,3,ET030402,3,ETH,Hotspot_Nutrition
196,3,ET030503,0.1,ETH,Hotspot_Nutrition
197,3,ET030504,0.1,ETH,Hotspot_Nutrition
198,3,ET030403,3,ETH,Hotspot_Nutrition
199,3,ET030404,3,ETH,Hotspot_Nutrition
200,3,ET030405,3,ETH,Hotspot_Nutrition
201,3,ET030406,2,ETH,Hotspot_Nutrition
202,3,ET030407,3,ETH,Hotspot_Nutrition
203,3,ET030408,3,ETH,Hotspot_Nutrition
204,3,ET030511,0.1,ETH,Hotspot_Nutrition
205,3,ET030409,3,ETH,Hotspot_Nutrition
206,3,ET030513,0.1,ETH,Hotspot_Nutrition
207,3,ET030410,2,ETH,Hotspot_Nutrition
208,3,ET030411,3,ETH,Hotspot_Nutrition
209,3,ET030516,0.1,ETH,Hotspot_Nutrition
210,3,ET030412,3,ETH,Hotspot_Nutrition
211,3,ET030518,0.1,ETH,Hotspot_Nutrition
212,3,ET030413,3,ETH,Hotspot_Nutrition
213,3,ET030520,0.1,ETH,Hotspot_Nutrition
214,3,ET030415,3,ETH,Hotspot_Nutrition
215,3,ET030416,3,ETH,Hotspot_Nutrition
216,3,ET030523,0.1,ETH,Hotspot_Nutrition
217,3,ET030595,0.1,ETH,Hotspot_Nutrition
218,3,ET030597,0.1,ETH,Hotspot_Nutrition
219,3,ET030598,0.1,ETH,Hotspot_Nutrition
220,3,ET030599,0.1,ETH,Hotspot_Nutrition
221,3,ET030419,3,ETH,Hotspot_Nutrition
222,3,ET030602,0.1,ETH,Hotspot_Nutrition
223,3,ET030420,2,ETH,Hotspot_Nutrition
224,3,ET030421,3,ETH,Hotspot_Nutrition
225,3,ET030605,0.1,ETH,Hotspot_Nutrition
226,3,ET030606,0.1,ETH,Hotspot_Nutrition
227,3,ET030607,0.1,ETH,Hotspot_Nutrition
