id,placeCode,value,countryCodeISO3,indicator,adminLevel
275,ET030713,132,ETH,travel_time_cities,3
276,ET030714,18,ETH,travel_time_cities,3
277,ET030715,135,ETH,travel_time_cities,3
278,ET030716,0,ETH,travel_time_cities,3
279,ET030717,1,ETH,travel_time_cities,3
280,ET030718,193,ETH,travel_time_cities,3
281,ET030719,0,ETH,travel_time_cities,3
282,ET030720,0,ETH,travel_time_cities,3
283,ET030797,0,ETH,travel_time_cities,3
284,ET030798,1,ETH,travel_time_cities,3
285,ET030799,32,ETH,travel_time_cities,3
286,ET030801,342,ETH,travel_time_cities,3
287,ET030802,175,ETH,travel_time_cities,3
288,ET030803,303,ETH,travel_time_cities,3
289,ET030804,281,ETH,travel_time_cities,3
290,ET030805,314,ETH,travel_time_cities,3
291,ET030806,439,ETH,travel_time_cities,3
292,ET030807,104,ETH,travel_time_cities,3
293,ET030808,250,ETH,travel_time_cities,3
294,ET030809,2,ETH,travel_time_cities,3
295,ET030901,78,ETH,travel_time_cities,3
296,ET030902,59,ETH,travel_time_cities,3
297,ET030903,85,ETH,travel_time_cities,3
298,ET030904,165,ETH,travel_time_cities,3
299,ET030905,75,ETH,travel_time_cities,3
300,ET030906,235,ETH,travel_time_cities,3
301,ET030907,36,ETH,travel_time_cities,3
302,ET030908,120,ETH,travel_time_cities,3
303,ET030909,4,ETH,travel_time_cities,3
304,ET030910,0,ETH,travel_time_cities,3
305,ET030911,0,ETH,travel_time_cities,3
306,ET030912,42,ETH,travel_time_cities,3
307,ET030996,5,ETH,travel_time_cities,3
308,ET030997,105,ETH,travel_time_cities,3
309,ET030998,0,ETH,travel_time_cities,3
310,ET030999,4,ETH,travel_time_cities,3
311,ET031001,90,ETH,travel_time_cities,3
312,ET031002,139,ETH,travel_time_cities,3
313,ET031003,145,ETH,travel_time_cities,3
314,ET031004,118,ETH,travel_time_cities,3
315,ET031005,74,ETH,travel_time_cities,3
316,ET031006,0,ETH,travel_time_cities,3
317,ET031007,8,ETH,travel_time_cities,3
318,ET031008,46,ETH,travel_time_cities,3
319,ET031099,21,ETH,travel_time_cities,3
