id,placeCode,amount
889,ET071015,2
890,ET071016,4
891,ET071017,4
892,ET071018,2
893,ET071019,4
894,ET071021,1
895,ET071101,4
896,ET071102,4
897,ET071103,2
898,ET071104,4
899,ET071105,4
900,ET071106,4
901,ET071107,1
902,ET071108,1
903,ET071205,1
904,ET071301,1
905,ET071302,1
906,ET071303,1
907,ET071304,1
908,ET071401,1
909,ET071402,2
910,ET071403,2
911,ET071404,2
912,ET071501,2
913,ET071502,2
914,ET071503,1
915,ET071504,1
916,ET071505,2
917,ET071506,4
918,ET071507,1
919,ET071508,1
920,ET071509,4
921,ET071601,1
922,ET071701,2
923,ET071702,4
924,ET071703,1
925,ET071704,2
926,ET071705,2
927,ET071706,4
928,ET071707,2
929,ET071708,4
930,ET071709,1
931,ET071710,2
932,ET071711,1
933,ET071801,1
934,ET071802,1
935,ET071803,1
936,ET071804,1
937,ET071805,1
938,ET071806,1
939,ET071807,1
940,ET071901,1
941,ET072001,4
942,ET072002,1
943,ET072003,4
944,ET072004,4
945,ET072005,2
946,ET072006,2
947,ET072007,4
948,ET072008,4
949,ET072009,1
950,ET072010,1
951,ET072011,1
952,ET072012,4
953,ET072013,1
954,ET072102,1
955,ET072203,2
956,ET072304,1
957,ET072401,1
958,ET120101,1
959,ET120102,1
960,ET120103,2
961,ET120104,2
962,ET120105,2
963,ET120200,1
964,ET120201,4
965,ET120202,2
966,ET120203,2
967,ET120204,1
968,ET120205,2
969,ET120206,1
970,ET120301,4
971,ET120308,2
972,ET120407,1
973,ET130101,2
974,ET130102,1
975,ET130103,1
976,ET130104,1
977,ET130105,2
978,ET130106,4
979,ET130107,1
980,ET130108,1
981,ET130109,1
982,ET140101,1
983,ET140102,1
984,ET140103,1
985,ET140104,1
986,ET140105,1
987,ET140106,1
988,ET140107,1
989,ET140108,1
990,ET140109,1
991,ET140110,1
992,ET150103,1
993,ET150104,1
994,ET150105,1
995,ET150109,1
996,ET150110,1
997,ET150111,1
998,ET150112,1
999,ET150113,1
1000,ET150114,1
1001,ET150201,2
1002,ET150206,1
1003,ET150207,1
1004,ET150208,1
1005,ET160001,1
1006,ET160002,1
1007,ET160003,4
1008,ET160004,2
1009,ET160005,2
1010,ET160006,2
1011,ET160007,4
1012,ET160008,1
1013,ET160009,2
1014,ET160010,1
1015,ET160011,4
1016,ET160012,4
1017,ET160013,2
1018,ET160014,4
1019,ET160015,4
1020,ET160016,1
1021,ET160017,1
1022,ET160018,1
1023,ET160019,2
1024,ET160020,1
1025,ET160021,1
1026,ET160022,1
1027,ET160023,2
1028,ET160024,4
1029,ET160025,2
1030,ET160026,4
1031,ET160027,4
1032,ET160028,4
1033,ET160029,2
1034,ET160030,2
1035,ET160031,1
1036,ET160032,1
1037,ET160033,4
1038,ET160034,1
1039,ET160035,1
1040,ET160036,1
1041,ET160037,1
1042,ET051004,1
1043,ET030616,2
1044,ET030801,1
1045,ET030802,1
1046,ET030803,1
1047,ET030804,1
1048,ET030805,1
1049,ET030806,1
