id,placeCode,value,countryCodeISO3,indicator,adminLevel
205,ET030499,2079,ETH,population_u5,3
206,ET030501,14931,ETH,population_u5,3
207,ET030502,20585,ETH,population_u5,3
208,ET030503,9125,ETH,population_u5,3
209,ET030504,15049,ETH,population_u5,3
210,ET030505,19433,ETH,population_u5,3
211,ET030506,9582,ETH,population_u5,3
212,ET030507,13392,ETH,population_u5,3
213,ET030508,18446,ETH,population_u5,3
214,ET030509,11817,ETH,population_u5,3
215,ET030510,11586,ETH,population_u5,3
216,ET030511,10768,ETH,population_u5,3
217,ET030512,19901,ETH,population_u5,3
218,ET030513,13050,ETH,population_u5,3
219,ET030514,7424,ETH,population_u5,3
220,ET030515,12025,ETH,population_u5,3
221,ET030516,7972,ETH,population_u5,3
222,ET030517,5708,ETH,population_u5,3
223,ET030518,18074,ETH,population_u5,3
224,ET030519,18319,ETH,population_u5,3
225,ET030520,17618,ETH,population_u5,3
226,ET030521,7262,ETH,population_u5,3
227,ET030522,2602,ETH,population_u5,3
228,ET030523,9716,ETH,population_u5,3
229,ET030524,325,ETH,population_u5,3
230,ET030525,2760,ETH,population_u5,3
231,ET030526,1759,ETH,population_u5,3
232,ET030527,2341,ETH,population_u5,3
233,ET030595,4327,ETH,population_u5,3
234,ET030597,2985,ETH,population_u5,3
235,ET030598,3149,ETH,population_u5,3
236,ET030599,2815,ETH,population_u5,3
237,ET030601,13076,ETH,population_u5,3
238,ET030602,45106,ETH,population_u5,3
239,ET030603,21338,ETH,population_u5,3
240,ET030604,17517,ETH,population_u5,3
241,ET030605,24917,ETH,population_u5,3
242,ET030606,27107,ETH,population_u5,3
243,ET030607,19846,ETH,population_u5,3
244,ET030608,13297,ETH,population_u5,3
245,ET030609,16440,ETH,population_u5,3
246,ET030610,20281,ETH,population_u5,3
247,ET030611,21564,ETH,population_u5,3
248,ET030612,17196,ETH,population_u5,3
249,ET030613,14080,ETH,population_u5,3
250,ET030614,16138,ETH,population_u5,3
251,ET030615,16872,ETH,population_u5,3
252,ET030616,15419,ETH,population_u5,3
253,ET030617,13924,ETH,population_u5,3
254,ET030618,2360,ETH,population_u5,3
255,ET030619,5878,ETH,population_u5,3
256,ET030620,2079,ETH,population_u5,3
257,ET030621,1874,ETH,population_u5,3
258,ET030622,2501,ETH,population_u5,3
259,ET030623,3311,ETH,population_u5,3
260,ET030694,7080,ETH,population_u5,3
261,ET030698,2349,ETH,population_u5,3
262,ET030699,4380,ETH,population_u5,3
263,ET030701,29340,ETH,population_u5,3
264,ET030702,27462,ETH,population_u5,3
265,ET030703,34596,ETH,population_u5,3
266,ET030704,6762,ETH,population_u5,3
267,ET030705,21661,ETH,population_u5,3
268,ET030706,17824,ETH,population_u5,3
269,ET030707,23708,ETH,population_u5,3
270,ET030708,18001,ETH,population_u5,3
271,ET030709,27221,ETH,population_u5,3
272,ET030710,11516,ETH,population_u5,3
