id,adminLevel,placeCode,value
642,3,ET042104,1
643,3,ET042105,1
644,3,ET042106,1
645,3,ET042107,0.1
646,3,ET050101,1
647,3,ET050102,1
648,3,ET050103,2
649,3,ET050104,1
650,3,ET050105,1
651,3,ET050106,2
652,3,ET050107,1
653,3,ET050198,1
654,3,ET050199,1
655,3,ET050202,2
656,3,ET050203,1
657,3,ET050204,1
658,3,ET050205,2
659,3,ET050206,1
660,3,ET050207,1
661,3,ET050283,1
662,3,ET050290,1
663,3,ET050293,0.1
664,3,ET050295,0.1
665,3,ET050296,0.1
666,3,ET050297,1
667,3,ET050298,2
668,3,ET050299,2
669,3,ET050301,1
670,3,ET050302,2
671,3,ET050303,1
672,3,ET050304,1
673,3,ET050305,1
674,3,ET050306,1
675,3,ET050307,0.1
676,3,ET050382,2
677,3,ET050392,1
678,3,ET050394,2
679,3,ET050395,1
680,3,ET050399,1
681,3,ET050402,1
682,3,ET050404,1
683,3,ET050407,1
684,3,ET050408,1
685,3,ET050497,1
686,3,ET050498,1
687,3,ET050499,1
688,3,ET050501,2
689,3,ET050502,1
690,3,ET050503,1
691,3,ET050504,1
692,3,ET050586,1
693,3,ET050592,0.1
694,3,ET050595,2
695,3,ET050596,2
696,3,ET050597,1
697,3,ET050598,1
698,3,ET050599,1
699,3,ET050601,1
700,3,ET050602,1
701,3,ET050603,1
702,3,ET050604,2
703,3,ET050605,1
704,3,ET050606,1
705,3,ET050607,1
706,3,ET050608,2
707,3,ET050696,0.1
708,3,ET050698,2
709,3,ET050699,1
710,3,ET050701,1
711,3,ET050702,1
712,3,ET050703,1
713,3,ET050704,1
714,3,ET050788,2
715,3,ET050798,1
716,3,ET050799,1
717,3,ET050802,1
718,3,ET050804,2
719,3,ET050805,1
720,3,ET050806,1
721,3,ET050807,1
722,3,ET050808,1
723,3,ET050809,1
724,3,ET050898,1
725,3,ET050899,1
726,3,ET050901,1
727,3,ET050902,1
728,3,ET050903,1
729,3,ET050904,1
730,3,ET050905,1
731,3,ET050991,1
732,3,ET050999,2
733,3,ET051001,1
734,3,ET051002,1
735,3,ET051003,1
736,3,ET051005,1
737,3,ET051006,1
738,3,ET051095,1
739,3,ET051096,1
740,3,ET051103,1
741,3,ET051104,1
742,3,ET051187,1
743,3,ET051198,1
744,3,ET060201,2
745,3,ET060202,1
746,3,ET060203,1
747,3,ET060204,1
748,3,ET060205,1
749,3,ET060206,0.1
750,3,ET060207,1
751,3,ET060301,0.1
752,3,ET060302,0.1
753,3,ET060303,0.1
754,3,ET060304,0.1
755,3,ET060305,0.1
756,3,ET060306,0.1
757,3,ET060307,0.1
758,3,ET060308,0.1
759,3,ET060401,0.1
760,3,ET060402,0.1
761,3,ET060403,0.1
762,3,ET060404,0.1
763,3,ET060405,0.1
764,3,ET060508,0.1
765,3,ET070101,3
766,3,ET070102,3
767,3,ET070103,3
768,3,ET070104,3
769,3,ET070105,3
770,3,ET070106,2
771,3,ET070107,1
772,3,ET070108,3
773,3,ET070109,3
774,3,ET070110,3
775,3,ET070111,3
776,3,ET070112,3
777,3,ET070113,3
778,3,ET070114,0.1
779,3,ET070115,0.1
780,3,ET070116,0.1
781,3,ET070117,0.1
782,3,ET070118,1
783,3,ET070119,3
784,3,ET070120,3
785,3,ET070201,3
786,3,ET070202,2
787,3,ET070203,3
788,3,ET070204,2
789,3,ET070205,1
790,3,ET070206,2
791,3,ET070207,2
792,3,ET070208,3
793,3,ET070209,2
794,3,ET070210,3
795,3,ET070211,0.1
796,3,ET070212,0.1
797,3,ET070213,0.1
798,3,ET070214,0.1
799,3,ET070215,3
800,3,ET070216,1
801,3,ET070217,2
802,3,ET070301,1
803,3,ET070302,3
804,3,ET070303,3
805,3,ET070304,3
806,3,ET070305,2
807,3,ET070306,3
808,3,ET070307,2
809,3,ET070308,0.1
810,3,ET070309,2
811,3,ET070310,0.1
812,3,ET070312,0.1
813,3,ET070501,1
814,3,ET070502,1
815,3,ET070503,1
816,3,ET070504,2
817,3,ET070505,2
818,3,ET070506,2
819,3,ET070507,0.1
820,3,ET070508,0.1
821,3,ET070509,3
822,3,ET070510,2
823,3,ET070511,0.1
824,3,ET070512,0.1
825,3,ET070601,2
826,3,ET070602,3
827,3,ET070603,3
828,3,ET070604,2
829,3,ET070605,3
830,3,ET070606,3
831,3,ET070607,3
832,3,ET070608,2
833,3,ET070609,2
834,3,ET070610,1
835,3,ET070611,3
836,3,ET070612,1
837,3,ET070613,0.1
838,3,ET070614,0.1
839,3,ET070615,0.1
840,3,ET070616,0.1
841,3,ET070617,0.1
842,3,ET070618,0.1
843,3,ET070619,2
844,3,ET070620,2
845,3,ET070621,1
846,3,ET070622,3
847,3,ET070701,3
848,3,ET070702,2
849,3,ET070703,2
850,3,ET070704,1
851,3,ET070705,1
852,3,ET070706,1
853,3,ET070707,1
854,3,ET070708,1
855,3,ET070709,0.1
856,3,ET070710,3
857,3,ET070711,3
858,3,ET070801,0.1
859,3,ET070802,0.1
860,3,ET070803,0.1
861,3,ET070804,0.1
862,3,ET070805,0.1
863,3,ET070901,0.1
864,3,ET070902,0.1
865,3,ET070903,0.1
866,3,ET070904,0.1
867,3,ET070905,0.1
868,3,ET070906,0.1
869,3,ET070907,0.1
870,3,ET070908,0.1
871,3,ET070909,0.1
872,3,ET070910,0.1
873,3,ET070911,0.1
874,3,ET070912,0.1
875,3,ET070913,0.1
876,3,ET070914,0.1
877,3,ET071003,0.1
878,3,ET071004,3
879,3,ET071005,2
880,3,ET071006,3
881,3,ET071007,3
882,3,ET071008,2
