PCODE_Mun_City,percentage_vul_housing
PH031421000,0.04624468
PH031422000,0.021386968
PH031423000,0.014978465
PH034901000,0.058476588
PH034902000,0.061170573
PH034903000,0.029031486
PH034904000,0.035080253
PH034905000,0.198451721
PH034908000,0.044106247
PH034906000,0.138736448
PH034907000,0.207211481
PH034909000,0.074433304
PH034910000,0.04169508
PH034911000,0.073117214
PH034912000,0.053261179
PH034913000,0.190009447
PH034914000,0.0975071
PH034915000,0.084611317
PH034916000,0.113862881
PH034918000,0.107830126
PH034919000,0.135783784
PH034920000,0.112296831
PH034921000,0.041327211
PH034922000,0.075881914
PH034923000,0.124191462
PH034924000,0.034160415
PH034925000,0.026851605
PH034926000,0.046505117
PH034927000,0.034232009
PH034928000,0.036842442
PH034929000,0.075984589
PH034917000,0.066247737
PH034930000,0.026978417
PH034931000,0.244706699
PH034932000,0.072699079
PH035401000,0.010801147
PH035402000,0.011414523
PH035403000,0.041196862
PH035404000,0.026417112
PH035405000,0.034336109
PH035416000,0.01129542
PH035406000,0.091703677
PH035407000,0.013393752
PH035408000,0.033069096
PH035409000,0.014378197
PH035410000,0.017930425
PH035411000,0.030110602
PH035412000,0.041168887
PH035413000,0.020060148
PH035414000,0.028932141
PH035415000,0.044983592
PH035417000,0.012521867
PH035418000,0.015895696
PH035419000,0.020137386
PH035420000,0.021385508
PH035421000,0.008425669
PH035422000,0.0625789
PH036901000,0.031097789
PH036902000,0.045630475
PH036903000,0.024570922
PH036904000,0.086694075
PH036916000,0.027939057
PH036905000,0.0221258
PH036906000,0.052271756
PH036907000,0.045381818
PH036908000,0.073491872
PH036909000,0.039505611
PH036910000,0.039207632
PH036911000,0.043548677
PH036912000,0.084468085
PH036913000,0.041416166
PH036918000,0.115079365
PH036914000,0.058017441
PH036915000,0.052470217
PH036917000,0.051051051
PH037101000,0.195071718
PH037102000,0.145647415
PH037103000,0.080932556
PH037104000,0.04704747
PH037105000,0.081552207
PH037106000,0.11562174
PH037107000,0.015978671
PH037108000,0.158890451
PH037109000,0.064059023
PH037110000,0.119411025
PH037111000,0.093612749
PH037112000,0.065733067
PH037113000,0.099180872
PH037114000,0.083600633
PH041001000,0.033830718
PH041002000,0.044737879
PH041003000,0.036510358
PH041004000,0.037377049
PH041005000,0.028272879
PH041006000,0.012863009
PH041007000,0.025919638
PH041008000,0.070199173
PH041031000,0.027819549
