id,placeCode,value,countryCodeISO3,indicator,adminLevel
212,ET030507,94,ETH,walking_travel_time_to_health,3
213,ET030508,111,ETH,walking_travel_time_to_health,3
214,ET030509,124,ETH,walking_travel_time_to_health,3
215,ET030510,138,ETH,walking_travel_time_to_health,3
216,ET030511,119,ETH,walking_travel_time_to_health,3
217,ET030512,166,ETH,walking_travel_time_to_health,3
218,ET030513,138,ETH,walking_travel_time_to_health,3
219,ET030514,174,ETH,walking_travel_time_to_health,3
220,ET030515,215,ETH,walking_travel_time_to_health,3
221,ET030516,291,ETH,walking_travel_time_to_health,3
222,ET030517,151,ETH,walking_travel_time_to_health,3
223,ET030518,120,ETH,walking_travel_time_to_health,3
224,ET030519,130,ETH,walking_travel_time_to_health,3
225,ET030520,62,ETH,walking_travel_time_to_health,3
226,ET030521,164,ETH,walking_travel_time_to_health,3
227,ET030522,141,ETH,walking_travel_time_to_health,3
228,ET030523,146,ETH,walking_travel_time_to_health,3
229,ET030524,196,ETH,walking_travel_time_to_health,3
230,ET030525,123,ETH,walking_travel_time_to_health,3
231,ET030526,10,ETH,walking_travel_time_to_health,3
232,ET030527,21,ETH,walking_travel_time_to_health,3
233,ET030595,147,ETH,walking_travel_time_to_health,3
234,ET030597,4,ETH,walking_travel_time_to_health,3
235,ET030598,25,ETH,walking_travel_time_to_health,3
236,ET030599,12,ETH,walking_travel_time_to_health,3
237,ET030601,90,ETH,walking_travel_time_to_health,3
238,ET030602,88,ETH,walking_travel_time_to_health,3
239,ET030603,98,ETH,walking_travel_time_to_health,3
240,ET030604,163,ETH,walking_travel_time_to_health,3
241,ET030605,141,ETH,walking_travel_time_to_health,3
242,ET030606,90,ETH,walking_travel_time_to_health,3
243,ET030607,97,ETH,walking_travel_time_to_health,3
244,ET030608,177,ETH,walking_travel_time_to_health,3
245,ET030609,78,ETH,walking_travel_time_to_health,3
246,ET030610,145,ETH,walking_travel_time_to_health,3
247,ET030611,153,ETH,walking_travel_time_to_health,3
248,ET030612,144,ETH,walking_travel_time_to_health,3
249,ET030613,151,ETH,walking_travel_time_to_health,3
250,ET030614,244,ETH,walking_travel_time_to_health,3
251,ET030615,35,ETH,walking_travel_time_to_health,3
252,ET030616,125,ETH,walking_travel_time_to_health,3
253,ET030617,117,ETH,walking_travel_time_to_health,3
254,ET030618,8,ETH,walking_travel_time_to_health,3
255,ET030619,200,ETH,walking_travel_time_to_health,3
256,ET030620,9,ETH,walking_travel_time_to_health,3
257,ET030621,19,ETH,walking_travel_time_to_health,3
258,ET030622,9,ETH,walking_travel_time_to_health,3
259,ET030623,18,ETH,walking_travel_time_to_health,3
260,ET030694,17,ETH,walking_travel_time_to_health,3
261,ET030698,13,ETH,walking_travel_time_to_health,3
262,ET030699,12,ETH,walking_travel_time_to_health,3
263,ET030701,97,ETH,walking_travel_time_to_health,3
264,ET030702,79,ETH,walking_travel_time_to_health,3
265,ET030703,74,ETH,walking_travel_time_to_health,3
266,ET030704,73,ETH,walking_travel_time_to_health,3
267,ET030705,89,ETH,walking_travel_time_to_health,3
268,ET030706,93,ETH,walking_travel_time_to_health,3
269,ET030707,118,ETH,walking_travel_time_to_health,3
270,ET030708,98,ETH,walking_travel_time_to_health,3
271,ET030709,64,ETH,walking_travel_time_to_health,3
272,ET030710,84,ETH,walking_travel_time_to_health,3
273,ET030711,165,ETH,walking_travel_time_to_health,3
274,ET030712,72,ETH,walking_travel_time_to_health,3
275,ET030713,85,ETH,walking_travel_time_to_health,3
276,ET030714,33,ETH,walking_travel_time_to_health,3
277,ET030715,71,ETH,walking_travel_time_to_health,3
278,ET030716,15,ETH,walking_travel_time_to_health,3
279,ET030717,21,ETH,walking_travel_time_to_health,3
280,ET030718,93,ETH,walking_travel_time_to_health,3
281,ET030719,7,ETH,walking_travel_time_to_health,3
282,ET030720,9,ETH,walking_travel_time_to_health,3
283,ET030797,8,ETH,walking_travel_time_to_health,3
284,ET030798,21,ETH,walking_travel_time_to_health,3
285,ET030799,19,ETH,walking_travel_time_to_health,3
286,ET030801,259,ETH,walking_travel_time_to_health,3
287,ET030802,146,ETH,walking_travel_time_to_health,3
288,ET030803,253,ETH,walking_travel_time_to_health,3
289,ET030804,219,ETH,walking_travel_time_to_health,3
290,ET030805,204,ETH,walking_travel_time_to_health,3
291,ET030806,357,ETH,walking_travel_time_to_health,3
292,ET030807,58,ETH,walking_travel_time_to_health,3
293,ET030808,226,ETH,walking_travel_time_to_health,3
294,ET030809,21,ETH,walking_travel_time_to_health,3
295,ET030901,104,ETH,walking_travel_time_to_health,3
296,ET030902,80,ETH,walking_travel_time_to_health,3
297,ET030903,82,ETH,walking_travel_time_to_health,3
298,ET030904,109,ETH,walking_travel_time_to_health,3
299,ET030905,68,ETH,walking_travel_time_to_health,3
300,ET030906,222,ETH,walking_travel_time_to_health,3
301,ET030907,50,ETH,walking_travel_time_to_health,3
302,ET030908,75,ETH,walking_travel_time_to_health,3
303,ET030909,14,ETH,walking_travel_time_to_health,3
304,ET030910,24,ETH,walking_travel_time_to_health,3
305,ET030911,8,ETH,walking_travel_time_to_health,3
306,ET030912,5,ETH,walking_travel_time_to_health,3
307,ET030996,112,ETH,walking_travel_time_to_health,3
308,ET030997,9,ETH,walking_travel_time_to_health,3
309,ET030998,18,ETH,walking_travel_time_to_health,3
310,ET030999,21,ETH,walking_travel_time_to_health,3
311,ET031001,67,ETH,walking_travel_time_to_health,3
312,ET031002,118,ETH,walking_travel_time_to_health,3
313,ET031003,131,ETH,walking_travel_time_to_health,3
314,ET031004,81,ETH,walking_travel_time_to_health,3
315,ET031005,74,ETH,walking_travel_time_to_health,3
316,ET031006,25,ETH,walking_travel_time_to_health,3
317,ET031007,8,ETH,walking_travel_time_to_health,3
318,ET031008,40,ETH,walking_travel_time_to_health,3
319,ET031099,9,ETH,walking_travel_time_to_health,3
320,ET031103,18,ETH,walking_travel_time_to_health,3
321,ET031104,9,ETH,walking_travel_time_to_health,3
322,ET031105,12,ETH,walking_travel_time_to_health,3
323,ET031106,108,ETH,walking_travel_time_to_health,3
324,ET031107,126,ETH,walking_travel_time_to_health,3
325,ET031108,100,ETH,walking_travel_time_to_health,3
326,ET031109,106,ETH,walking_travel_time_to_health,3
327,ET031110,109,ETH,walking_travel_time_to_health,3
328,ET031111,99,ETH,walking_travel_time_to_health,3
329,ET031112,126,ETH,walking_travel_time_to_health,3
330,ET031115,124,ETH,walking_travel_time_to_health,3
331,ET031116,139,ETH,walking_travel_time_to_health,3
332,ET031117,135,ETH,walking_travel_time_to_health,3
333,ET031118,90,ETH,walking_travel_time_to_health,3
334,ET031119,121,ETH,walking_travel_time_to_health,3
335,ET031120,120,ETH,walking_travel_time_to_health,3
336,ET031121,176,ETH,walking_travel_time_to_health,3
