index,placeCode,value,countryCodeISO3,adminLevel,indicator
257,PH074614000,17645,PHL,3,total_houses
258,PH074615000,9923,PHL,3,total_houses
259,PH074616000,8701,PHL,3,total_houses
260,PH074617000,4583,PHL,3,total_houses
261,PH074618000,16712,PHL,3,total_houses
262,PH074619000,17820,PHL,3,total_houses
263,PH074620000,13886,PHL,3,total_houses
264,PH074622000,8447,PHL,3,total_houses
265,PH074623000,7965,PHL,3,total_houses
266,PH074624000,8496,PHL,3,total_houses
267,PH074625000,6600,PHL,3,total_houses
268,PH012801000,411,PHL,3,total_houses
269,PH012802000,7717,PHL,3,total_houses
270,PH012803000,7155,PHL,3,total_houses
271,PH012804000,3534,PHL,3,total_houses
272,PH012811000,4421,PHL,3,total_houses
273,PH012806000,2352,PHL,3,total_houses
274,PH012807000,304,PHL,3,total_houses
275,PH012805000,12348,PHL,3,total_houses
276,PH012808000,2658,PHL,3,total_houses
277,PH012809000,8394,PHL,3,total_houses
278,PH012810000,555,PHL,3,total_houses
279,PH012812000,23229,PHL,3,total_houses
280,PH012813000,3919,PHL,3,total_houses
281,PH012814000,2038,PHL,3,total_houses
282,PH012815000,5427,PHL,3,total_houses
283,PH012816000,5436,PHL,3,total_houses
284,PH012817000,6441,PHL,3,total_houses
285,PH012818000,4866,PHL,3,total_houses
286,PH012819000,3812,PHL,3,total_houses
287,PH012820000,7846,PHL,3,total_houses
288,PH012821000,5594,PHL,3,total_houses
289,PH012822000,5270,PHL,3,total_houses
290,PH012823000,7686,PHL,3,total_houses
291,PH012901000,1475,PHL,3,total_houses
292,PH012902000,1780,PHL,3,total_houses
293,PH012903000,7712,PHL,3,total_houses
294,PH012904000,2740,PHL,3,total_houses
295,PH012905000,7894,PHL,3,total_houses
296,PH012907000,4318,PHL,3,total_houses
297,PH012908000,3671,PHL,3,total_houses
298,PH012906000,13414,PHL,3,total_houses
299,PH012934000,11106,PHL,3,total_houses
300,PH012909000,2313,PHL,3,total_houses
301,PH012910000,905,PHL,3,total_houses
302,PH012911000,996,PHL,3,total_houses
303,PH012912000,7166,PHL,3,total_houses
304,PH012913000,1182,PHL,3,total_houses
305,PH012914000,9605,PHL,3,total_houses
306,PH012915000,1824,PHL,3,total_houses
307,PH012916000,2650,PHL,3,total_houses
308,PH012917000,1530,PHL,3,total_houses
309,PH012918000,1884,PHL,3,total_houses
310,PH012919000,1697,PHL,3,total_houses
311,PH012920000,6151,PHL,3,total_houses
312,PH012921000,2761,PHL,3,total_houses
313,PH012922000,3412,PHL,3,total_houses
314,PH012923000,2765,PHL,3,total_houses
315,PH012924000,8851,PHL,3,total_houses
316,PH012925000,5795,PHL,3,total_houses
317,PH012926000,6648,PHL,3,total_houses
318,PH012927000,4295,PHL,3,total_houses
319,PH012928000,6475,PHL,3,total_houses
320,PH012929000,513,PHL,3,total_houses
321,PH012930000,5872,PHL,3,total_houses
322,PH012931000,849,PHL,3,total_houses
323,PH012932000,2497,PHL,3,total_houses
324,PH012933000,8492,PHL,3,total_houses
325,PH013301000,13404,PHL,3,total_houses
326,PH013302000,10621,PHL,3,total_houses
327,PH013303000,9692,PHL,3,total_houses
328,PH013304000,2966,PHL,3,total_houses
329,PH013305000,8697,PHL,3,total_houses
330,PH013306000,7628,PHL,3,total_houses
331,PH013307000,16577,PHL,3,total_houses
332,PH013308000,1747,PHL,3,total_houses
333,PH013309000,5070,PHL,3,total_houses
334,PH013314000,27912,PHL,3,total_houses
335,PH013310000,8189,PHL,3,total_houses
336,PH013311000,11874,PHL,3,total_houses
337,PH013312000,4347,PHL,3,total_houses
338,PH013313000,12009,PHL,3,total_houses
339,PH013315000,3877,PHL,3,total_houses
340,PH013316000,8462,PHL,3,total_houses
