station_code,station_name,lat,lon,custom_threshold,2yr_threshold,5yr_threshold,10yr_threshold,20yr_threshold,2yr_threshold_7day,5yr_threshold_7day,10yr_threshold_7day,20yr_threshold_7day,2yr_threshold_3day,5yr_threshold_3day,10yr_threshold_3day,20yr_threshold_3day
G5305,TANA HOLA (4G04),-1.450000048,40.04999924,,999.4302368,1538.558105,2004.787598,2237.902344,,,,,,,,
G5317,Mitano (84267),-0.850000024,29.85000038,236,181.1192594,213.8928526,236,256.7939943,,,,,,,,
G5326,TANA GARSEN (4G02),-2.25,40.15000153,,1050.395752,1640.249023,2150.345052,2405.393066,,,,,,,,
G5332,TSAVO (3G02),-3.049999952,38.34999847,,695.2262573,904.6158447,1085.692668,1176.231079,,,,,,,,
G5450,TANA MURANGA (4BE02),-0.75,37.25,,353.9014893,471.0420837,572.343455,622.9941406,,,,,,,,
G6106,Kapelebyong,2.450000048,34.04999924,,92.4243927,160.9732056,220.2531535,249.8931274,,,,,,,,
G6107,Abetlti,8.25,37.54999924,,1717.046387,1919.220337,2094.057332,2181.47583,1585.097097,1696.59345,538.31790078851,1839.366436,1655.203327,1812.759582,1906.355703,1988.873487
G6108,Woltkite,8.25,37.75,,1804.447632,2035.653809,2235.597331,2335.569092,,,1905.98195238347,,,,,
G6109,Asetndabo,7.75,37.25,,419.8782959,454.1875305,483.8576152,498.6926575,358.7317091,383.0431716,578.841245405354,405.6698514,393.7272601,429.4529143,451.2141807,470.7763168
G6110,Woltkite,8.350000381,37.54999924,,113.3216858,138.2306366,159.7715098,170.5419464,,,362.68669616081,,,,,
G6111,Shetbe,7.449999809,36.34999847,,314.4312134,449.8202209,566.9025167,625.4436646,,,206.148832311409,,,,,
G6112,Sekta,7.650000095,36.75,,75.15406799,84.14749908,91.92487335,95.81356049,,,,,,,,
F0030,R.ManafaatButaleja,0.949999988,34.04999924,,405.0222168,500.7790222,583.5880025,624.9924927,,,,,,,,
F0032,R.MpologomaatBudumba,0.75,33.75,,717.4564209,931.2064819,1116.05426,1208.478149,,,,,,,,
F0033,R.KyogaNileatMasindiport,1.649999976,32.04999924,,4956.329102,6367.109375,7587.130859,8197.141602,,,,,,,,
F0034,R.Kapiri,1.549999952,33.65000153,,401.1691895,513.0970459,609.8905029,658.2872314,,,,,,,,
F0035,R.RwiziatMbararawaterworks,-0.649999976,30.64999962,,86.80548859,116.7643127,142.672231,155.6261902,,,,,,,,
F0036,R.Muzizi,0.050000001,30.64999962,,45.50586319,71.20127106,93.42225901,104.532753,,,,,,,,
F0037,R.Aswa-ii,2.950000048,32.54999924,,188.3458099,326.7757263,446.4877625,506.3437805,,,,,,,,
F0038,R.Mitano,-0.75,29.75,,796.5535278,1270.710327,1680.753784,1885.775513,,,,,,,,
F0039,R.Mayanja,0.649999976,32.15000153,,86.36533356,115.6120148,140.9040883,153.5501251,,,,,,,,
F0041,R.Nkusi,1.149999976,30.95000076,,49.08603287,59.46694946,68.44420878,72.93283844,,,,,,,,
F0042,R.PageratKitgum,3.150000095,33.75,,145.822876,244.4228058,329.6904958,372.3243408,,,,,,,,
F0031,R.Sio,0.150000006,34.04999924,,1612.568237,1951.601318,2244.791911,2391.387207,,,,,,,,
UGGVS1,,0.850000024,32.75,,109.8863602,151.3385773,187.1858164,205.109436,,,,,,,,
UGGVS2,,1.25,32.95000076,,3662.697021,4693.966309,5585.792155,6031.705078,,,,,,,,
UGGVS3,,1.350000024,33.34999847,,1621.214844,2132.356445,2574.383952,2795.397705,,,,,,,,
UGGVS4,,2.549999952,32.95000076,,81.16942596,167.0905762,241.3938395,278.5454712,,,,,,,,
UGGVS5,,0.050000001,30.25,,530.6730347,611.0307007,680.5227661,715.2687988,,,,,,,,
UGGVS6,,-0.150000006,30.04999924,,436.335968,503.6772461,561.9129639,591.0308228,,,,,,,,
UGGVS7,,1.049999952,30.25,,4057.960205,4449.030762,4787.222819,4956.318848,,,,,,,,
KEGVS1,,2.950000048,40.45000076,,151.981308,277.6569824,386.3393555,440.680542,,,,,,,,
KEGVS2,,2.549999952,38.84999847,,71.55390167,178.3694611,270.7418874,316.9281006,,,,,,,,
KEGVS3,,1.649999976,37.45000076,,164.2182312,266.4931641,354.9389445,399.1618347,,,,,,,,
