woreda;pcode;station_code
Daramalo;ET071009;no_station
Dawo;ET041304;no_station
Debre Elias;ET030608;no_station
Deder;ET041011;no_station
Dehana;ET030803;no_station
Denbi Dollo town;ET041806;no_station
Dewa Harewa;ET031005;no_station
Dilo;ET041219;no_station
Dodola;ET041707;no_station
Bugna;ET030301;no_station
Burji Special;ET072203;no_station
Chelelektu town;ET070508;no_station
Chilga 2;ET031112;no_station
Chora (Jimma);ET040415;no_station
Dale;ET160004;no_station
Damot Sore;ET070609;no_station
Dansha town;ET010506;no_station
Dasenech /Kuraz;ET070706;G1901
Debre Berhan town;ET030520;no_station
Decha;ET070908;no_station
Degahabur town;ET050307;no_station
Deka Suftu;ET050991;no_station
Dera (OR);ET040602;no_station
Dig;ET050399;no_station
Bule Hora;ET041501;no_station
Burqod;ET050394;no_station
Chena;ET070909;no_station
Chinaksen;ET041015;no_station
Dabat town;ET030106;no_station
Dama;ET041408;no_station
Danod;ET050701;no_station
Dawe;ET020503;G1067
Debati;ET060205;no_station
Debub Achefer;ET030713;no_station
Dega;ET041604;no_station
Dejen;ET030613;no_station
Dendi;ET040510;no_station
Dhas;ET041220;no_station
Bure (OR);ET040312;no_station
Chagni town;ET030999;no_station
Chifra;ET020106;G1053
Choman Guduru;ET041911;no_station
Dale Sadi;ET041808;no_station
Damot Woide;ET070603;no_station
Dara;ET160006;no_station
Dawe Ketchen;ET042106;no_station
Debre Markos town;ET030615;no_station
Dedesa;ET041608;no_station
Degem;ET040605;no_station
Dembel;ET050102;no_station
Dessie Zuria;ET030409;no_station
Dila Zuria;ET070505;no_station
Dodola town;ET041700;no_station
Dugda Dawa;ET041515;no_station
Debub Bench;ET071103;no_station
Degehamedo;ET050301;no_station
Denbecha town;ET030717;no_station
Diga;ET040210;no_station
Disa;ET071709;no_station
Dubluk;ET041291;no_station
Durame town;ET070308;no_station
Ejere /Addis Alem;ET040511;no_station
Enarj Enawga;ET030605;no_station
Enticho town;ET010220;no_station
Farta;ET030204;G4965
Gablalu;ET050199;no_station
Ganta Afeshum;ET010304;no_station
Gedeb town;ET070511;no_station
Gera;ET040408;G6111
Gibe;ET070210;no_station
Ginde Beret;ET040501;no_station
Dembi;ET060404;no_station
Dewa Cheffa;ET031001;no_station
Dire;ET041211;no_station
Dorani;ET040324;no_station
Dulecha;ET020304;G1067
Edaga Hamus town;ET010311;no_station
Elwaya;ET041295;no_station
Endiguagn;ET070108;no_station
Erer (SM);ET050104;no_station
Fik;ET050402;no_station
Galadi;ET050703;no_station
Gashamo;ET050304;no_station
Gendawuha town;ET031292;no_station
Gezei Gofa;ET071505;no_station
Goba Koricha;ET040907;no_station
Dihun;ET051006;no_station
Dire Teyara;ET130106;no_station
Doyogena;ET070306;no_station
Duna;ET070207;no_station
Egela;ET010216;no_station
Emba Alaje;ET010404;no_station
Enemay;ET030606;no_station
Euwa;ET020402;G1045
Finote Selam town;ET030714;no_station
Gambela National Park;ET120200;no_station
Gazo;ET030312;no_station
Gelana (West Guji);ET041517;no_station
Gerese;ET071013;no_station
Gidami;ET041809;no_station
Girawa;ET041016;no_station
Godey town;ET050696;no_station
Goncha Siso Enebse;ET030603;no_station
Dima (GM);ET120205;no_station
Dodota;ET040805;no_station
Dukem;ET042008;no_station
Eferatana Gidem;ET030508;no_station
Emba Sieneti;ET010219;no_station
Enemor Ener;ET070111;G6107
Fagta Lakoma;ET030905;no_station
Freweyni town;ET010313;no_station
Garbo;ET051003;no_station
Gedeb Asasa;ET041706;no_station
Geraleta;ET010317;no_station
Gewata;ET070903;no_station
Gimbichu town;ET070213;no_station
Gobu Seyo;ET040208;no_station
Golo Oda;ET041017;no_station
Gonje;ET030718;no_station
Dima (TG);ET010115;no_station
Dolobay;ET050808;no_station
East Belesa;ET031117;no_station
Ejersa Lafo;ET040590;no_station
Emdebir town;ET070116;no_station
Enor Ener;ET070120;no_station
Ezo /Kogota;ET071007;no_station
Fogera;ET030203;G4965
Gambela Zuria;ET120202;no_station
Gechi;ET041606;no_station
Gemechis;ET040912;no_station
Gesha;ET070902;no_station
Gimbi;ET040103;no_station
Gishe Rabel;ET030506;no_station
Dubti;ET020101;G1045
East Dembia;ET031111;no_station
El-Ogaden;ET050598;no_station
Endabaguna town;ET010114;no_station
Erer (HR);ET130105;no_station
Fiche town;ET040613;no_station
Galhamur;ET050799;no_station
Gaz Gibla;ET030804;no_station
Gelana (Finfine);ET042098;no_station
Gerar Jarso;ET040606;no_station
Gidan;ET030303;no_station
Ginir town;ET042107;no_station
Gode;ET050604;G1904
Goma;ET040407;no_station
Guba Lafto;ET030307;no_station
Gumi Idalo;ET041497;no_station
Dugda;ET040707;no_station
Ebenat;ET030201;no_station
Elkare /Serer;ET050804;no_station
Endafelasi;ET010218;no_station
Ensaro;ET030503;no_station
Fedis;ET041005;no_station
Gaji;ET040113;no_station
Garda Marta;ET071018;no_station
Gedebano Gutazer Welene;ET070104;no_station
Gerani;ET020110;no_station
Gida Ayana;ET040203;no_station
Ginir;ET042103;G1902
East Esite;ET030208;no_station
Elidar;ET020102;no_station
Enderta;ET010602;no_station
Erebti;ET020201;no_station
Ferfer;ET050607;G1904
Gachit;ET071801;no_station
Gasera;ET041106;no_station
Gelalu;ET020305;no_station
Gesuba town;ET070617;no_station
Gimbichu;ET040705;no_station
Goba town;ET041120;no_station
Golocha;ET040803;G5076
Goro Baqaqsa;ET050903;no_station
East Imi;ET050601;G5081
Elale;ET050698;no_station
Endamehoni;ET010405;no_station
Ezha;ET070103;no_station
Filtu;ET050901;G5115
Gambela town;ET120206;G1603
Gedeb;ET070506;no_station
Gende Kore;ET150110;no_station
Geta;ET070113;no_station
Gidi Bench;ET071106;no_station
Goba (OR);ET041110;no_station
Goglo;ET050595;no_station
Gomole;ET041223;no_station
Goro (SW Shewa);ET041312;no_station
Guchi;ET041290;no_station
Gumbi Bordede;ET040991;no_station
Edaga arbi;ET010203;no_station
Elwayne;ET051002;no_station
Enebse Sarmder;ET030604;no_station
Erob;ET010302;no_station
Fentale;ET040701;G1074
Gacho Baba;ET071016;no_station
Gawo Kebe;ET041804;no_station
Gena;ET071704;no_station
Gewane;ET020303;G1053
Gimbi town;ET040193;no_station
Girja /Harenfema;ET041410;no_station
Godere;ET120301;no_station
Gonder town;ET031118;no_station
Goro Gutu;ET041010;no_station
Gimbo;ET070904;no_station
Goba (SP);ET070912;no_station
Gombora;ET070202;no_station
Goro (Bale);ET041116;no_station
Gudetu Kondole;ET040109;no_station
Guna;ET040819;no_station
Guto Gida;ET040213;no_station
Hagere Selam town;ET010605;no_station
Hararey;ET051096;no_station
Haroreys;ET050298;no_station
"Hawi Gudina
";ET040915;no_station
Hitosa;ET040807;no_station
Hulet Ej Enese;ET030602;no_station
Kindo Koyesha;ET070606;no_station
Gog;ET120203;G5056
Gorche;ET160011;no_station
Guangua;ET030904;no_station
Guliso;ET040119;no_station
Gunagado;ET050305;no_station
Habro;ET040908;no_station
Hakim;ET130104;no_station
Harena Buluk;ET041111;no_station
Hawela;ET160023;no_station
Hintalo;ET010603;no_station
Hosaena town;ET070211;no_station
Indasilassie town;ET010108;no_station
Jarso (West Wellega);ET040108;no_station
Jilye Tumuga;ET031003;no_station
Kebena;ET070101;no_station
Goljano;ET050290;no_station
Gonder Zuria;ET031110;no_station
Goro Muti;ET041089;no_station
Guduru;ET041903;no_station
Guna Begemider;ET030212;no_station
Habru;ET030308;G1045
Hambela Wamena;ET041509;no_station
Haro Walabu;ET041490;no_station
Hawzen;ET010305;no_station
Hobicha Abaya;ET070619;no_station
Hulla;ET160007;no_station
Itang;ET120407;G1603
Jeju;ET040804;no_station
Jimma town;ET040418;no_station
Kemba;ET071011;G1901
Gololcha Bale;ET042101;G5081
Gori Gesha;ET071803;no_station
Guagusa Shikudad;ET030907;no_station
Gulina;ET020405;no_station
Gursum (SM);ET050202;no_station
Hadhagala;ET050106;no_station
Hargele;ET050806;no_station
Hawa Galan;ET041801;no_station
Higloley;ET050597;no_station
Horo Buluk;ET041912;no_station
Ifata;ET040519;no_station
Jajura town;ET070214;no_station
Jibat;ET040518;no_station
Jore;ET120204;G5056
Kebribeyah;ET050206;no_station
Gora Dola;ET041413;no_station
Guba;ET060202;no_station
Gumer;ET070109;no_station
Gurafereda;ET071102;no_station
Hahayle;ET010217;no_station
Harawo;ET050299;no_station
Hawassa Zuria;ET160002;no_station
Homosha;ET060307;no_station
Ibantu;ET040202;no_station
Jabi Tehnan;ET030709;no_station
Jeldu;ET040502;no_station
Jimma Genete;ET041906;no_station
Kache;ET071706;no_station
Kolfe - Keran;ET140103;no_station
Gulo Mekeda;ET010301;no_station
Gununo Hamus town;ET070618;no_station
Hafat Issa;ET150112;no_station
Haro Limu;ET040204;no_station
Hawasa town;ET160018;no_station
Holeta town;ET042020;no_station
Hulbareg;ET072008;no_station
Injibara town;ET030996;no_station
Jarte Jardega;ET041908;no_station
Jikawo;ET120103;G1603
Kalu;ET030407;no_station
Kelete Awelallo;ET010306;no_station
Kiltu Kara;ET040105;no_station
Kochere;ET070503;no_station
Korarit;ET010508;no_station
Kurmuk;ET060302;no_station
Lanfero;ET072003;no_station
Legehare;ET150105;no_station
Misha;ET070201;no_station
Gura Damole;ET041115;no_station
Hagere Mariam;ET030516;no_station
Hanruka;ET020307;no_station
Harshin;ET050207;no_station
Hidabu Abote;ET040603;no_station
Horo;ET041901;no_station
Humbo;ET070604;no_station
Inkolo Wabe;ET040824;no_station
Jawi;ET030906;no_station
Jimma Horo;ET041810;no_station
Kafta Humera;ET010501;no_station
Kercha;ET041502;no_station
Guradamole;ET050904;G5115
Hadelela;ET020505;no_station
Halu /Huka;ET040319;no_station
Haromaya town;ET041019;no_station
Heban Arsi;ET041783;no_station
Homa;ET040117;no_station
Hurumu;ET040316;no_station
Janamora;ET030103;no_station
Jida;ET040615;no_station
Jinka town;ET070709;no_station
Kazira;ET150113;no_station
Kemisie town;ET031006;no_station
Kibet town;ET072011;no_station
Kobo town;ET030399;no_station
Kore;ET041705;no_station
Kurfa Chele;ET041007;G5068
Lare;ET120102;G1603
Lehel-Yucub;ET050798;no_station
Limu Bilbilo;ET040818;no_station
Gursum (OR);ET041003;no_station
Hadero town;ET070312;no_station
Hamer;ET070704;G1901
Haro Maya;ET041006;no_station
Hawzen town;ET010312;no_station
Hokko;ET160031;no_station
Hudet;ET051104;no_station
Ilu;ET041305;no_station
Jarso (East Hararghe);ET041002;no_station
Jigjiga town;ET050293;no_station
Jinela;ET130103;no_station
Karat town;ET071301;no_station
Kebridehar town;ET050592;no_station
Kersana Malima;ET041307;no_station
Kirkos;ET140106;no_station
Konta;ET071901;no_station
Kuni /Oda Bultum;ET040911;no_station
Sebeta town;ET042009;no_station
Guzamn;ET030610;no_station
Hadero Tunto;ET070305;no_station
Hamero;ET050404;no_station
Haru;ET040114;no_station
Hike town;ET030499;no_station
Horshagah;ET051095;no_station
Illu Galan;ET040500;no_station
Jama;ET030414;no_station
Jimma Arjo;ET040214;no_station
Kacha Bira;ET070304;no_station
Kebribayah town;ET050296;no_station
Kemba town;ET071012;no_station
Kewet;ET030512;no_station
Kohle /Qoxle;ET050898;no_station
Kucha;ET071019;no_station
Laelay Maychew;ET010205;no_station
Sekota town;ET030807;no_station
Isara;ET071705;no_station
Jeldessa;ET150206;no_station
Jimma Rare;ET041907;no_station
Kawo Koisha;ET070620;no_station
Kelafo;ET050605;G1904
Kersa (East Hararge);ET041008;no_station
Kinfaz;ET031122;no_station
Kombolcha town;ET030417;no_station
Kumbi;ET041098;no_station
Lagahida;ET050407;no_station
Lege Hida;ET042102;G5076
Liben;ET041407;no_station
Lome (OR);ET040704;no_station
Kamashi;ET060403;no_station
Kebridehar;ET050502;no_station
Kena;ET071304;no_station
Kindo Daddaye;ET070610;no_station
Kola Temben;ET010208;no_station
Korem town;ET010410;no_station
Kutaber;ET030403;no_station
Lay Armacho;ET031108;no_station
Lemmo;ET070203;no_station
Loka Abaya;ET160037;no_station
Malie;ET070707;G1901
May Gaba;ET010509;no_station
Mekelle;ET010701;no_station
Mendi town;ET040198;no_station
Mersa town;ET030397;no_station
Metu town;ET040320;no_station
Miesso;ET050107;no_station
Karat Zuria;ET071303;no_station
Kediada Gambela;ET070303;no_station
Kersa (Jimma);ET040405;G6109
Kiremu;ET040217;no_station
Kombolcha;ET041001;no_station
Kulito town;ET071401;no_station
Laelay Adiabo;ET010102;no_station
Lasdhankayre;ET050596;no_station
Leku town;ET160022;no_station
Limu Kosa;ET040402;no_station
Malga;ET160012;no_station
Mareko;ET070107;no_station
Meda Welabu;ET041113;no_station
Melekoza;ET071501;no_station
Kelela;ET030413;no_station
Keyhe tekli;ET010221;no_station
Kokosa;ET041708;no_station
Kucha Alpha;ET071017;no_station
Lalibela town;ET030398;no_station
Legambo;ET030410;no_station
Liben Chukala;ET040711;no_station
Lude Hitosa;ET040821;no_station
Marsin;ET050586;no_station
Mehal Sayint;ET030419;no_station
Mekhoni town;ET010412;no_station
Mengesh;ET120308;no_station
Merti;ET040801;no_station
Metu Zuria;ET040310;no_station
Minjar Shenkora;ET030518;no_station
Kimbibit;ET040610;no_station
Kofele;ET041704;no_station
Koran /Mulla;ET050297;no_station
Kunneba;ET020202;no_station
Lalo Asabi;ET040104;no_station
Lege Tafo-Lege Dadi town;ET042004;no_station
Leta Sibu;ET040197;no_station
Limu Seka;ET040401;no_station
Malka Jabti /M.Jebdu);ET150104;no_station
Masha town;ET070805;no_station
Mekane Selame;ET030498;no_station
Melka Soda;ET041518;no_station
Menze Gera Midir;ET030505;no_station
Metema;ET031213;no_station
Midhaga Tola;ET041014;no_station
Misrak Azenet Berbere;ET072007;no_station
Kori;ET020108;no_station
Kuyu;ET040604;no_station
Lasta;ET030310;no_station
Leka Dulecha;ET040212;no_station
Lideta;ET140105;no_station
Madira;ET060204;no_station
Masha;ET070802;no_station
Mehale Meda town;ET030597;no_station
Melo Gada;ET071509;no_station
Menze Lalo Midir;ET030522;no_station
Metehara town;ET040799;no_station
Mida Woremo;ET030501;no_station
Mirab Armacho;ET031206;no_station
Mizyiga;ET060405;no_station
Lalo Kile;ET041811;no_station
Legehida;ET030420;no_station
Limu (OR);ET040201;no_station
Maichew town;ET010409;no_station
Maokomo Special;ET060508;no_station
May Tsebri town;ET010116;no_station
Meket;ET030304;no_station
Mena Meketewa;ET030213;no_station
Merawi town;ET030797;no_station
Meta Robi;ET040514;no_station
Michakel;ET030609;no_station
Mirab Abaya;ET071005;no_station
Mito;ET072012;no_station
Moyale (SM);ET051103;no_station
Mustahil;ET050606;G1904
Neqsege;ET010403;no_station
Ofa;ET070607;no_station
Rape;ET070509;no_station
Lay Gayint;ET030205;no_station
Liban Jawi;ET040597;no_station
Loma;ET071703;no_station
Mana Sibu;ET040101;no_station
May Kadra;ET010505;no_station
Mekdela;ET030421;no_station
Mena (Bale);ET041112;no_station
Menze Mama Midir;ET030509;no_station
Meta;ET041009;no_station
Mida Kegn;ET040504;no_station
Mirab Badowach;ET070209;no_station
Mizan Aman town;ET071107;no_station
Muhur Na Aklil;ET070112;G6108
Nenesebo;ET041709;no_station
Police Maret;ET150114;no_station
Libokemekem;ET030202;G4965
Makuey;ET120105;no_station
Mari Mansa;ET071708;no_station
Mekan Eyesuse;ET030298;no_station
Mena (Jimma);ET040406;no_station
Menze Keya Gabriel;ET030521;no_station
Meta Walkite;ET040594;no_station
Mierab Azenet Berbere;ET072004;no_station
Mirab Soro;ET070217;no_station
Mojo Town;ET040797;no_station
Negele town;ET041414;no_station
Nyngatom;ET070708;no_station
Quarit;ET030706;no_station
Robe;ET040812;no_station
Salahad;ET051004;no_station
Sayint;ET030411;no_station
Sedi Chenka;ET041812;no_station
Selamber town;ET071003;no_station
Maji;ET071807;no_station
Mareka;ET071702;no_station
Mecha;ET030704;G4977
Meko;ET041618;no_station
Menge;ET060301;no_station
Merhabete;ET030502;no_station
Metema Yohanes town;ET031224;no_station
Midre Genet;ET031223;no_station
Misrak Badawacho;ET070205;no_station
Moretna Jiru;ET030504;no_station
Nejo;ET040102;no_station
Nunu Kumba;ET040215;no_station
Qada Duma;ET051198;no_station
Raya Azebo;ET010406;no_station
Sagag;ET051005;no_station
Sankura;ET072006;no_station
Mancho;ET040490;no_station
Megale;ET020204;no_station
Melka Balo;ET041012;no_station
Menit Goldiye;ET071802;no_station
Mesela;ET040904;no_station
Meyu Muleke;ET041018;no_station
Mile;ET020105;G1053
Misrak Meskan;ET070118;no_station
Moyale (OR);ET041210;no_station
Nefas Mewicha town;ET030215;no_station
Nole Kaba;ET040115;no_station
Ofla;ET010408;no_station
Rama;ET010214;no_station
Sabian;ET150103;no_station
Samera Logiya town;ET020198;no_station
Sedae;ET030619;no_station
Menit Shasha;ET071804;no_station
Meskan;ET070106;no_station
Meyumuluka;ET050408;no_station
Mieso;ET040901;no_station
Misirak Silti;ET072013;no_station
Mota Town;ET030694;no_station
Naeder;ET010209;no_station
Nono;ET040508;no_station
Omo Nada;ET040411;no_station
Raya Kobo;ET030302;no_station
Samre;ET010606;no_station
Sedal;ET060402;no_station
Semada;ET030207;no_station
Tanqua Melashe;ET010222;no_station
Miyo;ET041216;no_station
Mulo;ET042016;no_station
Nekemte town;ET040297;no_station
Odo Shakiso;ET041405;no_station
Qubi;ET050497;no_station
Saesie;ET010303;no_station
Sasiga;ET040211;no_station
Seden Sodo;ET041310;no_station
Semen Bench;ET071105;no_station
Shanan Kolu;ET040893;no_station
Shinile;ET050103;G4954
Sire;ET040820;no_station
South Ari;ET070702;no_station
Takusa;ET031121;no_station
Tercha town;ET071711;no_station
Mojan Wedera;ET030511;no_station
Nefas Silk;ET140102;no_station
Nono Benja;ET040499;no_station
Omo Beyam;ET040491;no_station
Rayitu;ET042104;no_station
Samurobi;ET020502;G1067
Sebeta Hawas;ET042006;no_station
Sekota;ET030802;no_station
Senan;ET030616;no_station
Shafamo;ET160028;no_station
Shaygosh;ET050501;no_station
Shinshincho town;ET070310;no_station
Siraro;ET041701;no_station
Soro;ET070206;no_station
Tach Gayint;ET030206;no_station
Mubarek;ET051187;no_station
Nejo town;ET040199;no_station
O'yida;ET071506;no_station
Quara;ET031214;no_station
Robe Town;ET041119;no_station
Salamago;ET070701;G1901
Sayo;ET041805;no_station
Sekela;ET030705;no_station
Seru;ET040811;G5076
Shambu town;ET041902;no_station
Shebel Bernta;ET030614;no_station
Shirka;ET040814;no_station
Siraro Badawacho;ET070216;no_station
Sude;ET040808;no_station
Munessa;ET040817;no_station
North Ari;ET070703;no_station
Pawe;ET060206;no_station
Raso;ET050809;no_station
Sahila;ET030806;no_station
Saylem;ET070901;no_station
Segen Zuria;ET071302;no_station
Selekleka;ET010109;no_station
