"pcode","date","dmp"
"KE009",2012-02-20,10.4867469879518
"KE025",2012-02-20,22.8028485757121
"KE010",2012-02-20,7.41554427025834
"KE012",2012-02-20,46.8322147651007
"KE044",2012-02-20,36.7810650887574
"KE021",2012-02-20,69.5644171779141
"KE047",2012-02-20,24.4651162790698
"KE032",2012-02-20,40.7079646017699
"KE029",2012-02-20,59.2826086956522
"KE046",2012-02-20,60.6896551724138
"KE018",2012-02-20,48.4634146341463
"KE041",2012-02-20,33.70625
"KE006",2012-02-20,13.9212454212454
"KE004",2012-02-20,8.53762575452716
"KE013",2012-02-20,44.0242424242424
"KE026",2012-02-20,42.9551282051282
"KE023",2012-02-20,6.44578592988159
"KE027",2012-02-20,41.1136363636364
"KE038",2012-02-20,45.5526315789474
"KE008",2012-02-20,7.32117191818684
"KE024",2012-02-20,29.5716723549488
"KE033",2012-02-20,40.7847769028871
"KE001",2012-02-20,18.3
"KE005",2012-02-20,33.5026737967914
"KE030",2012-02-29,28.8408759124088
"KE036",2012-02-29,70.9933333333333
"KE039",2012-02-29,39.6096256684492
"KE040",2012-02-29,32.0093457943925
"KE028",2012-02-29,57.1151832460733
"KE014",2012-02-29,38.5953757225434
"KE007",2012-02-29,8.90440115440115
"KE043",2012-02-29,37.7537688442211
"KE019",2012-02-29,68.2105263157895
"KE011",2012-02-29,8.20209488601355
"KE034",2012-02-29,15.6685962373372
"KE037",2012-02-29,41.8663101604278
"KE035",2012-02-29,60.8645161290323
"KE022",2012-02-29,60.8427672955975
"KE003",2012-02-29,19.2356687898089
"KE020",2012-02-29,66.6421052631579
"KE045",2012-02-29,61.05
"KE042",2012-02-29,37.4206349206349
"KE015",2012-02-29,16.7335051546392
"KE002",2012-02-29,18.7788461538462
"KE031",2012-02-29,32.4104234527687
"KE016",2012-02-29,23.7694300518135
"KE017",2012-02-29,24.2662835249042
"KE009",2012-02-29,9.25120481927711
"KE025",2012-02-29,20.4827586206897
"KE010",2012-02-29,6.29189666593067
"KE012",2012-02-29,44.5637583892617
"KE044",2012-02-29,43.6508875739645
"KE021",2012-02-29,69.6441717791411
"KE047",2012-02-29,22.5581395348837
"KE032",2012-02-29,39.3163716814159
"KE029",2012-02-29,57.2967032967033
"KE046",2012-02-29,68.3448275862069
"KE018",2012-02-29,48.3658536585366
"KE041",2012-02-29,36.6
"KE006",2012-02-29,13.5595238095238
"KE004",2012-02-29,7.41086519114688
