fid,name,lat,lon,type,report_date
429,Lusuntha borehole,-11.0682179,33.7205965,Borehole or tubewell,
430,Paul banda tap,-11.0316500,33.8746756,Piped into public tap / standpipe / basin,
434,Mbiriyawaka Moyo borehole,-11.7794805,33.5033896,Borehole or tubewell,
439,Gindiloni shallow well,-12.2052163,33.3517163,Protected dug well,
441,Mwamlowe,-10.7726879,34.2041386,Piped into public tap / standpipe / basin,
442,Chenyentha,-10.8300418,34.0105809,Protected dug well,
444,Mwanza mtumbuka borehole,-10.9061072,33.9596595,Borehole or tubewell,
445,Magwambani bolehole ,-11.7578404,33.4478989,Borehole or tubewell,
446,Baphani  Kamanga  borehole ,-11.7149565,33.5909609,Borehole or tubewell,
447,Chawanangwa kayila tap ,-11.0194593,33.8506248,Piped into yard/plot,
449,Kamulawanga Kaira borehole ,-11.2362272,33.8257680,Borehole or tubewell,
450,Kamunthambani Mtonga borehole ,-11.4331108,33.4914943,Borehole or tubewell,
454,Machawane shallow well ,-10.9393979,34.0958103,Protected dug well,
458,Laston kaira waterpoint,-10.9812102,33.7401621,Piped into yard/plot,
459,Kahami borehole ,-10.7987621,34.0587144,Borehole or tubewell,
460,Chivwanyuma primary school  tap,-10.7841882,34.0297090,Piped into public tap / standpipe / basin,
461,Manyung'unya borehole,-10.9027128,33.7013674,Borehole or tubewell,
468,Kayisuke Dug well ,-11.8164987,33.7036357,Protected dug well,
479,Chaula tap,-10.9594951,33.6556339,Piped into public tap / standpipe / basin,
504,Chikalamba,-11.0263782,33.8541307,Piped into public tap / standpipe / basin,
505,Msambala tap,-10.9423073,33.7452402,Piped into public tap / standpipe / basin,
506,Makupula,-10.9690431,33.6945909,Protected dug well,
509,Msongawumo tap,-10.7537765,34.0296282,Piped into public tap / standpipe / basin,
510,Jando mghogho,-10.9413960,33.7459989,Piped into yard/plot,
511,Kettie Banda shallow well ,-12.1666780,33.4312520,Protected dug well,
512,Kamatang'Ombe,-10.9273102,33.9626584,Piped into public tap / standpipe / basin,
516,Mwvere communal tap ,-10.7916565,34.2096031,Piped into public tap / standpipe / basin,
12100,Mpata,-9.9567133,33.8265700,Borehole or tubewell,
21303,Mpata,-9.9567133,33.8265700,Borehole or tubewell,
577,Chipiku borehole,-12.1412302,33.4728541,Borehole or tubewell,
620,Vwalako shallow well ,-10.8533028,34.0664483,Protected dug well,
33480,Aunt Mwiza Lodge,-9.9368230,33.9261400,Borehole or tubewell,
5563,Aunt Mwiza Lodge,-9.9368230,33.9261400,Borehole or tubewell,
33334,Aunt Mwiza Lodge,-9.9368230,33.9261400,Borehole or tubewell,
33480,Aunt Mwiza Lodge,-9.9368230,33.9261400,Borehole or tubewell,
5563,Aunt Mwiza Lodge,-9.9368230,33.9261400,Borehole or tubewell,
33334,Aunt Mwiza Lodge,-9.9368230,33.9261400,Borehole or tubewell,
648,Kacheche  water point ,-10.9705202,33.7424618,Piped into public tap / standpipe / basin,
655,Kayange Borehole ,-9.9593496,33.9112543,Borehole or tubewell,
661,Mbale tap ,-10.8562507,33.9950557,Piped into yard/plot,
681,Ireen munthali tap,-10.9743822,33.7481644,Piped into yard/plot,
742,Chawezi Hlongo water point,-12.1353960,33.4662874,Protected dug well,
749,Mnjiri Secondary school Monitoring well,-11.8914229,33.5830262,Borehole or tubewell,
757,Echulumbeni F.P. School Monitoring well,-11.5363729,33.2945195,Borehole or tubewell,
758,Chifwefwe 2 kaitchaye borehole,-11.4664138,33.4798603,Borehole or tubewell,
759,Solomoni Moyo community borehole ,-11.7943861,33.6742084,Borehole or tubewell,
761,Alfred  kamanga  water point ,-11.0228659,33.8455340,Piped into public tap / standpipe / basin,
764,Matunkha Tap 2,-11.0196336,33.8376527,Piped into public tap / standpipe / basin,
777,Victor  tembo water point ,-11.0263225,33.8520052,Piped into public tap / standpipe / basin,
779,Msekanawana tap,-11.1734899,33.9507553,Piped into public tap / standpipe / basin,
781,Kantcheni primary school borehole ,-11.4371873,33.5944313,Borehole or tubewell,
782,Khongono 2,-10.9855148,33.8227844,Borehole or tubewell,
783,Zebediya Beza community  borehole ,-11.7230369,33.6889836,Borehole or tubewell,
787,Vwalika tap,-11.0076517,33.8535290,Piped into yard/plot,
795,Samson borehole ,-11.4381257,33.8298777,Borehole or tubewell,
796,Chimoyo,-11.0065541,34.0729788,Piped into public tap / standpipe / basin,
803,Gogo chirwa tap,-11.0286680,33.8716886,Piped into public tap / standpipe / basin,
808,Lura cdss water point 2,-10.7280661,34.0464100,Borehole or tubewell,
810,Mtungambewa borehole,-10.8162585,34.0136701,Borehole or tubewell,
811,Mtete tap ,-10.9368236,33.9216464,Piped into yard/plot,
814,Mary Mhone wp,-10.9768453,33.7434756,Piped into yard/plot,
815,Mdoyi,-10.7892671,34.2071863,Piped into public tap / standpipe / basin,
828,Thom sowoya tap,-11.0131361,33.8518449,Piped into yard/plot,
834,Zamukolani tap,-11.0149558,33.8497137,Piped into public tap / standpipe / basin,
835,Kaulambwe shallowwell ,-12.2590594,33.6847291,Protected dug well,
836,Nkhundukundu Chimaliro waterpoint ,-11.2517337,33.7982617,Piped into public tap / standpipe / basin,
837,Mwaphoka tap 2,-11.0068695,33.8517918,Piped into yard/plot,
838,Kagowa Nyirenda borehole ,-11.3056483,33.9330617,Borehole or tubewell,
82,Mwawembe  tap,-9.9228432,33.9457936,Piped into public tap / standpipe / basin,
840,Stanry moyo tap,-11.0148239,33.8443647,Piped into yard/plot,
842,Mkhondweni water point,-12.2525438,33.4798842,Protected dug well,
846,Jacob munthali  water point ,-11.0271461,33.8487615,Piped into public tap / standpipe / basin,
849,Phoseka Jere Borehole 2,-11.4370224,33.6285613,Borehole or tubewell,
851,Davie kayilast tap ,-11.0195070,33.8505809,Piped into yard/plot,
853,Andrew Muyaba well ,-11.5863233,33.7078235,Protected dug well,
854,Kaonga tap,-10.7343011,34.0407346,Piped into public tap / standpipe / basin,
856,Mdekezga shallow well 1,-10.9685215,34.1088629,Protected dug well,
857,Brian Gondwe tap,-10.9546785,33.7620077,Piped into yard/plot,
859,Chimfyonyo 2 tap,-10.9667580,33.6659880,Piped into yard/plot,
860,Aunt thoko tap,-11.1817518,33.8869201,Piped into public tap / standpipe / basin,
861,,-9.9435785,33.8721531,Borehole or tubewell,
863,Bembe water point,-10.9740320,33.6711950,Borehole or tubewell,
865,,-11.1776607,33.6598727,Borehole or tubewell,
866,Chivunguru water point,-10.8791000,34.0225940,Borehole or tubewell,
868,Mr. Mbizi well ,-11.4553051,33.9396182,Protected dug well,
869,Mafumu water point,-11.0459790,33.6559900,Borehole or tubewell,
871,Chilenga,-10.7304335,34.0442375,Piped into public tap / standpipe / basin,
872,Bowe Nkhonjera water point,-11.0834760,33.6920070,Borehole or tubewell,
874,Nkhalamuntheta,-10.7472355,34.0229271,Piped into public tap / standpipe / basin,
875,Kachenjere water point,-10.8523710,33.3723100,Borehole or tubewell,
878,Takatika Lungu Water Point,-11.5758300,33.5869400,Borehole or tubewell,
880,Thunda communal tap,-10.7833676,34.2035309,Piped into public tap / standpipe / basin,
884,Malita WP,-10.9458144,33.7675594,Piped into yard/plot,
886,Cheyama 2,-10.9340590,33.7369383,Piped into yard/plot,
889,Kanyama Mkandawire borehole ,-11.3519165,33.4229805,Borehole or tubewell,
890,,-11.8039790,33.3350539,Borehole or tubewell,
903,Chigwere,-11.0237395,33.8489592,Piped into public tap / standpipe / basin,
904,Mlimo Primary School borehole ,-11.5022167,33.7444644,Borehole or tubewell,
905,John nyirendas tap ,-10.9794133,33.7449077,Piped into yard/plot,
907,Zanadi Banda Borehole ,-11.9032031,33.5988766,Borehole or tubewell,
908,,-9.9346070,33.9311170,,
909,KAPETA ABANDONED COMMUNAL TAP ,-10.9358996,33.9329752,Piped into public tap / standpipe / basin,
910,Aaron Chalatani Makwakwa Water Point,-11.1437246,33.6623786,Borehole or tubewell,
912,Mercy mzumala water point ,-11.0256664,33.8520037,Piped into public tap / standpipe / basin,
914,Musa Nkosi Dug well ,-11.7939320,33.7628914,Protected dug well,
920,Kasasa  school water point,-10.8553400,33.6577900,Borehole or tubewell,
924,Bulex msimuko water point ,-11.0085086,33.8455264,Piped into public tap / standpipe / basin,
928,Samuel makwakwa 2 borehore ,-11.2891114,33.6606917,Borehole or tubewell,
930,Chatonda school,-11.7750129,33.6040822,Borehole or tubewell,
931,Patamo Kamanga,-11.7739362,33.6000097,Borehole or tubewell,
932,Chikota School,-11.0904439,33.7088533,Borehole or tubewell,
933,Zakeyo Ndobera,-11.7637496,33.6105555,Borehole or tubewell,
934,Matifeyo Mwanza,-11.8563551,33.6166272,Borehole or tubewell,
936,Zimema Nyirenda,-11.7589829,33.7159858,Borehole or tubewell,
937,Bolero CBCC  2 wp ,-10.9733399,33.7399249,Piped into yard/plot,
938,Josen Munthali,-11.4964710,33.9144678,Borehole or tubewell,
939,Halaundi Soko,-11.4772373,33.8328665,Borehole or tubewell,
940,Mtangatanga  forest,-11.9193892,33.7422438,Borehole or tubewell,
942,Bala Katazuka,-11.5763128,33.7866876,Borehole or tubewell,
943,Kawiya Kamaji,-11.5309950,33.8735454,Borehole or tubewell,
944,Vwalamanja,-10.7687049,34.0576458,Piped into public tap / standpipe / basin,
947,Mwakyero,-9.9143195,33.8758224,Protected dug well,
949,Mwachanda,-10.9879017,33.6757717,Piped into public tap / standpipe / basin,
957,penjani Bongololo wp,-10.9718294,33.7399099,Piped into yard/plot,
961,Mzambazi Community Day Secondary School borehole ,-11.4219749,33.4481194,Borehole or tubewell,
967,Katulunga dung well 1,-11.8188355,33.7006403,Protected dug well,
970,Phwezi trading centre water tap ,-10.8863695,34.0462937,Piped into public tap / standpipe / basin,
971,Muwa,-10.9557665,33.6826046,Piped into public tap / standpipe / basin,
974,Msowoya wp,-10.9590669,33.6515055,Piped into yard/plot,
975,Masoka Soko village borehole ,-11.3975322,33.9004462,Borehole or tubewell,
976,Chizotera dug well 1,-10.9254422,34.0870276,Protected dug well,
984,Kawazamawe,-10.9767232,33.7080607,Piped into public tap / standpipe / basin,
987,Gabriel nyirenda water point ,-11.0281938,33.8482593,Piped into public tap / standpipe / basin,
995,Mwayoba mwanganda waterpoint 1,-9.9527098,33.8822119,Borehole or tubewell,
996,Mwafulirwa dug well,-9.9501366,33.9072220,Unprotected dug well,
999,Chimanga school borehole,-10.8050906,34.0211967,Borehole or tubewell,
1000,M'bekwa Shaba shallow well 1,-12.1640693,33.4894700,Protected dug well,
1002,Gomeka tap 2,-11.0211821,33.8666154,Piped into yard/plot,
1007,Manyota Water Point,-11.8458980,33.4446228,Borehole or tubewell,
1009,Chimsebezo Dywel Tembo Water Point ,-12.1204030,33.3497160,Borehole or tubewell,
1010,Zakeyo Banda Water Point,-12.2465071,33.3442541,Borehole or tubewell,
1011,Jasi Banda Water Point,-12.2795739,33.4738808,Borehole or tubewell,
1012,Moses Chilenje Water Point,-12.0475805,33.3824856,Borehole or tubewell,
1013,Makazi School Water Point,-11.9455794,33.4039062,Borehole or tubewell,
1014,Zondo Water Point,-12.2830327,33.5018692,Borehole or tubewell,
1015,Kadzuwa Water Point,-11.8455638,33.5429749,Borehole or tubewell,
1018,Edakweni Zgatonga Water Point,-11.8872471,33.5457936,Borehole or tubewell,
1019,M'banga Nyirongo Water Point,-12.2272636,33.3537656,Borehole or tubewell,
1020,Chitemwano Nursery School Water Point,-11.8776495,33.5330578,Borehole or tubewell,
1021,Mathufeyo Ndlovu Water Point,-11.2804572,33.4516571,Borehole or tubewell,
1022,Fulani Lungu,-11.7577610,33.4454100,Borehole or tubewell,
1023,Mteuka Msimuko,-11.6285350,33.5089200,Borehole or tubewell,
1024,Paulosi Banda  ,-11.6930510,33.5283150,Borehole or tubewell,
1025,Mgulika Tembo,-11.6155540,33.5828220,Borehole or tubewell,
1026,Hora Ngulube,-11.6273700,33.5794060,Borehole or tubewell,
1027,Kango,-10.8505154,33.9875862,Piped into public tap / standpipe / basin,
1029,Kacherera Soko,-11.6516410,33.6400880,Borehole or tubewell,
1030,Mabuko Hlongo,-11.5509550,33.5799920,Borehole or tubewell,
1031,Zombe Kasamballa,-11.6117390,33.5909410,Borehole or tubewell,
1032,Gobede Mtonga ,-11.4906310,33.4948430,Borehole or tubewell,
1033,Wahindi Ndlovu,-11.4848060,33.4948430,Borehole or tubewell,
1034,Wahindi Ndlovu,-11.4848060,33.4948430,Borehole or tubewell,
1035,Matola Honde,-11.5202260,33.4914850,Borehole or tubewell,
1036,Venge Nyirenda,-11.5969080,33.6252140,Borehole or tubewell,
1037,Lazaro Chuzu,-11.4341810,33.3275260,Borehole or tubewell,
1038,Mchikhula school,-11.5431810,33.3672510,Borehole or tubewell,
1039,Bongololo,-10.9772995,33.7395046,Piped into public tap / standpipe / basin,
1041,Chikalamba,-11.0257918,33.8535782,Piped into public tap / standpipe / basin,
1046,Jestina kumwenda  water point ,-11.0268763,33.8519133,Piped into public tap / standpipe / basin,
1047,Maria Mwandira tap,-11.0084562,33.8544393,Piped into yard/plot,
1048,Chindchindi Dug well ,-11.8518925,33.7848600,Protected dug well,
1049,,-11.4221386,33.3244505,Borehole or tubewell,
1050,Elijah Kumwenda,-11.7503400,33.3445610,Borehole or tubewell,
1051,Moses Maunda,-11.7714980,33.3616500,Borehole or tubewell,
1057,Chkalamba Tap ,-11.0139993,33.8532891,Piped into public tap / standpipe / basin,
1060,Aaron Banda water point ,-12.2023401,33.6495986,Borehole or tubewell,
1061,Ntchowo fp school borehole 2,-9.8524294,33.8868329,Borehole or tubewell,
1062,Phillip Gondwe tap ,-11.0192959,33.8439124,Piped into public tap / standpipe / basin,
1065,Chiwapasi  water point 2,-10.9793993,33.7499864,Piped into public tap / standpipe / basin,
1066,Mahowe borehole,-11.0931226,33.7096898,Borehole or tubewell,
1069,Vulayata,-10.7871167,34.0270197,Piped into public tap / standpipe / basin,
1070,Chauluka tap,-11.0227760,33.8629600,Piped into yard/plot,
1071,Mwandwanga BH,-9.9372060,33.9250163,Borehole or tubewell,
1072,Robert Tembo  water point,-11.4130340,33.4280590,Borehole or tubewell,
1073,Gowoka Mkandawire water point,-11.4357230,33.4097680,Borehole or tubewell,
1074,Mapeza borehole,-10.9060230,34.0282729,Borehole or tubewell,
1075,Binduwindu water point,-11.4707320,33.4022730,Borehole or tubewell,
1076,James Tupa ,-11.7497910,33.4529110,Borehole or tubewell,
1077,Elijah Kumwenda,-11.7503400,33.3445610,Borehole or tubewell,
1078,Matomola Chadewa,-11.5274350,33.4023530,Borehole or tubewell,
1079,Moses Maunda,-11.7714980,33.3616500,Borehole or tubewell,
1080,Msinawan Mwale ,-11.7583980,33.4540260,Borehole or tubewell,
1081,Msikawanthu B.,-11.5148460,33.5839520,Borehole or tubewell,
1082,Boli shallow well,-10.9994971,34.1118630,Protected dug well,
1086,Chikalamba,-11.0135577,33.8534363,Piped into public tap / standpipe / basin,
1087,Kachisinga Village Tap,-10.9841006,33.9194966,Piped into public tap / standpipe / basin,
1093,Mjuma,-10.9474786,33.7653228,Piped into public tap / standpipe / basin,
1102,Kafoteka Mkandawire 1,-11.9218741,33.5891427,Borehole or tubewell,
1103,Sabola mkandawire village borehore ,-11.2296176,33.7111102,Borehole or tubewell,
1107,Mkhalira village tap,-10.8367838,34.0110527,Piped into public tap / standpipe / basin,
1109,Bongololo,-10.9743029,33.7380906,Piped into public tap / standpipe / basin,
1111,Everdemaya tap1,-10.9617346,33.6491341,Piped into public tap / standpipe / basin,
