name,description,type,depth,vulnerability,fid,lat,lon
Emtiyani Trading Centre borehole ,Near Luziwa stream ,Borehole or tubewell,0,no risk,29291,-11.5308821,33.7528411
Emtiyani Primary School borehole ,Near Thulwe Hill ,Borehole or tubewell,0,no risk,29293,-11.5371245,33.7474410
Chilongozi Gondwe borehole ,18 metres from  from  Mujoriginal tree,Borehole or tubewell,0,no risk,29295,-11.4452355,33.4769759
Chikangawa Main Compound Communal tap water 2,Near pine tree ,Piped into yard/plot,0,no risk,29296,-11.8489295,33.8065488
Mambongo Nyirenda borehole ,20 meters from mango tree,Borehole or tubewell,0,no risk,29297,-11.4612465,33.5032104
Chikakula 4 tap,Along the road from chivwanyuma to luchezi ,Piped into public tap / standpipe / basin,0,no risk,29298,-10.7908671,34.0259863
Nkhapangwa nkhonjera protected dug well,Near msangusangu trees ,Protected dug well,0,no risk,29303,-11.0813583,33.7559252
Kategha estate  borehole ,Along kategha stream,Borehole or tubewell,0,no risk,29304,-11.0759429,33.7612518
Movete Mkandawire water point ,Near mango trees,Borehole or tubewell,0,no risk,29305,-11.1007387,33.9304141
Chingawawa Nkhonjera borehole ,Along the road to Kasuma ,Borehole or tubewell,0,no risk,29307,-11.0779893,33.7464702
Masowaka mweuka borehole ,Along the road to kasuma,Borehole or tubewell,0,no risk,29308,-11.0734134,33.7466683
Kambuha Nyasulu water point,Near mango tree and kecia trees,Borehole or tubewell,0,no risk,29309,-11.1261352,33.9186332
Vakani Lubanda Village borehole ,Near Chipando stream ,Borehole or tubewell,0,no risk,29310,-11.5043868,33.7638640
Machifikilamo communal tap,Close to a large green painted house,Piped into public tap / standpipe / basin,0,no risk,29312,-10.7632265,34.2071939
Mithi  protected  dug well ,Near gmelina trees ,Protected dug well,0,no risk,29314,-11.9813882,33.3311171
Chakuchanya protected well  ,Near Mango trees ,Protected dug well,0,no risk,29317,-11.9723065,33.3355166
Rukuru F.P. School borehole,Near bluegum trees ,Borehole or tubewell,0,no risk,29318,-11.0627694,33.7462214
Msamba borehole ,Near kayola primary school ,Borehole or tubewell,0,no risk,29320,-10.9858082,33.5914924
Makanjira Gondwe villge borehole ,Close to mango tree ,Borehole or tubewell,0,no risk,29321,-11.1199204,33.7138039
Sondwani Nhlema water point ,Near mango and bluegum trees,Piped into public tap / standpipe / basin,0,no risk,29322,-11.1751799,33.8824892
Rukulu full primary school waterpoint 2,Near kesha trees ,Borehole or tubewell,0,no risk,29324,-11.0619346,33.7467715
Ng'onga primary school  borehole ,Near Ng'onga primary school,Borehole or tubewell,0,no risk,29325,-10.9464590,33.9446100
Bernard Ngoma Well ,Near Champisi stream ,Protected dug well,0,no risk,29326,-11.4889629,33.7226204
Bayani mnyenyembe community borehole ,Near mutuwankhuku hill ,Borehole or tubewell,0,no risk,29328,-11.7307303,33.7293919
Yawulungu Nkhonjera borehole ,Near mango trees ,Borehole or tubewell,0,no risk,29329,-11.0823107,33.7448684
Bayani mnyenyembe community borehole ,Near mgabi river ,Borehole or tubewell,0,no risk,29330,-11.7279786,33.7376701
Jameni mnyenyembe community swallow well 2,Near chagomera river ,Protected dug well,0,no risk,29331,-11.7362930,33.7427207
Kwame unprotected well ,Near sendelera trees ,Unprotected dug well,0,no risk,29332,-11.9671196,33.3285166
Kajolwe primary school borehole ,Near mgabi river ,Borehole or tubewell,0,no risk,29333,-11.7298072,33.7388200
Twino Mutambalika's borehole,Near Junju river,Borehole or tubewell,0,no risk,29336,-9.9904674,33.8491869
,,Borehole or tubewell,0,no risk,29338,-11.6765899,33.6487151
Pamela Ngwira's tap ,Close to Ng'onga health centre ,Piped into yard/plot,0,no risk,29340,-10.9390675,33.9440777
Bwengu Health Centre  Tap 1,Near guava tree ,Piped into yard/plot,0,no risk,29341,-11.0636801,33.9163290
