country_code,fid,name,education_level,school_year,source,school_id,amenity,lat,lon,depth,vulnerability
ETH,192,Kutir sost,,,,,,7.552,37.86,0,no risk
ETH,193,,,,,,,7.55,37.846,0,no risk
ETH,194,kutir and,,,,,,7.547,37.844,0,no risk
ETH,195,,,,,,,8.963,38.759,0,no risk
ETH,196,,,,,,,7.148,35.815,0,no risk
ETH,197,,,,,,,7.17,35.85,0,no risk
ETH,198,,,,,,,7.171,35.814,0,no risk
ETH,199,,,,,,,7.173,35.741,0,no risk
ETH,200,,,,,,,7.18,36.234,0,no risk
ETH,201,,,,,,,7.189,36.081,0,no risk
ETH,202,,,,,,,7.193,35.852,0,no risk
ETH,203,,,,,,,7.199,35.775,0,no risk
ETH,204,,,,,,,7.2,36.044,0,no risk
ETH,205,,,,,,,7.207,36.139,0,no risk
ETH,206,,,,,,,7.222,35.875,0,no risk
ETH,207,,,,,,,7.234,36.224,0,no risk
ETH,208,,,,,,,7.241,35.878,0,no risk
ETH,209,,,,,,,7.258,36.256,0,no risk
ETH,210,,,,,,,7.259,35.886,0,no risk
ETH,211,,,,,,,7.267,36.258,0,no risk
ETH,212,,,,,,,7.268,35.61,0,no risk
ETH,213,,,,,,,7.27,36.331,0,no risk
ETH,214,,,,,,,7.278,36.241,0,no risk
ETH,215,,,,,,,7.282,35.74,0,no risk
ETH,216,,,,,,,7.284,36.236,0,no risk
ETH,217,,,,,,,7.288,36.41,0,no risk
ETH,218,,,,,,,7.292,35.987,0,no risk
ETH,219,,,,,,,7.295,35.51,0,no risk
ETH,220,,,,,,,7.301,36.144,0,no risk
ETH,221,,,,,,,7.314,35.739,0,no risk
ETH,222,,,,,,,7.32,36.041,0,no risk
ETH,223,,,,,,,7.331,36.119,0,no risk
ETH,224,,,,,,,7.352,36.454,0,no risk
ETH,225,,,,,,,7.364,35.832,0,no risk
ETH,226,,,,,,,7.383,36.286,0,no risk
ETH,227,,,,,,,7.388,36.08,0,no risk
ETH,228,,,,,,,7.395,35.755,0,no risk
ETH,229,,,,,,,7.046,35.857,0,no risk
ETH,230,,,,,,,7.066,35.776,0,no risk
ETH,231,,,,,,,7.106,35.819,0,no risk
ETH,232,,,,,,,7.128,36.191,0,no risk
ETH,233,,,,,,,7.129,35.768,0,no risk
ETH,234,,,,,,,7.411,36.443,0,no risk
ETH,235,,,,,,,7.42,36.224,0,no risk
