country_code,fid,name,lat,lon,education_level,school_year,source,vulnerability,depth,school_id,amenity
MWI,505349,Mkungwe Primary Sch,-9.98149083528,33.8457445522,Primary,,government,no risk,0,,
MWI,505351,Mbande Primary Sch,-9.94959705572,33.8315176432,Primary,,government,no risk,0,,
MWI,506198,Towo,-9.98358360615,33.8122789697,Primary,,government,no risk,0,,
MWI,501388,Lulindo Sch,-9.93434147034,33.9322375885,Primary,,government,intermediate risk,0.120025634765625,,
MWI,502898,ST Mary's Girls Sch,-9.93830829738,33.9290864916,Primary,,government,no risk,0,,
MWI,503782,ST Mary`s Boys Sch,-9.94129097057,33.9330829828,Primary,,government,no risk,0,,
MWI,503783,Karonga CCAP Primary Sch,-9.94008193347,33.9159887535,Primary,,government,no risk,0,,
MWI,503790,Lukulu Sch,-9.93045015166,33.902938922,Primary,,government,high risk,0.664520263671875,,
MWI,503791,Karonga Old Mission 1 Sch,-9.94837753199,33.9391716792,Primary,,government,no risk,0,,
MWI,504743,Lusubilo,-9.93955234276,33.9191913979,Primary,,government,no risk,0,,
MWI,504744,K and K,-9.93810768125,33.9275455344,Primary,,government,intermediate risk,0.213409423828125,,
MWI,505607,Lusungu Pvt,-9.93399286678,33.9257496841,Primary,,government,high risk,0.6087646484375,,
MWI,505705,Baka,-9.93266319719,33.9217104277,Primary,,government,no risk,0,,
MWI,505706,Karonga Sch for Deaf,-9.9459920624,33.8817914808,Primary,,government,no risk,0,,
MWI,506576,St Joseph The Worker,-9.93904891071,33.8889382552,Primary,,government,no risk,0,,
MWI,509442,Changala Sch,-9.92132783644,33.9327986588,Primary,,government,no risk,0,,
MWI,500784,Juma,-10.0413867222,33.7231526005,Primary,,government,no risk,0,,
MWI,500893,Kalowe Sch,-9.90973437665,33.6448093684,Primary,,government,no risk,0,,
MWI,501376,Lufira,-9.89408756673,33.5631702149,Primary,,government,no risk,0,,
MWI,502834,Wiliro SchSch,-9.88713889543,33.6163251121,Primary,,government,no risk,0,,
