CODE,name,COMMON NAME,OWNERSHIP,type,STATUS,lat,lon,depth,vulnerability,fid
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,7.045,38.478,0,no risk,53
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,7.051,38.486,0,no risk,54
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,7.047,38.479,0,no risk,55
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,7.047,38.492,0,no risk,56
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,7.038,38.486,0,no risk,57
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,8.199,37.795,0,no risk,58
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,pharmacy,,8.542,39.269,0,no risk,59
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,pharmacy,,8.542,39.271,0,no risk,60
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,pharmacy,,8.542,39.282,0,no risk,61
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,8.955,38.765,0,no risk,62
"CODE0RangeIndex(start=1, stop=785, step=1)",Michew Curcumshion Clinic,Michew Curcumshion Clinic,,clinic,,9.01,38.742,0,no risk,63
"CODE0RangeIndex(start=1, stop=785, step=1)",feto clinic,feto clinic,,,,8.947,38.741,0,no risk,64
"CODE0RangeIndex(start=1, stop=785, step=1)",1st Chiropractic Clinic,1st Chiropractic Clinic,,,,8.991,38.794,0,no risk,65
"CODE0RangeIndex(start=1, stop=785, step=1)",1st Chiropractic Clinic,1st Chiropractic Clinic,,,,9.038,38.751,0,no risk,66
"CODE0RangeIndex(start=1, stop=785, step=1)",Amanuel Psychiatric Hospital,Amanuel Psychiatric Hospital,,,,9.028,38.723,0,no risk,67
"CODE0RangeIndex(start=1, stop=785, step=1)",ቢሃም ልዩ የህፃናት ክሊንክ,ቢሃም ልዩ የህፃናት ክሊንክ,,,,8.998,38.762,0,no risk,68
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,13.492,39.472,0,no risk,69
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,pharmacy,,11.584,37.371,0,no risk,70
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,clinic,,11.584,37.368,0,no risk,71
"CODE0RangeIndex(start=1, stop=785, step=1)",Dr. Bekele,Dr. Bekele,,,,9.02,38.86,0,no risk,72
"CODE0RangeIndex(start=1, stop=785, step=1)",Mekides pharmacy,Mekides pharmacy,,pharmacy,,11.58,37.37,0,no risk,73
"CODE0RangeIndex(start=1, stop=785, step=1)",Haro Gondio Health center,Haro Gondio Health center,,,,8.894,35.74,0,no risk,74
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,8.991,38.753,0,no risk,75
"CODE0RangeIndex(start=1, stop=785, step=1)",17 kebele Health Center ቀበሌ 17 ጥዕና ጣብያ,17 kebele Health Center ቀበሌ 17 ጥዕና ጣብያ,,,,13.487,39.472,0,no risk,76
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,7.26,38.303,0,no risk,77
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,9.353,42.801,0,no risk,78
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,8.984,38.778,0,no risk,79
"CODE0RangeIndex(start=1, stop=785, step=1)",Dilchora Hospital,Dilchora Hospital,,hospital,,9.588,41.86,0,no risk,80
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,7.596,38.069,0,no risk,81
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,7.049,38.492,0,no risk,82
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,7.049,38.492,0,no risk,83
"CODE0RangeIndex(start=1, stop=785, step=1)",ቃል,ቃል,,dentist,,8.99,38.782,0,no risk,84
"CODE0RangeIndex(start=1, stop=785, step=1)",Dr Mulat,Dr Mulat,,,,7.039,38.48,0,no risk,85
"CODE0RangeIndex(start=1, stop=785, step=1)",Washington Medical center,Washington Medical center,,,,8.988,38.777,0,no risk,86
"CODE0RangeIndex(start=1, stop=785, step=1)",ዶ/ር ግንባሩ ሳይካትሪ,ዶ/ር ግንባሩ ሳይካትሪ,,,,8.947,38.749,0,no risk,87
"CODE0RangeIndex(start=1, stop=785, step=1)",Seyoum Special Eye Clinic Plc ስየዩም ልዩ የዓይን ክሊኒክ,Seyoum Special Eye Clinic Plc ስየዩም ልዩ የዓይን ክሊኒክ,,,,8.991,38.784,0,no risk,88
"CODE0RangeIndex(start=1, stop=785, step=1)",Seyoum Special Eye Clinic Plc. ስዩም ልዩ የዓይን ክሊኒክ,Seyoum Special Eye Clinic Plc. ስዩም ልዩ የዓይን ክሊኒክ,,,,9.004,38.816,0,no risk,89
"CODE0RangeIndex(start=1, stop=785, step=1)",Senay Higer Clinic,Senay Higer Clinic,,,,8.989,38.76,0,no risk,90
"CODE0RangeIndex(start=1, stop=785, step=1)",International Clinical Laboratories,International Clinical Laboratories,,clinic,,9.012,38.767,0,no risk,91
"CODE0RangeIndex(start=1, stop=785, step=1)",Napoli Pharmacy,Napoli Pharmacy,,,,9.014,38.782,0,no risk,92
"CODE0RangeIndex(start=1, stop=785, step=1)",ቾይዝ የሕፃናትና የታዳጊዎች ልዩ ክሊኒክ,ቾይዝ የሕፃናትና የታዳጊዎች ልዩ ክሊኒክ,,clinic,,9.002,38.78,0,no risk,93
"CODE0RangeIndex(start=1, stop=785, step=1)",GOH pharmacy,GOH pharmacy,,pharmacy,,9.008,38.789,0,no risk,94
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,9.018,38.797,0,no risk,95
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,9.019,38.816,0,no risk,96
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,9.019,38.82,0,no risk,97
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,9.019,38.82,0,no risk,98
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,9.019,38.821,0,no risk,99
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,9.019,38.822,0,no risk,100
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,9.019,38.822,0,no risk,101
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,9.021,38.836,0,no risk,102
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,5.999,37.544,0,no risk,103
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,9.021,38.84,0,no risk,104
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,9.021,38.84,0,no risk,105
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,9.021,38.842,0,no risk,106
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,8.991,38.738,0,no risk,107
"CODE0RangeIndex(start=1, stop=785, step=1)",ሚና ዴንት ልዩ የጥርስ ህክምና ክሊኒክ,ሚና ዴንት ልዩ የጥርስ ህክምና ክሊኒክ,,,,8.992,38.738,0,no risk,108
"CODE0RangeIndex(start=1, stop=785, step=1)",Kalkas pharmacy,Kalkas pharmacy,,,,9.312,42.132,0,no risk,109
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,9.045,38.733,0,no risk,110
"CODE0RangeIndex(start=1, stop=785, step=1)",,,,,,9.351,42.799,0,no risk,111
