adm1_name;adm2_name;adm3_pcode;adm3_name;Date;Data_quality_score;disaster_type;ifrc_source;directely affected;Indirectly Affected;Affected;people_dead;people_Injured;Crop Damages;Lost Cattle;people_displaced;house_destroyed;livestock_lost;lost_crops_ha
SNNPR;Gamugofa;71016;Arba Minch Town Adm;13-10-2014;7;flood;other;;;;;;;;;;;
SNNPR;Gamugofa;71016;Arba Minch Town Adm;27-04-2016;6;flood;other;;;;;;;;;;;
SNNPR;Gamugofa;71016;Arba Minch Town Adm;17-06-2016;1;flood;other;;;;;;;;;;;
SNNPR;Gamo;71015;Arba minch Zuria;02-03-2020;6;flood;other; 14,ooo;;;;;NA;;;;NA;
SNNPR;Gofa;71015;Arbaminch Zuria;01-04-2005;6;flood;IFRC;18,650;;;;;3,911;;;;;
OROMIA;Borena;41208;Arero;01-04-2002;;flood;other;NA;NA;NA;1;2;NA;0;NA;12;0;NA
Amhara;Oromia;31004;Artuma Fursi;22-08-2010;5;flood;other;NA;7560;7560;NA;NA;1202;3;5883;NA;3;1202
Amhara;Oromia;31004;Artuma Fursi;07-09-2006;;flood;other;NA;2755;2755;NA;NA;4150;1354;4951;NA;1354;4150
Amhara;Oromia;31004;Artuma Fursi;07-09-2007;;flood;other;NA;587;587;NA;NA;NA;0;NA;NA;0;NA
Amhara;North Shewa;30514;Asagrt;01-10-2019;6;flood;other;239;;;;;22.5;;;;;
Afar;Afar Zone 1;20103;Asayita;01-09-2001;6;flood;other;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Afar;Afar Zone 1;20103;Asayita;01-07-2003;0;flood;other;NA;NA;NA;NA;NA;NA;3381;NA;NA;3381;NA
Afar;Afar Zone 1;20103;Asayita;01-07-2003;;flood;other;NA;NA;NA;NA;NA;NA;3381;NA;NA;3381;NA
Afar;Afar Zone 1;20103;Asayita;05-09-2005;6;flood;other;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Afar;Afar Zone 1;20103;Asayita;05-12-2005;0;flood;other;NA;8700;8700;NA;NA;NA;0;NA;NA;0;NA
Afar;Afar Zone 1;20103;Asayita;07-09-2006;0;flood;other;NA;24700;24700;NA;NA;NA;0;NA;NA;0;NA
Afar;Afar Zone 1;20103;Asayita;07-09-2006;5;flood;other;NA;56300;56300;NA;NA;33305;169;NA;NA;169;33305
Afar;Afar Zone 1;20103;Asayita;07-09-2007;5;flood;IFRC;NA;NA;NA;NA;NA;200;0;NA;NA;0;200
Afar;Afar Zone 1;20103;Asayita;20-01-2008;0;flood;other;NA;493;493;NA;NA;22;0;NA;NA;0;22
Afar;Afar Zone 1;20103;Asayita;01-09-2008;6;flood;other;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
