disaster_type;Countrty;adm1_name;adm1_pcode;adm2_name;adm2_pcode;adm3_name;adm3_pcode;adm4_name;adm4_pcode;County;sub_county;ward;people_dead;people_injured;house_destroyed;house_damaged;household_displaced;people_displaced;roads;livestock_lost;bridge;schools;latrine;wall;hospitals;drainage;inst.church.mosque;health_center;lost_crops_ha (acreage);cholera_outbreak;cholera_cases;data_source;glidenumber;disaster_id;data_quality;magnitude_impact;date_recorded
flood;kenya;;;Baringo;KE030;0;;0;;Baringo;0;0;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;15;1;1;2010/01/02
flood;kenya;;;Baringo;KE030;0;;0;;Baringo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;16;0;0;2010/01/02
flood;kenya;;;Baringo;KE030;0;;0;;Baringo;0;0;0;0;196;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;17;1;1;2010/01/02
flood;kenya;;;Lamu;KE005;0;;0;;Lamu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;671;0;0;2010/01/03
flood;kenya;;;Lamu;KE005;0;;0;;Lamu;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;672;1;1;2010/01/03
flood;kenya;;;Makueni;KE017;0;;0;;Makueni;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;714;0;0;2010/01/03
flood;kenya;;;Makueni;KE017;0;;0;;Makueni;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;715;2;0;2010/01/03
flood;kenya;;;Murang'a;KE021;0;;0;;Murang'a;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;961;0;0;2010/01/03
flood;kenya;;;Murang'a;KE021;0;;0;;Murang'a;0;0;0;0;85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;962;1;1;2010/01/03
flood;kenya;;;Nyandarua;KE018;0;;0;;Nyandarua;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;1223;1;1;2010/01/03
flood;kenya;;;Turkana;KE023;0;;0;;Turkana;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;1419;1;1;2010/01/03
flood;kenya;;;West Pokot;KE024;0;;0;;West Pokot;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;1548;0;0;2010/01/03
flood;kenya;;;Baringo;KE030;0;;0;;Baringo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;18;0;0;2010/01/04
flood;kenya;;;Homa Bay;KE043;0;;0;;Homa Bay;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;204;1;0;2010/01/04
flood;kenya;;;Laikipia;KE031;0;;0;;Laikipia;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;655;1;1;2010/01/04
flood;kenya;;;Laikipia;KE031;0;;0;;Laikipia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;656;0;0;2010/01/04
flood;kenya;;;Nakuru;KE032;0;;0;;Nakuru;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;1107;1;1;2010/01/04
flood;kenya;;;Nakuru;KE032;0;;0;;Nakuru;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;1108;2;0;2010/01/04
flood;kenya;;;Nandi;KE029;0;;0;;Nandi;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;disinventer;0;1145;2;0;2010/01/04
flood;kenya;;;Samburu;KE025;0;;0;;Samburu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;1250;0;0;2010/01/04
flood;kenya;;;Siaya;KE041;0;;0;;Siaya;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;disinventer;0;1276;2;0;2010/01/04
flood;kenya;;;Trans Nzoia;KE026;0;;0;;Trans Nzoia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;1389;0;0;2010/01/04
flood;kenya;;;Turkana;KE023;0;;0;;Turkana;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;1420;1;1;2010/01/04
flood;kenya;;;West Pokot;KE024;0;;0;;West Pokot;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;1549;0;0;2010/01/04
