"time","Baringo","Bomet","Bungoma","Busia","Elgeyo-Mar","Embu","Garissa","Homa Bay","Nyeri","Isiolo","Kajiado","Kakamega","Kericho","Kiambu","Kilifi","Kirinyaga","Kisii","Kisumu","Kitui","Kwale","Laikipia","Machakos","Makueni","Mandera","Samburu","Marsabit","Meru","Migori","Murang'a","Nairobi","Nakuru","Nandi","Nyamira","Nyandarua","Siaya","Taita Tave","Tana River","Tharaka-Ni","Trans Nzoi","Turkana","Uasin Gish","Vihiga","Wajir","West Pokot","Narok","Mombasa","Lamu"
"30-01-2000",0,0,0,0,0,0,0,3.59020589257852e-07,0,0,0,0,0,0,0,0,0,0,0,0.0029014116153121,0,0,0,0,0,0,0,4.37021071775234e-06,0,0,0,0,0,0,1.75657461909395e-08,0.00669975439086556,0,0,0,0,0,0,0,0,0,1.35969287384796e-07,0
"31-01-2000",0,0,0,0,0,0,0,0,0,0,8.59930969454581e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00013202715490479,0,0,0,0,0,0,0,0,0,0,0
"01-02-2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.55411133973394e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02-02-2000",0,0,0,0,0,0,0,0.000648460758384317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000800956913735718,0,0,0,0,0,0,2.72665147349471e-07,0,0,0,0,0,0,0,0,0,0,0,0
"03-02-2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48236149470904e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04-02-2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05-02-2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25260567074292e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06-02-2000",0,0,0,7.22256061180815e-07,0,0,0,0.0015138714807108,0,0,0,0,0,0,0.00327634089626372,0,0,7.48623788240366e-05,0.0333162471652031,0.00116682762745768,0,0,0.00240170443430543,0,0,0,0,0.00152244488708675,0,0,0,0,0,0,0.000795916013885289,0.0423448272049427,0.0166823379695415,0,0,0,0,0,0,0,0.000115194154204801,3.94137060766298e-07,0
"07-02-2000",0,0.0207525752484798,0.0396942943334579,0.0445829890668392,0,0,0,0.0972209572792053,0,0,0,0.019543182104826,0.00652279844507575,0,0,0,0.0253217592835426,0.0171703640371561,0.0115247247740626,0.000112855726911221,0,0,0.00673577981069684,0,0,0,0,0.0661263838410378,0,0,3.30255420522008e-06,0.000110665307147428,0.020421989262104,0,0.0402324534952641,0.0162849389016628,0.00187033240217716,0,0.0162234548479319,0,2.58728891822102e-06,0.0202899444848299,0,0.00479605840519071,0.0434744469821453,0,0
"08-02-2000",0.136063531041145,0.668067693710327,0.836904048919678,1.30078732967377,0.118532322347164,0,0,4.06260251998901,0,0,0.0903687253594398,1.32903063297272,1.01948344707489,0,0,0,3.46667170524597,1.55318474769592,0,0,0,0,0,1.43208467960358,0,0,0,4.71306896209717,0,0,0.111311592161655,0.477204471826553,1.59541797637939,0,1.95807409286499,0,0,0,0.0614463426172733,0.115093164145947,0.194686487317085,0.994580090045929,0.993556797504425,0.0237504839897156,4.39014768600464,0,0
"09-02-2000",2.06388211250305,0.90069854259491,2.4266631603241,2.38657832145691,2.87944960594177,0,0.00424149772152305,6.59667158126831,0.00243344646878541,0.0173150859773159,0.00165724731050432,3.9050190448761,1.14403581619263,0,0,0,1.61326336860657,0.961487591266632,0.00523006822913885,0,1.82611465454102,0,0,8.6582612991333,0.604549884796143,2.50647068023682,0.0039013484492898,6.82316637039185,0,0,0.88883638381958,3.13767528533936,1.04483449459076,0.16124664247036,4.36188888549805,0,0.00806253962218761,0.00238789571449161,2.6551661491394,1.87234044075012,2.67294359207153,1.52444505691528,9.01136875152588,2.14953470230103,2.42578744888306,0,0
"10-02-2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.61450219154358,0,1.80998003482819,0,0,0,0,0,0,0,0,0,0,0,0,0,7.55981683731079,0,0,1.52094233036041,0.00240798480808735,0,0,0
"11-02-2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7105872631073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249234616756439,0,0,0,0
"12-02-2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13-02-2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14-02-2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.03192370868055e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15-02-2000",0,0,0,0.000160758092533797,0,0,0,3.4169883292634e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000173394961166196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16-02-2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.45601039650501e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17-02-2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-02-2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19-02-2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20-02-2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21-02-2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
