adm3_name;Date;Score;Data_source;comment ;disaster_type;country;adm1_name;adm2_name;adm3_pcode;directely affected;Indirectly Affected;Affected;people_dead;people_Injured;Crop Damages;Lost Cattle;people_displaced;house_destroyed;livestock_lost;lost_crops_ha;Region;Zone;Wereda;pcode;adm1_pcode;adm2_pcode
Dejen;07/09/2006;;;;flood;ethiopia;Amhara;East Gojam;30613;NA;288;288;NA;NA;701.75;953;2219;NA;953;701.75;Amhara;East Gojam;Dejen;30613;;
Delanta;01/08/2010;;;;flood;ethiopia;Amhara;North Wello;30306;NA;12686;12686;NA;NA;1470;65;39;NA;65;1470;Amhara;North Wello;Delanta;30306;;
Dembia;01/07/2001;;;;flood;ethiopia;Amhara;Central Gondar;30111;NA;1130;1130;NA;NA;NA;0;NA;NA;0;NA;Amhara;Central Gondar;Dembia;30111;;
Dembia;01/07/2001;0;;Duplicated;flood;ethiopia;Amhara;Central Gondar;30111;NA;1130;1130;NA;NA;NA;0;NA;NA;0;NA;Amhara;Central Gondar;Dembia;30111;;
Dembia;07/09/2006;;;;flood;ethiopia;Amhara;Central Gondar;30111;NA;23860;23860;1;NA;192.14;0;NA;NA;0;192.14;Amhara;Central Gondar;Dembia;30111;;
Dembia;01/08/2007;;;;flood;ethiopia;Amhara;Central Gondar;30111;NA;NA;NA;2;NA;1600;0;NA;NA;0;1600;Amhara;Central Gondar;Dembia;30111;;
Dembia;07/01/2008;;;;flood;ethiopia;Amhara;Central Gondar;30111;NA;NA;NA;NA;NA;400;0;NA;15;0;400;Amhara;Central Gondar;Dembia;30111;;
Dembia;01/08/2010;;;;flood;ethiopia;Amhara;Central Gondar;30111;NA;NA;NA;NA;NA;124;0;NA;NA;0;124;Amhara;Central Gondar;Dembia;30111;;
Dembia;20/08/2011;5;https://reliefweb.int/sites/reliefweb.int/files/resources/map_781.pdf;Flood extent of August 17 2011;flood;ethiopia;Amhara;Central Gondar;30111;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;Amhara;Central Gondar;Dembia;30111;;
Dembia;18/08/2006;6;IFRC(Appeal);;flood;ethiopia;Amhara;Central Gonder;31111;17,385;;;;;;;;;;;;;;;;
Dembiya;01/10/2019;6;NDRMC(EW);over flow of Tana lake ;flood;ethiopia;Amhara;Central Gonder;31125;3030;;;;;234;;;31;;;;;;;;
Dera;01/09/2001;;;;flood;ethiopia;OROMIA;North Shewa;40602;NA;NA;NA;3;NA;NA;0;NA;NA;0;NA;OROMIA;North Shewa;Dera;40602;;
Dera;01/09/2001;0;;Duplicated;flood;ethiopia;OROMIA;North Shewa;40602;NA;NA;NA;3;NA;NA;0;NA;NA;0;NA;OROMIA;North Shewa;Dera;40602;;
Dera (Amhara);07/09/2000;;;;flood;ethiopia;Amhara;South Gonder;40602;NA;386;386;NA;NA;NA;0;NA;NA;0;NA;Amhara;South Gonder;Dera (Amhara);40602;;
Dera (Amhara);01/07/2003;;;;flood;ethiopia;Amhara;South Gonder;40602;NA;NA;NA;NA;NA;NA;3100;NA;NA;3100;NA;Amhara;South Gonder;Dera (Amhara);40602;;
Dera (Amhara);01/07/2003;;;;flood;ethiopia;Amhara;South Gonder;40602;NA;NA;NA;NA;NA;NA;3100;NA;NA;3100;NA;Amhara;South Gonder;Dera (Amhara);40602;;
Dera (Amhara);01/08/2006;;;;flood;ethiopia;Amhara;South Gonder;40602;NA;NA;NA;2;NA;NA;0;NA;NA;0;NA;Amhara;South Gonder;Dera (Amhara);40602;;
Dera (Amhara);07/09/2006;;;;flood;ethiopia;Amhara;South Gonder;40602;NA;7482;7482;NA;NA;206.5;4;NA;NA;4;206.5;Amhara;South Gonder;Dera (Amhara);40602;;
Dera (Amhara);01/08/2007;;;;flood;ethiopia;Amhara;South Gonder;40602;NA;NA;NA;NA;NA;NA;0;3620;NA;0;NA;Amhara;South Gonder;Dera (Amhara);40602;;
Dera (Amhara);07/09/2007;;;;flood;ethiopia;Amhara;South Gonder;40602;NA;NA;NA;NA;NA;308.2;0;NA;NA;0;308.2;Amhara;South Gonder;Dera (Amhara);40602;;
Dera (Amhara);18/02/2008;;;;flood;ethiopia;Amhara;South Gonder;40602;NA;NA;NA;NA;NA;NA;23;NA;NA;23;NA;Amhara;South Gonder;Dera (Amhara);40602;;
Dera (Amhara);01/08/2010;;;;flood;ethiopia;Amhara;South Gonder;40602;NA;18641;18641;NA;NA;2726;316;NA;79;316;2726;Amhara;South Gonder;Dera (Amhara);40602;;
Deramalo;07/09/2006;;;;flood;ethiopia;SNNPR;Gamugofa;71009;NA;1658;1658;NA;NA;NA;0;NA;NA;0;NA;SNNPR;Gamugofa;Deramalo;71009;;
Dessie City Adm.;01/08/2010;;;;flood;ethiopia;Amhara;South Wello;30409;NA;8421;8421;NA;NA;478;17;55;NA;17;478;Amhara;South Wello;Dessie City Adm.;30409;;
Dessie Zuria;01/06/2004;;;;flood;ethiopia;Amhara;South Wello;30409;NA;NA;NA;4;10;NA;0;NA;NA;0;NA;Amhara;South Wello;Dessie Zuria;30409;;
Dessie Zuria;01/08/2010;;;;flood;ethiopia;Amhara;South Wello;30409;NA;27687;27687;NA;NA;1735;2;14;NA;2;1735;Amhara;South Wello;Dessie Zuria;30409;;
Dewa Harewa;07/09/2006;;;;flood;ethiopia;Amhara;Oromia;31001;NA;2219;2219;NA;NA;509;0;739;NA;0;509;Amhara;Oromia;Dewa Harewa;31001;;
Dewa Harewa;07/09/2006;;;;flood;ethiopia;Amhara;Oromia;31001;NA;4125;4125;NA;NA;NA;0;NA;NA;0;NA;Amhara;Oromia;Dewa Harewa;31001;;
Dewa Harewa;07/09/2006;;;;flood;ethiopia;Amhara;Oromia;31001;NA;2645;2645;NA;NA;1441;178;2645;638;178;1441;Amhara;Oromia;Dewa Harewa;31001;;
Dewe;29/07/2010;0;;No record found;flood;ethiopia;Afar;Afar Zone 5;20503;NA;1000;1000;NA;NA;NA;0;NA;NA;0;NA;Afar;Afar Zone 5;Dewe;20503;;
Dila Zuria;07/12/2007;;;;flood;ethiopia;SNNPR;Gedeo;70505;NA;NA;NA;NA;NA;2145;2;20989;2;2;2145;SNNPR;Gedeo;Dila Zuria;70505;;
Dima;01/10/2019;6;NDRMC(EW);overflow of river and heavey RF;flood;ethiopia;Gambela;Agnuwa;120205;4,090;;;;;1,133.30;;;;;;;;;;;
Dire Dawa;06/08/2006;6;https://reliefweb.int/report/ethiopia/ethiopia-dire-dawa-floods-ocha-situation-report-no-1;Heavy rain, flash flood;flood;ethiopia;;;150102;;;;250;;;;10000;;;;;;;;;
Dire Dawa;12/04/2007;6;https://reliefweb.int/report/ethiopia/ethiopia-flash-flood-damages-houses-dire-dawa;Heavy rain;flood;ethiopia;;;150102;;;;;;;;;;;;;;;;;
Diredawa;08/05/2006;6;;;flood;ethiopia;Dire Dawa;;150102;3,000;;;200;;NA;;;;NA;;;;;;;
Diredawa;24/04/2020;6;;;flood;ethiopia;Dire Dawa;;150102;;;;4;;;;;;;;;;;;;
Dita;07/09/2002;;;;flood;ethiopia;SNNPR;Gamugofa;71008;NA;7381;7381;NA;NA;NA;0;NA;NA;0;NA;SNNPR;Gamugofa;Dita;71008;;
Dita;03/12/2003;;;;flood;ethiopia;SNNPR;Gamugofa;71008;NA;NA;NA;11;5;924;201;7381;136;201;924;SNNPR;Gamugofa;Dita;71008;;
Dita;01/08/2010;;;;flood;ethiopia;SNNPR;Gamugofa;71008;NA;NA;NA;NA;NA;21;3;NA;NA;3;21;SNNPR;Gamugofa;Dita;71008;;
Dodola;01/08/2010;;;;flood;ethiopia;OROMIA;West Arsi;41707;NA;NA;NA;NA;NA;NA;10;NA;NA;10;NA;OROMIA;West Arsi;Dodola;41707;;
Dodota;01/09/2019;6;NDRMC(EW);;flood;ethiopia;OROMIA;Arsi;40805;960;;;;;25;;;;;;;;;;;
Dolo Odo;30/11/2003;;;;flood;ethiopia;Somali;Liben;50902;NA;10000;10000;NA;NA;NA;0;NA;NA;0;NA;Somali;Liben;Dolo Odo;50902;;
Dolo Odo;07/09/2005;;;;flood;ethiopia;Somali;Liben;50902;NA;46700;46700;6;NA;NA;0;NA;NA;0;NA;Somali;Liben;Dolo Odo;50902;;
Dolo Odo;07/09/2005;;;;flood;ethiopia;Somali;Liben;50902;NA;150000;150000;6;NA;NA;259;NA;NA;259;NA;Somali;Liben;Dolo Odo;50902;;
Dolo Odo;05/12/2005;;;;flood;ethiopia;Somali;Liben;50902;NA;NA;NA;6;NA;NA;0;NA;NA;0;NA;Somali;Liben;Dolo Odo;50902;;
Dolo Odo;24/04/2018;6;https://reliefweb.int/sites/reliefweb.int/files/resources/ethiopia_floods_-_flash_update_3_-_22_may_2018.pdf;SAGAR tropical cyclone;flood;ethiopia;Somali;Liben;50902;;;;;;;;;;;;;;;;;
Dolo Odo;10/01/2019;6;;;flood;ethiopia;Somali;Liben;50902;9,374 HHs;;;;;4,006;;;;730;;;;;;;
Doloodo;01/10/2019;6;NDRMC(EW);overflow of river and heavey RF;flood;ethiopia;Somali;Liben;50902;;;;;;;;;;;;;;;;;
Dubti;10/08/2001;6;https://glidenumber.net/glide/public/search/details.jsp?glide=9909&record=20&last=23;Dubti is specifically mentioned;flood;ethiopia;Afar;Afar Zone 1;20101;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Afar;Afar Zone 1;Dubti;20101;;
Dubti;13/04/2002;7;https://reliefweb.int/report/ethiopia/ethiopia-floods-ocha-situation-report-no-1;not shown in peak discharge but correct event based on impact;flood;ethiopia;Afar;Afar Zone 1;20101;NA;4000;4000;NA;NA;NA;0;1000;NA;0;NA;Afar;Afar Zone 1;Dubti;20101;;
Dubti;01/09/2003;5;https://reliefweb.int/report/ethiopia/ethiopia-afar-region-and-shinille-zone-under-heavy-rains-pockets-vulnerability;period with floods in Afar region;flood;ethiopia;Afar;Afar Zone 1;20101;NA;38;38;NA;NA;15;500;NA;NA;500;15;Afar;Afar Zone 1;Dubti;20101;;
Dubti;14/04/2004;0;;seems misplaced incident, no match with discharge and rainfall values and no info found on flood in that period;flood;ethiopia;Afar;Afar Zone 1;20101;NA;21847;21847;NA;NA;NA;123;NA;NA;123;NA;Afar;Afar Zone 1;Dubti;20101;;
Dubti;07/09/2005;5;https://reliefweb.int/report/ethiopia/ethiopian-early-warning-system-monthly-report-september-2005;this line must be kept, right figures (42000 affected, see data source);flood;ethiopia;Afar;Afar Zone 1;20101;NA;42000;42000;NA;NA;NA;0;NA;NA;0;NA;Afar;Afar Zone 1;Dubti;20101;;
Dubti;07/09/2005;0;;double line on this date;flood;ethiopia;Afar;Afar Zone 1;20101;NA;25000;25000;NA;NA;NA;0;NA;NA;0;NA;Afar;Afar Zone 1;Dubti;20101;;
Dubti;30/11/2005;0;;seems misplaced incident, no match with dischare and rainfall values and no info found on flood in that period;flood;ethiopia;Afar;Afar Zone 1;20101;NA;4000;4000;NA;NA;1000;0;NA;NA;0;1000;Afar;Afar Zone 1;Dubti;20101;;
Dubti;07/09/2006;5;https://reliefweb.int/sites/reliefweb.int/files/resources/2B247973C88FFDE3492574EF0022FF76-Full_Report.pdf;only country broad info on floods from August 2006 on;flood;ethiopia;Afar;Afar Zone 1;20101;NA;7000;7000;NA;NA;NA;0;NA;NA;0;NA;Afar;Afar Zone 1;Dubti;20101;;
Dubti;07/09/2007;5;https://www.ifrc.org/docs/appeals/07/MDRET004frep.pdf, https://glidenumber.net/glide/public/search/details.jsp?glide=17827&record=11&last=23;more general info on flood in Afar;flood;ethiopia;Afar;Afar Zone 1;20101;NA;NA;NA;NA;NA;100;0;NA;NA;0;100;Afar;Afar Zone 1;Dubti;20101;;
Dubti;07/12/2007;0;;seems misplaced incident, no match with discharge and rainfall values and no info found on flood in that period;flood;ethiopia;Afar;Afar Zone 1;20101;NA;4000;4000;NA;NA;NA;0;NA;NA;0;NA;Afar;Afar Zone 1;Dubti;20101;;
Dubti;01/09/2008;6;;might be new event based on peak discharge, but no specific impact-info found, august-sept are particular flood-months in Ethiopia;flood;ethiopia;Afar;Afar Zone 1;20101;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Afar;Afar Zone 1;Dubti;20101;;
Dubti;01/08/2009;6;;might be new event based on peak discharge, but no specific impact-info found, august-sept are particular flood-months in Ethiopia;flood;ethiopia;Afar;Afar Zone 1;20101;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Afar;Afar Zone 1;Dubti;20101;;
Dubti;24/08/2010;6;https://reliefweb.int/disaster/fl-2010-000179-eth;more general info on flood in Afar;flood;ethiopia;Afar;Afar Zone 1;20101;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Afar;Afar Zone 1;Dubti;20101;;
Dubti;01/08/2011;6;https://reliefweb.int/disaster/fl-2011-000124-eth;might be new event, floods in juli-august 2011 reported in Afar regions;flood;ethiopia;Afar;Afar Zone 1;20101;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Afar;Afar Zone 1;Dubti;20101;;
Dubti;01/08/2013;6;;might be new event based on peak discharge, but no specific impact-info found, august-sept are particular flood-months in Ethiopia;flood;ethiopia;Afar;Afar Zone 1;20101;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Afar;Afar Zone 1;Dubti;20101;;
Dubti;01/10/2013;6;;might be new event based on peak discharge, but no specific impact-info found, august-sept are particular flood-months in Ethiopia;flood;ethiopia;Afar;Afar Zone 1;20101;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Afar;Afar Zone 1;Dubti;20101;;
Dubti;01/09/2014;6;http://floodlist.com/africa/ethiopia-floods-8000-families-displaced, https://glidenumber.net/glide/public/search/details.jsp?glide=20311&record=6&last=23;new, impact data found, 8000 households affected in whole region;flood;ethiopia;Afar;Afar Zone 1;20101;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Afar;Afar Zone 1;Dubti;20101;;
Dubti;01/08/2016;6;;might be new event based on peak discharge, but no specific impact-info found on Dubti, august-sept are particular flood-months in Ethiopia;flood;ethiopia;Afar;Afar Zone 1;20101;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Afar;Afar Zone 1;Dubti;20101;;
Dubti;09/05/2016;7;http://floodlist.com/africa/ethiopia-families-displaced-belg-rain-floods-may-2016;not shown in peak discharge but correct event based on impact;flood;ethiopia;Afar;Afar Zone 1;20101;NA;671;671;NA;NA;NA;NA;NA;NA;NA;NA;Afar;Afar Zone 1;Dubti;20101;;
Dubti;08/09/2017;6;https://reliefweb.int/sites/reliefweb.int/files/resources/MDRET018do.pdf;might be new event based on peak discharge, but no specific impact-info found on Dubti, august-sept are particular flood-months in Ethiopia;flood;ethiopia;Afar;Afar Zone 1;20101;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Afar;Afar Zone 1;Dubti;20101;;
Dugda;07/09/2005;;;;flood;ethiopia;OROMIA;East Shewa;40707;NA;70000;70000;1;NA;NA;0;NA;NA;0;NA;OROMIA;East Shewa;Dugda;40707;;
Dugda;07/09/2007;;;;flood;ethiopia;OROMIA;East Shewa;40707;NA;5549;5549;NA;NA;654;0;NA;417;0;654;OROMIA;East Shewa;Dugda;40707;;
Dulecha;01/09/2005;6;;might be new event based on flood discharge data;flood;ethiopia;Afar;Afar Zone 3;20304;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Afar;Afar Zone 3;Dulecha;20304;;
Dulecha;29/08/2006;5;https://reliefweb.int/report/ethiopia/ethiopia-floods-ocha-situation-report-no-6;floods in Dulecha in this period;flood;ethiopia;Afar;Afar Zone 3;20304;NA;4000;4000;NA;NA;NA;0;NA;NA;0;NA;Afar;Afar Zone 3;Dulecha;20304;;
Dulecha;07/09/2006;0;;same incident as on 29 august 2006;flood;ethiopia;Afar;Afar Zone 3;20304;NA;4443;4443;NA;NA;NA;332;4000;NA;332;NA;Afar;Afar Zone 3;Dulecha;20304;;
Dulecha;01/08/2008;6;;might be new event based on flood discharge data;flood;ethiopia;Afar;Afar Zone 3;20304;NA;NA;NA;NA;NA;NA;NA;NA;NA;332;NA;Afar;Afar Zone 3;Dulecha;20304;;
Dulecha;01/09/2010;6;;might be new event based on flood discharge data;flood;ethiopia;Afar;Afar Zone 3;20304;NA;NA;NA;NA;NA;NA;NA;NA;NA;332;NA;Afar;Afar Zone 3;Dulecha;20304;;
Dulecha;01/10/2013;6;;might be new event based on flood discharge data;flood;ethiopia;Afar;Afar Zone 3;20304;NA;28.392;28.392;NA;NA;NA;NA;NA;NA;NA;NA;Afar;Afar Zone 3;Dulecha;20304;;
Dulecha;10/10/2014;6;https://reliefweb.int/sites/reliefweb.int/files/resources/Humanitarian%20Bulletin_20%20October%202014.pdf;On October 10, overflow of Awash river in Afar caused flooding in Amibara and and Dulecha;flood;ethiopia;Afar;Afar Zone 3;20304;NA;28.392;28.392;NA;NA;NA;NA;NA;NA;NA;NA;Afar;Afar Zone 3;Dulecha;20304;;
East Belesa;01/08/2010;;;;flood;ethiopia;Amhara;Central Gondar;30117;NA;1134;1134;NA;NA;540;31;NA;NA;31;540;Amhara;Central Gondar;East Belesa;30117;;
East Imey;20/04/2013;6;https://reliefweb.int/sites/reliefweb.int/files/resources/Humanitarian%20Bulletin_20%20May%202013.pdf;;flood;ethiopia;;Somali;50601;Shebelle;;50601;;;;;;;;;;;;;;
East Imey;02/11/2015;;;;flood;ethiopia;Somali;Shebelle;50601;102000;NA;102000;5;NA;NA;10000;NA;NA;10000;NA;Somali;Shebelle;East Imey;50601;;
East Imi;24/04/2018;6;https://reliefweb.int/sites/reliefweb.int/files/resources/ethiopia_floods_-_flash_update_3_-_22_may_2018.pdf;SAGAR tropical cyclone;flood;ethiopia;Somali;Afder;50601;;;;;;;;;;;;;;;;;
East Immi;23/04/2005;6;IFRC(Appeal);heavey RF and over flow of Shebele river;flood;ethiopia;Somali;Shebelle;50601;235418(regional total);;;40(zonal);;;;;;;;;;;;;
Eferatana Gidem;07/09/2000;;;;flood;ethiopia;Amhara;North Shewa;30508;NA;NA;NA;2;NA;NA;0;NA;NA;0;NA;Amhara;North Shewa;Eferatana Gidem;30508;;
Eferatana Gidem;12/08/2006;;;;flood;ethiopia;Amhara;North Shewa;30508;NA;77;77;NA;NA;3.01;0;77;NA;0;3.01;Amhara;North Shewa;Eferatana Gidem;30508;;
Eferatana Gidem;07/09/2006;;;;flood;ethiopia;Amhara;North Shewa;30508;NA;77;77;NA;NA;135.15;17;NA;NA;17;135.15;Amhara;North Shewa;Eferatana Gidem;30508;;
Eferatana Gidem;01/08/2007;;;;flood;ethiopia;Amhara;North Shewa;30508;NA;NA;NA;NA;NA;195;0;NA;14;0;195;Amhara;North Shewa;Eferatana Gidem;30508;;
Eferatana Gidem;16/05/2009;;;;flood;ethiopia;Amhara;North Shewa;30508;NA;124;124;NA;NA;NA;13;124;39;13;NA;Amhara;North Shewa;Eferatana Gidem;30508;;
Ejere;04/08/2006;6;IFRC(Appeal);;flood;ethiopia;OROMIA;West Shoa;40511;;;;;;;;;;;;;;;;;
Ejere;04/08/2006;6;;;flood;ethiopia;OROMIA;West Shoa;40511;1000;;;12;;NA;;;;NA;;;;;;;
Elidar;27/09/2006;;;;flood;ethiopia;Afar;Afar Zone 1;20102;NA;620;620;NA;18;NA;0;NA;NA;0;NA;Afar;Afar Zone 1;Elidar;20102;;
Elidar;07/12/2007;;;;flood;ethiopia;Afar;Afar Zone 1;20102;NA;620;620;NA;NA;NA;0;NA;NA;0;NA;Afar;Afar Zone 1;Elidar;20102;;
Elu Gelan;01/10/2019;6;NDRMC(EW);Over flow of Awash river;flood;ethiopia;OROMIA;West Shoa;40500;150;;;;;56;;;30;;;;;;;;
Elweyni;01/10/2019;6;NDRMC(EW);overflow of river and heavey RF;flood;ethiopia;Somali;Nogob;51002;;;;;;;;;;;;;;;;;
Endamehoni;01/08/2010;;;;flood;ethiopia;Tigray;Southern Tigray;10405;NA;41950;41950;NA;NA;2226;107;NA;NA;107;2226;Tigray;Southern Tigray;Endamehoni;10405;;
Endamehoni;04/04/2018;;;;flood;ethiopia;OROMIA;East Shewa;10405;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;OROMIA;East Shewa;Endamehoni;10405;;
Enderta;01/08/2010;;;;flood;ethiopia;Tigray;Southern Tigray;10602;NA;395;395;NA;NA;37;8;NA;NA;8;37;Tigray;Southern Tigray;Enderta;10602;;
Enderta;05/04/2018;;;;flood;ethiopia;OROMIA;West Hararge;10602;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;OROMIA;West Hararge;Enderta;10602;;
Enebse Sarmder;01/08/2010;;;;flood;ethiopia;Amhara;East Gojam;30604;NA;9910;9910;NA;NA;528;464;NA;NA;464;528;Amhara;East Gojam;Enebse Sarmder;30604;;
Enemor Ener;01/08/2004;;;;flood;ethiopia;SNNPR;Gurage;70111;NA;6000;6000;1;NA;487;3;NA;NA;3;487;SNNPR;Gurage;Enemor Ener;70111;;
Enemor Ener;01/08/2005;;;;flood;ethiopia;SNNPR;Gurage;70111;NA;NA;NA;NA;NA;381;0;NA;NA;0;381;SNNPR;Gurage;Enemor Ener;70111;;
Ensaro;15/09/2008;;;;flood;ethiopia;Amhara;North Shewa;30503;NA;NA;NA;1;1;NA;0;NA;NA;0;NA;Amhara;North Shewa;Ensaro;30503;;
Erer;07/09/2000;;;;flood;ethiopia;Somali;Siti;130105;NA;NA;NA;5;NA;377;300;1820;NA;300;377;Somali;Siti;Erer;130105;;
Erob;01/07/2010;0;;No record found;flood;ethiopia;Tigray;Eastern Tigray;10302;NA;755;755;NA;NA;14;17;NA;NA;17;14;Tigray;Eastern Tigray;Erob;10302;;
Ewa;07/09/2007;;;;flood;ethiopia;Afar;Afar Zone 4;20402;NA;NA;NA;NA;NA;NA;0;NA;70;0;NA;Afar;Afar Zone 4;Ewa;20402;;
Ewa;28/08/2010;;;;flood;ethiopia;Afar;Afar Zone 4;20402;NA;1200;1200;NA;NA;NA;0;NA;NA;0;NA;Afar;Afar Zone 4;Ewa;20402;;
Ewa;01/04/2019;6;NDRMC(EW);Heavey rain ;flood;ethiopia;Afar;Zone 4;20402;20;;;;;;200;;;;;;;;;;
Farta;01/06/2004;;;;flood;ethiopia;Amhara;South Gonder;30204;NA;NA;NA;2;NA;NA;7;NA;1;7;NA;Amhara;South Gonder;Farta;30204;;
Farta;07/09/2008;;;;flood;ethiopia;Amhara;South Gonder;30204;NA;NA;NA;NA;NA;86;0;NA;NA;0;86;Amhara;South Gonder;Farta;30204;;
Fentale;24/08/2010;;;;flood;ethiopia;OROMIA;East Shewa;40701;NA;9000;9000;NA;NA;NA;0;900;NA;0;NA;OROMIA;East Shewa;Fentale;40701;;
Fentale;01/09/2019;6;NDRMC(EW);Over flow of Awash river;flood;ethiopia;OROMIA;East shoa;40701;537;;;;;8 kebele farm land;;;;;;;;;;;
Ferfer;07/09/2005;;;;flood;ethiopia;Somali;Shebelle;50607;NA;18500;18500;5;NA;NA;0;NA;NA;0;NA;Somali;Shebelle;Ferfer;50607;;
Ferfer;07/09/2006;;;;flood;ethiopia;Somali;Shebelle;50607;NA;13514;13514;NA;NA;NA;0;NA;NA;0;NA;Somali;Shebelle;Ferfer;50607;;
Ferfer;20/04/2013;6;https://reliefweb.int/sites/reliefweb.int/files/resources/Humanitarian%20Bulletin_20%20May%202013.pdf;;flood;ethiopia;;Somali;50607;Shebelle;;;;;;;;;;;;;;;;
Ferfer;05/04/2018;;;;flood;ethiopia;Somali;Shebelle;50607;NA;NA;165000;NA;NA;12911;NA;NA;NA;NA;12911;Somali;Shebelle;Ferfer;50607;;
Ferfer;24/04/2018;6;https://reliefweb.int/sites/reliefweb.int/files/resources/ethiopia_floods_-_flash_update_3_-_22_may_2018.pdf;SAGAR tropical cyclone;flood;ethiopia;Somali;Shebelle;50607;;;;;;;;;;;;;;;;;
Fientale;20/04/2007;;;;flood;ethiopia;OROMIA;East Shewa;40701;NA;560;560;NA;NA;31;0;NA;NA;0;31;OROMIA;East Shewa;Fientale;40701;;
Fientale;07/09/2007;;;;flood;ethiopia;OROMIA;East Shewa;40701;NA;560;560;NA;NA;NA;0;NA;NA;0;NA;OROMIA;East Shewa;Fientale;40701;;
Fientale;01/08/2010;;;;flood;ethiopia;OROMIA;East Shewa;40701;NA;9000;9000;NA;NA;46;0;900;NA;0;46;OROMIA;East Shewa;Fientale;40701;;
Filtu;01/05/2002;;;;flood;ethiopia;Somali;Liben;50901;NA;NA;NA;NA;NA;NA;0;2500;NA;0;NA;Somali;Liben;Filtu;50901;;
Filtu;07/09/2005;;;;flood;ethiopia;Somali;Liben;50901;NA;6225;6225;NA;NA;NA;260;NA;NA;260;NA;Somali;Liben;Filtu;50901;;
Filtu;07/09/2005;;;;flood;ethiopia;Somali;Liben;50901;NA;6225;6225;5;NA;NA;818;NA;NA;818;NA;Somali;Liben;Filtu;50901;;
Filtu;05/04/2018;;;;flood;ethiopia;Somali;Liben;50901;NA;NA;165000;NA;NA;12911;NA;NA;NA;NA;12911;Somali;Liben;Filtu;50901;;
Filtu;24/04/2018;6;https://reliefweb.int/sites/reliefweb.int/files/resources/ethiopia_floods_-_flash_update_3_-_22_may_2018.pdf;SAGAR tropical cyclone;flood;ethiopia;Somali;Liben;50901;;;;;;;;;;;;;;;;;
Fogera;07/09/2000;;;;flood;ethiopia;Amhara;South Gonder;30203;NA;13178;13178;NA;NA;NA;0;NA;NA;0;NA;Amhara;South Gonder;Fogera;30203;;
Fogera;01/08/2006;;;;flood;ethiopia;Amhara;South Gonder;30203;NA;NA;NA;NA;NA;NA;0;4430;NA;0;NA;Amhara;South Gonder;Fogera;30203;;
Fogera;07/09/2006;;;;flood;ethiopia;Amhara;South Gonder;30203;NA;2964;2964;NA;NA;NA;0;NA;NA;0;NA;Amhara;South Gonder;Fogera;30203;;
Fogera;07/09/2006;;;;flood;ethiopia;Amhara;South Gonder;30203;NA;43127;43127;NA;NA;4240;210;9313;NA;210;4240;Amhara;South Gonder;Fogera;30203;;
Fogera;01/08/2010;;;;flood;ethiopia;Amhara;South Gonder;30203;NA;NA;NA;NA;NA;1164;64;NA;NA;64;1164;Amhara;South Gonder;Fogera;30203;;
Gambela Zuria;01/10/2019;6;NDRMC(EW);overflow of river and heavey RF;flood;ethiopia;Gambela;Agnuwa;120202;4,090;;;;;1,133.30;;;;;;;;;;;
Gambella Town;07/09/2000;;;;flood;ethiopia;Gambella;Agnewak;120202;NA;6;6;NA;NA;NA;0;61592;NA;0;NA;Gambella;Agnewak;Gambella Town;120202;;
Gambella Town;01/10/2019;6;NDRMC(EW);overflow of river and heavey RF;flood;ethiopia;Gambela;Agnewak;120206;4,090;;;;;;;;;;;;;;;;
Gambella Town;02/10/2019;6;;;flood;ethiopia;Gambela;Agnewak;120206;1,405;;;;;NA;;;;NA;;;;;;;
Ganta Afshum;01/08/2010;;;;flood;ethiopia;Tigray;Eastern Tigray;10304;NA;8310;8310;NA;NA;277;0;NA;NA;0;277;Tigray;Eastern Tigray;Ganta Afshum;10304;;
Gasera;07/09/2008;;;;flood;ethiopia;OROMIA;Bale;41106;NA;5525;5525;NA;NA;NA;0;NA;NA;0;NA;OROMIA;Bale;Gasera;41106;;
Gasera;01/07/2010;0;;No record found;flood;ethiopia;OROMIA;Bale;41106;NA;9300;9300;NA;NA;NA;0;NA;NA;0;NA;OROMIA;Bale;Gasera;41106;;
Gashamo;07/09/2005;;;;flood;ethiopia;Somali;Degehabur;50304;NA;105000;105000;NA;NA;NA;0;NA;NA;0;NA;Somali;Degehabur;Gashamo;50304;;
Gechi;18/05/2004;;;;flood;ethiopia;OROMIA;Illubabur;40306;NA;NA;NA;NA;NA;NA;0;NA;22;0;NA;OROMIA;Illubabur;Gechi;40306;;
