adm3_name;Date;Score;Data_source;comment ;disaster_type;country;adm1_name;adm2_name;adm3_pcode;directely affected;Indirectly Affected;Affected;people_dead;people_Injured;Crop Damages;Lost Cattle;people_displaced;house_destroyed;livestock_lost;lost_crops_ha;Region;Zone;Wereda;pcode;adm1_pcode;adm2_pcode
Antsokiya Gemza;07/09/2006;;;;flood;ethiopia;Amhara;North Shewa;30507;NA;NA;NA;NA;NA;NA;0;490;NA;0;NA;Amhara;North Shewa;Antsokiya Gemza;30507;;
Antsokiya Gemza;07/09/2006;;;;flood;ethiopia;Amhara;North Shewa;30507;NA;24430;24430;NA;NA;NA;3;77;NA;3;NA;Amhara;North Shewa;Antsokiya Gemza;30507;;
Antsokiya Gemza;07/09/2006;;;;flood;ethiopia;Amhara;North Shewa;30507;NA;NA;NA;NA;NA;62422;84;NA;NA;84;62422;Amhara;North Shewa;Antsokiya Gemza;30507;;
Antsokiya Gemza;07/09/2007;;;;flood;ethiopia;Amhara;North Shewa;30507;NA;183;183;NA;NA;NA;0;183;NA;0;NA;Amhara;North Shewa;Antsokiya Gemza;30507;;
Antsokiya Gemza;24/06/2008;;;;flood;ethiopia;Amhara;North Shewa;30507;NA;814;814;NA;NA;NA;0;NA;NA;0;NA;Amhara;North Shewa;Antsokiya Gemza;30507;;
Arba Minch Town Adm;01/10/2001;0;reliefweb.int;no glofas station available;flood;ethiopia;SNNPR;Gamugofa;71016;NA;NA;NA;NA;NA;NA;0;2500;NA;0;NA;SNNPR;Gamugofa;Arba Minch Town Adm;71016;;
Arba Minch Town Adm;03/12/2003;0;reliefweb.int;trigger before significant rainfall;flood;ethiopia;SNNPR;Gamugofa;71016;NA;NA;NA;NA;NA;1213;0;7917;10;0;1213;SNNPR;Gamugofa;Arba Minch Town Adm;71016;;
Arba Minch Town Adm;19/04/2005;6;https://reliefweb.int/report/ethiopia/ethiopia-floods-appeal-no-05ea013-final-report;see comment for Arba Minch Town Administration date 7-9-2005;flood;ethiopia;SNNPR;Gamugofa;71016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;SNNPR;Gamugofa;Arba Minch Town Adm;71016;;
Arba Minch Town Adm;07/09/2005;0;;7-9-2005 for this admin region is duplicated in data, note that there are numbers in columns directly affected etc but those don't match for 7-9-2005. See also comment in ;flood;ethiopia;SNNPR;Gamugofa;71016;NA;22000;22000;NA;NA;NA;0;NA;NA;0;NA;SNNPR;Gamugofa;Arba Minch Town Adm;71016;;
Arba Minch Town Adm;07/09/2005;0;https://reliefweb.int/report/ethiopia/ethiopia-floods-appeal-no-05ea013-final-report;wrong date: trigger after significant rainfall in April 2005; report investigated flooding from April 2005 in adm1 SNNP region in nearby woredas;flood;ethiopia;SNNPR;Gamugofa;71016;NA;12000;12000;NA;NA;NA;0;NA;NA;0;NA;SNNPR;Gamugofa;Arba Minch Town Adm;71016;;
Arba Minch Town Adm;05/12/2005;0;reliefweb.int;no flooding reported in this period, consistent with no visible heavy rainfall in dashboard;flood;ethiopia;SNNPR;Gamugofa;71016;NA;NA;NA;NA;NA;5311;447;18650;67;447;5311;SNNPR;Gamugofa;Arba Minch Town Adm;71016;;
Arba Minch Town Adm;03/06/2006;6;IFRC report: https://reliefweb.int/report/ethiopia/ethiopia-floods-emergency-appeal-no-mdret003-final-report;see comment for Arba Minch Town Administration date 7-9-2006;flood;ethiopia;SNNPR;Gamugofa;71016;NA;;;;;;;;;;;;;;;;
Arba Minch Town Adm;07/09/2006;0;IFRC report: https://reliefweb.int/report/ethiopia/ethiopia-floods-emergency-appeal-no-mdret003-final-report;wrong date: trigger after significant rainfall in period March-June 2006, floods affecting large parts of Ethiopia iincluding SNNPR reported by end of June;flood;ethiopia;SNNPR;Gamugofa;71016;NA;24800;24800;NA;NA;NA;0;NA;NA;0;NA;SNNPR;Gamugofa;Arba Minch Town Adm;71016;;
Arba Minch Town Adm;30/05/2007;6;IFRC report: https://reliefweb.int/report/ethiopia/ethiopia-floods-emergency-appeal-no-mdret004-final-report;see comment for Arba Minch Town date 7-9-22007;flood;ethiopia;SNNPR;Gamugofa;71016;NA;;;;;;;;;;;;;;;;
Arba Minch Town Adm;07/09/2007;0;IFRC report: https://reliefweb.int/report/ethiopia/ethiopia-floods-emergency-appeal-no-mdret004-final-report;wrong date; report floods from June 2007 onwards, consistent with rainfall data;flood;ethiopia;SNNPR;Gamugofa;71016;NA;370;370;NA;NA;NA;0;135;10;0;NA;SNNPR;Gamugofa;Arba Minch Town Adm;71016;;
