adm1_name;adm1_pcode;adm2_name;adm2_pcode;adm3_name;adm3_pcode;PCODE;date_recorded;data_source;Data_quality_score;people_dead;people_injured;house_destroyed;house_damaged;household_displaced
Kirinyaga;KE020;Ndia;KE020102;Mukure;KE0201020509;KE0201020509;16-05-2018;eoc;5;0;0;0;0;0
Kilifi;KE003;Magarini;KE003017;Sabaki;KE0030170085;KE0030170085;17-03-2018;disinventer;5;3;0;0;0;3000
Marsabit;KE010;North Horr;KE010046;Maikona;KE0100460229;KE0100460229;17-04-2015;eoc;5;0;0;0;0;0
Marsabit;KE010;North Horr;KE010046;Maikona;KE0100460229;KE0100460229;17-04-2015;eoc;5;0;0;0;0;0
Bungoma;KE039;Mt Elgon;KE039216;Chesikaki ;KE0392161077;KE0392161077;10-11-2015;eoc;5;5;0;0;0;0
Bungoma;KE039;Bumula;KE039219;Bumula;KE0392191090;KE0392191090;08-05-2016;eoc;5;0;0;7;0;0
Bungoma;KE039;Bumula;KE039219;Bumula;KE0392191090;KE0392191090;19-03-2018;eoc;0;0;0;0;0;0
Bungoma;KE039;Tongaren;KE039224;Tongaren;KE0392241119;KE0392241119;21-03-2018;eoc;5;0;0;0;0;0
Turkana;KE023;Loima;KE023126;Turkwel;KE0231260630;KE0231260630;05-11-2015;disinventer;5;0;0;0;0;0
Turkana;KE023;Loima;KE023126;Turkwel;KE0231260630;KE0231260630;05-11-2015;disinventer;5;0;0;0;0;0
Kitui;KE015;Kitui Rural;KE015071;Mbitini;KE0150710351;KE0150710351;16-05-2015;wra;5;0;0;5;0;0
Makueni;KE017;Makueni;KE017086;Mbitini;KE0170860430;KE0170860430;16-05-2015;wra;5;0;0;5;0;0
Kitui;KE015;Kitui Rural;KE015071;Mbitini;KE0150710351;KE0150710351;16-05-2015;wra;5;0;0;5;0;0
Makueni;KE017;Makueni;KE017086;Mbitini;KE0170860430;KE0170860430;16-05-2015;wra;5;0;0;5;0;0
Baringo;KE030;Baringo South;KE030160;Marigat;KE0301600798;KE0301600798;15-11-2015;disinventer;5;1;0;0;0;0
Mombasa;KE001;Jomvu;KE001002;Mikindani;KE0010020008;KE0010020008;13-11-2014;eoc;5;0;0;0;0;0
Mombasa;KE001;Jomvu;KE001002;Mikindani;KE0010020008;KE0010020008;13-11-2014;eoc;5;0;0;0;0;0
Baringo;KE030;Baringo South;KE030160;Marigat;KE0301600798;KE0301600798;21-12-2002;wra;5;6;0;0;0;0
Baringo;KE030;Baringo South;KE030160;Marigat;KE0301600798;KE0301600798;27-06-2003;dref;5;0;0;355;0;0
Baringo;KE030;Baringo South;KE030160;Marigat;KE0301600798;KE0301600798;04-11-2009;dref;1;0;0;0;0;0
Baringo;KE030;Baringo South;KE030160;Marigat;KE0301600798;KE0301600798;10-01-2010;disinventer;5;0;0;67;0;0
Baringo;KE030;Baringo South;KE030160;Marigat;KE0301600798;KE0301600798;10-01-2010;disinventer;5;0;0;23;0;0
Baringo;KE030;Baringo South;KE030160;Marigat;KE0301600798;KE0301600798;30-08-2010;dref;5;1;0;0;11;23
Baringo;KE030;Baringo South;KE030160;Marigat;KE0301600798;KE0301600798;11-06-2012;dref;0;1;0;0;0;0
Baringo;KE030;Baringo South;KE030160;Marigat;KE0301600798;KE0301600798;11-06-2012;dref;0;0;0;0;0;305
Baringo;KE030;Baringo South;KE030160;Marigat;KE0301600798;KE0301600798;05-09-2012;wra;5;2;0;0;1;46
Baringo;KE030;Baringo South;KE030160;Marigat;KE0301600798;KE0301600798;08-04-2013;dref;1;0;0;0;0;0
Baringo;KE030;Baringo South;KE030160;Marigat;KE0301600798;KE0301600798;21-04-2016;eoc;0;0;0;0;0;0
Baringo;KE030;Baringo South;KE030160;Marigat;KE0301600798;KE0301600798;06-05-2016;wra;0;0;0;0;0;0
Baringo;KE030;Baringo South;KE030160;Marigat;KE0301600798;KE0301600798;08-05-2016;eoc;7;4;0;0;0;100
Baringo;KE030;Baringo South;KE030160;Marigat;KE0301600798;KE0301600798;10-04-2018;eoc;0;0;0;0;0;0
Kitui;KE015;Kitui Rural;KE015071;Mbitini;KE0150710351;KE0150710351;22-04-2015;eoc;5;0;0;0;0;200
Makueni;KE017;Makueni;KE017086;Mbitini;KE0170860430;KE0170860430;22-04-2015;eoc;5;0;0;0;0;200
Kitui;KE015;Kitui Rural;KE015071;Mbitini;KE0150710351;KE0150710351;22-04-2015;eoc;5;0;0;0;0;200
Makueni;KE017;Makueni;KE017086;Mbitini;KE0170860430;KE0170860430;22-04-2015;eoc;5;0;0;0;0;200
Mombasa;KE001;Jomvu;KE001002;Mikindani;KE0010020008;KE0010020008;02-11-2014;eoc;5;0;0;15;0;0
Mombasa;KE001;Changamwe;KE001001;Kipevu;KE0010010002;KE0010010002;16-11-2015;eoc;5;0;1;0;0;0
Mombasa;KE001;Jomvu;KE001002;Mikindani;KE0010020008;KE0010020008;18-11-2015;eoc;5;0;3;0;0;0
Mombasa;KE001;Jomvu;KE001002;Mikindani;KE0010020008;KE0010020008;08-05-2017;eoc;5;0;0;0;0;0
Samburu;KE025;Samburu North;KE025134;Baawa;KE0251340671;KE0251340671;01-05-2017;wra;5;0;0;0;0;0
Turkana;KE023;Turkana West;KE023124;Kakuma;KE0231240617;KE0231240617;28-04-2016;eoc;5;7;0;0;0;0
Turkana;KE023;Turkana West;KE023124;Kakuma;KE0231240617;KE0231240617;31-07-2016;eoc;6;0;0;0;0;0
Mombasa;KE001;Jomvu;KE001002;Mikindani;KE0010020008;KE0010020008;02-11-2014;eoc;6;0;0;15;0;0
Mombasa;KE001;Changamwe;KE001001;Kipevu;KE0010010002;KE0010010002;16-11-2015;eoc;6;0;1;0;0;0
Mombasa;KE001;Jomvu;KE001002;Mikindani;KE0010020008;KE0010020008;18-11-2015;eoc;6;0;3;0;0;0
Mombasa;KE001;Jomvu;KE001002;Mikindani;KE0010020008;KE0010020008;08-05-2017;eoc;6;0;0;0;0;0
Samburu;KE025;Samburu North;KE025134;Baawa;KE0251340671;KE0251340671;08-05-2017;eoc;6;0;0;0;0;0
Turkana;KE023;Turkana West;KE023124;Kakuma;KE0231240617;KE0231240617;08-05-2017;eoc;6;0;0;0;0;0
Turkana;KE023;Turkana West;KE023124;Kakuma;KE0231240617;KE0231240617;31-07-2016;eoc;6;0;0;0;0;0
Machakos;KE016;Yatta;KE016076;Ndalani;KE0160760376;KE0160760376;13-04-2013;disinventer;5;3;0;0;0;0
Machakos;KE016;Yatta;KE016076;Ndalani;KE0160760376;KE0160760376;14-04-2013;disinventer;5;3;0;0;0;0
Machakos;KE016;Yatta;KE016076;Ndalani;KE0160760376;KE0160760376;20-04-2013;disinventer;5;3;0;0;0;0
Machakos;KE016;Mavoko;KE016080;Syokimau;KE0160800397;KE0160800397;23-04-2012;eoc;5;0;0;0;0;0
Machakos;KE016;Mavoko;KE016080;Syokimau;KE0160800397;KE0160800397;11-06-2012;dref;0;0;0;0;0;498
Machakos;KE016;Mavoko;KE016080;Syokimau;KE0160800397;KE0160800397;10-11-2015;eoc;5;1;0;0;0;0
Kwale;KE002;Lunga Lunga;KE002008;Vanga;KE0020080038;KE0020080038;17-04-2016;eoc;5;0;0;0;0;0
Mandera;KE009;Mandera East;KE009043;Arabia;KE0090430211;KE0090430211;14-05-2010;dref;5;0;0;0;0;350
Mandera;KE009;Mandera West;KE009039;Dandu;KE0090390194;KE0090390194;13-04-2018;eoc;5;0;0;0;0;0
Kajiado;KE034;Kajiado South;KE034187;Kimana;KE0341870935;KE0341870935;19-03-2018;eoc;5;0;0;0;0;0
Kitui;KE015;Mwingi West;KE015068;Nguutani;KE0150680337;KE0150680337;14-01-2007;dref;5;0;0;0;0;300
Marsabit;KE010;Moyale;KE010045;Golbo;KE0100450224;KE0100450224;11-10-2019;dref;7;0;0;0;1055;0
Marsabit;KE010;Moyale;KE010045;Golbo;KE0100450224;KE0100450224;11-10-2019;dref;7;0;0;0;0;0
Marsabit;KE010;Moyale;KE010045;Golbo;KE0100450224;KE0100450224;08-05-2015;eoc;5;1;0;0;0;0
Marsabit;KE010;Moyale;KE010045;Golbo;KE0100450224;KE0100450224;11-10-2019;eoc;7;0;0;0;1055;0
Marsabit;KE010;Moyale;KE010045;Golbo;KE0100450224;KE0100450224;08-05-2015;eoc;5;1;0;0;0;0
Marsabit;KE010;Moyale;KE010045;Golbo;KE0100450224;KE0100450224;11-10-2019;eoc;7;0;0;0;1055;0
Kilifi;KE003;Ganze;KE003015;Bamba ;KE0030150072;KE0030150072;29-04-2010;disinventer;5;0;0;0;0;0
Kilifi;KE003;Kaloleni;KE003013;Mariakani;KE0030130063;KE0030130063;27-10-2006;disinventer;5;0;0;0;0;0
Kilifi;KE003;Ganze;KE003015;Bamba ;KE0030150072;KE0030150072;08-11-2006;dref;5;5;0;25;0;100
Kilifi;KE003;Kilifi North;KE003011;Mnarani;KE0030110057;KE0030110057;01-05-2006;dref;7;0;0;25;0;48
Kilifi;KE003;Kilifi North;KE003011;Matsangoni;KE0030110055;KE0030110055;01-05-2006;dref;7;0;0;25;0;48
Kilifi;KE003;Kaloleni;KE003013;Mariakani;KE0030130063;KE0030130063;08-11-2006;dref;5;5;0;25;0;100
Kilifi;KE003;Magarini;KE003017;Magarini;KE0030170081;KE0030170081;28-10-2009;disinventer;5;2;0;0;0;0
Kilifi;KE003;Magarini;KE003017;Garashi;KE0030170084;KE0030170084;01-11-2009;disinventer;5;4;0;466;0;0
Kilifi;KE003;Magarini;KE003017;Magarini;KE0030170081;KE0030170081;26-04-2012;eoc;0;0;0;0;0;0
Kilifi;KE003;Magarini;KE003017;Magarini;KE0030170081;KE0030170081;29-04-2012;eoc;0;0;0;0;0;0
Kilifi;KE003;Magarini;KE003017;Magarini;KE0030170081;KE0030170081;16-04-2013;disinventer;5;2;0;0;0;0
Kilifi;KE003;Magarini;KE003017;Magarini;KE0030170081;KE0030170081;26-05-2014;dref;0;0;0;0;0;0
Kilifi;KE003;Ganze;KE003015;Sokoke;KE0030150074;KE0030150074;17-11-2015;eoc;5;0;0;0;0;5
Kilifi;KE003;Magarini;KE003017;Magarini;KE0030170081;KE0030170081;05-05-2016;eoc;5;0;0;0;66;0
Kilifi;KE003;Kaloleni;KE003013;Mariakani;KE0030130063;KE0030130063;08-05-2017;eoc;5;0;0;0;0;5
Kilifi;KE003;Ganze;KE003015;Bamba;KE0030150072;KE0030150072;08-05-2017;eoc;5;0;0;0;0;5
Kilifi;KE003;Magarini;KE003017;Magarini;KE0030170081;KE0030170081;04-03-2018;eoc;5;0;0;0;0;21
Kilifi;KE003;Magarini;KE003017;Garashi;KE0030170084;KE0030170084;17-03-2018;disinventer;5;3;0;0;0;3000
