disaster_type,country,disaster_id,adm1_name,adm1_pcode,adm2_name,adm2_pcode,adm3_name,adm3_pcode,location,comment,data_quality_score,date_event,old_date_event,start_date_event,end_date_event,people_dead,people_injured,people_displaced,people_affected,house_destroyed,house_damaged,household_displaced,household_affected,livestock_lost,livestock_affected,lost_crops_ha,road,bridge,school,sewerage_latrine,aqueduct,wall,hospital_health_center,drainage,institution_church_mosque,industry,energy,communication,agriculture,date_recorded,data_source,data_source_other,data_source_url
flood,uganda,uga_impact_data.115,Bukedi,21UGA003,Butaleja,21UGA003003,,,,to delete,0,10-3-2010,10-3-2010,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,NewVision,
flood,uganda,uga_impact_data.116,Bukedi,21UGA003,Butaleja,21UGA003003,,,,date_event is peak,8,3-3-2010,19-3-2010,20-2-2010,19-3-2010,NA,,circa 60000 (219 families),33305,,154,,,,,,31 km,,4,,,,,,,,,,,,news,https://www.newvision.co.ug/new_vision/news/1293620/butaleja-flood-victims-receive-aid,https://www.ifrc.org/docs/appeals/10/MDRUG015.pdf - https://reliefweb.int/report/uganda/uganda-four-butaleja-schools-close-over-floods - https://www.monitor.co.ug/News/National/-/688334/1084564/-/cjcpk6z/-/index.html
flood,uganda,uga_impact_data.115,Bukedi,21UGA003,Butaleja,21UGA003003,,,,new event,7,24-3-2010,10-3-2010,24-3-2010,31-3-2010,NA,,,,,,,,,,1600 ha,,,,,,,,,,,,,,,news,https://allafrica.com/stories/201004010186.html - https://www.desinventar.net/DesInventar/report.jsp,https://www.newvision.co.ug/news/1293525/lowland-caused-disaster-butaleja
flood,uganda,uga_impact_data.117,Bukedi,21UGA003,Butaleja,21UGA003003,,,,unclear,4,28-5-2010,28-5-2010,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,New Vision,
flood,uganda,uga_impact_data.118,Bukedi,21UGA003,Butaleja,21UGA003003,,,,keep as is,6,14-8-2010,14-8-2010,14-8-2010,14-8-2010,NA,,,,230,,,,,,,,,,,,,,,,,,,,,news,NewVision,https://www.desinventar.net/DesInventar/report.jsp
flood,uganda,uga_impact_data.119,Bukedi,21UGA003,Butaleja,21UGA003003,,,,unclear,5,29-9-2010,29-9-2010,,,NA,,123 families,,,,,,,,,,,,,,,,,,,,,,,news,New Vision,https://www.desinventar.net/DesInventar/report.jsp
flood,uganda,uga_impact_data.134,Bukedi,21UGA003,Butaleja,21UGA003003,,,,to delete,0,29-8-2011,29-8-2011,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,Report from Min. of State for Disaster Preparedness  Relief and Refugees,
flood,uganda,uga_impact_data.120,Bukedi,21UGA003,Butaleja,21UGA003003,,,,to delete,0,9-9-2011,9-9-2011,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,Internal memo from DPO on floodsituation in the District,
flood,uganda,uga_impact_data.121,Bukedi,21UGA003,Butaleja,21UGA003003,,,,to delete,0,19-9-2011,19-9-2011,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,Letter from the District Chairperson dated 30/11/2006,
flood,uganda,uga_impact_data.122,Bukedi,21UGA003,Butaleja,21UGA003003,,,,date_event is peak,8,20-9-2011,20-9-2011,14-8-2010,20-9-2011,NA,,1392 (14555 indirectly),,,,,231 (592 indirectly),,,846.3 ha,,,,,,,,,,,,,,,,Letter from the woman MP dated 9th/08/2011 - https://www.desinventar.net/DesInventar/report.jsp,https://reliefweb.int/report/uganda/floods-east
flood,uganda,uga_impact_data.121,Bukedi,21UGA003,Butaleja,21UGA003003,,,,"new event, date_event is peak",7,26-11-2011,,7-11-2011,1-12-2011,NA,,,,,,,,,,1820 ha,,,,,,,,,,,,,,,,https://m.reliefweb.int/report/457634/uganda/floods-hit-eastern-uganda,https://www.newvision.co.ug/news/1004000/floods-destroy-rice-gardens-butaleja
flood,uganda,uga_impact_data.123,Bukedi,21UGA003,Butaleja,21UGA003003,,,,new event,8,10-5-2013,,,,1,,,>5000,,,,,,,,,1,,,,,,,,,,,,,,https://www.newvision.co.ug/news/1319155/floods-tororo-busia-road-closed,
flood,uganda,uga_impact_data.123,Bukedi,21UGA003,Butaleja,21UGA003003,,,,unclear,5,9-11-2014,9-11-2014,,,NA,,,2185 (indirectly),,,,,,,,,,,,,,,,,,,,,,,BUTALEJA DISTRICT LOCAL GOVERNMENT,
flood,uganda,uga_impact_data.124,Bukedi,21UGA003,Butaleja,21UGA003003,,,,unclear,5,6-3-2017,6-3-2017,,,NA,,,240 (indirectly),,,,,,,,,,,,,,,,,,,,,,,District Files,
flood,uganda,uga_impact_data.125,Bukedi,21UGA003,Butaleja,21UGA003003,,,,to delete,0,7-3-2017,7-3-2017,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,CAO BUTALEJA,
flood,uganda,uga_impact_data.126,Bukedi,21UGA003,Butaleja,21UGA003003,,,,to delete,0,26-3-2018,26-3-2018,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,District Files,
flood,uganda,uga_impact_data.127,Bukedi,21UGA003,Butaleja,21UGA003003,,,,to delete,0,4-4-2018,4-4-2018,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,District Files,
flood,uganda,uga_impact_data.128,Bukedi,21UGA003,Butaleja,21UGA003003,,,,date_event is peak,8,8-4-2018,,22-3-2018,10-4-2018,NA (2 missing),2-1-1900,,19,6,58,,,,,,,,,,,,,,,,,,,,,https://www.change.org/p/minister-of-water-and-environment-enact-a-fair-and-equitable-climate-law-in-uganda/u/22641041,https://www.desinventar.net/DesInventar/report.jsp
flood,uganda,uga_impact_data.129,Bukedi,21UGA003,Butaleja,21UGA003003,,,,to delete,0,1-5-2018,1-5-2018,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,DISTRICT,
flood,uganda,uga_impact_data.130,Bukedi,21UGA003,Butaleja,21UGA003003,,,,to delete,0,3-5-2018,3-5-2018,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,district file,
flood,uganda,uga_impact_data.131,Bukedi,21UGA003,Butaleja,21UGA003003,,,,date_event is peak,8,21-5-2018,4-5-2018,29-4-2018,24-5-2018,NA,,,2000 (62171 indirectly),,219,,>150,,,,,,,,,,,,,,,,,,,https://reliefweb.int/report/uganda/hundreds-displaced-floods-ravage-butaleja,https://www.desinventar.net/DesInventar/report.jsp
flood,uganda,uga_impact_data.132,Bukedi,21UGA003,Butaleja,21UGA003003,,,,unclear,4,20-6-2018,20-6-2018,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,OPM,
flood,uganda,uga_impact_data.133,Bukedi,21UGA003,Butaleja,21UGA003003,,,,unclear,4,4-10-2018,4-10-2018,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,OPM,
flood,uganda,uga_impact_data.133,Bukedi,21UGA003,Butaleja,21UGA003003,,,,new event,6,15-10-2019,,15-10-2019,6-11-2019,NA,,,,,,,,,,,,,,,,,,,,,,,,,,Emdat database,
flood,uganda,uga_impact_data.180,Busoga,21UGA005,Buyende,21UGA005003,,,,keep as is,6,26-5-2010,,,,NA,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,news,New Vision
flood,uganda,uga_impact_data.181,Busoga,21UGA005,Buyende,21UGA005003,,,,keep as is,6,1-4-2013,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,news,New-Vision April 12
flood,uganda,uga_impact_data.182,Busoga,21UGA005,Buyende,21UGA005003,,,,keep as is,7,23-4-2019,,,,18,140,1000,,,,,,,,,,,,,,,,,,,,,,,,news,http://floodlist.com/africa/uganda-floods-eastern-region-april-2019
flood,uganda,uga_impact_data.267,Acholi,21UGA001,Gulu,21UGA001003,,,,new event,6,1-10-2004,,1-10-2004,1-10-2004,NA,,,20000,,,,,,,,,,,,,,,,,,,,,,,Emdat database,
flood,uganda,uga_impact_data.267,Acholi,21UGA001,Gulu,21UGA001003,,,,"keep as is, following two events merged with this one",7,1-9-2007,,1-8-2007,30-9-2007,NA,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,Report from Min. of State for Disaster Preparedness  Relief and Refugees,http://www.monitor.co.ug/News/Education/-/688336/800292/-/10w5hn7/-/index.html - https://www.newvision.co.ug/news/1218714/floods-fuel-shortages-hit-pader-kitgum - https://reliefweb.int/report/uganda/floods-destroy-roads-northern-uganda - https://www.newvision.co.ug/news/1218203/traffic-aswa-bridge-resumes
flood,uganda,uga_impact_data.245,Acholi,21UGA001,Gulu,21UGA001003,,,,to delete,0,12-9-2007,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,New Vision,
flood,uganda,uga_impact_data.246,Acholi,21UGA001,Gulu,21UGA001003,,,,to delete,0,18-12-2007,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/News/Education/-/688336/800292/-/10w5hn7/-/index.html,http://www.monitor.co.ug/News/Education/-/688336/800292/-/10w5hn7/-/index.html
flood,uganda,uga_impact_data.247,Acholi,21UGA001,Gulu,21UGA001003,,,,"keep as is, following event merged with this one",6,18-11-2008,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/News/National/-/688334/757678/-/vxx2pe/-/index.html,http://www.monitor.co.ug/News/National/-/688334/757678/-/vxx2pe/-/index.html
flood,uganda,uga_impact_data.248,Acholi,21UGA001,Gulu,21UGA001003,,,,to delete,0,23-11-2008,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/Magazines/PeoplePower/-/689844/758392/-/4or6fd/-/index.html,http://www.monitor.co.ug/Magazines/PeoplePower/-/689844/758392/-/4or6fd/-/index.html
flood,uganda,uga_impact_data.249,Acholi,21UGA001,Gulu,21UGA001003,,,,keep as is,6,13-10-2010,,,,NA,,,,,,,,,,86 ha,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/News/National/-/688334/1031488/-/cmhiptz/-/index.html,http://www.monitor.co.ug/News/National/-/688334/1031488/-/cmhiptz/-/index.html
flood,uganda,uga_impact_data.250,Acholi,21UGA001,Gulu,21UGA001003,,,,"unclear, probably to delete",2,23-10-2010,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/SpecialReports/-/688342/1038452/-/u91qxx/-/index.html,http://www.monitor.co.ug/SpecialReports/-/688342/1038452/-/u91qxx/-/index.html
flood,uganda,uga_impact_data.251,Acholi,21UGA001,Gulu,21UGA001003,,,,"unclear, probably to delete, if correct date event should be 02/08/2011 ",2,8-2-2011,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/News/National/-/688334/1211886/-/bkk1w7z/-/index.html,http://www.monitor.co.ug/News/National/-/688334/1211886/-/bkk1w7z/-/index.html
flood,uganda,uga_impact_data.252,Acholi,21UGA001,Gulu,21UGA001003,,,,"unclear, probably is delete, reference source is not available anymore",2,9-5-2011,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.newvision.co.ug/news/1823-what-is-the-national-policy-on-disasters.html,http://www.newvision.co.ug/news/1823-what-is-the-national-policy-on-disasters.html
flood,uganda,uga_impact_data.253,Acholi,21UGA001,Gulu,21UGA001003,,,,"unclear, probably is delete, reference source is not available anymore",2,15-6-2011,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.newvision.co.ug/news/320916-gulu-mayor-warns-workers-against-delays.html,http://www.newvision.co.ug/news/320916-gulu-mayor-warns-workers-against-delays.html
flood,uganda,uga_impact_data.254,Acholi,21UGA001,Gulu,21UGA001003,,,,"keep as is but unclear, reference source is unrelated to event but date correspond to major event according to glofas data. Added new reference of an event happened a month later but probably relate to this one",6,27-9-2011,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/News/National/-/688334/1243676/-/bio36pz/-/index.html - https://www.monitor.co.ug/News/National/688334-1271962-view-printVersion-659lu9/index.html,http://www.monitor.co.ug/News/National/-/688334/1243676/-/bio36pz/-/index.html
flood,uganda,uga_impact_data.255,Acholi,21UGA001,Gulu,21UGA001003,,,,"keep as is, date changed to 10/09",6,10-9-2012,,,,NA,,,100,29,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/News/National/Two-pupils-drown-on-fishing-adventure-in-Gulu/-/688334/1501296/-/12iore4z/-/index.html,http://www.monitor.co.ug/News/National/Two-pupils-drown-on-fishing-adventure-in-Gulu/-/688334/1501296/-/12iore4z/-/index.html
flood,uganda,uga_impact_data.256,Acholi,21UGA001,Gulu,21UGA001003,,,,"unclear, reference source unrelated to event but glofas data show major happened",2,3-11-2012,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/News/Insight/-/688338/1363402/-/s9hdwa/-/index.html,http://www.monitor.co.ug/News/Insight/-/688338/1363402/-/s9hdwa/-/index.html
flood,uganda,uga_impact_data.257,Acholi,21UGA001,Gulu,21UGA001003,,,,"to delete, reference source unrelated and no other proof",0,10-3-2013,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/artsculture/Reviews/That-phone-text-could-bring-you-desired-change/-/691232/2016594/-/du2hd3z/-/index.html,http://www.monitor.co.ug/artsculture/Reviews/That-phone-text-could-bring-you-desired-change/-/691232/2016594/-/du2hd3z/-/index.html
