disaster_type;Countrty;adm1_name;adm1_pcode;adm2_name;adm2_pcode;adm3_name;ADM3_PCODE;ward;date_recorded;date_recorded_new;Data_quality_score;ifrc_source;data_source;data_quality;magnitude_impact;people_dead;people_injured;house_destroyed;house_damaged;household_displaced;people_displaced;roads;livestock_lost;bridge;schools;latrine;wall;hospitals;drainage;inst.church.mosque;health_center;lost_crops_ha (acreage)
flood;kenya;;;Baringo;KE030;0;#N-A;0;05-09-2012;;0;other;disinventer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Baringo;KE030;Baringo South;KE030160;Marigat;05-09-2012;04-09-2012;5;other;wra;0;0;2;0;0;1;46;0;0;0;0;5;0;0;0;0;0;0;26
flood;kenya;;;Baringo;KE030;Baringo Central;KE030159;0;15-01-2013;;0;other;dref;1;1;4;4;0;51;131;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Baringo;KE030;0;#N-A;0;15-01-2013;;0;other;dref;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Baringo;KE030;0;#N-A;0;15-01-2013;;0;other;dref;1;0;0;0;0;25;273;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Baringo;KE030;Baringo South;KE030160;Marigat;08-04-2013;;1;other;dref;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Baringo;KE030;Baringo North;KE030158;;15-04-2013;;5;other;disinventer;2;1;1;0;0;0;600;0;0;37;0;0;0;0;0;0;0;0;0
flood;kenya;;;Baringo;KE030;Baringo North;KE030158;Kimailel;22-04-2013;;5;other;disinventer;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Baringo;KE030;0;#N-A;0;22-04-2013;;0;other;disinventer;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;;;;;;Baringo North;KE030158;IIchamus;13-05-2013;;6;other;;;;0;0;0;0;0;2000;0;0;0;7;0;0;0;0;0;0;0
flood;;;;;;Baringo North;KE030158;;26-07-2013;;6;other;;;;0;0;0;0;0;2000;1;0;0;0;0;0;0;0;0;0;0
flood;;;;;;Baringo Central;KE030159;;13-08-2013;;6;other;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Baringo;KE030;Pokot South;KE024132;0;26-11-2014;;0;other;eoc;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Baringo;KE030;0;#N-A;Mogotio;15-10-2015;;5;other;disinventer;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
flood;kenya;;;Baringo;KE030;0;#N-A;Maregut;15-11-2015;;5;other;disinventer;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Baringo;KE030;Baringo South;KE030160;Marigat;21-04-2016;;0;other;eoc;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Baringo;KE030;0;#N-A;0;06-05-2016;;0;other;disinventer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Baringo;KE030;Baringo South;KE030160;Marigat;06-05-2016;;0;other;wra;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Baringo;KE030;Baringo South;KE030160;Marigat;08-05-2016;;7;other;eoc;2;0;4;0;0;0;100;0;0;4;0;6;0;0;0;0;0;0;0
flood;kenya;;;Baringo;KE030;Eldama Ravine;KE030162;0;22-05-2017;;1;other;eoc;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Baringo;KE030;Eldama Ravine;KE030162;Saos;05-07-2017;;5;other;eoc;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Baringo;KE030;0;#N-A;0;08-04-2018;;0;other;disinventer;1;1;1;0;0;0;0;0;0;182;0;0;0;0;0;0;0;0;0
flood;kenya;;;Baringo;KE030;Baringo South;KE030160;Marigat;10-04-2018;;0;other;eoc;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Baringo;KE030;0;#N-A;0;25-04-2018;;0;other;eoc;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;;;;;;Eldama Ravine;KE030162;;28-04-2018;;6;other;;;;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Baringo;KE030;Baringo South;KE030160;0;27-05-2018;;1;other;eoc;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Baringo;KE030;Tiaty;KE030157;0;28-05-2018;;0;other;eoc;2;1;2;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0
flood;kenya;;;Baringo;KE030;0;#N-A;0;11-06-2018;;1;other;dref;1;1;6;3;0;0;1305;0;0;0;0;2;0;0;0;0;0;0;800
flood;kenya;;;Baringo;KE030;;#N-A;IIchamus ;02-09-2018;31-08-2018;5;other;eoc;2;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
flood;kenya;;;Baringo;KE030;0;#N-A;0;08-09-2018;;0;other;eoc;2;1;1;0;0;0;430;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Bomet;KE036;0;#N-A;0;29-04-2013;;;other;disinventer;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Bomet;KE036;0;#N-A;0;27-11-2015;;;other;eoc;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Bomet;KE036;0;#N-A;Maralal;20-09-2016;;;other;eoc;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Bungoma;KE039;0;#N-A;0;14-05-2002;;0;other;disinventer;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Bungoma;KE039;0;#N-A;0;03-04-2010;;0;other;dref;0;0;0;0;0;0;165;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Bungoma;KE039;Sirisia ;#N-A;0;21-04-2010;;5;IFRC;dref;1;1;2;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Bungoma;KE039;Sirisia ;#N-A;0;16-05-2012;15-05-2012;5;other;eoc;2;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Bungoma;KE039;0;#N-A;0;11-06-2012;06-06-2012;5;other;dref;0;0;0;0;0;0;142;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Bungoma;KE039;0;#N-A;0;26-04-2013;;5;other;disinventer;2;1;3;0;0;0;0;0;1;0;0;0;23;0;0;0;0;0;0
flood;kenya;;;Bungoma;KE039;0;#N-A;0;27-04-2013;;0;other;disinventer;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;;;;;;Sirisia;KE039217;Malakisi;21-10-2015;;6;other;;;;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Bungoma;KE039;Mt. Elgon;KE039216;Chesikaki ;10-11-2015;;5;other;eoc;2;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Bungoma;KE039;Mt. Elgon;KE039216;0;11-11-2015;;0;other;eoc;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Bungoma;KE039;0;#N-A;0;19-11-2015;;0;other;eoc;2;0;0;0;0;0;16;0;0;0;1;0;0;0;0;0;0;0;0
flood;kenya;;;Bungoma;KE039;0;#N-A;0;27-11-2015;;0;other;disinventer;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Bungoma;KE039;0;#N-A;0;14-12-2015;;5;other;eoc;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Bungoma;KE039;0;#N-A;0;14-12-2015;;0;other;eoc;2;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Bungoma;KE039;Sirisia;KE039217;0;11-04-2016;;0;other;eoc;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Bungoma;KE039;Bumula;KE039219;Bumula;08-05-2016;02-05-2016;5;other;eoc;2;1;0;0;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0
flood;kenya;;;Bungoma;KE039;Mt. Elgon;KE039216;0;22-05-2017;;0;other;eoc;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Bungoma;KE039;Bumula;KE039219;0;19-03-2018;;1;other;disinventer;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Bungoma;KE039;Bumula;KE039219;Bumula;19-03-2018;;0;other;eoc;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Bungoma;KE039;Tongaren;KE039224;Tongaren;21-03-2018;;0;other;eoc;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Bungoma;KE039;0;#N-A;0;01-05-2018;;0;other;eoc;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Bungoma;KE039;0;#N-A;0;14-05-2018;;0;other;eoc;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Bungoma;KE039;0;#N-A;0;09-06-2018;;0;other;eoc;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Bungoma;KE039;0;#N-A;0;11-06-2018;;0;other;dref;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Busia;KE040;0;#N-A;0;13-05-2002;;;other;dref;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Busia;KE040;0;#N-A;0;14-05-2002;;;other;disinventer;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Busia;KE040;0;#N-A;0;11-12-2003;;;other;disinventer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Busia;KE040;0;#N-A;0;01-01-2005;;;other;disinventer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Busia;KE040;0;#N-A;0;17-06-2005;;;other;wra;1;1;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Busia;KE040;0;#N-A;0;18-05-2006;;;other;dref;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120
flood;kenya;;;Busia;KE040;0;#N-A;0;14-11-2006;;;other;dref;1;1;6;0;0;0;0;2000;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Busia;KE040;Budalangi;KE040231;0;21-04-2007;;;other;wra;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Busia;KE040;Budalangi;KE040231;0;15-08-2007;;;other;wra;1;1;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Busia;KE040;0;#N-A;0;20-08-2007;;;other;disinventer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Busia;KE040;0;#N-A;0;21-08-2007;;;other;disinventer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Busia;KE040;0;#N-A;0;01-04-2008;;;other;disinventer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Busia;KE040;0;#N-A;0;01-11-2008;;;other;disinventer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Busia;KE040;Budalangi;KE040231;0;10-11-2008;;;other;wra;1;1;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Busia;KE040;0;#N-A;0;13-11-2008;;;other;disinventer;2;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Busia;KE040;0;#N-A;0;15-11-2008;;;other;disinventer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Busia;KE040;0;#N-A;0;25-11-2008;;;other;dref;0;0;0;0;0;0;500;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Busia;KE040;0;#N-A;0;01-05-2009;;;other;disinventer;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Busia;KE040;0;#N-A;0;27-04-2010;;;other;disinventer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Busia;KE040;0;#N-A;0;08-05-2010;;;other;wra;1;1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Busia;KE040;0;#N-A;0;26-03-2011;;;other;disinventer;1;1;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Busia;KE040;Budalangi;KE040231;0;12-12-2011;;;other;dref;0;0;0;0;0;0;4000;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Busia;KE040;0;#N-A;0;01-03-2012;;;other;disinventer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Busia;KE040;Budalangi;KE040231;0;20-12-2012;;;other;dref;1;1;0;0;0;0;1800;0;0;0;0;0;0;0;0;0;0;0;300
flood;kenya;;;Busia;KE040;Budalangi;KE040231;0;31-05-2013;;;other;dref;0;0;0;0;0;0;693;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Busia;KE040;Butere;KE037207;0;31-05-2013;;;other;dref;0;0;0;0;0;0;144;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Busia;KE040;0;#N-A;0;17-06-2014;;;other;disinventer;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Busia;KE040;Bunyala;#N-A;0;22-11-2015;;;other;eoc;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Busia;KE040;Budalangi;KE040231;0;27-11-2015;;;other;eoc;2;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Busia;KE040;0;#N-A;0;06-12-2015;;;other;eoc;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Busia;KE040;Budalangi;KE040231;0;13-05-2016;;;other;eoc;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Busia;KE040;0;#N-A;0;10-05-2017;;;other;eoc;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Busia;KE040;Budalangi;KE040231;0;19-09-2017;;;other;eoc;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Busia;KE040;Teso North;KE040225;0;17-03-2018;;;other;eoc;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Busia;KE040;Matayos;KE040228;0;22-03-2018;;;other;eoc;2;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
flood;kenya;;;Busia;KE040;Budalangi;KE040231;0;28-04-2018;;;other;eoc;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Busia;KE040;0;#N-A;0;11-06-2018;;;other;dref;1;1;1;0;0;0;1219;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Elgeyo-Marakwet;KE028;0;#N-A;0;14-05-2002;;;other;disinventer;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Elgeyo-Marakwet;KE028;0;#N-A;0;24-08-2003;;;other;wra;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Elgeyo-Marakwet;KE028;0;#N-A;0;30-04-2010;;;other;wra;1;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Elgeyo-Marakwet;KE028;0;#N-A;0;14-05-2010;;;other;dref;1;1;12;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Elgeyo-Marakwet;KE028;0;#N-A;0;12-12-2011;;;other;dref;0;0;0;0;0;0;220;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Elgeyo-Marakwet;KE028;0;#N-A;0;12-12-2011;;;other;dref;0;0;0;0;0;0;237;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Elgeyo-Marakwet;KE028;Keiyo South;KE028150;Kaptarakwa;15-01-2013;;;other;dref;1;1;9;9;0;12;72;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Elgeyo-Marakwet;KE028;0;#N-A;0;03-04-2013;;;other;disinventer;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Elgeyo-Marakwet;KE028;0;#N-A;0;14-04-2013;;;other;disinventer;2;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
flood;kenya;;;Elgeyo-Marakwet;KE028;0;#N-A;0;30-04-2013;;;other;disinventer;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Elgeyo-Marakwet;KE028;0;#N-A;0;15-05-2013;;;other;disinventer;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Elgeyo-Marakwet;KE028;Keiyo South;KE028150;Chepkorio;07-03-2014;;;other;dref;1;1;8;0;0;12;72;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Elgeyo-Marakwet;KE028;0;#N-A;0;05-11-2015;;;other;wra;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Elgeyo-Marakwet;KE028;0;#N-A;0;17-03-2016;;;other;disinventer;2;1;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Elgeyo-Marakwet;KE028;Marakwet East;KE028147;0;20-04-2018;;;other;eoc;2;1;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Elgeyo-Marakwet;KE028;0;#N-A;0;25-04-2018;;;other;eoc;2;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0
flood;kenya;;;Elgeyo-Marakwet;KE028;0;#N-A;0;22-05-2018;;;other;eoc;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Elgeyo-Marakwet;KE028;0;#N-A;0;27-05-2018;;;other;eoc;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Elgeyo-Marakwet;KE028;0;#N-A;0;11-06-2018;;;other;dref;1;1;0;0;0;0;228;0;0;323;0;0;0;0;0;0;0;0;250
flood;kenya;;;Embu;KE014;0;#N-A;0;14-05-2002;;0;other;disinventer;1;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Embu;KE014;0;#N-A;0;01-12-2009;;0;other;disinventer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Embu;KE014;0;#N-A;0;14-07-2014;;0;other;disinventer;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Embu;KE014;Mbeere South;#N-A;Kiambere;07-03-2018;;5;other;eoc;2;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Embu;KE014;Mbeere south;#N-A;Kiambere;16-05-2018;;0;other;eoc;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;;;;;;Mbeere south;#N-A;Kiambere;;17-05-2018;6;other;;;;;;;;;;;;;;;;;;;;
flood;kenya;;;Embu;KE014;Embu East ;#N-A;0;21-05-2018;;0;other;eoc;2;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Embu;KE014;0;#N-A;0;11-06-2018;;0;other;dref;1;1;3;3;0;0;65;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Garissa;KE007;Ijara;KE007032;Ijara;13-05-2002;;5;other;dref;0;0;0;0;0;0;0;40000;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Garissa;KE007;0;#N-A;0;13-05-2002;;0;other;dref;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Garissa;KE007;Dadaab;KE007030;Dadaab;31-05-2005;;5;other;dref;1;1;1;0;0;0;0;25000;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Garissa;KE007;Dujis;KE007027;0;12-11-2006;;5;other;dref;1;1;4;0;120;0;0;17000;1;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Garissa;KE007;Fafi;KE007031;0;07-11-2008;;5;IFRC;disinventer;1;0;0;0;0;50;0;0;0;2000;0;0;0;0;0;0;0;0;0
flood;kenya;;;Garissa;KE007;0;#N-A;0;25-11-2008;;5;IFRC;dref;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Garissa;KE007;Dadaab;KE007030;Dadaab;02-04-2010;;5;IFRC;dref;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
flood;;;;;;Dadaab;KE007030;;20-04-2010;;5;IFRC;;;;;;;;233;;;;;;;;;;;;
flood;kenya;;;Garissa;KE007;Dadaab;KE007030;Dadaab;13-10-2012;;5;other;eoc;2;0;0;0;0;0;5640;0;0;0;0;0;0;0;0;0;0;0;0
