wkt,name,highway,waterways,depth,vulnerability,fid
"MULTILINESTRING ((41.740953 9.5167094, 41.7409208 9.5179368, 41.7404488 9.5186775, 41.7402556 9.5189315, 41.7403308 9.5193018, 41.741114 9.5201271, 41.7412427 9.5207302, 41.7411461 9.5213651, 41.7408135 9.5218624, 41.7406848 9.5222539, 41.7407063 9.5224973, 41.7411032 9.5233332, 41.7415538 9.5238834, 41.7420259 9.5242643, 41.7425623 9.5246346, 41.7433348 9.5251848, 41.7439035 9.5255657, 41.744 9.5266662, 41.7439615 9.5268308, 41.7439035 9.5270788, 41.7437747 9.5271211, 41.743764 9.527301, 41.7436889 9.5276819))",,unclassified,,0,no risk,31
"MULTILINESTRING ((41.8041476 9.5124067, 41.8039385 9.5127743, 41.8039294 9.5132046, 41.8034386 9.5140563, 41.8032568 9.5145135, 41.8031295 9.5148004, 41.8030932 9.5151231, 41.802875 9.5153741, 41.8025387 9.5157865, 41.8024439 9.5161379))",,unclassified,,0,no risk,32
"MULTILINESTRING ((41.8822498 9.6039797, 41.882068 9.6038496, 41.8809772 9.6030693, 41.8808994 9.6030904, 41.8805024 9.6035268, 41.8803737 9.6035347, 41.8802717 9.6034951, 41.8800974 9.6033126, 41.8801162 9.6030349))",,service,,0,no risk,33
"MULTILINESTRING ((41.8202761 9.6054401, 41.8202694 9.6053542, 41.8202627 9.6053013, 41.8202318 9.6052828, 41.8201808 9.6052709, 41.8200481 9.605259, 41.8196899 9.6051964, 41.8195291 9.6051612))",,residential,,0,no risk,34
"MULTILINESTRING ((41.883868 9.5951174, 41.8839148 9.5950666))",,tertiary,,0,no risk,35
"MULTILINESTRING ((41.8806546 9.6091188, 41.8806251 9.6091803, 41.8805993 9.6092349, 41.8805835 9.6093145, 41.8805829 9.6093284, 41.8805782 9.6094408, 41.8805949 9.6095413, 41.880596 9.609567, 41.8805956 9.6095889))",,residential,,0,no risk,36
"MULTILINESTRING ((41.8819776 9.5951684, 41.8820152 9.5951327, 41.8821828 9.5947267, 41.8821882 9.5946976))",,residential,,0,no risk,37
"MULTILINESTRING ((41.8793023 9.6143294, 41.8793812 9.6143722, 41.8794362 9.6144277, 41.8794483 9.6144912, 41.8794268 9.614552, 41.8793665 9.6146049, 41.8791372 9.6148681, 41.8790875 9.6149388, 41.8790513 9.6150135, 41.8790486 9.6150968))",,residential,,0,no risk,38
"MULTILINESTRING ((41.8787918 9.6142802, 41.8788448 9.6142704, 41.8790245 9.6142638, 41.8792042 9.6143035, 41.8793023 9.6143294))",,unclassified,,0,no risk,39
"MULTILINESTRING ((41.8291381 9.6184897, 41.829529 9.6189036, 41.8297262 9.6190642, 41.8298241 9.6191416, 41.8298931 9.619168, 41.8299703 9.619207, 41.8300179 9.619256, 41.8300728 9.6193181, 41.8301889 9.6195039, 41.8302599 9.619695, 41.8302713 9.6197406, 41.8302673 9.6198391, 41.8302499 9.6199343, 41.8302096 9.6200136, 41.8300896 9.6200903, 41.8296786 9.6202113, 41.8296115 9.6202351, 41.8295686 9.6202536))",,residential,,0,no risk,40
"MULTILINESTRING ((41.829529 9.6189036, 41.8294238 9.61909, 41.8293916 9.6191694, 41.8293808 9.6192831, 41.8293983 9.6194246, 41.8293983 9.6195211, 41.8294345 9.6197921, 41.8294573 9.6198992, 41.8294734 9.6199561, 41.8295029 9.6200011, 41.8295337 9.6200857, 41.8295686 9.6202536))",,residential,,0,no risk,41
"MULTILINESTRING ((41.839488 9.6302809, 41.8406763 9.6307029))",,residential,,0,no risk,42
"MULTILINESTRING ((41.8435903 9.623558, 41.8443677 9.6235698, 41.8443878 9.6235579))",,service,,0,no risk,43
"MULTILINESTRING ((41.8473051 9.6213471, 41.8474093 9.621355, 41.8474589 9.6213511, 41.8475072 9.6213431, 41.8476641 9.6213021, 41.8477607 9.6212697, 41.8477727 9.6212625))",,residential,,0,no risk,44
"MULTILINESTRING ((41.8473463 9.6217953, 41.8480584 9.621642, 41.8482234 9.6215944, 41.8482488 9.6215692))",,residential,,0,no risk,45
"MULTILINESTRING ((41.8327953 9.6167761, 41.8327749 9.6167385, 41.8327551 9.616702, 41.8327282 9.6166201, 41.8326652 9.6163913, 41.8326397 9.6162168, 41.8326451 9.615955, 41.8327014 9.6156019, 41.8327121 9.6155834))",,residential,,0,no risk,46
"MULTILINESTRING ((41.865069 9.5873228, 41.8641224 9.5873759, 41.8634999 9.5874405, 41.8632789 9.5874505))",,residential,,0,no risk,47
"MULTILINESTRING ((41.8487296 9.6008894, 41.8476042 9.6013874))",,residential,,0,no risk,48
"MULTILINESTRING ((41.8563786 9.5994408, 41.8561348 9.5990881, 41.8559253 9.598785))",,residential,,0,no risk,49
