,Station,Region,Province,station_name
77,NgwerereConfluence_st_districts,Luangwa,Lusaka,ngwerereconfluence
78,NgwerereConfluence_st_districts,Lusaka,Lusaka,ngwerereconfluence
79,Nyimba_st_districts,Mumbwa,Central,nyimba
80,Nyimba_st_districts,Itezhi-Tezhi,Southern,nyimba
81,Nyimba_st_districts,Mazabuka,Southern,nyimba
82,Nyimba_st_districts,Monze,Southern,nyimba
83,Nyimba_st_districts,Namwala,Southern,nyimba
84,oldPontoon_st_districts,Chinsali,Muchinga,oldpontoon
85,oldPontoon_st_districts,Mpika,Muchinga,oldpontoon
86,oldPontoon_st_districts,Kasama,Northern,oldpontoon
87,oldPontoon_st_districts,Luwingu,Northern,oldpontoon
88,pumpHouse_st_districts,Chinsali,Muchinga,pumphouse
89,pumpHouse_st_districts,Mpika,Muchinga,pumphouse
90,pumpHouse_st_districts,Kasama,Northern,pumphouse
91,pumpHouse_st_districts,Luwingu,Northern,pumphouse
92,senanga_st_districts,Kazungula,Southern,senanga
93,senanga_st_districts,Senanga,Western,senanga
94,senanga_st_districts,Sesheke,Western,senanga
95,senanga_st_districts,Shang'ombo,Western,senanga
96,Mswebi_st_districts,Kapiri Mposhi,Central,mswebi
97,Mswebi_st_districts,Chibombo,Central,mswebi
98,Mswebi_st_districts,Mumbwa,Central,mswebi
99,Mswebi_st_districts,Itezhi-Tezhi,Southern,mswebi
