lon,lat,fid,name,description,type,Administrative region,Date of installation
33.5784707,-11.8889996,31832,Nqumayo borehole yamikani Kakhome ,3 km from njiri river ,Borehole or tubewell,"TA M'Mbelwa, Mzimba, Malawi",1/1/2000
33.4481907,-11.1948735,5318,Zaro primary school borehole,30 m from the haend teachers office,Borehole or tubewell,"TA Mpherembe, Mzimba, Malawi",10/13/2007
33.7461289,-10.9766394,29671,Chilongozi borehole ,30 meters away before Bolero magestrate court ,Borehole or tubewell,"TA Chikulamayembe, Rumphi, Malawi",1/1/1954
33.3795967,-11.7279723,3817,Kayuni Village Borehole,30 metres away from Blue Gum Trees,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",9/10/2007
33.4603406,-11.7138957,20664,Kunawani Banda Village Borehole,30 metres away from mangoe trees,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",12/4/2007
33.4452295,-11.6864242,6955,Yobe Gama Village Borehole 2,30 metres away from Mangoe Trees,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",8/2/2007
33.4559437,-11.675867,20271,David Tembo Village Borehole,30 metres away from road to Bulala,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",5/20/2008
33.4404334,-11.6766389,32122,Jimu Luwe Village Borehole,30 metres away on road to Bulala,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",6/5/2002
33.5446246,-11.4051831,20620,Kapilingu Primary School borehole ,30 metres from  Kapilingu primary school borehole ,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",4/26/1993
33.4467895,-11.6795825,32456,Yobe Gama Village Borehole 1,30 metres from Bulala River,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",4/3/1993
33.4518282,-11.4292035,2907,Mzambazi Community Hospital borehole 2,30 metres from Mahule road ,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",9/20/2008
33.5799588,-11.5175343,34988,Musikawanthu Msetemail borehole ,30 metres from mtantha road ,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",3/1/2017
33.4465123,-11.5230592,30889,Chamunguma primary school borehole,300 from school,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",3/3/1971
33.9420352,-11.5345667,6323,Lusangazi forest borehole 1,300 Meters away from Lusangazi CCAP Church ,Borehole or tubewell,"SC Kampingo Sibande, Mzimba, Malawi",11/24/2010
33.6287613,-11.9741778,31394,Daniel  Gausi Borehole ,300 meters south of Daniel  Gausi House along Daniel  Gausi  to Matewu Full Primary  School  MASAF road,Borehole or tubewell,"TA Mzikubola, Mzimba, Malawi",2/26/2000
33.9204472,-10.9990619,6143,Dolola water point,300m away from Lukali trading center ,Borehole or tubewell,"STA Chisovya, Rumphi, Malawi",1/20/2017
33.4824838,-11.5705849,14935,Lufo Khwinika Village Borehole,32 metres on road to Chaboli Village,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",6/2/1998
33.4309539,-11.6693624,18958,Jimu Luwe Village Borehole 2,35 metres away from road to Kamchocho Trading Centre,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",7/7/1999
