lon,lat,fid,name,description,type,Administrative region,Date of installation
33.9849687,-10.9552299,30746,Mkombezi CDSS Borehole,At mkombezi cdss,Borehole or tubewell,"SC Mwankhunikira, Rumphi, Malawi",11/9/2018
33.9765986,-10.9477758,8442,Mkombezi primary school borehole ,"At Mkombezi primary school, near M1 Road",Borehole or tubewell,"SC Mwankhunikira, Rumphi, Malawi",3/10/2004
33.7097241,-11.0931048,30433,Mahowe water point ,At mkonongo community,Borehole or tubewell,"TA Chikulamayembe, Rumphi, Malawi",10/9/2013
33.7004355,-11.0943349,30414,Chiluvya water point ,At mkonongo community ,Borehole or tubewell,"TA Chikulamayembe, Rumphi, Malawi",8/14/2012
33.8152506,-9.9603556,30196,Mpata health centre,At Mpata health centre,Borehole or tubewell,"TA Kyungu, Karonga, Malawi",1/1/1973
33.8147537,-9.9655691,30923,Mpata secondary school waterpoint,At Mpata secondary school,Borehole or tubewell,"TA Kyungu, Karonga, Malawi",12/15/2013
33.7502371,-10.9342313,2244,Mphande primary school borehole ,At mphande primary school ,Borehole or tubewell,"TA Chikulamayembe, Rumphi, Malawi",4/9/2004
34.0038968,-10.8401443,12289,Mphwamphwa primary school borehole ,At mphwamphwa primary school ,Borehole or tubewell,"SC Mwahenga, Rumphi, Malawi",7/21/1998
33.6836361,-10.9729197,29621,Mwachanda Muslim center water point,At mwachanda mosque ,Borehole or tubewell,"TA Chikulamayembe, Rumphi, Malawi",11/27/2014
34.0286172,-10.8342488,33263,Mwachifumya vge borehole,At mwachifumya vge,Borehole or tubewell,"SC Mwahenga, Rumphi, Malawi",6/5/2017
33.8864337,-9.9649803,30533,Mwakifwamba youth centre waterpoint,At mwakifwamba youth centre,Borehole or tubewell,"Karonga Town, Karonga, Malawi",11/6/2011
33.8303833,-9.9250523,24625,Mwanganya 2 waterpoint,At mwanganya 2 cbcc,Borehole or tubewell,"TA Kyungu, Karonga, Malawi",12/14/2014
33.6859235,-11.0692415,20331,Mwavungama water point ,At Mwavungama Mangulenje near Mr George's house,Borehole or tubewell,"TA Chikulamayembe, Rumphi, Malawi",1/1/2006
34.0554119,-10.9942243,19844,Mzale primary school borehole,At mzale primary school,Borehole or tubewell,"SC Mwankhunikira, Rumphi, Malawi",9/22/2003
34.0316162,-10.9086834,7186,Mzokoto primary school borehole,At mzokoto primary school,Borehole or tubewell,"SC Mwankhunikira, Rumphi, Malawi",7/7/2011
34.0229326,-10.9656201,22179,Mzungutwa primary school borehole,At mzungutwa primary school,Borehole or tubewell,"SC Mwankhunikira, Rumphi, Malawi",5/9/2006
33.9436534,-10.9393552,17435,Ng'onga  health centre borehole ,At Ng'onga health centre ,Borehole or tubewell,"STA Chisovya, Rumphi, Malawi",2/21/2004
33.8066268,-9.9611892,30641,Nkhando fp school waterpoint 2,At nkhando fp school,Borehole or tubewell,"TA Kyungu, Karonga, Malawi",1/1/1988
33.6398094,-11.0276864,24951,Nkhawele estate water point ,At Nkhawele estate,Borehole or tubewell,"TA Chikulamayembe, Rumphi, Malawi",6/8/1994
33.63765791,-10.34815256,2906,Nthalire Monitoring well ,At Nthalire WUA office about 100m east of Nthalire post office ,Borehole or tubewell,"TA Nthalire, Chitipa, Malawi",1/1/2017
34.0093658,-10.1356341,16865,Nthambo U/5 Clinic borehole,At Nthambo U/5 Clinic,Borehole or tubewell,"TA Kyungu, Karonga, Malawi",9/10/1997
33.4948523,-11.5287251,30804,Nthengwe primary school borehole,At nthe Gwent primary school,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",3/8/2007
33.5947498,-10.829912,26309,Kaswerera borehole ,At nyika national park ,Borehole or tubewell,"Nyika National Park - Rumphi, Rumphi, Malawi",1/1/1993
33.8409454,-11.4963423,25026,Phuthula Primary school borehole ,At Phuthula Primary school ,Borehole or tubewell,"SC Kampingo Sibande, Mzimba, Malawi",11/12/2018
34.0461078,-10.8845351,28107,Vunda borehole ,At phwezi trading centre ,Borehole or tubewell,"SC Mwankhunikira, Rumphi, Malawi",1/1/2004
33.8522506,-11.005305,3563,Rumphi Bible believer church borehole,At Rumphi bible believer church,Borehole or tubewell,"Rumphi Boma, Rumphi, Malawi",11/9/2012
33.4674459,-12.1303028,8303,Kamuganje borehole,At simon jere village near roman Catholic church,Borehole or tubewell,"TA Mzukuzuku, Mzimba, Malawi",7/19/2007
33.560699,-11.0308207,20307,Sinjiliheni primary school water point 1,At sinjiliheni primary school ,Borehole or tubewell,"TA Chikulamayembe, Rumphi, Malawi",3/9/2006
33.5607328,-11.029969,30795,Sinjiliheni primary school water point 2,At sinjiliheni primary school ,Borehole or tubewell,"TA Chikulamayembe, Rumphi, Malawi",9/25/2013
33.6523588,-10.9169159,1827,Sokolo primary school water point,At sokolo primary s hool,Borehole or tubewell,"TA Chikulamayembe, Rumphi, Malawi",10/28/1997
33.8541698,-11.0122139,31714,St Dennis primary school borehole,At st Dennis primary school,Borehole or tubewell,"Rumphi Boma, Rumphi, Malawi",1/11/1999
33.8285819,-10.0286835,29680,St Joseph school borehole,At St Joseph school,Borehole or tubewell,"TA Kyungu, Karonga, Malawi",9/21/2010
33.9774665,-10.9420044,7512,Lusulumphala borehole,At T/A Mwakhunikira's compound,Borehole or tubewell,"SC Mwankhunikira, Rumphi, Malawi",1/1/1994
33.5464899,-11.7137432,94,Ngomiawo Moyo  1 borehole ,At the  junction to  visenthe ,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",1/1/1994
34.0508341,-10.9347151,19015,Lungazi school borehole,At the base of mwatchuka mountain,Borehole or tubewell,"SC Mwankhunikira, Rumphi, Malawi",10/21/2013
33.4656125,-11.4721678,5343,Kasalu primary school borehole ,At the centre of kasalu primary school,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",8/27/1983
33.8871846,-9.9159961,30514,Mwakyelu borehole,At the centre of Masoko trading,Borehole or tubewell,"TA Kyungu, Karonga, Malawi",9/19/2001
34.0211648,-10.902094,5704,Mgomakhanda borehole,At the chief's compound,Borehole or tubewell,"SC Mwankhunikira, Rumphi, Malawi",6/8/2004
33.9756095,-10.9430962,33287,Mthunzi borehole,At the group village headman's compound,Borehole or tubewell,"SC Mwankhunikira, Rumphi, Malawi",5/4/2004
34.0015894,-10.8488162,31304,Zgatepeta junction borehole ,At the junction to mhuju ,Borehole or tubewell,"SC Mwahenga, Rumphi, Malawi",6/23/2000
34.0299422,-10.9078151,31638,Mzokoto market borehole,At the market,Borehole or tubewell,"SC Mwankhunikira, Rumphi, Malawi",1/1/1952
34.1030685,-10.8197077,31982,Bale full primary school borehole,At the primary school,Borehole or tubewell,"SC Mwankhunikira, Rumphi, Malawi",3/30/2018
33.3624452,-11.5383633,25304,Kanyankhunde primary school bore hole,At the primary school,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",3/21/1993
33.3990479,-11.4648165,12935,Mongora primary school borehole ,At the school under melayina trees,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",9/22/2005
34.0105104,-10.9178826,26478,Pachichi pvt secondary school borehole,At the secondary school,Borehole or tubewell,"SC Mwankhunikira, Rumphi, Malawi",1/4/2002
34.1702968,-10.7562375,35312,Maduna Monjera borehole,At the valley,Borehole or tubewell,"STA Njikula, Rumphi, Malawi",10/5/2018
33.9762176,-10.9586898,33153,Kayunikalira borehole,At the village headman's compound,Borehole or tubewell,"SC Mwankhunikira, Rumphi, Malawi",1/23/2004
34.1803499,-10.6138706,3206,Thekero borehole,At thekero school,Borehole or tubewell,"SC Mwalweni, Rumphi, Malawi",5/9/2012
34.17914994,-10.61056506,31794,Mangenje borehole,At thekero trading center,Borehole or tubewell,"SC Mwalweni, Rumphi, Malawi",1/1/1997
33.4773296,-11.6864786,31077,Tonthowele FP school Borehole,At Tonthowele FP School,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",3/6/2010
33.8130855,-9.9858991,11693,Towo primary school waterpoint,At towo primary school,Borehole or tubewell,"TA Kyungu, Karonga, Malawi",10/27/2011
33.7480046,-10.1671081,29452,Uledi primary school borehole ,At Uledi primary school ,Borehole or tubewell,"STA Nthengatenga, Chitipa, Malawi",10/1/2002
34.0985154,-10.9704746,19327,Usowoya primary school borehole,At usowoya primary school,Borehole or tubewell,"SC Mwankhunikira, Rumphi, Malawi",3/19/2000
33.9782124,-10.9377894,31115,Chihombo borehole,At village headman's compound,Borehole or tubewell,"SC Mwankhunikira, Rumphi, Malawi",8/3/2009
33.613776,-9.8909522,19956,Wiriro Orphan Care borehole,At Wiriro Orphan Care Warehouse,Borehole or tubewell,"TA Kyungu, Karonga, Malawi",11/26/2011
33.4280462,-11.7427204,7069,Yeleyele FP School Borehole,At Yeleyele FP School,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",9/9/2015
33.820266,-11.455487,20247,Mthusani Ngulube,Beautiful fence,Borehole or tubewell,"TA Mtwalo, Mzimba, Malawi",
33.5849792,-11.9091368,8102,Kabwakachule behole ,Behand mzimba preson ,Borehole or tubewell,"Mzimba Boma, Mzimba, Malawi",1/1/2002
33.5360321,-11.7627098,3528,Ulaya Mhoni  borehole ,Behind  banana plantations ,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",9/10/1998
33.5508452,-11.6710361,3605,Chalunga primary  school BH,Behind  std 6& 7 block,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",10/3/2016
33.5503999,-11.761391,31785,Chenyentha Mphepo borehole ,Behind banana plantations ,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",6/4/2016
33.5994896,-11.736983,7539,Chiduswa Moyo borehole ,Behind banana plantations ,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",11/9/2002
33.6280115,-11.7177778,21797,Daulire Moyo borehole ,Behind banana plantations ,Borehole or tubewell,"SC Kampingo Sibande, Mzimba, Malawi",10/20/1998
33.5561541,-11.7486948,8109,Kamkeka  Lowole BH ,Behind banana plantations ,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",10/20/1999
33.78816436,-11.01801603,5275,Kaiwale Chirambo borehole ,Behind Botswana maize mill,Borehole or tubewell,"TA Chikulamayembe, Rumphi, Malawi",1/1/1999
33.5186429,-11.9035555,31333,Mujumila Banda Village borehole ,Behind Champinga School football ground ,Borehole or tubewell,"TA M'Mbelwa, Mzimba, Malawi",7/19/2004
33.4159706,-11.4515564,31870,T/A Chindi borehole ,Behind Fumbani Hardware ,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",6/7/1994
33.5315708,-11.8956268,28686,Bizeki 2 borehole ,Behind Jalawe CCAP Church ,Borehole or tubewell,"TA M'Mbelwa, Mzimba, Malawi",10/2/2017
33.5107775,-11.8625867,8029,Kamtowa primary school borehole ,"Behind kamtowa, primary school block",Borehole or tubewell,"TA M'Mbelwa, Mzimba, Malawi",9/12/2015
33.8929812,-9.9746549,35251,Mwanalopa 2  chanthenda borehole 1,Behind karonga teacher training college,Borehole or tubewell,"Karonga Town, Karonga, Malawi",6/15/2012
33.8928977,-9.9747606,20673,Mwamalopa 2 chanthenda borehole 2,Behind Karonga Teachers Training College,Borehole or tubewell,"Karonga Town, Karonga, Malawi",6/10/2002
33.4638324,-11.3887601,16798,Kaviyombo School borehole ,Behind Kaviyombo  primary school ,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",5/28/2005
33.6079979,-11.9568456,4827,Kazomba CDSS,Behind Kazomba Trading Centre,Borehole or tubewell,"TA Mzikubola, Mzimba, Malawi",5/11/2005
33.9716188,-10.0663895,7227,Lupembe Agriculture Waterpoint 2,Behind lupembe agriculture buildings,Borehole or tubewell,"TA Kyungu, Karonga, Malawi",1/1/2002
33.3793654,-11.3845691,31177,Chiliuli borehole 1,Behind Mr Gondwe's house,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",9/14/2001
33.3344763,-11.4890715,31354,Sonkho borehole,Behind Mr Mvula's house,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",8/20/2007
33.5149072,-11.7753518,25418,Makulande School borehole ,Behind School block,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",6/6/2018
33.2762238,-11.4621518,15866,Jinga School borehole,Behind staff house,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",7/28/1998
33.3725112,-11.4006177,31183,Mchinkhula School borehole,Behind staff houses,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",9/5/2007
33.3245662,-11.4241038,35163,Kapija School borehole,Behind Standard 5&6 block,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",5/30/2000
33.377324,-11.613753,5626,Mazaza School borehole,Behind Std 1 block,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",11/16/2018
33.4458639,-11.9467202,10352,Mbwenu Chirwa Guest house,Behind the guesthouse,Borehole or tubewell,"TA M'Mbelwa, Mzimba, Malawi",
33.5199258,-11.9029465,33674,Champinga Primary school borehole ,Behind the school administration block,Borehole or tubewell,"TA M'Mbelwa, Mzimba, Malawi",1/10/2005
33.8742521,-9.9215901,30720,Chilanga,Behind two big mango trees,Borehole or tubewell,"TA Kyungu, Karonga, Malawi",10/24/2000
33.4587378,-11.3982209,15270,Mbonde Ng'omar borehole,Behind Yakuwata turn off signpost ,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",9/27/2009
33.916123,-11.0581362,19288,Kabiya borehole ,Behind Zikomo Maize mill,Borehole or tubewell,"SC Jaravikuba Munthali, Mzimba, Malawi",4/26/1999
33.685097,-11.9389354,35478,Lwanda Loseni Village,"Below the houses, in maize field",Borehole or tubewell,"TA Mzikubola, Mzimba, Malawi",
33.584599,-11.9068896,29272,Kazengo borehole,Beside kazengo school,Borehole or tubewell,"Mzimba Boma, Mzimba, Malawi",1/1/2004
33.5690793,-11.6280428,31969,Kampingo Nyambose borehole ,Beside mzalangwe road ,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",1/1/1998
33.9312235,-9.9209839,30823,Kafikisila borehole ,Between big tree and Chang alarm school,Borehole or tubewell,"Karonga Town, Karonga, Malawi",7/31/2014
33.9313785,-11.2565187,29356,Chipetupetu Chione borehole ,Between chathipa and Chamono rivers ,Borehole or tubewell,"TA Mtwalo, Mzimba, Malawi",10/26/2008
33.9313689,-9.9411221,8457,Lusubilo orphan care borehole,Between lusubilo youth centre and tuntufye radio station,Borehole or tubewell,"Karonga Town, Karonga, Malawi",10/24/2006
33.8909041,-9.8699498,30827,Kasowa CDSS borehole ,Between Msangu sangu tree and Kasowa CDSS school ,Borehole or tubewell,"TA Kyungu, Karonga, Malawi",12/7/2004
33.9881591,-10.9178061,11443,Nthenje hospital borehole ,Between Nthenje SDA Church and Nthenje hospital,Borehole or tubewell,"SC Mwankhunikira, Rumphi, Malawi",6/25/1960
33.3491894,-11.4620071,31135,Chamaliwa School borehole,Between school blocks and staff houses,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",10/4/1972
33.9095962,-9.9544818,20078,Karonga guardian shelter borehole,Between the hospital kitchen and hospital,Borehole or tubewell,"Karonga Town, Karonga, Malawi",9/20/1984
33.387862,-12.2210431,4490,Bitiku Qoto borehole. ,Bitiku Qoto borehole 300m near kanyenyezi primary school. ,Borehole or tubewell,"TA Mzukuzuku, Mzimba, Malawi",5/11/2019
33.5743058,-11.1817221,27259,Razero Mbulo borehole ,Bluegum tree,Borehole or tubewell,"TA Mpherembe, Mzimba, Malawi",11/20/2007
33.7686178,-11.9430738,22524,Thanthe Full Primary School Borehole ,Bluegum tree,Borehole or tubewell,"TA Mzikubola, Mzimba, Malawi",7/21/2008
33.8194236,-11.3864201,26988,Gideon borehole ,Bwabwa -transmitter road ,Borehole or tubewell,"TA Mtwalo, Mzimba, Malawi",5/16/2000
33.4860423,-11.9565261,35479,Kavila Chipeta Village,By the pathroad,Borehole or tubewell,"TA M'Mbelwa, Mzimba, Malawi",
33.6148138,-11.4250928,14703,Nemon  mlotha,cClose  to mphimbi road,Borehole or tubewell,"TA Mtwalo, Mzimba, Malawi",9/20/1999
33.4312919,-12.2402067,17038,Mabiri cdss borehole ,Cen tre of cdss .,Borehole or tubewell,"TA Mzukuzuku, Mzimba, Malawi",
33.392975,-12.1676072,22553,Matikija primary school borehole ,Cen tre of Matikija campus east 2m,Borehole or tubewell,"TA Mzukuzuku, Mzimba, Malawi",6/16/1998
33.4300291,-12.245872,7937,Kawale chirwa village,Cen treatment of Mabiri facility,Borehole or tubewell,"TA Mzukuzuku, Mzimba, Malawi",8/3/2019
33.3745881,-12.2604391,34228,Mtuzuzu cdss ,Centre of cdss mtuzuzu surrounding with blocks  teachers houses. ,Borehole or tubewell,"TA M'Mbelwa, Mzimba, Malawi",8/6/2008
33.3741234,-12.2590646,20944,Mtuzuzu Primary school  borehole,Centre of primary school ,Borehole or tubewell,"TA M'Mbelwa, Mzimba, Malawi",9/25/2000
33.91882,-11.023601,5923,Chakwera,Chakwera,Borehole or tubewell,"STA Chisovya, Rumphi, Malawi",6/14/2017
33.91882,-11.023601,21180,Chakwera,Chakwera,Borehole or tubewell,"STA Chisovya, Rumphi, Malawi",6/14/2017
33.91882,-11.023601,33731,Chakwera,Chakwera,Borehole or tubewell,"STA Chisovya, Rumphi, Malawi",
33.91882,-11.023601,35825,Chakwera,Chakwera,Borehole or tubewell,"STA Chisovya, Rumphi, Malawi",
34.032535,-10.7722817,1889,Chamomono,Chamomono,Borehole or tubewell,"SC Mwalweni, Rumphi, Malawi",7/15/2016
34.032535,-10.7722817,7909,Chamomono,Chamomono,Borehole or tubewell,"SC Mwalweni, Rumphi, Malawi",7/15/2016
34.032535,-10.7722817,33625,Chamomono,Chamomono,Borehole or tubewell,"SC Mwalweni, Rumphi, Malawi",
34.032535,-10.7722817,34567,Chamomono,Chamomono,Borehole or tubewell,"SC Mwalweni, Rumphi, Malawi",
33.6339267,-12.2670367,21252,Kalabuka Mkandawire,Champhira - Mkwapu,Borehole or tubewell,"TA Mzikubola, Mzimba, Malawi",10/12/2017
33.6339267,-12.2670367,32837,Kalabuka Mkandawire,Champhira - Mkwapu,Borehole or tubewell,"TA Mzikubola, Mzimba, Malawi",
33.6339267,-12.2670367,33659,Kalabuka Mkandawire,Champhira - Mkwapu,Borehole or tubewell,"TA Mzikubola, Mzimba, Malawi",
33.6339267,-12.2670367,34930,Kalabuka Mkandawire,Champhira - Mkwapu,Borehole or tubewell,"TA Mzikubola, Mzimba, Malawi",10/12/2017
33.6555331,-11.3143343,27214,MolozI Jere borehole 2,Chanjoka strream,Borehole or tubewell,"TA Mpherembe, Mzimba, Malawi",10/30/2007
33.7509239,-11.384164,33846,Chingati Nkosi ,Chathata river ,Borehole or tubewell,"TA Mtwalo, Mzimba, Malawi",2/10/2009
33.7625941,-11.6092011,5918,Kafulufulu Club,Chikangawa,Borehole or tubewell,"SC Kampingo Sibande, Mzimba, Malawi",
33.7636835,-11.6073293,12658,Kamusu Club,Chikangawa,Borehole or tubewell,"SC Kampingo Sibande, Mzimba, Malawi",
33.7706831,-11.5916396,21320,Ng'oma Club 1,Chikangawa,Borehole or tubewell,"SC Kampingo Sibande, Mzimba, Malawi",
33.7663944,-11.6020003,4795,Ng'oma Club 2,Chikangawa,Borehole or tubewell,"SC Kampingo Sibande, Mzimba, Malawi",
33.7643672,-11.6068488,12663,Umodzi Club,Chikangawa,Borehole or tubewell,"SC Kampingo Sibande, Mzimba, Malawi",
33.9707168,-10.9235539,31541,Chamala village borehole,Chilulu trading centre,Borehole or tubewell,"STA Chisovya, Rumphi, Malawi",2/11/2004
34.06576574,-11.44522577,4497,ching'ambo primary school,ching'ambo,Borehole or tubewell,"TA Mtwalo, Mzimba, Malawi",10/5/2017
34.06576574,-11.44522577,9379,ching'ambo primary school,ching'ambo,Borehole or tubewell,"TA Mtwalo, Mzimba, Malawi",
34.06576574,-11.44522577,33680,ching'ambo primary school,ching'ambo,Borehole or tubewell,"TA Mtwalo, Mzimba, Malawi",
34.06576574,-11.44522577,34889,ching'ambo primary school,ching'ambo,Borehole or tubewell,"TA Mtwalo, Mzimba, Malawi",10/5/2017
34.0092483,-10.9317867,8469,Chinyolo,Chinyolo,Borehole or tubewell,"SC Mwankhunikira, Rumphi, Malawi",
34.0092483,-10.9317867,11981,Chinyolo,Chinyolo,Borehole or tubewell,"SC Mwankhunikira, Rumphi, Malawi",10/1/2016
34.0092483,-10.9317867,12618,Chinyolo,Chinyolo,Borehole or tubewell,"SC Mwankhunikira, Rumphi, Malawi",10/1/2016
34.0092483,-10.9317867,32023,Chinyolo,Chinyolo,Borehole or tubewell,"SC Mwankhunikira, Rumphi, Malawi",
33.7323966,-11.6746025,24140,Chipumuio primary school,Chipumuio hill,Borehole or tubewell,"SC Kampingo Sibande, Mzimba, Malawi",9/9/2007
33.7143413,-10.9736535,7741,Chirambo community basic childhood centre,Chirambo community basic childhood centre ,Borehole or tubewell,"TA Chikulamayembe, Rumphi, Malawi",3/2/2018
33.4261917,-12.2523717,7567,Chisenga,Chisenga,Borehole or tubewell,"TA M'Mbelwa, Mzimba, Malawi",
33.426285,-12.2515617,9523,Chisenga,Chisenga,Borehole or tubewell,"TA M'Mbelwa, Mzimba, Malawi",
33.4261917,-12.2523717,12077,Chisenga,Chisenga,Borehole or tubewell,"TA M'Mbelwa, Mzimba, Malawi",9/10/2015
33.426285,-12.2515617,12096,Chisenga,Chisenga,Borehole or tubewell,"TA M'Mbelwa, Mzimba, Malawi",7/1/2015
33.426285,-12.2515617,21210,Chisenga,Chisenga,Borehole or tubewell,"TA M'Mbelwa, Mzimba, Malawi",7/1/2015
33.4261917,-12.2523717,21214,Chisenga,Chisenga,Borehole or tubewell,"TA M'Mbelwa, Mzimba, Malawi",9/10/2015
33.426285,-12.2515617,25471,Chisenga,Chisenga,Borehole or tubewell,"TA M'Mbelwa, Mzimba, Malawi",
33.4261917,-12.2523717,33619,Chisenga,Chisenga,Borehole or tubewell,"TA M'Mbelwa, Mzimba, Malawi",
33.8225051,-11.0199929,31005,Chitandika 2,Chitandika village ,Borehole or tubewell,"TA Chikulamayembe, Rumphi, Malawi",2/15/2019
33.3193642,-12.1929293,20917,Solomon I borehole ,Chiyaphula sub village,Borehole or tubewell,"TA M'Mbelwa, Mzimba, Malawi",11/26/2007
33.9993262,-11.3568474,20241,Anna Kamanga,Choma,Borehole or tubewell,"TA Mtwalo, Mzimba, Malawi",
33.9927373,-11.3300599,12224,Vincent Mkandawire,Choma,Borehole or tubewell,"TA Mtwalo, Mzimba, Malawi",
33.6231067,-11.2725275,4970,Chimunyama mandhlopa 2 borehore ,Clone to football ground ,Borehole or tubewell,"TA Mpherembe, Mzimba, Malawi",3/2/1988
33.6112882,-11.2995011,22862,Zafania Mike Zimba,Clone to Zafania house,Borehole or tubewell,"TA Mpherembe, Mzimba, Malawi",10/20/2018
33.6154145,-12.2998806,26619,Kanyalu borehole ,Close  M1 road from  msegede market  to jenda ,Borehole or tubewell,"TA Mzikubola, Mzimba, Malawi",8/1/2008
33.4875489,-12.253322,31844,Chindoka Jonazi village water point ,"Close ,about 1 metre from the jenda-Edingeni road which is under construction ",Borehole or tubewell,"TA Mzukuzuku, Mzimba, Malawi",12/10/1956
33.6656103,-11.14595,7347,Zakaliya Viyuyi village borehole ,Close blue gum ,Borehole or tubewell,"TA Mtwalo, Mzimba, Malawi",12/22/2004
33.6374734,-11.3029257,30957,Mzowa water point. .borehore ,Close emphanGwent road,Borehole or tubewell,"TA Mpherembe, Mzimba, Malawi",5/17/2007
33.6814978,-11.3638979,27204,Magalera jere borehore ,Close guafa trees,Borehole or tubewell,"TA Mtwalo, Mzimba, Malawi",2/2/1999
33.4973963,-11.2026892,17592,Thomas Mkandawire village borehole ,Close kesha tree ,Borehole or tubewell,"TA Mpherembe, Mzimba, Malawi",1/26/1994
33.5632498,-11.3902353,26890,Mungoniyumo Nyirenda borehore 3,Close to  chisavi tree,Borehole or tubewell,"TA Mpherembe, Mzimba, Malawi",12/3/2007
33.6156083,-11.2848767,30755,Lutheran church borehore ,Close to  church Lutheran ,Borehole or tubewell,"TA Mpherembe, Mzimba, Malawi",9/5/2007
33.4389065,-11.3230526,18786,Katoto Luhanga borehole ,Close to  Kavisopo Last Church ,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",11/22/2007
33.6406651,-11.3066989,6721,Samuel Jere borehole ,Close to  orange tree,Borehole or tubewell,"TA Mpherembe, Mzimba, Malawi",
33.3708117,-11.4018792,18345,Mchinkhula School borehole,Close to  school pit latrine,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",4/9/1993
33.6501728,-11.1567456,25935,Eneya Kumwenda borehoe,Close to  Tchesamu river,Borehole or tubewell,"TA Mpherembe, Mzimba, Malawi",7/8/2007
33.6567195,-11.1015016,27186,Malekanjala farm borehole ,Close to  tobacco shed,Borehole or tubewell,"TA Mpherembe, Mzimba, Malawi",9/6/2018
33.9417894,-11.5366596,16962,chibwaka borehole,close to 20 meters away from lusangazi roman cathoric church,Borehole or tubewell,"SC Kampingo Sibande, Mzimba, Malawi",9/26/2007
33.9689367,-11.4983917,14678,Yavundika Borehole,close to 30 meters from Lusangazi  charity Baptist  Mission,Borehole or tubewell,"TA Kabunduli, Nkhata Bay, Malawi",10/10/2005
33.8627151,-9.9121442,5441,Mwalenga borehole,Close to a banana farm,Borehole or tubewell,"TA Kyungu, Karonga, Malawi",3/14/2016
34.041982,-10.7417911,31202,Lweni borehole ,Close to a mango tree of TA mwalweni ,Borehole or tubewell,"SC Mwalweni, Rumphi, Malawi",10/9/2018
33.3229976,-11.6988031,14824,Kasolokera borehole,Close to a palm tree,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",10/20/2007
33.6544026,-11.3583909,5657,Gowoyani mithi borehore ,Close to anthill ,Borehole or tubewell,"TA Mpherembe, Mzimba, Malawi",5/2/2007
33.5551431,-11.3860155,26731,Mungoniyumo Nyirenda borehore ,Close to anthill ,Borehole or tubewell,"TA Mpherembe, Mzimba, Malawi",3/14/2018
33.6697282,-11.335067,26955,Robert qoma borehore ,Close to anthill ,Borehole or tubewell,"TA Mpherembe, Mzimba, Malawi",5/10/2007
33.5796782,-11.3682248,2623,Chaparuka borehore ,Close to antihill,Borehole or tubewell,"TA Mpherembe, Mzimba, Malawi",2/25/2018
33.4906994,-11.2487121,7378,Watson Hunga borehore,Close to banana plantation ,Borehole or tubewell,"TA Mpherembe, Mzimba, Malawi",12/7/2017
33.6277275,-11.279614,6512,Zinyathi nalI borehore ,Close to baobab tree,Borehole or tubewell,"TA Mpherembe, Mzimba, Malawi",1/25/2018
33.5752092,-11.3644538,26676,Magazine Nyirenda borehore ,Close to baobab tree ,Borehole or tubewell,"TA Mpherembe, Mzimba, Malawi",2/28/2018
33.6425191,-11.3287637,20476,Mahuza jere borehore ,Close to baobab tree ,Borehole or tubewell,"TA Mpherembe, Mzimba, Malawi",5/2/2007
33.6801799,-11.3553194,27173,Mlonga shonga borehore ,Close to baobab tree ,Borehole or tubewell,"TA Mtwalo, Mzimba, Malawi",9/11/2002
33.6640328,-11.3768662,20528,Mkhondo Hara water point ,Close to baobab trees,Borehole or tubewell,"TA Mpherembe, Mzimba, Malawi",2/6/2018
33.5885563,-11.397065,26947,Zabron mkandawire borehore ,Close to Blue gum trees,Borehole or tubewell,"TA Mtwalo, Mzimba, Malawi",6/6/2007
33.4546216,-11.230152,22839,Manolo primary school borehore ,Close to Blue gum trees ,Borehole or tubewell,"TA Mpherembe, Mzimba, Malawi",5/11/1994
33.4756292,-11.224822,21822,Mtundula primary school borehole,Close to Blue gum trees ,Borehole or tubewell,"TA Mpherembe, Mzimba, Malawi",4/6/2006
33.4684702,-11.2515921,25141,Mkosana nsere village ,Close to blue trees,Borehole or tubewell,"TA Mpherembe, Mzimba, Malawi",10/14/2007
