,dis
1999-11-16,2861.1157
1999-11-20,2829.4456
1999-11-23,2811.5972
1999-11-27,2873.7954
1999-11-30,2928.9895
1999-12-04,2970.1401
1999-12-07,2998.471
1999-12-11,3057.6814
1999-12-14,3093.2732
1999-12-18,3100.2683
1999-12-21,3078.1934
1999-12-25,3039.852
1999-12-28,3007.4866
2000-01-02,2989.722
2000-01-05,2993.9792
2000-01-09,2974.5464
2000-01-12,2943.4656
2000-01-16,2885.2734
2000-01-19,2830.8
2000-01-23,2756.4429
2000-01-26,2698.712
2000-01-30,2623.8752
2000-02-02,2575.9036
2000-02-06,2531.6934
2000-02-09,2508.535
2000-02-13,2479.4763
2000-02-16,2447.2708
2000-02-20,2407.7112
2000-02-23,2376.323
2000-02-27,2340.4426
2000-03-02,2297.7795
2000-03-06,2245.2515
2000-03-09,2197.0508
2000-03-13,2143.501
2000-03-16,2106.4456
2000-03-20,2067.9263
2000-03-23,2040.1831
2000-03-27,2030.5021
2000-03-30,2027.9526
2000-04-03,2004.4116
2000-04-06,1998.4326
2000-04-10,2009.5566
2000-04-13,2007.5164
2000-04-17,2036.2861
2000-04-20,2073.701
2000-04-24,2143.7559
2000-04-27,2201.2769
2000-05-01,2272.705
2000-05-04,2312.3489
2000-05-08,2367.1057
2000-05-11,2419.6543
2000-05-15,2490.8733
2000-05-18,2539.9788
2000-05-22,2582.2075
2000-05-25,2603.482
2000-05-29,2629.3389
2000-06-01,2633.4075
2000-06-05,2622.1172
2000-06-08,2605.3296
2000-06-12,2585.2122
2000-06-15,2572.601
2000-06-19,2565.63
2000-06-22,2554.929
2000-06-26,2541.9438
2000-06-29,2518.1147
2000-07-03,2473.6328
2000-07-06,2446.0747
2000-07-10,2414.2522
2000-07-13,2394.6882
2000-07-17,2369.0986
2000-07-20,2347.6875
2000-07-24,2318.1394
2000-07-27,2292.65
2000-07-31,2251.788
2000-08-03,2218.8574
2000-08-07,2182.6746
2000-08-10,2159.7449
2000-08-14,2137.6506
2000-08-17,2121.939
2000-08-21,2076.289
2000-08-24,2041.1825
2000-08-28,2008.1608
2000-08-31,1995.8328
2000-09-04,1973.7556
2000-09-07,1955.5552
2000-09-11,1932.3872
2000-09-14,1919.0078
2000-09-18,1904.2268
2000-09-21,1888.9045
2000-09-25,1879.1732
2000-09-28,1876.2805
2000-10-02,1904.1218
2000-10-05,1949.3722
2000-10-09,2023.1578
2000-10-12,2083.0217
2000-10-16,2148.9941
2000-10-19,2193.7585
2000-10-23,2291.6536
2000-10-26,2457.6116
2000-10-30,2526.153
2000-11-02,2548.1963
2000-11-06,2562.776
2000-11-09,2552.0383
2000-11-13,2549.0142
2000-11-16,2551.994
2000-11-20,2544.9429
2000-11-23,2520.8596
2000-11-27,2499.6465
2000-11-30,2518.0037
2000-12-04,2609.3145
2000-12-07,2679.204
2000-12-11,2728.6514
2000-12-14,2740.8047
2000-12-18,2730.988
2000-12-21,2727.057
2000-12-25,2756.992
2000-12-28,2795.1184
2001-01-02,2890.0674
2001-01-05,2954.1406
2001-01-09,2953.461
2001-01-12,2908.0342
2001-01-16,2845.9734
2001-01-19,2796.5005
2001-01-23,2750.152
2001-01-26,2738.0981
2001-01-30,2718.411
2001-02-02,2717.542
2001-02-06,2730.6326
2001-02-09,2731.3545
2001-02-13,2709.0005
2001-02-16,2687.373
2001-02-20,2687.882
2001-02-23,2715.8677
2001-02-27,2731.655
2001-03-02,2706.9534
2001-03-06,2650.3801
2001-03-09,2629.2239
2001-03-13,2591.696
2001-03-16,2554.4329
2001-03-20,2524.6653
2001-03-23,2519.7217
2001-03-27,2540.3743
2001-03-30,2563.1812
2001-04-03,2595.1165
2001-04-06,2642.611
2001-04-10,2749.8867
2001-04-13,2836.6
2001-04-17,2914.4473
2001-04-20,2948.5684
2001-04-24,3013.725
2001-04-27,3055.7432
2001-05-01,3139.8474
2001-05-04,3226.8625
2001-05-08,3367.5881
2001-05-11,3468.1628
2001-05-15,3580.9153
2001-05-18,3630.908
2001-05-22,3649.2202
2001-05-25,3669.273
2001-05-29,3705.1768
2001-06-01,3710.1516
2001-06-05,3714.8784
2001-06-08,3717.4646
2001-06-12,3714.4148
2001-06-15,3702.5479
2001-06-19,3676.1099
2001-06-22,3636.5723
2001-06-26,3560.4644
2001-06-29,3497.2144
2001-07-03,3413.06
2001-07-06,3345.2236
2001-07-10,3251.0752
2001-07-13,3185.3396
2001-07-17,3107.5737
2001-07-20,3056.6313
2001-07-24,2988.1697
2001-07-27,2946.4304
2001-07-31,2906.2236
2001-08-03,2875.097
2001-08-07,2828.151
2001-08-10,2795.9712
2001-08-14,2765.7905
2001-08-17,2745.237
2001-08-21,2720.754
2001-08-24,2704.9883
2001-08-28,2693.911
2001-08-31,2685.58
2001-09-04,2672.6743
2001-09-07,2662.2666
2001-09-11,2626.063
2001-09-14,2592.5337
2001-09-18,2554.0354
2001-09-21,2532.8423
2001-09-25,2520.218
2001-09-28,2512.681
2001-10-02,2512.5999
2001-10-05,2531.7334
2001-10-09,2568.789
2001-10-12,2598.1614
2001-10-16,2638.4463
2001-10-19,2668.5308
2001-10-23,2708.4612
2001-10-26,2730.1216
2001-10-30,2753.151
2001-11-02,2779.0938
2001-11-06,2873.4226
2001-11-09,3017.001
2001-11-13,3283.4146
2001-11-16,3487.5193
2001-11-20,3706.0857
2001-11-23,3842.609
2001-11-27,3949.8047
2001-11-30,3954.5964
2001-12-04,3911.868
2001-12-07,3878.014
2001-12-11,3831.4258
2001-12-14,3785.7957
2001-12-18,3701.8188
2001-12-21,3630.076
2001-12-25,3541.159
2001-12-28,3477.7554
2002-01-02,3373.6875
2002-01-05,3314.1755
2002-01-09,3230.8342
2002-01-12,3171.12
2002-01-16,3107.3757
2002-01-19,3074.481
2002-01-23,3033.2913
2002-01-26,3013.6448
2002-01-30,2997.8633
2002-02-02,2988.5073
2002-02-06,2963.081
2002-02-09,2940.5217
2002-02-13,2910.357
2002-02-16,2884.4746
2002-02-20,2845.1125
2002-02-23,2807.8406
2002-02-27,2748.884
2002-03-02,2715.0735
2002-03-06,2674.5564
2002-03-09,2636.7837
2002-03-13,2607.1636
2002-03-16,2592.9456
2002-03-20,2607.814
2002-03-23,2642.7112
2002-03-27,2692.0925
2002-03-30,2739.423
2002-04-03,2832.8218
2002-04-06,2910.142
2002-04-10,2978.9316
2002-04-13,3009.5723
2002-04-17,3030.7527
2002-04-20,3052.32
2002-04-24,3127.8862
2002-04-27,3216.7666
2002-05-01,3378.4775
2002-05-04,3538.224
2002-05-08,3830.6963
2002-05-11,4079.9248
2002-05-15,4350.3374
2002-05-18,4442.3228
2002-05-22,4444.2617
2002-05-25,4410.387
2002-05-29,4345.608
2002-06-01,4309.646
2002-06-05,4241.3164
2002-06-08,4166.7085
2002-06-12,4056.7095
2002-06-15,3975.6738
2002-06-19,3878.0586
2002-06-22,3821.124
2002-06-26,3735.2646
2002-06-29,3662.0835
2002-07-03,3560.888
2002-07-06,3495.5767
2002-07-10,3418.324
2002-07-13,3365.405
2002-07-17,3305.787
2002-07-20,3260.5598
2002-07-24,3190.4895
2002-07-27,3131.0293
2002-07-31,3054.1333
2002-08-03,3005.0034
2002-08-07,2935.3381
2002-08-10,2891.6926
2002-08-14,2834.5364
2002-08-17,2798.4226
2002-08-21,2756.5195
2002-08-24,2729.7246
2002-08-28,2690.0986
2002-08-31,2658.8552
2002-09-04,2618.4565
2002-09-07,2598.9932
2002-09-11,2573.2283
2002-09-14,2564.9797
2002-09-18,2551.05
2002-09-21,2535.9763
2002-09-25,2535.43
2002-09-28,2546.131
2002-10-02,2549.0828
2002-10-05,2553.8032
2002-10-09,2537.9023
2002-10-12,2515.121
2002-10-16,2510.7268
2002-10-19,2517.5854
2002-10-23,2559.6846
2002-10-26,2600.7595
2002-10-30,2635.139
2002-11-02,2665.8484
2002-11-06,2691.4832
2002-11-09,2729.0317
2002-11-13,2816.819
2002-11-16,2923.117
2002-11-20,3114.2803
2002-11-23,3243.4395
2002-11-27,3340.4766
2002-11-30,3360.4944
2002-12-04,3371.4192
2002-12-07,3352.7297
2002-12-11,3304.6262
2002-12-14,3277.427
2002-12-18,3261.5144
2002-12-21,3280.7407
2002-12-25,3348.7056
2002-12-28,3412.3198
2003-01-02,3582.8154
2003-01-05,3694.138
2003-01-09,3704.4224
2003-01-12,3674.1199
2003-01-16,3646.99
2003-01-19,3606.4565
2003-01-23,3523.5774
2003-01-26,3443.5242
2003-01-30,3336.7068
2003-02-02,3262.4072
2003-02-06,3169.441
2003-02-09,3116.514
2003-02-13,3047.4988
2003-02-16,2995.433
2003-02-20,2921.789
2003-02-23,2864.8176
2003-02-27,2797.412
2003-03-02,2752.4758
2003-03-06,2680.8694
2003-03-09,2620.577
2003-03-13,2569.6267
2003-03-16,2534.4812
2003-03-20,2481.2844
2003-03-23,2444.6155
2003-03-27,2397.0955
2003-03-30,2380.2708
2003-04-03,2344.5593
2003-04-06,2330.5273
2003-04-10,2341.4722
2003-04-13,2375.7795
2003-04-17,2435.2935
2003-04-20,2454.0413
2003-04-24,2496.485
2003-04-27,2547.507
2003-05-01,2683.7012
2003-05-04,2804.2498
2003-05-08,2958.0894
2003-05-11,3042.3396
2003-05-15,3087.6863
2003-05-18,3122.2363
2003-05-22,3185.6726
2003-05-25,3245.0864
2003-05-29,3291.5002
2003-06-01,3280.9844
2003-06-05,3256.7805
2003-06-08,3245.7542
2003-06-12,3261.0388
2003-06-15,3284.2842
2003-06-19,3293.7166
2003-06-22,3294.008
2003-06-26,3291.4814
2003-06-29,3294.711
2003-07-03,3310.774
2003-07-06,3328.5374
2003-07-10,3347.4614
2003-07-13,3358.62
2003-07-17,3359.0745
2003-07-20,3359.3665
2003-07-24,3376.3708
2003-07-27,3397.0935
2003-07-31,3410.3357
2003-08-03,3397.156
2003-08-07,3331.112
2003-08-10,3269.623
2003-08-14,3160.2607
2003-08-17,3082.9136
2003-08-21,2995.2827
2003-08-24,2935.7908
2003-08-28,2864.4343
2003-08-31,2821.6335
2003-09-04,2775.6987
2003-09-07,2739.6572
2003-09-11,2698.2754
2003-09-14,2681.9468
2003-09-18,2675.6833
2003-09-21,2666.4983
2003-09-25,2657.023
2003-09-28,2645.6826
2003-10-02,2611.2412
2003-10-05,2571.8635
2003-10-09,2525.5461
2003-10-12,2483.5835
2003-10-16,2444.7947
2003-10-19,2423.5056
2003-10-23,2408.5234
2003-10-26,2384.5127
2003-10-30,2334.1208
2003-11-02,2317.2056
2003-11-06,2306.6484
2003-11-09,2314.755
2003-11-13,2357.7422
2003-11-16,2396.373
2003-11-20,2430.864
2003-11-23,2440.6357
2003-11-27,2449.3125
2003-11-30,2463.9448
2003-12-04,2509.5972
2003-12-07,2560.836
2003-12-11,2653.6804
2003-12-14,2725.9314
2003-12-18,2798.0898
2003-12-21,2867.4373
2003-12-25,2926.808
2003-12-28,2919.8848
2004-01-02,2862.7966
2004-01-05,2824.734
2004-01-09,2760.1946
2004-01-12,2710.8713
2004-01-16,2655.237
2004-01-19,2608.1814
2004-01-23,2545.848
2004-01-26,2503.0151
2004-01-30,2445.8691
2004-02-02,2415.8599
2004-02-06,2387.2764
2004-02-09,2367.345
2004-02-13,2338.0664
2004-02-16,2312.9866
2004-02-20,2287.2178
2004-02-23,2262.8696
2004-02-27,2235.0293
2004-03-02,2201.7654
2004-03-06,2156.9885
2004-03-09,2143.892
2004-03-13,2125.1743
2004-03-16,2104.7239
2004-03-20,2080.8362
2004-03-23,2062.2532
2004-03-27,2053.403
2004-03-30,2061.9773
2004-04-03,2055.5935
2004-04-06,2053.5051
2004-04-10,2054.056
2004-04-13,2090.702
2004-04-17,2235.705
2004-04-20,2402.675
2004-04-24,2588.6257
2004-04-27,2689.0134
2004-05-01,2820.9219
2004-05-04,2929.7307
2004-05-08,3097.7761
2004-05-11,3198.1143
2004-05-15,3241.5369
2004-05-18,3237.29
2004-05-22,3200.0256
2004-05-25,3157.0024
2004-05-29,3080.0293
2004-06-01,3027.8633
2004-06-05,2971.8655
2004-06-08,2945.7217
2004-06-12,2947.674
2004-06-15,2978.716
2004-06-19,3016.7222
2004-06-22,3031.4504
2004-06-26,3034.0078
2004-06-29,3018.624
2004-07-03,2985.8462
2004-07-06,2969.7007
2004-07-10,2942.51
2004-07-13,2908.0842
2004-07-17,2840.1455
2004-07-20,2789.7776
2004-07-24,2727.657
2004-07-27,2681.9927
2004-07-31,2625.964
2004-08-03,2587.2473
2004-08-07,2529.9792
2004-08-10,2486.87
2004-08-14,2435.497
2004-08-17,2404.3853
2004-08-21,2395.9858
2004-08-24,2403.493
2004-08-28,2418.1738
2004-08-31,2413.8882
2004-09-04,2390.673
2004-09-07,2364.3914
2004-09-11,2324.1694
2004-09-14,2289.5754
2004-09-18,2250.2493
2004-09-21,2228.8633
2004-09-25,2217.1323
2004-09-28,2221.3516
2004-10-02,2236.896
2004-10-05,2259.541
2004-10-09,2290.5588
2004-10-12,2307.7563
2004-10-16,2301.7917
2004-10-19,2298.6892
2004-10-23,2268.5981
2004-10-26,2247.6653
2004-10-30,2264.7197
2004-11-02,2327.9185
2004-11-06,2473.3853
2004-11-09,2604.8257
2004-11-13,2745.4136
2004-11-16,2828.864
2004-11-20,2941.4863
2004-11-23,3019.3875
2004-11-27,3100.337
2004-11-30,3171.291
2004-12-04,3259.9487
2004-12-07,3278.9475
2004-12-11,3254.0623
2004-12-14,3220.5034
2004-12-18,3232.9592
2004-12-21,3254.4182
2004-12-25,3228.5105
2004-12-28,3211.9707
2005-01-02,3227.8977
2005-01-05,3222.287
2005-01-09,3169.5835
2005-01-12,3111.5103
2005-01-16,3032.4792
2005-01-19,2972.4473
2005-01-23,2890.8738
2005-01-26,2834.1343
2005-01-30,2767.4377
2005-02-02,2713.4502
2005-02-06,2643.5017
2005-02-09,2602.2446
2005-02-13,2572.207
2005-02-16,2549.5837
2005-02-20,2502.3271
2005-02-23,2454.396
2005-02-27,2398.0308
2005-03-02,2361.053
2005-03-06,2296.4158
2005-03-09,2238.6494
2005-03-13,2190.2815
2005-03-16,2182.1462
2005-03-20,2207.4968
2005-03-23,2213.7317
2005-03-27,2239.341
2005-03-30,2299.817
2005-04-03,2417.0874
2005-04-06,2458.5874
