ID,Country,station,location,lat,lon,rl2,rl5,rl10,rl20,Q10,Q20,Q30,Q50,Q80,Q90
F0036,Uganda,F0036,R.Muzizi,0.05000000074505806,30.649999618530273,45.505863189697266,71.2012710571289,93.42225901285806,104.53275299072266,17.693676567077638,21.087830352783204,23.419723129272462,26.193842887878418,35.679358673095706,44.85979957580568
F0037,Uganda,F0037,R.Aswa-ii,2.950000047683716,32.54999923706055,188.34580993652344,326.7757263183594,446.4877624511719,506.3437805175781,65.08486328125,83.04228515624999,93.56204605102539,140.12010192871094,247.73993835449218,293.1194274902344
F0038,Uganda,F0038,R.Mitano,-0.75,29.75,796.5535278320312,1270.7103271484375,1680.7537841796875,1885.7755126953125,196.55423889160159,205.59066467285157,217.77443084716796,241.80035400390625,449.8921875000001,562.8322631835938
F0039,Uganda,F0039,R.Mayanja,0.6499999761581421,32.150001525878906,86.3653335571289,115.61201477050781,140.90408833821616,153.5501251220703,44.348541259765625,50.22371978759766,55.78011093139648,63.97589874267578,80.3163818359375,84.30837783813476
F0041,Uganda,F0041,R.Nkusi,1.149999976158142,30.950000762939453,49.08603286743164,59.466949462890625,68.44420878092448,72.9328384399414,31.167499160766603,34.931400299072266,37.14670333862304,40.24383354187012,48.848873138427734,50.946969985961914
F0042,Uganda,F0042,R.PageratKitgum,3.1500000953674316,33.75,145.8228759765625,244.4228057861328,329.69049580891925,372.3243408203125,72.39934844970703,84.10645751953126,106.58598175048829,130.06544494628906,184.71700439453127,207.18477630615237
F0031,Kenya,F0031,R.Sio,0.15000000596046448,34.04999923706055,1612.5682373046875,1951.601318359375,2244.7919108072915,2391.38720703125,1158.980712890625,1172.3302001953125,1235.0752685546877,1466.1400146484375,1965.0723388671875,1995.494091796875
UGGVS1,Uganda,UGGVS1,,0.8500000238418579,32.75,109.88636016845703,151.3385772705078,187.1858164469401,205.10943603515625,59.12711791992187,63.61980972290039,67.04516067504883,85.8661880493164,112.66557312011719,128.10748138427738
UGGVS2,Uganda,UGGVS2,,1.25,32.95000076293945,3662.697021484375,4693.96630859375,5585.792154947917,6031.705078125,2332.3305419921876,2405.995458984375,2663.3371337890626,3092.814208984375,3559.438818359375,3629.6371337890623
UGGVS3,Uganda,UGGVS3,,1.350000023841858,33.349998474121094,1621.21484375,2132.3564453125,2574.3839518229165,2795.397705078125,1042.7001953125,1091.7297119140626,1277.0992797851563,1447.3904418945312,1919.958447265625,2102.8654785156255
UGGVS4,Uganda,UGGVS4,,2.549999952316284,32.95000076293945,81.16942596435547,167.090576171875,241.39383951822916,278.54547119140625,22.715382385253907,25.108631896972657,29.491257667541504,47.719221115112305,107.84588470458986,204.09741668701173
UGGVS5,Uganda,UGGVS5,,0.05000000074505806,30.25,530.6730346679688,611.0307006835938,680.5227661132812,715.268798828125,384.14195556640624,417.4881103515625,436.0601440429688,470.7621765136719,500.9741577148438,509.5974822998047
UGGVS6,Uganda,UGGVS6,,-0.15000000596046448,30.049999237060547,436.3359680175781,503.67724609375,561.9129638671875,591.0308227539062,327.26141967773435,373.6010498046875,381.5308898925781,410.4495544433594,442.96181030273436,457.6286804199219
UGGVS7,Uganda,UGGVS7,,1.0499999523162842,30.25,4057.960205078125,4449.03076171875,4787.222819010417,4956.31884765625,3290.1470703125,3545.8513671875,3609.2596923828123,3830.943115234375,4043.2310546875,4234.920996093751
KEGVS1,Kenya,KEGVS1,,2.950000047683716,40.45000076293945,151.98130798339844,277.656982421875,386.33935546875,440.6805419921875,46.31360206604004,69.02815399169921,89.22341766357421,113.58071517944336,275.57214660644536,310.92822875976566
KEGVS2,Kenya,KEGVS2,,2.549999952316284,38.849998474121094,71.55390167236328,178.3694610595703,270.74188741048175,316.9281005859375,8.94661226272583,13.894911575317384,18.998677253723145,26.914319038391113,90.58927917480469,222.46160430908202
KEGVS3,Kenya,KEGVS3,,1.649999976158142,37.45000076293945,164.21823120117188,266.4931640625,354.9389444986979,399.1618347167969,75.56867675781251,99.40005645751953,117.95660247802735,143.35330963134766,188.86345520019532,198.95728149414063
KEGVS4,Kenya,KEGVS4,,1.5499999523162842,36.25,136.27734375,243.58209228515625,336.37758382161456,382.77532958984375,51.87844047546387,64.92393035888672,87.1748016357422,103.40885162353516,180.69079895019536,276.36511535644536
KEGVS5,Kenya,KEGVS5,,1.850000023841858,35.45000076293945,2647.745849609375,2971.138427734375,3250.8033040364585,3390.6357421875,1768.068310546875,2069.573876953125,2263.567333984375,2415.76220703125,2859.12880859375,2981.8701904296877
KEGVS6,Kenya,KEGVS6,,1.649999976158142,35.75,1488.4034423828125,1717.2178955078125,1915.0929768880208,2014.030517578125,1045.0620483398438,1160.6310546875,1284.6745727539062,1386.7744140625,1668.6389648437498,1738.5099487304688
KEGVS7,Kenya,KEGVS7,,2.6500000953674316,35.349998474121094,2652.1455078125,3006.2724609375,3312.51611328125,3465.637939453125,1968.2578125,2095.047607421875,2226.06611328125,2622.0133056640625,3062.143212890625,3144.030419921875
KEGVS8,Kenya,KEGVS8,,4.949999809265137,34.849998474121094,65.21119689941406,140.26820373535156,205.17633565266925,237.63040161132812,1.2180423021316535,11.659601974487305,18.889038372039792,45.12182807922363,101.39078979492187,183.06067810058605
KEGVS9,Kenya,KEGVS9,,-2.3499999046325684,38.75,111.8960952758789,207.66810607910156,290.49025980631507,331.9013366699219,17.310574340820313,33.96463241577148,42.654248809814455,64.86813163757324,135.2864730834961,199.82846221923842
KEGVS10,Kenya,KEGVS10,,-3.450000047683716,39.150001525878906,30.87397575378418,59.438629150390625,84.14089965820312,96.49203491210938,6.584421062469482,9.465450096130372,10.130452156066895,17.57459783554077,31.53585891723633,67.79825401306158
KEGVS11,Kenya,KEGVS11,,-3.049999952316284,39.25,845.9244995117188,1176.8984375,1463.11962890625,1606.230224609375,337.03868713378904,477.135400390625,556.0009033203125,745.874267578125,1008.6831665039064,1382.4960327148444
KEGVS12,Kenya,KEGVS12,,-0.15000000596046448,39.150001525878906,1111.0975341796875,1669.3162841796875,2152.0552978515625,2393.4248046875,512.6531494140626,584.9178100585938,716.013037109375,1081.9990539550781,1673.7941650390626,1832.870935058594
KEGVS13,Kenya,KEGVS13,,-1.649999976158142,41.150001525878906,21.200122833251953,50.988067626953125,76.7482198079427,89.6282958984375,1.6339879155158998,2.347011661529541,2.9144871711730955,4.588977098464966,24.54676551818848,28.108644485473633
KEGVS14,Kenya,KEGVS14,,0.15000000596046448,40.25,697.4329833984375,1082.808349609375,1416.074951171875,1582.708251953125,373.076123046875,433.9884948730469,473.01101379394527,704.9923706054688,998.0969482421876,1243.6036010742191
