County,sub_county,ward,Location,Sub_Location,other,scene,deaths,missing,injured,hh.destroyed,hh.damaged,hh.affected,hh.displaced,hh.evacuated,p.affected,p.displaced,p.evacuted,services.disrupted,roads,lost.livestock,bridge,schools,latrine,wall,hospitals,drainage,inst.church.mosque,health_center,acreage.crops.destroyed,cholera_outbreak,cholera.cases,situation,data_source,dref no,glidenumber,Date,flood
Bungoma,,,,,,,3,,,,,16,,,,,,railway,1,,,,,,,,,,,,,heavy rainfall that causes mudslides and swept way railway and houses.,disinventer,,,26/04/2013,1
Bungoma,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,he was crossing the river chwele when he was swept away,disinventer,,,27/04/2013,1
Bungoma,,,,,Mt.egon,Mt.egon,5,1,0,,,,,,,,,,,,,,,,,,,,,,,"at 0720hrs kemboi (county manager) reported a floods case in mt.elgon region. mud slide hit a home in chesikaki ward, kaptoboi village; 4 men and one girl child we reported to have been buried alive. in another area a rock fall was reported but no one was injured. a young boy from chesiywo village as swept away. krcs mt.elgon is closely monitoring the area. (brief; 6 fatalities)",eoc,,,10/11/2015,1
Bungoma,Mt. Elgon,,,Mt. Elgon,,Mt. Elgon,0,0,0,,,,,,,,,,,,,,,,,,,,,,,"at 0840hrs kemboi (county manager) reported a floods case in mt.elgon region. he reported that the area has continued experiencing heavy rainfall; the rains have caused mudslides in chesiywo, chemoge, kamenjo villages. no injuries were reported.  krcs and the county government have advised the residents in low grounds to move to upper and safer grounds.",eoc,,,11/11/2015,1
Bungoma,,,,,Sambocho,Sambocho,0,0,0,,,,16,,,,,bridge swept,,,1,,,,,,,,,,,"following heavy rainfall in mt elgon, flooding was reported resulting in displacement of 16 households displaced in sambocho village. in another incident, a bridge connecting kimukung and milimani villages was swept away, disrupting transport between the areas. the levels of water are steadily increasing indicating a possibility of further displacement and/or destruction.",eoc,,,19/11/2015,1
Bungoma,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,disinventer,,,27/11/2015,1
Bungoma,,,,,Busia,Busia,0,0,0,,,3,50,,,,,,,,,,,,,,,,,,,"at, 0820hrs phillip (krcs busia) reported of cases caused by floods in the county. significant amounts of rainfall were received in the county. flash floods were reported in busende, matayos sub-county and approximately 50 households have been reported to be displaced .in samia, rwambwa village, and 3 households were affected. a team has been sent to the scene to conduct an assessment.",eoc,,,14/12/2015,1
Bungoma,,,,,Bungoma,Bungoma,0,0,0,,,3,,,,,,,,,,,,,,,,,,,,"at 0906hrs, wekola (krcs bungoma) reported of a floods incident in bungoma county. following yesterday’s evening downpour in bungoma north (tongaren) 3 households were reported to be affected when river nzoia broke its banks .other areas remain wet and in mt.elgon the rains are currently on going.",eoc,,,14/12/2015,1
Bungoma,Sirisia,,Sirisia,,,Sirisia,0,0,0,,,50,,,,,,,,,,,,,,,,,,,,"at 1232hrs wekola (krcs bungoma) reported of cases that were as a result of heavy rainfall last evening.  most parts of the county received rainfall above average, in sirisia sub-county approximately 50hhs were affected these include schools and residential houses. assessment was carried out today later which a detailed report will be shared. (brief; 50hhs)",eoc,,,11/04/2016,1
Bungoma,,,,,Bukembe,Bukembe,0,0,1,,,,,,,,,,,,,,,,,,,,,,,"heavy rainfall and strong winds are  being experienced in bungoma. a tree fall on a house as a result of strong winds in an area called bukembe. krcs team responded and reported that on one was injured.

",eoc,,,13/04/2016,1
Bungoma,Bumula,Bumula,Bumula,,,Bumula,0,0,0,7,,,,,,,,bridge cut off,,,1,,,,,,,,,,,"wekola (krcs bungoma) at 1430 hrs reported of floods that rendered 7 families homeless.  a connecting bridge at bumula area was cut off as a result of the heavy downpour. krcs bungoma response teams on ground conducting an assessment. (brief: 7 hh, 1 bridge)",eoc,,,08/05/2016,1
Bungoma,,,,,Mt Elgon,Mt Elgon,0,0,0,,,,,,,,,,,,,,,,,,,,,,,"james (0710908681) reported flood in mt. elgon at kaptenga, kapunda, kasmende and kapsokwony areas after heavy downpour. river terem, river kamukuiywa and river rwahaha water level rose high and most bridges were overtopped by water and also most murram roads washed away by flood water. bungoma rcat will share a report after conducting assessment in the affected areas.",eoc,,,22/05/2017,1
Bungoma,Bumula,Bumula,Bumula,,,Bumula,0,0,0,,,,,,,,,,,,,,,,,,,,,,,christine reported to e.o.c at 2001hrs of a flash floods that occurred yesterday night in bumula sub-county due to blockage of drainage in kikwechi c area. e.o.c advised the area people to move to the upper area so as to avoid the effect of flood.,eoc,,,19/03/2018,1
Bungoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,flash floods occurred yesterday night in bumula sub-county due to blockage of drainage in kikwechi c area.,disinventer,,,19/03/2018,1
