serial,admin_level_0_code,admin_level_1_code,admin_level_2_code,admin_level_0_name,admin_level_1_name,admin_level_2_name,event,location,year,month,day,deaths,injured,missing,affected,houses_destroyed,houses_damaged,others,sources,losses $loc,losses $usd,date,health,education,agriculture,industry,aqueduct,sewerage,energy,communication,cause,damaged roads,magnitude,damaged hospitals,damaged education centers,damage in crops Ha.,lost cattle,evacuated,relocated,latitude,longitude,comments
6,43.0,,,TURKANA,,,FLOOD,"Lodwar, Kanamkemer trading center",2011,2,24,0,1,0,0,0,0,,KPR,0,0,,0,0,0,0,0,0,0,0,El Niño,0,,0,0,0.0,0,0,0,0.0,0.0,
7,15.0,,,KIRINYAGA,,,FLOOD,at Riagicheru sub location,2011,11,15,1,0,0,0,0,0,,KPR,0,0,,0,0,0,0,0,0,0,0,Error,0,,0,0,0.0,0,0,0,0.0,0.0,
8,4.0,,,BUSIA,,,FLOOD,Ekisumu Primary School,2011,3,26,2,6,0,0,0,0,,KPR,0,0,,0,0,0,0,0,0,0,0,El Niño,0,,0,0,0.0,0,0,0,0.0,0.0,
9,31.0,,,NAKURU,,,FLOOD,Kiambogo trading centre,2011,3,20,1,0,0,0,0,0,,KPR,0,0,,0,0,0,0,0,0,0,0,Flood,0,,0,0,0.0,0,0,0,0.0,0.0,
10,10.0,,,KAKAMEGA,,,THUNDERSTORM,Shiunzu village,2011,6,26,1,1,0,0,0,0,,KPR,0,0,,0,0,0,0,0,0,0,0,Rain,0,,0,0,0.0,0,0,0,0.0,0.0,
11,10.0,,,KAKAMEGA,,,THUNDERSTORM,Chochoro Location,2011,6,29,1,0,0,0,0,0,,KPR,0,0,,0,0,0,0,0,0,0,0,Rain,0,,0,0,0.0,0,0,0,0.0,0.0,
12,35.0,,,NYANDARUA,,,THUNDERSTORM,Nauratia,2011,6,30,1,0,3,0,0,0,,KPR,0,0,,0,0,0,0,0,0,0,0,Rain,0,,0,0,0.0,0,0,0,0.0,0.0,
6957,16.0,,,KISII,,,ROAD ACCIDENT,kisii town,2015,5,14,2,0,0,0,0,0,,KP,0,0,2016-03-24,0,0,0,0,0,0,0,0,H. Behaviour,-1,,0,0,0.0,0,0,0,-0.673583726682476,34.7772216796875,lost control.
6958,13.0,,,KIAMBU,,,ROAD ACCIDENT,ruiru ruaka bypass,2015,5,23,2,1,0,0,0,0,,KP,0,0,2016-03-24,0,0,0,0,0,0,0,0,H. Behaviour,-1,,0,0,0.0,0,0,0,-1.19330361390618,36.9305419921875,vehicle and motor cycle accident.
6959,15.0,,,KIRINYAGA,,,ROAD ACCIDENT,embu mwea road,2015,5,24,5,1,0,0,0,0,,KP,0,0,2016-03-24,0,0,0,0,0,0,0,0,H. Behaviour,-1,,0,0,0.0,0,0,0,-0.621402002132571,37.3672485351563,driver lost control of the vehicle and plunged into Nyamindi river.
6960,13.0,,,KIAMBU,,,ROAD ACCIDENT,Kimende,2015,5,27,2,0,0,0,0,0,,KP,0,0,2016-03-24,0,0,0,0,0,0,0,0,H. Behaviour,-1,,0,0,0.0,0,0,0,-1.26401183600112,36.683349609375,vehicle crashed into a motorcyle with passengers on
6961,26.0,,,MERU,,,ROAD ACCIDENT,meru chuka road,2015,5,26,3,13,0,0,0,0,,KP,0,0,2016-03-24,0,0,0,0,0,0,0,0,H. Behaviour,-1,,0,0,0.0,0,0,0,-0.3089889807784231,37.6666259765625,driver lost control of the control
6962,31.0,,,NAKURU,,,ROAD ACCIDENT,Shauri area,2015,5,30,2,6,0,0,0,0,,KP,0,0,2016-03-24,0,0,0,0,0,0,0,0,H. Behaviour,-1,,0,0,0.0,0,0,0,-0.26985068692428,36.0763549804688,careless driving.
6963,18.0,,,KITUI,,,ROAD ACCIDENT,Mwingi - thika road,2015,6,13,2,14,0,0,0,0,,KP,0,0,2016-03-24,0,0,0,0,0,0,0,0,H. Behaviour,-1,,0,0,0.0,0,0,0,-0.907707388901788,38.067626953125,careless driving
120,43.0,,,TURKANA,,,FLOOD,,2009,12,27,5,0,0,0,150,0,,GoK,0,0,,0,0,0,0,0,0,0,0,El Niño,0,,0,0,0.0,0,0,650,0.0,0.0,
6964,31.0,,,NAKURU,,,ROAD ACCIDENT,nakuru eldoret highway,2015,6,13,4,3,0,0,0,0,,KP,0,0,2016-03-24,0,0,0,0,0,0,0,0,H. Behaviour,-1,,0,0,0.0,0,0,0,-0.281304054013629,35.9200277208439,careless driving.
6965,13.0,,,KIAMBU,,,ROAD ACCIDENT,Thika- Nyeri road,2015,6,12,2,9,0,0,0,0,,KP,0,0,2016-03-24,0,0,0,0,0,0,0,0,H. Behaviour,-1,,0,0,0.0,0,0,0,-0.451121437509293,37.056884765625,vehicle was over speeding.
6969,32.0,,,NANDI,,,FIRE,Songor,2015,3,1,0,0,0,0,0,0,,KP,0,0,2016-03-29,0,0,0,0,0,0,0,0,Unknown,0,,0,0,0.0,0,0,0,0.10003713991618801,35.181583625,Property worth ksh 11.7 million was destroyed
7005,30.0,,,NAIROBI,,,FLOOD,Kibera Laini saba,2015,3,24,0,0,0,0,200,0,,KP,0,0,2016-03-29,0,0,0,0,0,0,0,0,Unknown,0,,0,0,0.0,0,0,0,-1.36376224225624,36.82953284375,200 iron houses were destroyed
7006,10.0,,,KAKAMEGA,,,FIRE,Mumias,2015,3,27,2,1,0,0,0,0,,KP,0,0,2016-03-29,-1,0,0,0,0,0,0,0,Unknown,0,,0,0,0.0,0,0,0,0.34448091611837894,34.489444953125,2 died and 1 injured
7007,36.0,,,NYERI,,,FIRE,Mukuruweni,2015,3,27,1,0,0,0,0,0,,KP,0,0,2016-03-29,0,0,0,0,0,0,0,0,Unknown,0,,0,0,0.0,0,0,0,-0.43004910331278895,36.950382453125,1 died
7008,10.0,,,KAKAMEGA,,,FIRE,Ambakaya village,2015,3,27,2,1,0,0,0,0,,KP,0,0,2016-03-29,-1,0,0,0,0,0,0,0,Unknown,0,,0,0,0.0,0,0,0,0.278563925333926,34.76410315625,2 died and 1 injured
7011,13.0,,,KIAMBU,,,FIRE,Nyanduma,2015,3,28,2,0,0,0,0,0,,KP,0,0,2016-03-29,-1,0,0,0,0,0,0,0,Unknown,0,,0,0,0.0,0,0,0,-1.17704065505425,36.8309061347657,2 died and no injuries reported
7012,9.0,,,KAJIADO,,,FIRE,Ongata Rongai,2015,3,28,1,0,0,0,70,0,,KP,0,0,2016-03-29,-1,0,0,0,0,0,0,0,Unknown,0,,0,0,0.0,0,0,0,-1.8552049557726398,36.78009436718751,1 died and 70 iron houses were destroyed
7013,5.0,,,EMBU,,,FIRE,Majimbo,2015,3,29,1,1,0,0,0,0,,KP,0,0,2016-03-29,-1,0,0,0,0,0,0,0,Unknown,0,,0,0,0.0,0,0,0,-0.539908432048059,37.45026038281249,1 died and 1 injured
7014,5.0,,,EMBU,,,FIRE,Majimbo,2015,3,30,1,1,0,0,0,0,,KP,0,0,2016-03-29,-1,0,0,0,0,0,0,0,Unknown,0,,0,0,0.0,0,0,0,-0.534415509397327,37.46124671093751,1 died and 1 injured
7015,30.0,,,NAIROBI,,,FIRE,Ndubuini,2015,4,4,2,0,0,0,0,0,,KP,0,0,2016-03-29,-1,0,0,0,0,0,0,0,Unknown,0,,0,0,0.0,0,0,0,-1.23196015562852,36.8075601875,2 died and no injuries reported
7016,30.0,,,NAIROBI,,,FIRE,Majengo,2015,4,1,1,0,0,0,0,0,,KP,0,0,2016-03-29,-1,0,0,0,0,0,0,0,Unknown,0,,0,0,0.0,0,0,0,-1.23196015562852,36.8515055,1 died and no injuries reported
15,44.0,,,UASIN-GISHU,,,THUNDERSTORM,"Kiptagat, Macheiwa village",2011,7,1,8,0,0,0,0,0,,KPR,0,0,,0,0,-1,0,0,0,0,0,Rain,0,,0,0,0.0,2,0,0,0.0,0.0,
7017,30.0,,,NAIROBI,,,FIRE,Muthithi,2015,4,3,1,0,0,0,0,0,,KP,0,0,2016-03-29,-1,0,0,0,0,0,0,0,Other cause,0,,0,0,0.0,0,0,0,-1.23196015562852,36.87347815625,Fire caused by a tin lamp and 1 person died
7018,20.0,,,LAIKIPIA,,,FIRE,Jua Kali,2015,4,20,1,0,0,0,0,0,,KP,0,0,2016-03-29,-1,0,0,0,0,0,0,0,Unknown,0,,0,0,0.0,0,0,0,-0.17599402664144698,36.892017584960996,1 died and property worth 200000 was destroyed
7019,30.0,,,NAIROBI,,,FIRE,Kawangware,2015,4,16,0,2,0,0,200,0,,KP,0,0,2016-03-29,-1,0,0,0,0,0,0,0,Unknown,0,,0,0,0.0,0,0,0,-1.38572857380131,36.8515055,2 died and 200 iron houses were destroyed
7020,30.0,,,NAIROBI,,,FIRE,Lunga lunga slums,2015,4,23,0,0,0,0,30,0,,KP,0,0,2016-03-29,0,0,0,0,0,0,0,0,Unknown,0,,0,0,0.0,0,0,0,-1.29786205758431,36.82953284375,30 iron sheet structures were destroyed
7021,30.0,,,NAIROBI,,,FIRE,Industrial area,2015,4,22,0,3,0,0,0,0,,KP,0,0,2016-03-29,-1,0,0,-1,0,0,0,0,Unknown,0,,0,0,0.0,0,0,0,-1.34179571022037,36.8515055,3 injured and property worth 1.5 million was destroyed
7022,30.0,,,NAIROBI,,,FIRE,Muthagari,2015,4,21,2,0,0,0,0,0,,KP,0,0,2016-03-29,-1,0,0,0,0,0,0,0,Unknown,0,,0,0,0.0,0,0,0,-1.3198289809206798,36.91742346875,2 died
7023,13.0,,,KIAMBU,,,FIRE,Kiracha,2015,4,22,0,0,0,0,0,0,,KP,0,0,2016-03-29,0,0,0,0,0,0,0,0,Unknown,0,,0,0,0.0,0,0,0,-1.17704065505425,36.8363992988282,Property worth 1 millions was destroyed
7024,18.0,,,KITUI,,,FIRE,Majengo,2015,4,28,0,0,0,0,0,0,,KP,0,0,2016-03-29,0,0,0,0,0,0,0,0,Arson,0,,0,0,0.0,0,0,0,-1.34179571022037,37.97211096875,Property worth ksh 500000
7025,1.0,,,BARINGO,,,FIRE,Kapkuikui,2015,4,12,2,0,0,0,0,0,,KP,0,0,2016-03-29,-1,0,0,0,0,0,0,0,Unknown,0,,0,0,0.0,0,0,0,0.652086101301801,36.13190100781249,2 died and no injuries reported
7026,13.0,,,KIAMBU,,,ROAD ACCIDENT,Eastern bypass,2016,5,18,4,0,0,0,0,0,,KP,0,0,2016-05-18,0,0,0,0,0,0,0,0,H. Behaviour,-1,,0,0,0.0,0,0,0,-1.16159434846126,36.9472067176514,vehicle carrying four passengers was involved in a road accident.
7028,30.0,,,NAIROBI,,,FLOOD,Kawangware,2013,3,13,1,0,0,0,0,0,,KP,0,0,2016-05-18,-1,0,0,0,0,0,0,0,Rain,0,,0,0,0.0,0,0,0,-1.28172998,36.75056861,The deceased swept away down Nairobi river. Body was retrieved and taken to Chiromo mortuary.
7029,30.0,,,NAIROBI,,,FLOOD,Ngoro,2013,3,13,4,0,1,0,0,0,,KP,0,0,2016-05-18,-1,0,0,0,0,0,0,0,Rain,0,,0,0,0.0,0,0,0,-1.2909973547592,36.8211214362793,four people were swept away by floods.
7032,30.0,,,NAIROBI,,,FLOOD,NAIROBI CBD,2013,3,13,0,2,0,0,0,0,,KP,0,0,2016-05-18,-1,0,0,0,0,0,0,0,Rain,0,,0,0,0.0,0,0,0,-1.26903018164733,36.8226663886719,
7033,9.0,,,KAJIADO,,,FLOOD,ngong,2013,3,13,1,0,0,0,0,0,,KP,0,0,2016-05-18,-1,0,0,0,0,0,0,0,Rain,0,,0,0,0.0,0,0,0,-1.81265474133652,36.7897074042969,One person drowned due to heavy downpour.
7034,9.0,,,KAJIADO,,,FLOOD,Ole polos river,2013,4,1,1,0,0,0,0,0,,KP,0,0,2016-05-18,-1,0,0,0,0,0,0,0,Rain,0,,0,0,0.0,0,0,0,-1.83530256209543,36.793827277343794,One person was swept away by floods about 500 meters away.
7035,33.0,,,NAROK,,,FLOOD,Ololunga,2013,4,13,10,0,2,0,0,0,,KP,0,0,2016-05-18,-1,0,0,0,0,0,0,0,Rain,0,,0,0,0.0,0,0,0,-1.0095297109243,35.68146155468751,Need for an equipped search and rescue
7036,33.0,,,NAROK,,,FLOOD,Naikara,2013,4,13,1,0,0,0,0,0,,KP,0,0,2016-05-18,-1,0,0,0,0,0,0,0,Rain,0,,0,0,0.0,0,0,0,-1.0857346161892,35.877498847168,Two pupils were swept away.
7037,33.0,,,NAROK,,,FLOOD,Masurura,2013,4,4,1,0,0,0,0,0,,KP,0,0,2016-05-18,-1,0,0,0,0,0,0,0,Rain,0,,0,0,0.0,0,0,0,0.0,0.0,The two was swept away by floods and one person was rescued.
7038,33.0,,,NAROK,,,FLOOD,Doroboni,2013,4,2,4,0,0,0,0,0,,KP,0,0,2016-05-18,-1,0,0,0,0,0,0,0,Rain,0,,0,0,0.0,0,0,0,0.0,0.0,Six people were swept away by flash floods and two were rescued.
7040,33.0,,,NAROK,,,FLOOD,Mulot,2013,4,7,1,0,0,0,0,0,,KP,0,0,2016-05-18,-1,0,0,0,0,0,0,0,Rain,0,,0,0,0.0,0,0,0,0.0,0.0,The victim was trying to cross when he was swept by floods.
19,45.0,,,VIHIGA,,,SUBSIDENCE,at isaku village in masana location,2011,11,22,1,1,0,0,0,0,,KPR,0,0,,0,0,0,0,0,0,0,0,H. Behaviour,0,,0,0,0.0,0,0,0,0.0,0.0,
6815,30.0,,,NAIROBI,,,FLOOD,Industrial area,2015,10,15,0,0,0,0,0,0,,KP,0,0,2016-03-17,0,-1,0,0,0,-1,0,0,Rain,0,,0,0,0.0,0,0,0,-1.29464575338323,36.8206787109375,Over 1500 students sent home.
6816,27.0,,,MIGORI,,,FLOOD,Nyatike area,2015,10,15,0,0,0,0,0,0,,KP,0,0,2016-03-17,0,-1,0,0,0,0,0,0,Rain,0,,0,0,0.0,0,0,0,-1.09032725314559,34.47509765625,"Over  300 people displaced, 6 schools destroyed."
6817,14.0,,,KILIFI,,,FLOOD,Ngomeni village,2015,10,30,0,0,0,0,0,0,,KP,0,0,2016-03-17,0,-1,0,0,0,0,0,0,Rain,-1,,0,0,0.0,0,0,0,-3.53672282194932,39.9078369140625,Wall constructed along the shores collapsed under powerful waves. 18 families have been rendered homeless.
6945,10.0,,,KAKAMEGA,,,EPIDEMIC,Kakamega Central,2015,8,23,0,0,0,4,0,0,,Ministry of Health,0,0,2016-05-27,-1,0,0,0,0,0,0,0,Other cause,0,,0,0,0.0,0,0,0,0.278563925333926,34.753116828125,
6819,1.0,,,BARINGO,,,FLOOD,Mogotio Area,2015,10,15,0,0,0,0,0,0,,KP,0,0,2016-03-17,0,0,0,0,0,0,0,0,Rain,0,,0,0,0.0,0,0,0,-0.0346755960277519,35.9664916992188,"14 families affected,1 church and several houses roof blown off."
6820,25.0,,,MARSABIT,,,FLOOD,Maikona in North Horr,2015,11,15,0,0,0,0,0,0,,KP,0,0,2016-03-17,0,0,-1,0,0,0,0,0,Rain,0,,0,0,0.0,400,0,0,3.32023841295763,37.069330215454094,Over 400 hundred goats and sheep drowned in the floods.
6821,33.0,,,NAROK,,,FLOOD,Talek village,2015,11,15,3,0,0,0,0,0,,15,0,0,2016-03-17,-1,0,-1,0,0,0,0,0,Rain,0,,0,0,0.0,316,0,0,-1.436998373054,35.211181640625,Over 300 sheep and 16 cattle were swept away while roofs of 10 houses were ripped off.
6822,11.0,,,KEIYO-MARAKWET,,,FLOOD,Kapsowar Anin and Aror,2016,3,17,0,0,0,0,0,0,,KP,0,0,2016-03-17,-1,-1,-1,0,0,0,0,0,Landslide,-1,,0,0,0.0,0,0,0,0.631357767011215,35.5078125,"Road blocked, school blocked with mud , 6 houses destroyed."
6823,29.0,,,MURANGA,,,FLOOD,Ngaira,2015,11,3,0,0,0,0,0,0,,KP,0,0,2016-03-17,0,0,0,0,0,0,0,0,Rain,0,,0,0,0.0,0,0,0,-0.8256626450056851,37.231292724609396,School roof and 200 corrugated sheets were blown off.
6824,28.0,,,MOMBASA,,,FLOOD,Kisauni,2015,11,5,0,0,0,0,0,0,,KP,0,0,2016-03-17,0,0,0,0,0,0,0,0,Rain,-1,,0,0,0.0,0,0,0,-4.05913836987826,39.66751098632809,Several houses were marooned and roads flooded causing a lot of traffic.
6825,43.0,,,TURKANA,,,FLOOD,Kerio Valley,2015,11,5,0,0,0,0,0,0,,KP,0,0,2016-03-17,0,0,0,0,0,0,0,0,Rain,0,,0,0,0.0,0,0,0,3.00201296817235,36.068115234375,The houses were marooned by floods.
6826,6.0,,,GARISSA,,,FLOOD,River Tana,2015,11,7,0,0,0,0,0,0,,KP,0,0,2016-03-17,-1,0,0,0,0,0,0,0,Rain,0,,0,0,0.0,0,0,0,-0.46279403988083706,39.6331787109375,302 people were displaced
6827,42.0,,,TRANS-NZOIA,,,FLOOD,Kaptrit,2015,4,11,0,0,0,0,0,0,,KP,0,0,2016-03-17,0,0,-1,0,0,0,0,0,El Niño,0,,0,0,0.0,0,0,0,1.01858495344661,35.00106811523441,two acres of land with beans plantation were affected.
6833,1.0,,,BARINGO,,,FLOOD,Maregut sublocation,2015,11,15,1,0,0,0,0,0,,KP,0,0,2016-03-21,-1,0,0,0,0,0,0,0,Rain,0,,0,0,0.0,0,0,0,0.615009511286478,36.063236457031294,Drowned by river kisokop when trying to cross.
6834,23.0,,,MAKUENI,,,FLOOD,Mbooni,2015,11,24,1,0,0,0,0,2,,KP,0,0,2016-03-21,-1,0,0,0,0,0,0,0,Rain,0,,0,0,0.0,0,0,0,-1.79755603654723,37.63702796093751,Two houses swept away in Matithini village. One mentally challenged man drowned in a sand dan in Muisho river
6835,33.0,,,NAROK,,,FLOOD,Kapure,2015,11,23,0,0,0,0,0,0,,KP,0,0,2016-03-21,-1,0,0,0,0,0,0,0,Rain,0,,0,0,0.0,0,0,0,-0.61955522730373,35.59906409375,one person dead
19885,22.0,,,MACHAKOS,,,FLOOD,Syanthi village,2014,2,5,2,0,0,0,0,0,,KP,0,0,2016-06-17,-1,0,0,0,0,0,0,0,Drowning,0,,0,0,0.0,0,0,0,-1.5175221720725802,37.27447913281249,Drowned while swimming in an overflown dam
19886,22.0,,,MACHAKOS,,,FLOOD,Iviane river dam,2014,4,20,2,0,0,0,0,0,,KP,0,0,2016-06-17,-1,0,0,0,0,0,0,0,Drowning,0,,0,0,0.0,0,0,0,-1.5230134025535602,37.257999640625,second person drowned while trying to save a child
19887,31.0,,,NAKURU,,,FLOOD,Mbaruti location,2014,5,23,2,0,0,0,0,0,,KP,0,0,2016-06-17,-1,0,0,0,0,0,0,0,Drowning,0,,0,0,0.0,0,0,0,-0.33117434409486307,36.060489875,Two men drowned
24373,36.0,,,NYERI,,,DROWNING,Kabuta,2016,11,22,1,0,0,0,0,0,,kp,0,0,2016-12-06,-1,0,0,0,-1,0,0,0,H. Behaviour,0,,0,0,0.0,0,0,0,0.0,0.0,Case pending under investigation
24374,42.0,,,TRANS-NZOIA,,,ROAD ACCIDENT,Kilgoris,2016,12,25,1,0,0,0,0,0,,kp,0,0,2016-12-06,-1,0,0,0,0,0,0,0,H. Behaviour,-1,,0,0,0.0,0,0,0,0.0,0.0,Case pending under investigation
6841,18.0,,,KITUI,,,FLOOD,Manoni,2015,11,21,1,0,0,0,0,0,,KP,0,0,2016-03-21,0,0,0,0,0,0,0,0,Rain,0,,0,0,0.0,0,0,0,0.0,0.0,one person reported dead and body not yet traced
6843,23.0,,,MAKUENI,,,FLOOD,Mukaa sub county,2015,11,20,0,0,0,0,2,0,,KP,0,0,2016-03-21,-1,0,0,0,0,0,0,0,Rain,-1,,0,0,0.0,0,0,0,-1.8488154322122,37.3095703125,the flash floods destroyed a bridge and a two roomed house.
6845,47.0,,,WEST POKOT,,,FLOOD,West pokot,2015,11,15,0,0,0,200,0,0,,KP,0,0,2016-03-22,-1,0,-1,0,0,0,0,0,Rain,-1,,0,0,0.0,0,0,0,2.36344993905241,35.123291015625,Over 200 families have been displaced.
6846,13.0,,,KIAMBU,,,FLOOD,Mwiki and Kiuu,2015,11,15,0,0,0,0,0,0,,KP,0,0,2016-03-22,-1,0,0,0,0,0,0,0,Rain,0,,0,0,0.0,0,0,0,-1.18128989741489,36.8344116210938,More than 100 families have been displaced
6847,20.0,,,LAIKIPIA,,,FLOOD,Loisukut,2015,11,20,2,0,0,0,0,0,,KP,0,0,2016-03-22,0,0,0,0,0,0,0,0,Drowning,0,,0,0,0.0,0,0,0,1.99224369283807,36.0186767578125,2 people were reported dead.
6848,33.0,,,NAROK,,,FLOOD,Lesuswa,2015,11,19,1,2,0,0,0,0,,KP,0,0,2016-03-22,0,0,-1,0,0,0,0,0,Rain,0,,0,0,0.0,0,0,0,-1.10817675069774,35.892333984375,One person was reported dead and two injured.
6849,10.0,,,KAKAMEGA,,,FLOOD,Kakamega,2015,11,19,1,0,0,0,1,0,,KP,0,0,2016-03-22,0,-1,0,0,0,0,0,0,Rain,0,,0,0,0.0,0,0,0,0.289763169101071,34.7442626953125,One person was reported dead.
