date,year,month,district,DMP
2012-02-01,2012,2,KAPCHORWA,4377
2012-02-01,2012,2,OYAM,7882
2012-02-01,2012,2,MUKONO,21268
2012-02-01,2012,2,TORORO,6732
2012-02-01,2012,2,WAKISO,18430
2012-02-01,2012,2,BUIKWE,15680
2012-02-01,2012,2,KANUNGU,14426
2012-02-01,2012,2,MPIGI,14588
2012-02-01,2012,2,NTOROKO,5672
2012-02-01,2012,2,NAKAPIRIPIRIT,13950
2012-02-01,2012,2,GULU,5090
2012-02-01,2012,2,MUBENDE,35929
2012-02-01,2012,2,KOLE,4075
2012-02-01,2012,2,IGANGA,6461
2012-02-01,2012,2,KOTIDO,7546
2012-02-01,2012,2,BUTEBO,1516
2012-02-01,2012,2,NAKASEKE,21965
2012-02-01,2012,2,ADJUMANI,6621
2012-02-01,2012,2,BUKOMANSIMBI,5933
2012-02-01,2012,2,MITOOMA,9357
2012-02-01,2012,2,AMURIA,8720
2012-02-01,2012,2,ZOMBO,5275
2012-02-01,2012,2,KITGUM,10536
2012-02-01,2012,2,KAKUMIRO,10635
2012-02-01,2012,2,BUTALEJA,4428
2012-02-01,2012,2,BUDAKA,1828
2012-02-01,2012,2,BUHWEJU,10597
2012-02-01,2012,2,KALANGALA,5269
2012-02-01,2012,2,KWEEN,4795
2012-03-01,2012,3,BUNDIBUGYO,11840
2012-03-01,2012,3,NAKASEKE,22794
2012-03-01,2012,3,GULU,5151
2012-03-01,2012,3,KATAKWI,5944
2012-03-01,2012,3,MUBENDE,35846
2012-03-01,2012,3,BUIKWE,17587
2012-03-01,2012,3,KIBOGA,12041
2012-03-01,2012,3,KALIRO,3308
2012-03-01,2012,3,LYANTONDE,6600
2012-03-01,2012,3,NAKAPIRIPIRIT,11444
2012-03-01,2012,3,ZOMBO,5524
2012-03-01,2012,3,AMURU,9245
2012-03-01,2012,3,NAMUTUMBA,4271
2012-03-01,2012,3,NWOYA,14723
2012-03-01,2012,3,BUGIRI,8109
2012-03-01,2012,3,BUKWO,5659
2012-03-01,2012,3,OYAM,6837
2012-03-01,2012,3,GOMBA,16748
2012-03-01,2012,3,BUNYANGABU,4560
2012-03-01,2012,3,RUKUNGIRI,18281
2012-03-01,2012,3,MUKONO,23691
2012-03-01,2012,3,PALLISA,2905
2012-03-01,2012,3,KOBOKO,2465
2012-03-01,2012,3,NAKASONGOLA,16317
2012-03-01,2012,3,AMURIA,6950
2012-03-01,2012,3,LUWERO,19062
2012-03-01,2012,3,AMOLATAR,4093
2012-03-01,2012,3,WAKISO,19859
2012-03-01,2012,3,KANUNGU,14645
2012-03-01,2012,3,PAKWACH,1663
2012-03-01,2012,3,MASINDI,18984
2012-03-01,2012,3,OTUKE,4238
2012-03-01,2012,3,AMUDAT,4968
2012-03-01,2012,3,NAMAYINGO,4017
2012-03-01,2012,3,MASAKA,13227
2012-03-01,2012,3,MAYUGE,10808
2012-03-01,2012,3,MARACHA,1091
2012-03-01,2012,3,KAMWENGE,23032
2012-03-01,2012,3,RUKIGA,4844
2012-03-01,2012,3,MPIGI,16023
2012-03-01,2012,3,LWENGO,10450
2012-03-01,2012,3,MBARARA,16929
2012-03-01,2012,3,KIBUKU,2080
2012-03-01,2012,3,KABERAMAIDO,4323
2012-03-01,2012,3,HOIMA,23305
2012-03-01,2012,3,BULAMBULI,4020
2012-03-01,2012,3,BUDUDA,3944
2012-03-01,2012,3,KAYUNGA,10399
2012-03-01,2012,3,KAKUMIRO,11236
2012-03-01,2012,3,KALANGALA,4702
2012-03-01,2012,3,KASESE,27262
2012-03-01,2012,3,RUBANDA,9245
2012-03-01,2012,3,KIBAALE,11647
2012-03-01,2012,3,KAMULI,8762
2012-03-01,2012,3,MOROTO,9460
2012-03-01,2012,3,IGANGA,6817
2012-03-01,2012,3,BUKEDEA,4121
2012-03-01,2012,3,KAGADI,9685
2012-03-01,2012,3,NAMISINDWA,2915
2012-03-01,2012,3,BUKOMANSIMBI,6443
2012-03-01,2012,3,MITOOMA,9734
2012-03-01,2012,3,RAKAI,26907
2012-03-01,2012,3,KALUNGU,8473
2012-03-01,2012,3,BUDAKA,1667
2012-03-01,2012,3,BULIISA,5675
2012-03-01,2012,3,MITYANA,16823
2012-03-01,2012,3,PADER,8743
2012-03-01,2012,3,KAPCHORWA,3796
2012-03-01,2012,3,BUYENDE,5112
2012-03-01,2012,3,DOKOLO,3147
2012-03-01,2012,3,BUHWEJU,10476
2012-03-01,2012,3,MOYO,2742
2012-03-01,2012,3,ISINGIRO,27181
2012-03-01,2012,3,APAC,10377
2012-03-01,2012,3,MBALE,3427
2012-03-01,2012,3,MANAFWA,1273
2012-03-01,2012,3,RUBIRIZI,10659
2012-03-01,2012,3,KIRUHURA,34615
2012-03-01,2012,3,YUMBE,4842
2012-03-01,2012,3,NGORA,2305
2012-03-01,2012,3,ADJUMANI,7656
2012-03-01,2012,3,NAPAK,7701
2012-03-01,2012,3,KWEEN,3816
2012-03-01,2012,3,BUSHENYI,10775
2012-03-01,2012,3,BUTALEJA,4187
2012-03-01,2012,3,LAMWO,9307
2012-03-01,2012,3,KITGUM,8767
2012-03-01,2012,3,KAMPALA,853
2012-03-01,2012,3,KUMI,3763
2012-03-01,2012,3,KISORO,11232
2012-03-01,2012,3,KYOTARA,9084
2012-03-01,2012,3,AGAGO,9080
2012-03-01,2012,3,KABALE,7424
2012-03-01,2012,3,KYANKWANZI,12464
2012-03-01,2012,3,ABIM,5992
2012-03-01,2012,3,NTUNGAMO,24333
2012-03-01,2012,3,BUSIA,4814
2012-03-01,2012,3,SIRONKO,4008
2012-03-01,2012,3,NEBBI,2705
2012-03-01,2012,3,LIRA,3577
2012-03-01,2012,3,KIRYANDONGO,14865
2012-03-01,2012,3,SHEEMA,8458
2012-03-01,2012,3,BUVUMA,2964
2012-03-01,2012,3,ALEBTONG,3920
2012-03-01,2012,3,JINJA,6624
2012-03-01,2012,3,OMORO,5474
2012-03-01,2012,3,SOROTI,4212
2012-03-01,2012,3,ARUA,10840
2012-03-01,2012,3,BUTAMBALA,5862
2012-03-01,2012,3,KYEGEGWA,14781
2012-03-01,2012,3,NTOROKO,5771
2012-03-01,2012,3,BUTEBO,1329
2012-03-01,2012,3,IBANDA,8777
2012-03-01,2012,3,KOLE,3078
2012-03-01,2012,3,SSEMBABULE,19469
2012-03-01,2012,3,LUUKA,4302
2012-03-01,2012,3,KOTIDO,5593
2012-03-01,2012,3,KABAROLE,17056
2012-03-01,2012,3,SERERE,5554
