;Year;ONIjuly;P_Sum;P_Cum;SM_Mean;Anomaly_SM;SM_Mean_Low;Anomaly_SM_low;Teff_Mean;Anomaly_Teff;DS_Cat0;DS_Cat0_Cum;DS_Cat1;DS_Cat1_Cum;DS_Cat2;DS_Cat2_Cum;DS_Cat3;DS_Cat3_Cum;VOD_Mean;;Anomaly_VOD;Anomaly_VOD_march_1;VOD_march;NDVI_Mean;;Anomaly_NDVI;NDVI_march;Anomaly_NDVI_march_1;Anomaly_NDVI_march;Anomaly_VOD_march
1;31-1-2009;0.5;167.146;275.34;0.15730986;-1.493348915;0.276835807;0.042851895;296.01376;-0.308771542;1;6;1;5;1;2;0;3;0.47394082;;0.252415357;-0.163955618;0.5320227;0.633758132;;0.427621;0.632745262;-0.615641324;-0.182859;-0.05942581
1;31-1-2010;-1.2;119.484;259.078;0.17674656;-0.892908487;0.183095428;-1.682045412;299.5575;1.441734264;3;8;2;6;1;6;1;2;0.3676531;;-0.851939648;-1.278956003;0.4931274;0.447717118;;-0.919044;0.664687755;0.144163366;0.048358;-0.463557445
1;31-1-2011;-0.6;184.54;370.33;0.15064554;-1.69922374;0.258687946;-0.291083138;297.04877;0.202491747;0;5;2;3;2;3;0;1;0.4923225;;0.443405495;-0.909623538;0.50601107;0.621127201;;0.336191;0.617652071;-0.974657676;-0.292112;-0.329693079
1;31-1-2013;-0.3;134.667;293.109;0.27446657;2.125867305;0.289885397;0.282974699;296.92825;0.142961194;1;6;2;8;0;2;0;1;0.482149;;0.337700382;0.852110209;0.58700085;0.568321224;;-0.046047;0.684960808;0.534858437;0.195105;0.511810234
1;31-1-2014;0;143.435;382.628;0.23272148;0.836273864;0.298512662;0.441723217;297.37527;0.363777489;0;5;2;5;1;3;0;2;0.5024898;;0.5490462;-0.553781342;0.5674668;0.586700509;;0.086992;0.681112732;0.252571803;0.16725;0.308846732
1;31-1-2015;1.4;94.918;372.889;0.2665926;1.882623508;0.311804099;0.686296197;293.59073;-1.5056839;1;3;3;7;4;7;0;2;0.37268543;;-0.799652518;-1.752594594;0.51842415;0.553021714;;-0.156793;0.669245289;-1.817907149;0.081347;-0.20071814
1;31-1-2016;-0.6;115.801;345.339;0.17327844;-1.000046163;;;299.52863;1.427473463;2;8;2;5;3;6;0;2;0.40742457;;-0.438704515;0.768495142;0.47660515;0.489416322;;-0.617203;0.582201526;-0.051768857;-0.548722;-0.635227693
2;28-2-2003;0.2;105.813;316.366;0.15067291;-0.201719822;0.261114767;-0.040486032;296.3146;-0.30842482;2;11;2;11;1;7;0;2;0.46581212;;-0.249219337;0.774163984;0.56474775;0.645486543;;0.041169;0.718816589;1.431706639;0.440171;0.280595202
2;29-2-2004;0.6;125.443;389.772;0.18334648;0.807635096;0.259446507;-0.071183339;296.8514;-0.043258338;2;8;2;7;1;4;0;2;0.48704624;;-0.028591662;-0.166955589;0.53191805;0.605933912;;-0.245134;0.687396527;0.684328828;0.212736;-0.060513313
2;28-2-2005;-0.1;47.486;480.173;0.08997616;-2.076769551;0.176377507;-1.59971881;298.3603;0.702087108;3;11;3;10;2;4;0;0;0.488633;;-0.012102003;-1.331169553;0.491306;0.61710715;;-0.164256;0.568512306;-2.143527744;-0.647812;-0.482482836
2;28-2-2006;0.3;97.355;517.169;0.1445967;-0.389426879;0.256899695;-0.118046699;297.40866;0.232008289;0;8;1;11;2;6;0;0;0.527165;;0.388250622;1.243244568;0.581111;0.682113843;;0.306297;0.69480607;0.860576985;0.26637;0.450618404
2;28-2-2007;-0.6;163.896;617.053;0.19276184;1.098495229;0.282219085;0.347850154;296.0734;-0.427576377;1;7;2;7;1;6;0;0;0.51173216;;0.227900989;0.190479616;0.5443867;0.672860773;;0.239319;0.693562388;0.830993965;0.257368;0.069038821
2;29-2-2008;-0.3;37.19;533.601;0.14569947;-0.355359839;0.270179217;0.126307036;296.17313;-0.378311791;4;6;2;8;1;5;0;0;0.5315744;;0.434066926;0.916455512;0.5697114;0.672772803;;0.238682;0.668628963;0.237911476;0.076886;0.332168581
2;28-2-2009;0.5;115.728;391.068;0.13767302;-0.603313714;0.251538642;-0.216694326;297.3898;0.222692037;2;8;3;8;0;2;0;3;0.5191377;;0.304846122;-0.163955618;0.5320227;0.66067005;;0.151076;0.632745262;-0.615641324;-0.182859;-0.05942581
2;28-2-2010;-1.2;293.449;552.527;0.17099042;0.425930599;0.254685869;-0.158782853;296.9869;0.023673964;1;9;0;6;0;6;0;2;0.42407754;;-0.682851643;-1.278956003;0.4931274;0.511264638;;-0.930401;0.664687755;0.144163366;0.048358;-0.463557445
2;28-2-2011;-0.6;28.586;398.916;0.122484855;-1.072507934;0.236911716;-0.485841363;297.40918;0.232264562;3;8;3;6;1;4;0;1;0.4879604;;-0.019093356;-0.909623538;0.50601107;0.632096507;;-0.055755;0.617652071;-0.974657676;-0.292112;-0.329693079
2;28-2-2013;-0.3;101.303;394.412;0.22590846;2.122463722;0.313297325;0.919714415;295.65176;-0.635850403;2;8;3;11;2;4;0;1;0.5072423;;0.181250479;1.412087205;0.58700085;0.693484666;;0.388605;0.684960808;0.626391249;0.195105;0.511810234
2;28-2-2014;0;184.901;567.529;0.21381544;1.748884936;0.314760383;0.946635842;296.8471;-0.045383891;3;8;2;7;1;4;0;2;0.57370573;;0.871821337;0.852110209;0.5674668;0.702939273;;0.457043;0.681112732;0.534858437;0.16725;0.308846732
2;28-2-2015;1.4;91.991;464.88;0.18978943;1.006671287;0.292958708;0.545467734;293.5075;-1.695054074;0;3;1;8;2;9;0;2;0.38864487;;-1.051005588;-0.553781342;0.51842415;0.664925317;;0.181877;0.669245289;0.252571803;0.081347;-0.20071814
2;29-2-2016;-0.6;105.822;451.161;0.12223471;-1.080235461;;;299.8833;1.454412206;6;14;2;7;1;7;0;2;0.46444896;;-0.26338288;-1.752594594;0.47660515;0.57742856;;-0.451471;0.582201526;-1.817907149;-0.548722;-0.635227693
2;28-2-2017;-0.5;160.526;596.715;0.11088837;-1.430747668;;;298.2887;0.666721527;2;6;3;6;2;3;0;1;0.4799917;;-0.101890007;0.768495142;0.56455;0.652019223;;0.088456;0.656450686;-0.051768857;-0.011267;0.278540343
3;31-3-2003;0.2;124.143;440.509;0.1568407;0.235330659;0.27365792;0.328047865;297.15097;-0.154600049;4;15;3;14;3;10;0;2;0.56474775;0.774163984;0.280595202;0.774163984;0.56474775;0.718816589;1.431706639;0.440171;0.718816589;1.431706639;0.440171;0.280595202
3;31-3-2004;0.6;49.002;438.774;0.13831484;-0.336971755;0.243662283;-0.223895641;297.33072;-0.065809226;1;9;2;9;2;6;1;3;0.53191805;-0.166955589;-0.060513313;-0.166955589;0.53191805;0.687396527;0.684328828;0.212736;0.687396527;0.684328828;0.212736;-0.060513313
3;31-3-2005;-0.1;14.46;494.633;0.10262269;-1.439577171;0.188362583;-1.241453973;298.384;0.454483894;3;14;2;12;4;8;1;1;0.491306;-1.331169553;-0.482482836;-1.331169553;0.491306;0.568512306;-2.143527744;-0.647812;0.568512306;-2.143527744;-0.647812;-0.482482836
3;31-3-2006;0.3;113.751;630.92;0.18450564;1.089958724;0.301554518;0.841367389;296.79855;-0.328684332;2;10;3;14;4;10;0;0;0.581111;1.243244568;0.450618404;1.243244568;0.581111;0.69480607;0.860576985;0.26637;0.69480607;0.860576985;0.26637;0.450618404
3;31-3-2007;-0.6;82.375;699.428;0.14301471;-0.1917829;0.261456653;0.103534877;296.43817;-0.506703149;2;9;2;9;2;8;1;1;0.5443867;0.190479616;0.069038821;0.190479616;0.5443867;0.693562388;0.830993965;0.257368;0.693562388;0.830993965;0.257368;0.069038821
3;31-3-2008;-0.3;6.891;540.492;0.12503333;-0.747265387;0.269754728;0.256226037;296.3603;-0.545174148;3;9;2;10;2;7;1;1;0.5697114;0.916455512;0.332168581;0.916455512;0.5697114;0.668628963;0.237911476;0.076886;0.668628963;0.237911476;0.076886;0.332168581
3;31-3-2009;0.5;114.598;505.666;0.14017652;-0.279460667;0.240111035;-0.289241421;297.01218;-0.223160433;3;11;3;11;3;5;0;3;0.5320227;-0.163955618;-0.05942581;-0.163955618;0.5320227;0.632745262;-0.615641324;-0.182859;0.632745262;-0.615641324;-0.182859;-0.05942581
3;31-3-2010;-1.2;42.176;594.703;0.156638;0.229068817;0.255706403;-0.002274283;297.4891;0.012429208;1;10;2;8;1;7;1;3;0.4931274;-1.278956003;-0.463557445;-1.278956003;0.4931274;0.664687755;0.144163366;0.048358;0.664687755;0.144163366;0.048358;-0.463557445
3;31-3-2011;-0.6;81.485;480.401;0.1388996;-0.318907561;0.240144093;-0.288633127;298.5011;0.512326066;2;10;2;8;3;7;1;2;0.50601107;-0.909623538;-0.329693079;-0.909623538;0.50601107;0.617652071;-0.974657676;-0.292112;0.617652071;-0.974657676;-0.292112;-0.329693079
3;31-3-2013;-0.3;23.167;417.579;0.18338692;1.055399134;0.267758133;0.219487106;297.19858;-0.131083294;2;10;2;13;2;6;1;2;0.58700085;1.412087205;0.511810234;1.412087205;0.58700085;0.684960808;0.626391249;0.195105;0.684960808;0.626391249;0.195105;0.511810234
3;31-3-2014;0;35.773;603.302;0.13326849;-0.492864158;0.265406675;0.176218414;297.98895;0.259340056;2;10;2;9;3;7;0;2;0.5674668;0.852110209;0.308846732;0.852110209;0.5674668;0.681112732;0.534858437;0.16725;0.681112732;0.534858437;0.16725;0.308846732
3;31-3-2015;1.4;101.965;566.845;0.18718474;1.172721569;0.263764822;0.146007017;296.7701;-0.342734085;2;5;1;9;1;10;1;3;0.51842415;-0.553781342;-0.20071814;-0.553781342;0.51842415;0.669245289;0.252571803;0.081347;0.669245289;0.252571803;0.081347;-0.20071814
3;31-3-2016;-0.6;93.361;544.522;0.14158955;-0.235809137;;;299.47678;0.99428386;1;15;2;9;2;9;0;2;0.47660515;-1.752594594;-0.635227693;-1.752594594;0.47660515;0.582201526;-1.817907149;-0.548722;0.582201526;-1.817907149;-0.548722;-0.635227693
3;31-3-2017;-0.5;102.525;699.24;0.15764444;0.260159835;;;297.5957;0.065085633;1;7;1;7;2;5;1;2;0.56455;0.768495142;0.278540343;0.768495142;0.56455;0.656450686;-0.051768857;-0.011267;0.656450686;-0.051768857;-0.011267;0.278540343
